ds,P,PrA,T,UR,VV
2020-12-11,18.2,925.2583333333332,22.079166666666666,69.70833333333333,2.2333333333333334
2020-12-12,0.0,925.5791666666668,22.991666666666664,66.45833333333333,1.525
2020-12-13,3.2,925.2041666666668,23.608333333333334,72.0,2.120833333333333
2020-12-14,6.6000000000000005,923.7666666666668,24.120833333333337,65.70833333333333,2.829166666666667
2020-12-15,12.0,923.125,24.475,67.58333333333333,1.6541666666666668
2020-12-16,14.6,924.7916666666666,23.383333333333336,74.91666666666667,1.3708333333333331
2020-12-17,19.0,924.9375,23.40833333333333,72.25,1.2916666666666667
2020-12-18,4.4,923.1125,23.4625,68.5,0.7374999999999999
2020-12-19,0.2,921.3708333333334,25.508333333333336,64.66666666666667,0.6583333333333333
2020-12-20,60.400000000000006,922.5333333333332,24.05,70.25,0.8375
2020-12-21,13.4,923.5333333333332,24.295833333333334,74.75,0.4624999999999999
2020-12-22,1.0,925.0375,21.108333333333334,83.83333333333333,0.7791666666666667
2020-12-23,0.0,925.2875,20.091666666666665,73.25,0.7958333333333334
2020-12-24,0.6,925.4125,20.0375,72.20833333333333,1.525
2020-12-25,0.0,924.8583333333332,19.470833333333335,72.0,0.95
2020-12-26,0.0,924.075,19.941666666666663,73.625,0.5666666666666667
2020-12-27,19.2,925.5208333333334,20.654166666666665,82.375,0.2166666666666666
2020-12-28,0.0,926.5416666666666,22.2125,70.66666666666667,0.45
2020-12-29,39.8,924.45,22.745833333333337,72.91666666666667,0.4833333333333333
2020-12-30,2.2,923.0708333333332,23.933333333333337,65.33333333333333,1.5208333333333333
2020-12-31,5.4,924.1333333333332,23.46666666666667,67.66666666666667,1.8458333333333332
2021-01-01,48.4,925.2708333333334,21.391666666666666,80.33333333333333,0.35
2021-01-02,1.0,925.4666666666668,21.270833333333332,80.58333333333333,0.5750000000000001
2021-01-03,0.4,924.1916666666666,21.079166666666666,72.5,1.0541666666666667
2021-01-04,0.0,924.1041666666666,22.27916666666667,65.5,0.4041666666666666
2021-01-05,0.0,924.4375,24.0875,64.25,0.3666666666666667
2021-01-06,1.4,923.6833333333334,26.15833333333333,59.25,0.8791666666666665
2021-01-07,1.0,923.2416666666668,25.133333333333336,64.625,1.5291666666666668
2021-01-08,0.0,923.6708333333332,23.329166666666666,70.91666666666667,0.6749999999999999
2021-01-09,8.8,923.6291666666666,23.041666666666668,77.58333333333333,0.3041666666666666
2021-01-10,1.6,924.0375,23.241666666666664,78.33333333333333,0.3416666666666666
2021-01-11,7.2,924.0333333333332,24.370833333333337,78.04166666666667,0.1041666666666666
2021-01-12,44.2,923.9916666666668,23.78333333333333,81.08333333333333,0.2083333333333333
2021-01-13,0.2,924.6958333333332,24.245833333333337,76.79166666666667,0.5541666666666667
2021-01-14,1.6,925.2708333333334,22.90833333333333,77.16666666666667,0.3166666666666666
2021-01-15,40.8,925.1583333333332,21.216666666666665,82.625,0.0999999999999999
2021-01-16,0.6000000000000001,923.3125,22.8125,76.25,0.3333333333333333
2021-01-17,0.0,922.55,25.0125,60.625,1.4875
2021-01-18,0.0,923.1416666666668,25.325,63.375,0.925
2021-01-19,7.4,925.4875,23.733333333333334,75.75,1.3666666666666665
2021-01-20,0.0,926.125,23.808333333333337,74.08333333333333,1.8916666666666664
2021-01-21,1.2000000000000002,926.9291666666668,23.35,71.41666666666667,1.825
2021-01-22,2.6,928.7666666666668,23.4,69.95833333333333,2.0208333333333335
2021-01-23,0.2,928.2791666666668,23.2875,71.16666666666667,1.8
2021-01-24,12.6,926.4583333333334,22.983333333333334,73.875,1.4916666666666665
2021-01-25,0.0,924.4416666666666,24.15,69.41666666666667,1.975
2021-01-26,6.2,924.8166666666666,23.808333333333337,71.375,1.5375
2021-01-27,0.0,924.0541666666668,26.0625,57.125,1.8333333333333333
2021-01-28,22.200000000000003,923.4708333333332,25.5875,59.375,1.9875
2021-01-29,0.0,923.6041666666666,26.645833333333332,52.041666666666664,1.4541666666666666
2021-01-30,0.0,924.7541666666666,27.575,49.291666666666664,1.3416666666666668
2021-01-31,0.0,924.5375,27.229166666666668,55.791666666666664,1.5166666666666666
2021-02-01,0.8,924.4208333333332,24.604166666666668,64.125,1.6958333333333335
2021-02-02,20.799999999999997,924.6041666666666,24.175,69.5,0.7583333333333333
2021-02-03,0.0,925.4,24.733333333333334,67.66666666666667,1.1625
2021-02-04,0.0,922.7375,26.09166666666667,65.66666666666667,2.6083333333333334
2021-02-05,19.8,919.75,23.383333333333336,72.91666666666667,1.8291666666666664
2021-02-06,0.2,921.325,21.6875,67.91666666666667,1.9291666666666665
2021-02-07,0.0,924.2625,20.95,67.25,2.4625
2021-02-08,0.0,924.8041666666668,20.5375,65.0,2.3333333333333335
2021-02-09,0.0,925.6041666666666,20.854166666666668,63.833333333333336,2.475
2021-02-10,2.8000000000000003,925.9125,21.545833333333334,69.08333333333333,2.408333333333333
2021-02-11,9.2,925.9958333333334,20.441666666666663,78.625,1.9333333333333331
2021-02-12,0.4,925.3416666666668,21.008333333333333,79.08333333333333,1.2416666666666667
2021-02-13,24.2,924.4041666666668,20.775,88.66666666666667,1.0708333333333333
2021-02-14,0.0,922.3958333333334,22.491666666666664,75.41666666666667,1.7541666666666669
2021-02-15,0.0,921.0875,24.316666666666663,63.25,2.0833333333333335
2021-02-16,11.2,920.2458333333334,23.495833333333337,64.91666666666667,1.5499999999999998
2021-02-17,20.799999999999997,920.0333333333332,22.34166666666667,74.83333333333333,1.5625
2021-02-18,3.4,920.2583333333332,22.825,72.91666666666667,1.5
2021-02-19,0.0,921.8916666666668,23.15416666666667,72.0,1.8625
2021-02-20,0.0,925.25,23.258333333333336,69.625,2.4833333333333334
2021-02-21,0.0,926.2625,23.2,68.875,2.370833333333333
2021-02-22,0.0,926.4791666666666,23.3875,67.5,2.466666666666667
2021-02-23,0.0,925.3083333333334,24.5125,59.666666666666664,1.7916666666666667
2021-02-24,17.8,925.1291666666666,23.745833333333337,63.541666666666664,1.1291666666666669
2021-02-25,12.6,924.1541666666668,21.229166666666668,83.79166666666667,1.625
2021-02-26,14.4,923.8875,20.404166666666665,82.45833333333333,1.7875
2021-02-27,18.4,925.6375,20.929166666666667,81.91666666666667,1.5458333333333334
2021-02-28,24.6,925.5166666666668,21.53333333333333,82.79166666666667,1.3791666666666669
2021-03-01,0.4,924.45,23.120833333333337,75.66666666666667,1.5083333333333335
2021-03-02,0.0,925.1416666666668,23.875,70.625,1.1
2021-03-03,0.0,926.7833333333332,24.9375,59.25,1.1708333333333332
2021-03-04,2.8,925.4125,23.8125,65.625,1.8208333333333335
2021-03-05,0.0,921.4166666666666,22.258333333333336,72.66666666666667,3.841666666666667
2021-03-06,55.6,921.4458333333332,21.0375,86.04166666666667,2.0458333333333334
2021-03-07,7.2,923.7166666666668,21.004166666666663,86.08333333333333,0.9041666666666668
2021-03-08,0.4,924.2,21.954166666666666,75.54166666666667,1.3541666666666667
2021-03-09,0.0,922.9083333333332,22.5125,68.33333333333333,1.2375
2021-03-10,0.0,922.3041666666668,21.679166666666664,63.5,1.7333333333333334
2021-03-11,16.6,923.2416666666668,22.40416666666667,71.29166666666667,1.6875
2021-03-12,0.6000000000000001,925.2291666666666,23.84583333333333,70.625,0.6666666666666666
2021-03-13,0.0,926.4208333333332,23.820833333333336,69.70833333333333,0.9458333333333332
2021-03-14,1.0,926.8416666666668,23.741666666666664,69.95833333333333,1.3416666666666668
