Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,T_MAPE,T_MAE,T_MSE,UR_MAPE,UR_MAE,UR_MSE,V_MAPE,V_MAE,V_MSE,P_MAPE,P_MAE,P_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Binary Segmentation Normal,1957,1754,5055,72.0907016543069,0.6729118824005127,182.56713104248047,5.700581312179565,188.94062423706055,0.13121783593219047,0.09916262742980106,0.01519002113732374,0.25249053768395935,0.13849759884675342,0.02972192570797473,0.4026062759514642,0.06969026368390957,0.006980497153294431,1.4574158022925419,0.038987780079393054,0.004399415501116023,0.5609326129650387,0.08658456750996385,0.014072964874927232
Binary Segmentation RBF,6922,1754,90,1.2835139760410725,98.78212213516235,370.2507379055023,16.343097686767578,485.37595772743225,0.1261607470298117,0.09549075005036964,0.01401509696049025,0.25508661920561077,0.14258534258000158,0.031073064424610775,0.4124341235652455,0.06322178394370032,0.00559742768044418,2.3049025370015195,0.016532016602702582,0.0018703765750736159,0.7746460067005473,0.07945747329419388,0.013138991410154732
Binary Segmentation Cosine,5727,1754,1285,18.325727324586424,78.74797177314758,398.84907388687134,34.82671499252319,512.4237606525421,0.12937457525031976,0.09737306184268167,0.014303936043198852,0.2533847678997053,0.14725628166479385,0.031870542713460674,0.4266717258938757,0.06795011561039342,0.006271835398461112,1.4128347257626115,0.024747678662397084,0.0018811103206061496,0.5555664487016281,0.0843317844450668,0.013581856118931703
Binary Segmentation Linear,1827,1754,5185,73.94466628636623,0.53635573387146,174.03921103477478,6.097611904144287,180.67317867279053,0.12239778753018367,0.0941871021365132,0.014343616701914027,0.25251174605016036,0.1431843400967532,0.030650615246341904,0.3951338256518626,0.06370667579802329,0.005826206185951967,1.4205989238227834,0.03647314461806243,0.004228550937526305,0.5476605707637476,0.08438781566233758,0.013762247267933547
Binary Segmentation Clinear,6832,1754,180,2.567027952082145,0.42661094665527344,339.6376268863678,13.363602876663208,353.4278407096863,0.1346872304412398,0.1004950385432095,0.014903240084747133,0.2559735045134146,0.14726083393975814,0.03229138103519399,0.40644916627405814,0.061186230288414384,0.0053465897215127485,1.1506379794000934,0.03381558184923337,0.002120041167338262,0.4869369701572014,0.08568942115515417,0.013665313002198032
Binary Segmentation Rank,6087,1754,925,13.191671420422132,0.4977848529815674,387.888619184494,52.17428207397461,440.5606861114502,0.12302839728995739,0.0938008448447905,0.013878644388189884,0.2524106007995389,0.1440137651182638,0.03119743741591681,0.4481587455243402,0.07524730966948251,0.007364358667773498,1.2506784040950267,0.028656444427850623,0.0019463492145049468,0.5185690369272156,0.08542959101509719,0.013596697421596285
Binary Segmentation Mahalanobis,5847,1754,1165,16.61437535653166,75.97341012954712,338.39783096313477,16.18461298942566,430.55585408210754,0.12589689382982122,0.09611260291160997,0.014664365843554848,0.25942741247330464,0.15399828044376274,0.034430858960859165,0.4363868441009217,0.0711157328929092,0.006770019296166542,1.1686310987118047,0.03196216910645177,0.0020457143037300473,0.49758556227896295,0.08829719633868378,0.014477739601077665
Binary Segmentation AR,6922,1754,90,1.2835139760410725,1.2998921871185303,438.17872524261475,35.816370725631714,475.294988155365,0.13583668314994582,0.10103799651102105,0.014928375986780096,0.25308464810939874,0.14483297770929968,0.031357816388396624,0.4454007066222376,0.07425115895250664,0.0072112389888668365,2.7433987820441086,0.01607741140440377,0.0019133873538745485,0.8944302049814223,0.0840498861443081,0.013852704679479532
Binary Segmentation Mean,5597,1754,1415,20.17969195664575,258.7208037376404,422.430477142334,30.411771059036255,711.5630519390106,0.11850262609614252,0.09144610259685704,0.013739340466724998,0.25249355077545527,0.14343391004101985,0.030987889686354235,0.479339327244182,0.0876505444327305,0.00957575126134509,1.3720872265793724,0.025144466681668916,0.0018728199202516188,0.5556056826737885,0.08691875593806929,0.01404395033366898
Binary Segmentation Median,6460,1754,552,7.872219053051912,258.7208037376404,344.99526810646057,29.733888149261475,633.4499599933624,0.12444029719566126,0.09456767287945907,0.013922258899025609,0.25362346950334813,0.1422842896327205,0.030888355003487338,0.4554955725736729,0.07808782197620676,0.007827507714226665,1.7846817099805663,0.020000805438496617,0.0018595051377205555,0.6545602623133122,0.08373514748172105,0.013624406688615049
Bottom Up L1,5427,1754,1585,22.60410724472333,0.200423002243042,321.91329884529114,10.058604955673218,332.1723268032074,0.1210442898165895,0.09237448439719714,0.013387872840847925,0.25407198917048157,0.1478517220411972,0.03204435209061514,0.41537833355626275,0.06444151987501329,0.0057866790238098225,1.212004887347343,0.031028641660068995,0.002026808142277287,0.5006248749726692,0.08392409199336952,0.013311428024387548
Bottom Up L2,987,1754,6025,85.92413006274957,0.10850286483764648,121.74019503593445,6.720982074737549,128.56967997550964,0.11847732848173594,0.09279010540767539,0.014288741880250906,0.2570527241470235,0.14988213240309248,0.0330071881496699,0.4146244985499017,0.07518463204150279,0.007967268129107686,1.4887479738814473,0.038389796365829267,0.004411068492879576,0.5697256312650272,0.08906166655452447,0.014918566662977023
Bottom Up Normal,6732,1754,280,3.993154592127781,0.20961475372314453,346.94131898880005,14.110800743103027,361.2617344856262,0.11429545680506077,0.08860692890533622,0.013063263530994889,0.2519523281384348,0.14257451837992216,0.03065519862391657,0.44893617886288556,0.07569107031337725,0.007469723976967104,24.856090815897478,0.01608043704289011,0.002009183560938931,6.417818694925962,0.08073823866038177,0.01329934242320437
Bottom Up RBF,6907,1754,105,1.4974329720479178,2.9118311405181885,348.3813099861145,6.456394910812378,357.74953603744507,0.12300196233865102,0.09306366127515625,0.013295490509313793,0.2464850819208996,0.14065746000308477,0.029389125716931794,0.47677796940744116,0.08804194748265168,0.009906687647892643,5.888784090531723,0.018479393776196132,0.0022143936461519894,1.68376227604968,0.08506061563427239,0.01370142438007256
Bottom Up Cosine,2042,1754,4970,70.87849401026811,1.1299388408660889,201.47500491142273,6.383437871932983,208.9883816242218,0.125512301919394,0.09518755647351307,0.013966055399243973,0.25725974374667115,0.14964675347558384,0.032988185923839564,0.4026499240029413,0.05935489387861614,0.005094749457670261,1.6902832807760133,0.034112213839974655,0.004325139259259408,0.618926312611255,0.08457535441692228,0.014093532510003297
Bottom Up Linear,1702,1754,5310,75.72732458642328,0.13442111015319824,149.9937391281128,5.942638874053955,156.07079911231995,0.11846718787882787,0.0908742017987191,0.013160562062839231,0.25490698559467884,0.14674962149269277,0.03202312330318946,0.38582268650198615,0.05749593187297333,0.004739921998198127,3.659776286467178,0.047454115288106904,0.005503157412337208,1.104743286610668,0.08564346761312261,0.013856691194141013
Bottom Up Clinear,6812,1754,200,2.852253280091272,0.09385323524475098,361.0806620121002,14.854886770248413,376.0294020175934,0.1258652629120796,0.09492761409896862,0.01366755157296486,0.2514589953729517,0.14587290130210184,0.03126349634117213,0.4048076764590799,0.06094562307076926,0.005328013134566481,1.1503299579958588,0.032970534077257974,0.0020726120467682366,0.48311547318499254,0.08367916813727473,0.013082918273867934
Bottom Up Rank,6047,1754,965,13.76212207644039,0.16456913948059082,330.66975021362305,9.817470073699951,340.6517894268036,0.14039473796796134,0.1029768642091582,0.015064860440254388,0.2519035095115757,0.14736241952241594,0.03164088177565639,0.3981157427895792,0.05607698066837118,0.004536272083892759,1.1615560665446396,0.03389021675373209,0.0021396987105090845,0.48799251420343914,0.08507662028841965,0.013345428252578177
Bottom Up Mahalanobis,5662,1754,1350,19.252709640616086,0.7298800945281982,354.6604518890381,8.77867579460144,364.1690077781677,0.13466849955509255,0.1000897671950932,0.014670891009052901,0.25296145434821266,0.14882937472072683,0.03216067658911122,0.4839152209086698,0.0898901858497635,0.010084140604280692,1.3406405585724632,0.025084580482749516,0.0018516440180613993,0.5530464333461096,0.0909734770620834,0.014691838055126544
Bottom Up AR,987,1754,6025,85.92413006274957,0.1608591079711914,132.87150478363037,3.567168712615967,136.59953260421753,0.13795344550530375,0.10328783736290537,0.015840962892071563,0.25583642014320457,0.14027073678545568,0.030571744294173923,0.42249101691399116,0.07752418246490475,0.008288558343748977,1.5207795399514128,0.03269579105683562,0.004132708605886372,0.5842651056284781,0.08844463691752485,0.014708493533970215
Bottom Up Mean,4331,1754,2681,38.234455219623506,5.84389328956604,294.01266598701477,18.834409952163696,318.6909692287445,0.12198706567218832,0.09357904953177937,0.014033855566595714,0.2541428563251559,0.14785223823713556,0.03212243309209935,0.46432878359407476,0.08134163635112752,0.008407619037478796,1.28670280791368,0.033066132551972216,0.0029049588510847682,0.5317903783762746,0.08895976416800395,0.014367216636814631
Bottom Up Median,5545,1754,1467,20.92127780946948,5.84389328956604,373.28651213645935,38.61128282546997,417.74168825149536,0.12531234863927973,0.09500031232734142,0.013906519518343033,0.2530959865248722,0.14272844676536697,0.030845595799870108,0.43981702511330995,0.07235763000740318,0.006911766819935445,4.189413516533635,0.019612278931051143,0.0022334198208429253,1.2519097192027748,0.08242466700779102,0.013474325489747876
