Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,P_MAPE,P_MAE,P_MSE,PrA_MAPE,PrA_MAE,PrA_MSE,T_MAPE,T_MAE,T_MSE,UR_MAPE,UR_MAE,UR_MSE,VV_MAPE,VV_MAE,VV_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Fixed Cut 50.0%,2199,1099,2197,49.97725204731574,N/A,12.269607067108154,12.269607067108154,215998620235906.62,0.09180481229065285,0.016088570918669637,0.007555686722386895,0.007498224793419612,8.685236863436944e-05,0.0943854921551056,0.06364824458919911,0.0066917644015003835,0.23124636598251608,0.12409180535306034,0.022985358068946034,144329624149926.12,0.06570411608011728,0.005896367020163403,72065648877166.47,0.0705494406212899,0.010349782555582773
Fixed Cut 55.0%,1979,1099,2417,54.98180163785259,N/A,8.84817099571228,8.84817099571228,80880058712245.38,0.06021192202983758,0.015396306594728895,0.00832767823016901,0.00825128491510603,9.250800816945436e-05,0.08028910288090067,0.056476060473496806,0.005382653926602465,0.230256061972477,0.12649784015492738,0.023602238187603833,131975936640296.53,0.07035413914743813,0.0063195408589803844,42571199070508.37,0.06435824934416123,0.010158649515216995
Fixed Cut 60.0%,1759,1099,2637,59.986351228389445,N/A,8.851149797439575,8.851149797439575,102263337276999.0,0.06458239375048136,0.015064362019202544,0.009108702323663401,0.009037784694644667,0.00012045860464242435,0.08132193521928051,0.057573881342727014,0.005580542171476161,0.23285441603970952,0.12256825162533053,0.022855210236768533,125646663351239.95,0.0712689341097592,0.006371529962547877,45582000125647.766,0.06500624910458862,0.009998420598927502
Fixed Cut 65.0%,1539,1099,2857,64.9909008189263,N/A,10.612333059310913,10.612333059310913,80560633655612.56,0.059573931870377725,0.014866662290457662,0.0051805893728372535,0.005141784545344528,3.9673158395419364e-05,0.08362167951748584,0.05852812559640114,0.005822236498623207,0.2232945501713145,0.1271161667080533,0.023746450817037107,106190186919403.61,0.07098463141126879,0.006231078192378122,37350164115003.2,0.06426892802628914,0.01014122019137831
Fixed Cut 70.0%,1319,1099,3077,69.99545040946315,N/A,6.077804088592529,6.077804088592529,109747979860397.05,0.06735501547025881,0.01605613300996573,0.02851521143802344,0.02828990589939852,0.0011026814568747428,0.08345197920988814,0.06033105148757537,0.006248692670781951,0.23237394466413558,0.13188006622495096,0.025875289956162197,88416705280247.88,0.08240839699320125,0.008297851118862578,39632937028128.94,0.07405288721507704,0.011516129642529429
Fixed Cut 75.0%,1099,1099,3297,75.0,N/A,10.500747203826904,10.500747203826904,133908795724603.25,0.07175770627904628,0.014908547269451653,0.007841274320724827,0.0077763365522039865,8.429804481013917e-05,0.08127300878781998,0.05934844748267048,0.005967101426122487,0.2282348453997678,0.12522865521718654,0.02327950430891024,56147414709079.56,0.08216848866974014,0.008807872417126961,38011242086736.516,0.06925592684016954,0.010609464693284287
Fixed Cut 80.0%,880,1099,3516,79.98180163785258,N/A,8.171010971069336,8.171010971069336,84029310887839.9,0.06056259238029865,0.015097700596725468,0.009378166868595599,0.009313157541979814,0.00013791729692453616,0.07257920487139737,0.05270197241063873,0.004647294825749824,0.22190030455618145,0.12710380390849793,0.023691639032071714,58333509398963.48,0.08568325434162871,0.009469487714865,28472564057360.625,0.0670729561166088,0.01060880789326731
Fixed Cut 85.0%,660,1099,3736,84.98635122838945,N/A,5.885802984237671,5.885802984237671,176610489325487.84,0.11137812569812956,0.034376023888585315,0.9786302361588048,0.9705233777013278,1.365458016637717,0.1327103988812221,0.09452090301683462,0.013937057900474349,0.419654025394143,0.2913984511997401,0.11480491230359945,13590814405283.885,14.039026060466659,302.225815470851,38040260746154.71,3.101369383616539,60.75087829631627
Fixed Cut 90.0%,440,1099,3956,89.9909008189263,N/A,3.865332841873169,3.865332841873169,491202565424850.4,0.2176211289754186,0.080517046070157,0.7396331613187952,0.7335022873928702,0.7801178968597742,0.37173445110600956,0.2819790634373434,0.10728798780666253,0.2853087542597729,0.18795795166438087,0.05295740490995951,19086849758309.883,1.6453263868833437,4.191165268586084,102057883036632.12,0.6132773636706712,1.0424091208465274
Window L1,791,1099,3605,82.00636942675159,0.1335461139678955,4.266232252120972,4.399778366088867,118275798500169.77,0.0693219307120047,0.015890196679661517,0.03568696366057496,0.0354013943053792,0.0016600956851041784,0.09282641820411597,0.06632384325433904,0.007212847171475471,0.21510530650495635,0.1155697455632049,0.019993878783353545,30999327721645.184,0.12661116929366242,0.02266424731735643,29855025244362.895,0.0826456166257181,0.013484253127390239
Window L2,3011,1099,1385,31.50591446769791,0.06751108169555664,11.084931135177612,11.152442216873169,107055880172377.06,0.06067443626726911,0.011639072611503196,0.013104270617909773,0.013001936279445065,0.0002761631970292706,0.08596403300950353,0.06091324823422193,0.006238303231554559,0.2325358766551493,0.12254795688375804,0.02243222188350738,189850988823548.4,0.07009388792841398,0.007561743164881022,59381373799185.08,0.06544629311862168,0.009629500817695081
Window Normal,3381,1099,1015,23.089171974522294,0.17566275596618652,23.038432121276855,23.214094877243042,142034707536031.94,0.06880915270383033,0.01161023586428906,0.0026681230561795585,0.0026441163687609217,1.0616437647406921e-05,0.0773890496732747,0.05592682325861512,0.005123683408275328,0.23927883660211674,0.1179602094423691,0.021730427775021228,194757817960680.7,0.06954025345010875,0.007629614441257742,67358505099342.516,0.06297611104473687,0.009220915585298141
Window RBF,1891,1099,2505,56.983621474067334,0.7065629959106445,9.428904056549072,10.135467052459717,89672058159045.48,0.06178845622070003,0.015093264960405672,0.010712211434381811,0.010634236814891087,0.00019111318199714064,0.08467641582457527,0.05738601251759797,0.0055342683179483085,0.22474736411076388,0.12681610604108232,0.023513537094576754,144734846214534.3,0.06805570410714265,0.006179824800739475,46881380874715.94,0.06493610314028286,0.010102401671133465
