Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg P_MAPE,Std P_MAPE,Avg P_MAE,Std P_MAE,Avg P_MSE,Std P_MSE,Avg PrA_MAPE,Std PrA_MAPE,Avg PrA_MAE,Std PrA_MAE,Avg PrA_MSE,Std PrA_MSE,Avg T_MAPE,Std T_MAPE,Avg T_MAE,Std T_MAE,Avg T_MSE,Std T_MSE,Avg UR_MAPE,Std UR_MAPE,Avg UR_MAE,Std UR_MAE,Avg UR_MSE,Std UR_MSE,Avg VV_MAPE,Std VV_MAPE,Avg VV_MAE,Std VV_MAE,Avg VV_MSE,Std VV_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Fixed Cut 75.0%,1139,1139,3414,74.98352734460795,N/A,N/A,8.919536972045899,2.046339574234594,8.919536972045899,2.046339574234594,68391175450645.34,41900982758775.05,0.05306795906392477,0.00925761948341136,0.014453853289130798,0.0004828480182255524,0.015301856253719921,0.010903555687908755,0.01514328750535677,0.01079003640211214,0.0004474431440294589,0.0005837068962820297,0.09471475269160531,0.004462894480352026,0.0654654687873558,0.0029951174246677114,0.006706174426879888,0.0006038584638028249,0.09257740524530088,0.005211867261163453,0.07196425940767538,0.004477266741012421,0.008236852427778288,0.0009566488313594501,0.39226659762670235,0.02133438043468987,0.09864364677834946,0.0039035539746051463,0.01470236553739429,0.000863889228720037,13678235090129.164,8380196551755.009,0.060856924308532456,0.003011886974131273,0.008909337765042546,0.0002705383323328717
Fixed Cut 80.0%,911,1139,3642,79.9912145837909,N/A,N/A,6.403291797637939,1.4201852839944362,6.403291797637939,1.4201852839944362,95141470981696.66,51161295386019.45,0.065167756443635,0.01136100384204414,0.0189415439696109,0.0010179298126819347,0.014938431001540148,0.004677095715966834,0.014780741088359115,0.004628260755844981,0.00035406589421987965,0.00020461537789094627,0.09933645105078864,0.005053488521642266,0.06836257078129453,0.004189740499127084,0.0073645692091317844,0.0007940124148940619,0.09403713951523743,0.0011436112751901247,0.07291783133376077,0.0010942111521929758,0.008432837804271434,0.00020835915670492437,0.4241524610926304,0.01884934659910066,0.10391242450789585,0.0031042968958351325,0.015864749437915698,0.0007163377704942609,19028294196339.426,10232259077203.885,0.06502826483098906,0.002257638931622214,0.010191553263029942,0.0004260421292456649
Fixed Cut 85.0%,683,1139,3870,84.99890182297386,N/A,N/A,4.74269061088562,1.054523052170465,4.74269061088562,1.054523052170465,109578090508726.61,71860830500598.03,0.06850534752993548,0.016747610169222847,0.01913376551450389,0.0010447143866106473,0.01891581719404555,0.010109984539286885,0.018722311119519337,0.009995787038861607,0.0006749843003248908,0.000798031353023578,0.10640979921263119,0.011954433420210495,0.07138123377878362,0.007500698786283671,0.008527776558181738,0.00190131815069936,0.09847223854611876,0.007800736722797802,0.07696083327037222,0.00722877302147482,0.009270066834617084,0.001540172275367246,0.36566811805121796,0.020334062871058024,0.09704564244397866,0.003798106508274015,0.014971018489594456,0.001112406617845715,21915618101745.406,14372166100119.594,0.06652307362851786,0.006224431362192456,0.010515522339444418,0.001155232727364239
Fixed Cut 90.0%,456,1139,4097,89.98462552163409,N/A,N/A,4.250665235519409,0.765250124693735,4.250665235519409,0.765250124693735,92656376592198.52,44448219598069.016,0.06405790233319407,0.010574466245010872,0.0189724883362919,0.00048024000922669807,0.02394239558279777,0.005598809824927805,0.02369307337602826,0.005532393296952643,0.0008609687966746963,0.0003966501332228222,0.10747512729132443,0.010247323513157238,0.07219063228592455,0.006896470608224557,0.008755064587703322,0.0015620385623690031,0.10672628081864213,0.00583026390843687,0.08532854146690802,0.005795003971545544,0.010943545641084948,0.0012518129622498704,0.4277701979295279,0.04574988733065657,0.10537374078409566,0.007293434236800186,0.016494976188731657,0.0017254035397841858,18531275318439.797,8889643919613.79,0.07012877804923011,0.002494828829243576,0.011205408710097306,0.0004323606102515139
Window L1,158,1139,4395,96.5297605974083,0.1402873992919922,0.002919827706903135,2.5845518589019774,0.20585720814876943,2.7248392581939695,0.2058104748830481,48637634941278.836,15199485922253.271,0.07236789872190258,0.0017181704718985372,0.036630931842883935,0.001874416155903662,0.026511526380139417,0.006672155043393497,0.026229634118693338,0.00660225102578094,0.001021707295498772,0.000497753263450838,0.118526620009504,0.037397393340105715,0.08102771751039728,0.024401007353125063,0.010599070790450239,0.006134844146002685,0.1690802117106104,0.011430810360511625,0.146869689440297,0.00967893259659438,0.028139039048279305,0.002586597529169697,0.6503180614118256,0.10424417649498686,0.15183131908857173,0.023498948557897713,0.031582054013668516,0.008495063058497516,9727526988255.928,3039897184450.655,0.09566525177597246,0.005773794198910769,0.021594560598156155,0.0018753533532484031
Window L2,158,1139,4395,96.5297605974083,0.07385382652282715,0.0036049266599074412,2.6606559276580812,0.24642689630787937,2.734509754180908,0.24691559739530294,106802052185036.44,71880431358615.9,0.0885291483407835,0.017979501965754277,0.0376423106460206,0.003968473798071974,0.0342742098593049,0.01732352955145379,0.03390499321134376,0.0171249919762918,0.0019042733905096122,0.0014858740954119926,0.10490581500525485,0.003135352553606858,0.07147689191229072,0.002420671084119823,0.008214215316097204,0.000501693231019623,0.205033471305026,0.02370854998814557,0.17758983470312478,0.020208007869016418,0.03957378596291234,0.00848111422358225,0.6838698576019469,0.08616146229802718,0.15908159086721746,0.019398273199553236,0.03410170963357323,0.007742388810420887,21360410437007.445,14376086271723.186,0.10611649180695217,0.009425211954648191,0.024287258989822598,0.0027060672430986137
Window Normal,448,1139,4105,90.16033384581594,0.17447142601013182,0.008195244213322416,3.175542974472046,0.08827012748743818,3.350014400482178,0.08165752541735162,67671612438342.266,38661450316065.305,0.059890040215216836,0.0059929630443260554,0.01957095942302132,0.0014488246934987997,0.025014635904775432,0.010811485382935266,0.02476736242126709,0.010722021968550923,0.001050577157589689,0.0009493068144086025,0.12169329443569481,0.02632068962633556,0.08125311121039172,0.017761106912821536,0.011258942662817073,0.00445735251229021,0.11286918964897695,0.00926592218346719,0.0911423985700438,0.007643376232247033,0.012100629921780286,0.001711816576637504,0.3854495431656071,0.018087550890815745,0.09914472960021514,0.002751259412892236,0.015035102027074714,0.0008922986054265137,13534322487668.553,7732290063213.057,0.07123952840342691,0.005471226519217635,0.011803242238456621,0.0007501316264466181
Window RBF,158,1139,4395,96.5297605974083,0.6800502300262451,0.016622174394700776,2.5178921699523924,0.18263421717034725,3.1979423999786376,0.16693311738549563,101751982940224.88,31627779652542.207,0.08288511554045448,0.006243249008281843,0.03469344527841701,0.0032776503429949757,0.02812462045571063,0.006565803600350443,0.027832737254645176,0.00647332464250827,0.001173272518051454,0.0004997873088844315,0.10159308138707585,0.004523910465558182,0.06950660524206657,0.002861127314025716,0.0077190381190936075,0.0006418362112096371,0.17593951670015623,0.020438442875883447,0.15267480296063446,0.017619758133353928,0.030221484029022444,0.005503646879529336,0.5927859159190343,0.048360226218477284,0.13855747390179732,0.010519853492231059,0.026092329552529787,0.003671648120752142,20350396588045.11,6325555930508.443,0.09429134697991964,0.0044883389421816735,0.01997991389942288,0.001223136766688221
Window Cosine,158,1139,4395,96.5297605974083,0.2888339042663574,0.0032203299081023156,2.7715431690216064,0.36856961747712985,3.060377073287964,0.3668202018599184,99622829672612.55,40020141956609.01,0.08105222288547285,0.008930943921934208,0.03459231089921935,0.001237190671190413,0.035916590515517675,0.017008561562618364,0.0355463663616293,0.016818101398093806,0.002350389542938035,0.0019472120989404993,0.10723337910148206,0.010087866609102556,0.07202102976505807,0.006736900670535132,0.008667944853755136,0.0015240304991060065,0.17848713197419133,0.029724621174068887,0.1548324188873499,0.02588954865628533,0.030807094987472472,0.009023475338444763,0.5666160964563061,0.02459801566576332,0.1324789721268577,0.005315235478848473,0.024157277206328955,0.001785702375184394,19924565934522.645,8004028391321.794,0.09518620200527361,0.004127077845892605,0.020115003497942794,0.0014568352938403757
Window Linear,1448,1139,3105,68.19679332308368,0.09030871391296387,0.00048473306941276064,7.983075046539307,1.2254822913435726,8.07338376045227,1.225085413596804,17449085313355.092,8245704956388.205,0.013381834285186621,0.0015831917801829207,0.0008938059074456882,7.176534295348325e-05,0.010586507624445848,0.0023807952143193234,0.010481731395796296,0.002357521166351261,0.00017333425714574754,7.06238948996624e-05,0.09613735186286809,0.004163175818284196,0.06582692807217816,0.00205210154998302,0.006848026497645384,0.0006355927195563328,0.09430274456114011,0.0028277700551698863,0.07297724472688179,0.002912378312253138,0.008447390214974483,0.0006191750420104053,0.3460433603826264,0.028389129946760676,0.09328810296474212,0.003101265631458805,0.01403222226792787,0.0004539235491689754,3489817062671.119,1649140991277.6401,0.051191168288957006,0.0014348175859244209,0.006078955829027833,0.0002947048649574007
Window Clinear,1348,1139,3205,70.39314737535692,0.06752471923828125,0.002078665391167331,7.876664543151856,1.5373663442060264,7.944189262390137,1.5361187417152107,64633916529097.336,42849488422434.305,0.04336173702291493,0.009509635787932007,0.008020803930954046,0.0006288727579634004,0.008024505088148455,0.0028622611182851083,0.007938787477717186,0.0028288938150437173,9.945834523874736e-05,6.373560438081532e-05,0.09555971152257749,0.0027162197424727683,0.06549220950149594,0.0015247877074952986,0.006789368007257332,0.00044040048018630665,0.09463594211100543,0.0047886821430971034,0.07390894554503628,0.0051059704231767224,0.008649305682919602,0.001063524892753766,0.3705786954785864,0.02208054535931339,0.09520684094732645,0.0029965037661847625,0.013977657794466873,0.0005369508167851926,12926783305819.559,8569897684486.842,0.057181704098898195,0.0018703113492895345,0.007507318752167326,0.0003731476229549988
Window Rank,753,1139,3800,83.46145398638261,0.17455763816833497,0.0030705225488321143,5.495630264282227,1.8556933859741787,5.670187902450562,1.85367592793702,86484654274883.97,56309200094713.76,0.06385802207112654,0.011622320344987898,0.019410146605134446,0.0012459076032698103,0.01706131511284201,0.006988791038534948,0.016893523792398047,0.0069202257249033824,0.0004671523916372798,0.0003589198916179072,0.10359720905478324,0.019744919545612773,0.0704876536225852,0.013055594321376481,0.008237388420544925,0.0034006986436611237,0.09412530183961981,0.002290640077372678,0.07289923135178003,0.002315465209823732,0.008404851393875458,0.0005764646691034353,0.33898382593489157,0.028122977499064027,0.09276831464819098,0.0025878369273152767,0.014127953046602705,0.0003697997760879335,17296930854976.87,11261840018942.748,0.06338134909721616,0.004841383675366526,0.01012949837155897,0.0007239068266676991
Window Mahalanobis,753,1139,3800,83.46145398638261,0.1710988998413086,0.0033292615457697176,4.74205756187439,1.1115770435274734,4.913156461715698,1.1086020051241787,31084867185759.426,12964660369872.002,0.052844128624233364,0.004078983499284788,0.02030404912330985,0.0010627300647555185,0.02034678247317276,0.009183655465977792,0.020147812357638524,0.009089586623419806,0.0007264992527127266,0.000546190142308886,0.10450350197308399,0.011084722170232927,0.07082960127359875,0.0068275656553902705,0.008244289180503343,0.0017826225721913164,0.09908701555921216,0.007467279905923445,0.07795522946157084,0.008506422523044344,0.009543540478661273,0.001829841483453945,0.35824767331790963,0.02008131129241299,0.09667344013546418,0.001495804668426193,0.015023461754553222,0.0006300178695100957,6216973437151.981,2592932073974.3916,0.06369004237050113,0.0021995715704318727,0.010768367957948088,0.00025681159668038773
Window AR,1398,1139,3155,69.29497034922029,0.10663037300109864,0.0011682399486482576,9.207121324539184,1.6696958712139967,9.313751697540283,1.6703598481493604,30558890472267.15,19452190217389.816,0.03508223841212442,0.0036936410182911742,0.00798822137893151,0.0005150392105419242,0.010444679051262973,0.0018714094583661557,0.010326461264302929,0.0018432546485409069,0.00014721275986317387,5.105252024183902e-05,0.10129911679178835,0.0058170256295186715,0.06846389026044905,0.0025520982418690543,0.007689506358647393,0.0009594059660675296,0.09804015991520329,0.002952134431101594,0.0776366058918193,0.0032325693971524978,0.00946146470083711,0.0006752121587181328,0.34617008438998925,0.017556813106594935,0.09254231337313276,0.0018531837590638033,0.013736948028868037,0.0002872861332941094,6111778094453.527,3890438043477.96,0.05681030184036573,0.0014238137575594706,0.0078046706454294465,0.00011012873078881332
Window Mean,678,1139,3875,85.10871952558753,1.967617130279541,0.02078139723970319,4.166379737854004,0.8979111840308698,6.133996868133545,0.9179249867951838,91553905084661.94,67540759545324.76,0.06517285401840585,0.015131575749776471,0.019393701179244778,0.0013770102236739159,0.0237046479934431,0.010212930976236845,0.02346900416145615,0.01011231007892438,0.0008911420833411756,0.0007213114705596041,0.10723472644902236,0.016805972600662557,0.07248918787586156,0.010582824988653958,0.008827026864782168,0.002651763718619114,0.09593102535788134,0.004280308070408115,0.07492466429983594,0.003870465828250633,0.008819503226651924,0.0008001880920975321,0.3604788587094415,0.0400212872511066,0.09626878360247026,0.005409306239902293,0.01486869675620067,0.0010270651553775751,18310781016932.47,13508151909064.922,0.06646489879160596,0.006246290131995071,0.010560014022044149,0.0006423563745085303
Window Median,601,1139,3952,86.79991214583791,1.967617130279541,0.02078139723970319,5.32255334854126,1.0465496811249502,7.290170478820801,1.034141016184396,104312399081690.44,61009277307198.5,0.06665066367954024,0.014464284013737875,0.019009248239188387,0.00032891269490631717,0.01964071728536578,0.004592896701215324,0.019434951782946294,0.004550920163712867,0.000552374341069677,0.0002317514700353882,0.09518509436907278,0.0037307215002968697,0.06541842015444677,0.0017684847376729183,0.0068462483948187915,0.0005531651165862975,0.09540642197527134,0.0033046028329257616,0.07381718558041094,0.004141625625101761,0.008597980765777032,0.0008501580192562163,0.347115432298825,0.013237169394238846,0.09286524526577489,0.0012157712930296073,0.01381894185377333,5.3924670676477686e-05,20862479816338.17,12201855461439.703,0.06363729329262381,0.003621808706988588,0.009764958718925446,0.0002884809125627425
Binary Segmentation L1,153,1139,4400,96.63957830002197,0.6216730117797852,0.004970546084484886,2.7203564167022707,0.3480527187641255,3.3420294284820558,0.3511770442509604,77732854895128.5,24303415092635.668,0.08156792745995439,0.012752796680185932,0.03752951131689181,0.00581152720569873,0.03722769468124046,0.013101406370220633,0.0368409970399592,0.012986434723826108,0.0022120911066107287,0.001415262632928476,0.12686099142594154,0.04098999342871683,0.08564699642270827,0.027178113346892158,0.012184213868595264,0.006715318561617234,0.16625031312871064,0.03375553146286714,0.14404075806041258,0.029418221516697995,0.027703337670412363,0.009973909823072107,0.5702577537984441,0.13810728466395122,0.1351324275380244,0.027228662357018943,0.026111909516149376,0.00887215385062967,15546570979025.836,4860683018527.117,0.09664582130421183,0.006328099160993052,0.021148212695731913,0.002693730430058842
