Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,P_MAPE,P_MAE,P_MSE,PrA_MAPE,PrA_MAE,PrA_MSE,T_MAPE,T_MAE,T_MSE,UR_MAPE,UR_MAE,UR_MSE,VV_MAPE,VV_MAE,VV_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Fixed Cut 50.0%,2129,1065,2128,49.98825463941743,N/A,10.183089971542358,10.183089971542358,73189273881533.42,0.036684990221884914,0.00486377188483682,0.015303880511291938,0.015170929188168246,0.0004187558307552082,0.0925958394957331,0.06111343530662049,0.00607609966936297,0.1342778682292362,0.08810744815008885,0.012614144909755421,2.527710414036771,0.15484574150391442,0.03591148218699592,14637854776307.209,0.07118450887413537,0.011976850896341285
Fixed Cut 55.0%,1916,1065,2341,54.99177824759221,N/A,19.487563848495483,19.487563848495483,57425156301683.875,0.03315291993616653,0.0047203788846568616,0.005026678022875037,0.004978548574666147,3.881518742451316e-05,0.0959225881961054,0.062413232469864376,0.006349771686609726,0.13929701982191897,0.0879228594778575,0.012651070427214504,2.6939439375010266,0.16311396831327477,0.04005762582238749,11485031260337.334,0.07031630575436584,0.012763532401658608
Fixed Cut 60.0%,1703,1065,2554,59.99530185576697,N/A,9.635823726654053,9.635823726654053,27161550006686.934,0.027677970300401415,0.004925458603190458,0.008831023043843731,0.008740579469703422,0.00010834986235538197,0.09122405565445492,0.060024649224032625,0.0058536558076234865,0.1366445960227903,0.08760457624777461,0.012425182273371286,2.461694450701264,0.1515064794466552,0.0344733948862687,5432310001337.908,0.06711085093771343,0.011557208286561866
Fixed Cut 65.0%,1490,1065,2767,64.99882546394174,N/A,12.265608072280884,12.265608072280884,93770970883180.1,0.040837256040750405,0.00476449167829985,0.014635871059810762,0.01450774040649638,0.0002501746297818096,0.09100365938775612,0.060720415486490285,0.006031662173228958,0.13522425688675416,0.08755588860245168,0.012446538209652873,2.511594154618873,0.15410819371502812,0.03563863464961368,18754194176636.543,0.0715458988502434,0.011826300268115436
Fixed Cut 70.0%,1278,1065,2979,69.97885835095138,N/A,12.202131032943726,12.202131032943726,58528522375904.66,0.03362006780966402,0.004797588593395099,0.005134491656394619,0.005092911575177622,4.312926916571051e-05,0.09664319026033641,0.06393114879195573,0.006690752619055543,0.13391469798612415,0.08973656633368263,0.0129030228610405,2.690777635690912,0.16293827777742093,0.03998329127845535,11705704475181.484,0.07106379445758018,0.012883556924222444
Fixed Cut 75.0%,1065,1065,3192,74.98238195912614,N/A,6.252921104431152,6.252921104431152,32143671928813.336,0.028803678987640056,0.004966343778004326,0.019988173116135027,0.01980487860076887,0.0005784476403983416,0.09422011463623514,0.06403555963725106,0.006618108896448507,0.13778709641168166,0.0893981251954479,0.013152751400227602,2.7639963932926634,0.16822967087052512,0.04250378361661988,6428734385763.25,0.0740543826583266,0.01356388706633973
Fixed Cut 80.0%,852,1065,3405,79.98590556730092,N/A,6.8857269287109375,6.8857269287109375,100462010819815.84,0.042486744778308376,0.005038063388724982,0.012084590509257209,0.011967986296892726,0.00020482835854899884,0.09566503516755133,0.06396146948591758,0.006698749138852252,0.1412434267355361,0.08936356320792195,0.013144783258812699,2.5477576691502524,0.16131173482389163,0.039050328225074475,20092402163963.7,0.07381829971858644,0.012827350474002686
Fixed Cut 85.0%,639,1065,3618,84.98942917547568,N/A,5.219883918762207,5.219883918762207,174054255946795.2,0.05918362626568207,0.006107168329395982,0.03328071272757427,0.03298557408714817,0.0016970456723218964,0.09587997601259414,0.0666294884402343,0.00704965115222607,0.15487147685666527,0.09707929705580128,0.015288176960242622,2.5968383871386087,0.1638865094301656,0.040369737863490046,34810851189359.574,0.08395289905580625,0.014102355995535321
Fixed Cut 90.0%,426,1065,3831,89.99295278365047,N/A,5.663170099258423,5.663170099258423,76372323076031.08,0.03850165843753648,0.005397889009176991,0.011388537404892587,0.011283125430296982,0.00019620565677831326,0.10783859427155752,0.07059144617194645,0.008160710513298718,0.13276026083234463,0.08706773154308337,0.012271610389432171,2.259972664489395,0.16138181531475554,0.038923725199856145,15274464615206.682,0.07376515537952372,0.012990028153708469
Window L1,827,1065,3430,80.57317359642941,0.13360214233398438,8.06695556640625,8.200557708740234,65082627262275.414,0.034926680441617494,0.004808387808098191,0.008139572845694007,0.008070461450331324,0.0001178104022146582,0.09181156144942837,0.06234311952068034,0.006318713178299535,0.13701106837612878,0.0886349752629092,0.012738447650048518,2.6349078334798546,0.16586260524268187,0.04138517598194228,13016525452455.627,0.07196756838364401,0.013073707004120652
Window L2,3032,1065,1225,28.77613342729622,0.06676006317138672,22.18377113342285,22.25053119659424,34229446762264.453,0.028903738608373565,0.004868083157783371,0.0036061055268628932,0.0035755144946493255,2.1536518091400986e-05,0.08724924339851524,0.05834824042639658,0.005437888322156491,0.1366511457660111,0.08515815676119122,0.01186344556609112,2.45936283760028,0.1466190147696747,0.032256343919979995,6845889352453.4,0.06452093301205705,0.010889459496820476
Window Normal,857,1065,3400,79.86845196147522,0.15958619117736816,5.269970893859863,5.4295570850372314,112069322452661.08,0.044906003293289046,0.004954589374370825,0.015558012377759257,0.015422632279787428,0.00038074940874763854,0.0911874666914767,0.06271002679863838,0.006410414674521597,0.1370000136287966,0.09233274023238236,0.013548931265822437,2.708089539988991,0.16950219727355761,0.04329401083434691,22413864490532.773,0.07697471997553094,0.0137177391115619
Window RBF,3412,1065,845,19.849659384543106,0.6860640048980713,12.539633989334106,13.225697994232178,64252750859662.05,0.034519786364017604,0.004708355902143625,0.00600658746200319,0.005947528201036128,5.219013120903554e-05,0.09471579606029805,0.06178430572272583,0.006216151334364253,0.13409839767758577,0.08676168820537221,0.01217217071409013,2.4786190763288207,0.1472846483950417,0.032575049768472725,12850550171932.926,0.06725959137763868,0.011144783570055947
Window Cosine,3032,1065,1225,28.77613342729622,0.31563496589660645,15.097329139709473,15.412964105606079,67508492385159.29,0.03525862903405199,0.004762920894700075,0.0048134233352042964,0.004771886649511492,3.60823990706372e-05,0.08900196679218561,0.05923968809557132,0.005646662477015158,0.13349014337803583,0.08833209582309604,0.012563552629456692,2.4860689242354415,0.1477699817689726,0.032749568298022926,13501698477032.371,0.06707445627424069,0.011151757339653103
Window Linear,52,1065,4205,98.77848249941273,0.08833098411560059,2.255398988723755,2.3437299728393555,278724292222036.25,0.08802591463494883,0.009966010014700415,0.05531431716120355,0.05523596075134558,0.0047244991036747095,0.09571450615185098,0.06908328662526651,0.00799003130986692,0.15876051173172925,0.09638937953941165,0.015767670908739696,2.0683695268001174,0.20247884847095637,0.061351535356566705,55744858444407.66,0.10224267800438583,0.01995994933870967
Window Clinear,57,1065,4200,98.66102889358703,0.06643462181091309,2.5300369262695312,2.5964715480804443,207653918195250.62,0.0679437713892455,0.007062637615392096,0.03710755635606009,0.037074331815903847,0.002197199704476789,0.1250025242935012,0.09004554202759545,0.01305242999643359,0.15573786973623022,0.09722409896362443,0.015902567208265307,2.1986157407192355,0.20056322660247952,0.059757656494617416,41530783639050.56,0.09857019415976978,0.019594498203837036
