Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg P_MAPE,Std P_MAPE,Avg P_MAE,Std P_MAE,Avg P_MSE,Std P_MSE,Avg PrA_MAPE,Std PrA_MAPE,Avg PrA_MAE,Std PrA_MAE,Avg PrA_MSE,Std PrA_MSE,Avg T_MAPE,Std T_MAPE,Avg T_MAE,Std T_MAE,Avg T_MSE,Std T_MSE,Avg UR_MAPE,Std UR_MAPE,Avg UR_MAE,Std UR_MAE,Avg UR_MSE,Std UR_MSE,Avg VV_MAPE,Std VV_MAPE,Avg VV_MAE,Std VV_MAE,Avg VV_MSE,Std VV_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Fixed Cut 50.0%,2129,1065,2128,49.98825463941743,N/A,N/A,15.612294769287109,3.583000174633236,15.612294769287109,3.583000174633236,38345758261354.086,24163177348987.207,0.02993984857280103,0.0045645110017267215,0.004965280349758167,0.00012743415385125845,0.006567457766664908,0.0049944289836184146,0.006506999195886705,0.004952851314890098,0.00010908311443224954,0.00017367184177016838,0.0962360171041015,0.004233940111986321,0.06244493514455767,0.00218868719224889,0.006372652222224472,0.00046695145720860676,0.13593099047329746,0.0018468000072645173,0.08798067533258012,0.0012127966659897385,0.01258032867312011,0.0002439030828253099,2.5454999826019504,0.06960622482706189,0.15557184236643418,0.0033593150291055694,0.03636517861556637,0.0015901662839333443,7669151652271.348,4832635469797.44,0.06848886012245192,0.0018309495385137784,0.012078504595020278,0.0002838361184843688
Fixed Cut 55.0%,1916,1065,2341,54.99177824759221,N/A,N/A,17.011260986328125,4.7552929862288735,17.011260986328125,4.7552929862288735,57836227342809.5,20490071469465.82,0.033366260564173855,0.004056427430373038,0.0047539329015238675,0.00011394568525186932,0.006827055042102816,0.002438000485244519,0.006762880212605083,0.0024196615154753725,8.227502935002453e-05,5.997863290038226e-05,0.09540993724148479,0.0030443161454786075,0.06211714356550697,0.0016133983152911949,0.006292935429162737,0.0003523341152446956,0.13650110738951124,0.004667801755534775,0.08722776801455867,0.00173554677701828,0.012415651898823881,0.0005545407878829873,2.5892060052546824,0.08328403722280639,0.15779467208416567,0.004117233314100451,0.03746794977983694,0.0019827563095130255,11567245468562.438,4098014293893.1504,0.06945374488820204,0.0010100187664318933,0.012202549007739486,0.00036676561961670773
Fixed Cut 60.0%,1703,1065,2554,59.99530185576697,N/A,N/A,10.190639686584472,0.9498660266736433,10.190639686584472,0.9498660266736433,73897742746301.27,33927838295023.45,0.03689340133923823,0.006942368082989102,0.0048711740991460835,0.00011766923228714899,0.00735034745072514,0.001633558332976088,0.007279140786997883,0.0016152921023549498,8.472600505239516e-05,3.276083927788141e-05,0.09320876239241245,0.004936293580643343,0.061062456234321945,0.002320701603848348,0.006082227495671084,0.0005141788289103623,0.1351020064403151,0.0016500053803941844,0.08778454891762764,0.0013964406399678408,0.012483403721544552,0.00035195418816602765,2.5058454990372003,0.07048767065594493,0.1537898548445697,0.0031928982295890743,0.03554097850958366,0.0014862746309960654,14779548549260.773,6785567659004.691,0.06936188042455108,0.002429144576011036,0.011812501966199561,0.0004172604996733488
Fixed Cut 65.0%,1490,1065,2767,64.99882546394174,N/A,N/A,13.103300619125367,1.2524018381304434,13.103300619125367,1.2524018381304434,76496240481030.17,13475897598265.977,0.03710757336667212,0.002912916182267278,0.00470717508311117,6.192503303889298e-05,0.008866997672490471,0.004140772180691136,0.008791655113489063,0.004104115768372429,0.00013190891124354438,9.305006193721218e-05,0.09096455666601191,0.001864564610479768,0.061690308390480245,0.0008997900945235536,0.0061643985407832955,0.00016738581632960307,0.13578034768521383,0.0013169552982162124,0.08780626946914957,0.0006430444441724863,0.012532950784773386,0.0001802724702606943,2.5051156009465814,0.10265899428417652,0.1538221317312191,0.004646606137861951,0.03559345509589928,0.0021516718758150056,15299248096206.557,2695179519653.2124,0.06984358761420204,0.002093647363570369,0.011825977683162134,0.00046620861815431085
Fixed Cut 70.0%,1278,1065,2979,69.97885835095138,N/A,N/A,7.861583995819092,2.7471805518056858,7.861583995819092,2.7471805518056858,69444096445435.414,25389023725689.336,0.03636900357421472,0.004615872578061316,0.0049894387831359525,0.0002632258558579534,0.013872461525301695,0.006516211701874014,0.013755727147247621,0.006459498115946703,0.0003737370229502117,0.0002931810524204774,0.0949764895041194,0.002355063344210454,0.0639652510413689,0.001566590872394725,0.006653524780483875,0.00031664199036988527,0.134686326995492,0.0006728906594257969,0.089960347832287,0.0016182654927652759,0.012989532049973633,0.0002819962715249675,2.6372129972531404,0.07537359620486686,0.16053336146410663,0.00392620744162989,0.03875919936840523,0.001956655654040983,13888819289087.625,5077804745137.87,0.072916738211845,0.0023276059255408496,0.012753086400989782,0.0005026085059200262
Fixed Cut 75.0%,1065,1065,3192,74.98238195912614,N/A,N/A,8.980609560012818,2.4039521141543996,8.980609560012818,2.4039521141543996,54250525815461.734,27627652585586.848,0.03308484602017627,0.00538935415858103,0.004936442685269073,9.71802918305379e-05,0.011621580479269727,0.00521516091473012,0.011518833848060251,0.005166868908094463,0.00023859777066848176,0.00020306314978254145,0.09490715254327789,0.0039635457606830606,0.06421319399115867,0.002080913140796758,0.006727693196632587,0.0004564472823620195,0.13627122400282693,0.002661668854739776,0.08957536966273251,0.0020270294572781837,0.013013729445708888,0.00046512946972044814,2.6596610172720263,0.10839884367064813,0.16187891086193354,0.005630673953271239,0.039436831529425335,0.0027914086660782134,10850105163092.9,5525530517117.362,0.07205423087681224,0.001520621672444406,0.012870658925540878,0.0005415560192130665
Fixed Cut 80.0%,852,1065,3405,79.98590556730092,N/A,N/A,7.6396989822387695,1.620415110212005,7.6396989822387695,1.620415110212005,64897270966408.67,24605253279905.984,0.03498148701315461,0.005088835586372118,0.004862492297752817,0.00013029147161258868,0.012032168490343376,0.005528652824566111,0.01192672500879501,0.005478412317737191,0.0002615501531098688,0.00025732776684263145,0.09622070998044728,0.005213068000429464,0.06407153830156147,0.0028448640687226997,0.006726278263105602,0.0006195324062818801,0.13816488355943732,0.0031279869635707645,0.089020315799279,0.0007866209658531443,0.012949807693235832,0.0002334236606271519,2.6121374218385647,0.08297756990972883,0.16495001248654023,0.004418002794804062,0.04093056233548662,0.002263887674305428,12979454193282.277,4921050655981.196,0.07299001572186602,0.0020977732324037935,0.013146138148538163,0.00044338221895992563
Fixed Cut 85.0%,639,1065,3618,84.98942917547568,N/A,N/A,5.202095603942871,0.9848514370218993,5.202095603942871,0.9848514370218993,68552796689114.45,59889903044256.49,0.03684667737492835,0.012710385281819418,0.005337783810017231,0.0005009902531856275,0.025726887126644615,0.010580914532091498,0.025500862078209292,0.010489325758552338,0.0011746097642636596,0.0008406602385497309,0.1001374408185748,0.009324955609376039,0.06817378049883113,0.005142903697729405,0.00752333586883739,0.001115521504907009,0.13800591765205622,0.010617014303449072,0.0891003665325704,0.005511253288803452,0.012903006318030786,0.0016201128547524218,2.5130404085277522,0.1514066981420668,0.16068418755605926,0.006661384114678006,0.03879606639867026,0.0033154223035634493,13710559337823.412,11977980608851.307,0.07606117480811965,0.005072093199331211,0.013146960431963863,0.0007711999633572073
Fixed Cut 90.0%,426,1065,3831,89.99295278365047,N/A,N/A,4.415288019180298,0.7741975295596849,4.415288019180298,0.7741975295596849,87990872984100.72,21147895114463.55,0.04035143904753934,0.004243368291204309,0.00516747505893404,0.00016983856651375665,0.023091505471612168,0.00695473332397316,0.02288676963288861,0.006900428735770382,0.0008867712320477005,0.00046385871196726714,0.10622886340769247,0.010300489342983481,0.07140596257548619,0.0067852491820921115,0.008340092794293479,0.0015610829221719344,0.13796950907867844,0.004889317033610079,0.0903250967234846,0.003979445099675768,0.013302938922959922,0.0011693685015712824,2.3600172211654478,0.1673650516601967,0.1660356964939058,0.007231602750067203,0.04128977290946606,0.0038341301422062813,17598174596820.633,4229579022892.7017,0.07820099289466088,0.002929023970068993,0.013797410183540245,0.0009714381878897495
Window L1,827,1065,3430,80.57317359642941,0.13209939002990723,0.0029086717863414983,6.128751182556153,1.2678329186790185,6.26085057258606,1.2680031280814614,68744779643176.29,34838047803594.582,0.0362540546433153,0.0061853262698069724,0.004963127912504525,0.00024363218401486094,0.01669896780430786,0.007543367512017013,0.016559220472006843,0.007480517432157534,0.0005248833751248865,0.00044348666531568713,0.09468779771465498,0.0032471197992813353,0.06388910386888592,0.0016635518929518423,0.006658664419212568,0.00034836020145037004,0.13995269860977141,0.0035463020922227397,0.08844541754184648,0.0012169484458981776,0.01282523557931338,0.00043672071595218006,2.554116995487002,0.14996563262927146,0.16257458875771255,0.00636272262546254,0.039735727926711095,0.0031532340549644475,13748955928635.791,6967609560718.9,0.07354447705675339,0.002440255112556157,0.012941527842573299,0.000559578452097987
