Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg P_MAPE,Std P_MAPE,Avg P_MAE,Std P_MAE,Avg P_MSE,Std P_MSE,Avg PrA_MAPE,Std PrA_MAPE,Avg PrA_MAE,Std PrA_MAE,Avg PrA_MSE,Std PrA_MSE,Avg T_MAPE,Std T_MAPE,Avg T_MAE,Std T_MAE,Avg T_MSE,Std T_MSE,Avg UR_MAPE,Std UR_MAPE,Avg UR_MAE,Std UR_MAE,Avg UR_MSE,Std UR_MSE,Avg VV_MAPE,Std VV_MAPE,Avg VV_MAE,Std VV_MAE,Avg VV_MSE,Std VV_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Fixed Cut 60.0%,1759,1099,2637,59.986351228389445,N/A,N/A,10.658349895477295,3.42621608199645,10.658349895477295,3.42621608199645,98951039300548.86,57041017975621.47,0.06447804249659485,0.012245365502506957,0.015375592084607584,0.0006306834526665222,0.009795841824280496,0.0011401566468043198,0.009716276808003185,0.0011319571757749652,0.00013344298854894455,3.358804249912363e-05,0.08144179022222221,0.00224110584372139,0.05684048801533986,0.001338375682696887,0.005458412532569136,0.00029490214493384107,0.23211624586321614,0.008216686374187205,0.12448010875272408,0.0014312616774983938,0.023291420579254304,0.0005505698437703534,126595683787826.48,15743029026131.084,0.07066159539232512,0.0034302349534441967,0.006336148269929289,0.0004714718275666683,45109344617675.05,14097715539937.29,0.06523530229299747,0.0019315817476960036,0.010119003290981851,0.00024289782733887035
Fixed Cut 65.0%,1539,1099,2857,64.9909008189263,N/A,N/A,13.113328218460083,2.4403305058315503,13.113328218460083,2.4403305058315503,102722738711968.53,23652990671630.82,0.06469158629099114,0.005484119915205163,0.01496058422232909,0.00012643497828584697,0.006139750536840599,0.0025395904690532767,0.0060885811654235525,0.002514729861086306,5.6701355101785756e-05,4.550458010054149e-05,0.08294609024893214,0.0041676915369371625,0.05760575516198133,0.0023123517772950845,0.005601915801085046,0.00043655078960456566,0.22179558605615765,0.005497464471613473,0.12437163396728697,0.0032246002151956805,0.022754824519936052,0.0010168341039745548,100304641310780.27,4882996408975.806,0.07378042572436122,0.0019060961575087668,0.006675168387598553,0.00031068988898072026,40605476004549.73,3991611276440.3247,0.06530759646200889,0.001082246033087051,0.010009838857210107,0.00021852467809418917
Fixed Cut 70.0%,1319,1099,3077,69.99545040946315,N/A,N/A,9.048926973342896,2.5469166145388518,9.048926973342896,2.5469166145388518,74763619962410.06,36771265735706.22,0.05946220179989145,0.0072527919604113665,0.01584213921502854,0.0008217314402955601,0.015778703745622187,0.009589013677539606,0.015653228313934966,0.009511570596873905,0.0004426187885409156,0.00045758375694752816,0.08073862707012817,0.0024413272363431626,0.0592085669443913,0.002514326558562599,0.005909087619348999,0.0004661525097658078,0.22814692075519918,0.007858432705814643,0.12842342124829528,0.003175225848665637,0.024384635103907242,0.0012533717986756047,78158787318801.58,13098050320593.38,0.08114906448719846,0.004048385715296995,0.00826335551752028,0.0009960426952872374,30584481456242.29,9874485493311.135,0.06877929655874233,0.003643127984819409,0.010968367248869198,0.0006609678664449352
Fixed Cut 75.0%,1099,1099,3297,75.0,N/A,N/A,8.132580327987672,2.0191904341193023,8.132580327987672,2.0191904341193023,85377447602043.86,53477662750176.445,0.061491345469032406,0.011369886196722438,0.015527828432147228,0.0006714588051205423,0.01191947822604122,0.008138379490269498,0.011826936079023308,0.0080780282341893,0.0002839122050820844,0.00038094080409554446,0.08692246765843074,0.013341864908423517,0.0628213787004179,0.009213415750033071,0.006659365270814154,0.001859092567185946,0.23182973741841917,0.003896323359305069,0.1262456984010231,0.0019932290154238484,0.023725791940207068,0.0008398930511246411,63889397359450.586,13911135234234.049,0.08686173846126417,0.007534495910019337,0.009785615895694034,0.0019301808618027922,29853368992298.84,10822016023118.012,0.06984941942215221,0.0067293192223268124,0.011196502748788913,0.0010095312324797333
Fixed Cut 80.0%,880,1099,3516,79.98180163785258,N/A,N/A,8.109762334823609,1.6900680109981794,8.109762334823609,1.6900680109981794,83177195736138.12,32157995503481.6,0.06072305953306266,0.006314716658658528,0.015364042598692671,0.00076429568565435,0.00973058997167379,0.003205496515105547,0.009654959307535196,0.0031760735682644955,0.0001494405849619239,8.158254230241701e-05,0.08904336108047697,0.013778884081583068,0.06349531526334731,0.008517582964160405,0.006812494086143252,0.001667054847255667,0.22529056972877157,0.005429979239604996,0.13393637066859698,0.007690411624503944,0.026113710341692617,0.002916671792018288,55933062346495.83,16034745507650.027,0.08777540569770495,0.007772052032937926,0.010216500284626645,0.002195769773821604,27822051616526.74,8698906161849.723,0.07111702209404946,0.003443501991916484,0.011731237579223423,0.0013297441949487185
Fixed Cut 85.0%,660,1099,3736,84.98635122838945,N/A,N/A,6.190278387069702,1.4806892343934972,6.190278387069702,1.4806892343934972,805344111415543.0,731543136012045.2,0.31668211285059267,0.24995108554114992,0.2217308462567392,0.26599344024261834,0.7646249435755671,0.35884290448678474,0.7582772591103952,0.35586694428494736,0.9771974834154852,0.7921497077278546,0.48005186383853027,0.4626997716405086,0.35952300074454113,0.34774995353123306,0.3133185498940841,0.4260319855452212,0.9543640369453031,0.4976881418549132,0.6209013570086697,0.3076071052192086,0.6251437664663789,0.6275213521346753,11296390965487.25,4779626930828.618,13.49224340386934,0.39590301242978143,280.397191113869,15.625171504778963,163328100476206.28,145432846695620.84,3.1095254267167087,0.08991670941687468,56.50691635198035,3.0669363271489902
Fixed Cut 90.0%,440,1099,3956,89.9909008189263,N/A,N/A,5.101525974273682,1.029033183567482,5.101525974273682,1.029033183567482,559258330032541.25,303740936112307.7,0.2178528378949122,0.11798403826392671,0.08772064712168187,0.08964259687587951,0.28763277187739195,0.26202337747143245,0.2852447785646602,0.25985617134404815,0.19685976429700938,0.3278989181637018,0.33971325832431476,0.08899862103655687,0.25528801682751945,0.06552137138594184,0.09171285738307115,0.0434948912120821,0.32626927069352024,0.1211459578827791,0.19380347672814488,0.05918200495599844,0.058355813497596776,0.03467805980015421,9236717199222.607,6258113048818.208,1.7272641289306114,0.1251368156872546,4.632405313818963,0.6561094182247418,113699009446352.78,60961235903285.836,0.5358906477891694,0.0596455457088304,1.013410879223665,0.12631390449318416
Window L1,791,1099,3605,82.00636942675159,0.1343843460083008,0.0018564510803157786,6.458122110366821,1.465056051101197,6.592506456375122,1.4654094442512917,82406528567757.88,32974361276084.7,0.06075977301628274,0.007463908708392709,0.015636276015965428,0.0003413375290858329,0.015670360489423885,0.011255818660071061,0.015553737192138508,0.011161154746056993,0.0004749682319508816,0.0006629509831302276,0.0870402255675016,0.004642437319456272,0.06237539954438194,0.0029622350996829855,0.00659017723279598,0.0005288855282682882,0.22961875262728607,0.008778821254450148,0.12429787652140283,0.005110253980651175,0.022961972536469952,0.0017191606940371873,31067153828529.152,8563767634927.305,0.09904366739226934,0.016322403815447604,0.014196377942119467,0.0050123644714512834,22694736479257.34,5415707263649.621,0.07240609073329511,0.006001927170360223,0.011971954391860346,0.0008795429477814051
Window L2,3011,1099,1385,31.50591446769791,0.06793403625488281,0.0008455004391625874,17.838146877288818,6.898201030187563,17.9060809135437,6.898622298271124,109682011720718.67,37352082705503.65,0.06140087316841158,0.008464702391229536,0.011691267646248844,0.0002261272473376659,0.009445756764873872,0.004793467192924186,0.009366165109954543,0.004748631582364096,0.00014660570971892687,0.00011161249914623854,0.08129284329942649,0.004370238177554355,0.057220137599881704,0.0026057977221282413,0.005487275578381886,0.0005489552748948924,0.23187918479011577,0.008672079983163024,0.11998536813472455,0.00224691648672824,0.021718839444148815,0.0010366765571365323,180560541452016.6,10783115507739.746,0.06911176295407578,0.002504871418297551,0.007158418102178287,0.0003179492490526142,58048510634547.04,7965521375671.97,0.06341686139340967,0.0027594716007072915,0.009240481296135349,0.00033448901179399573
Window Normal,3381,1099,1015,23.089171974522294,0.16682734489440917,0.005065964398894837,20.787347745895385,4.576049931055504,20.954175090789796,4.577165596191193,129780297846999.3,20424340134169.594,0.0659494920276784,0.004791486134751276,0.011582942542632898,0.00011912489562677917,0.005186583393523904,0.0028510169991596067,0.005144162629607534,0.002829373546675933,5.0307448782295964e-05,5.105554148106301e-05,0.08074875306308481,0.003282031021695282,0.05640792916089376,0.001650672665193141,0.005325435843906453,0.0003398361705909623,0.22728692601529374,0.008302891445136228,0.11911326370842674,0.002106667643750349,0.021246549810987773,0.0007004495143718029,192339625937224.72,10740096341747.24,0.07093344915284196,0.0015105929666654949,0.0077438492851415585,0.0005048981055115241,64423984756844.79,5702708527529.761,0.06350965933588973,0.0018864318095108315,0.009189816986290187,0.0002680294145218095
