Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,P_MAPE,P_MAE,P_MSE,PrA_MAPE,PrA_MAE,PrA_MSE,T_MAPE,T_MAE,T_MSE,UR_MAPE,UR_MAE,UR_MSE,VV_MAPE,VV_MAE,VV_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Fixed Cut 70.0%,1366,1139,3187,69.99780364594773,N/A,7.128662109375,7.128662109375,22865630952893.715,0.03377419403177974,0.00820728231633173,0.016018481329612526,0.015878136918452038,0.0004547254785633331,0.09716384086130839,0.06683849009415349,0.006957186641034157,0.1030533785442788,0.08286060695525159,0.01055846625506364,0.42904040877377586,0.10436935453263468,0.01589306299167707,4573126190578.851,0.06074415650645435,0.008414144736533994
Fixed Cut 75.0%,1139,1139,3414,74.98352734460795,N/A,5.568619012832642,5.568619012832642,108268308857528.62,0.062497291618575715,0.01395109495274164,0.032859023923250213,0.03252773244252417,0.0014483981031513087,0.09393201666141449,0.06357377921600577,0.006714126358363894,0.08439614383996924,0.06659490870715175,0.00708646644740985,0.4172646716049074,0.1036226644652003,0.015742666315997127,21653661771505.824,0.06576327528989157,0.008988550435532764
Fixed Cut 80.0%,911,1139,3642,79.9912145837909,N/A,6.749717950820923,6.749717950820923,70269982287127.6,0.05780734124589105,0.018335798038420385,0.01838982178724297,0.01821203614475552,0.0005543770451183374,0.09687031749639886,0.06467496297268353,0.007085611618945357,0.09397241419679296,0.07348769011290174,0.008552042653783272,0.39316696854815264,0.09882440881630677,0.014696550874809616,14053996457425.611,0.06260128785850773,0.009844876046215392
Fixed Cut 85.0%,683,1139,3870,84.99890182297386,N/A,5.944477319717407,5.944477319717407,209694211554578.16,0.09239078046473731,0.019408532631463412,0.012579518739019043,0.01246277527267986,0.00025543436356174036,0.09344440582970459,0.0642277707018144,0.00646573513583483,0.0939288891406213,0.0737954084842893,0.00863076819148869,0.3436045257433847,0.09285128837820436,0.013969187094720356,41938842310915.7,0.06714560466034504,0.00974593148341381
Fixed Cut 90.0%,456,1139,4097,89.98462552163409,N/A,5.430971145629883,5.430971145629883,46976265358043.65,0.05429567794425184,0.019355639011024373,0.01465179846205461,0.014501258236743624,0.0002812748322413602,0.10029538198581626,0.06788329713223709,0.007581643967840808,0.11275087004254848,0.091491127904162,0.012094217053936974,0.446660483618037,0.10823159645626232,0.017335844852447102,9395253071608.832,0.06728059153473137,0.011329723943498123
Window L1,158,1139,4395,96.5297605974083,0.1385791301727295,2.926990032196045,3.0655691623687744,55812790048008.65,0.074599918882875,0.03751890239516463,0.018204061632179365,0.01799983476583596,0.00044171765395774267,0.08876768446149617,0.06075536385124391,0.005953179504030219,0.17526606278294687,0.15212158126603784,0.029309944873246393,0.7440510489101498,0.17231591223344633,0.039470390876009266,11162558009601.896,0.0955585221998879,0.022538827060481666
Window L2,158,1139,4395,96.5297605974083,0.07172298431396484,2.6657931804656982,2.737516164779663,85831154865591.39,0.09798666769114568,0.043941508440455905,0.013591412529861983,0.013443899854201535,0.0003285152274595245,0.10113478005582044,0.06783965521998665,0.007654556190800059,0.18049887504416226,0.15665383796667573,0.030823083634191346,0.6937291228457843,0.16159138229256534,0.034633956106531964,17166230973118.426,0.09950308860491516,0.023476323919887764
Window Normal,448,1139,4105,90.16033384581594,0.17106413841247559,3.252579927444458,3.4236440658569336,111103015369537.64,0.06776921392491644,0.018581158570072528,0.017508116536478616,0.017321910124265465,0.00040219535751279416,0.12699492209432464,0.08389699534690269,0.011798349805098755,0.10749903250419161,0.08695961890393962,0.011404469696063997,0.3968949738608082,0.10245613586812519,0.01641957548672248,22220603073907.62,0.07168077483362986,0.011721149783094117
Window RBF,158,1139,4395,96.5297605974083,0.6791760921478271,2.475135087966919,3.154311180114746,100107121431875.48,0.07801652914269962,0.030387257262937572,0.025144060403500694,0.024909440260375195,0.0009659296610631742,0.10380772437746864,0.0704105442414316,0.008150723659152164,0.16596833104623288,0.14372103763877075,0.0265095939122877,0.6572220891682835,0.15235831279793915,0.031104596808856657,20021424286375.242,0.09388317281624334,0.01942362026085946
Window Cosine,158,1139,4395,96.5297605974083,0.28899717330932617,2.995094060897827,3.2840912342071533,58534377859600.805,0.07293937019287816,0.03592641242361408,0.03161762949064721,0.03134388428084062,0.0018144137623747306,0.10671905321003718,0.07092462692202386,0.008534735137455477,0.21828672519424883,0.18915696839275892,0.04332886838833231,0.54739446986628,0.12828738347503993,0.02281797851683461,11706875571920.309,0.09853044665270838,0.022484481645722237
