Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,P_MAPE,P_MAE,P_MSE,PrA_MAPE,PrA_MAE,PrA_MSE,T_MAPE,T_MAE,T_MSE,UR_MAPE,UR_MAE,UR_MSE,VV_MAPE,VV_MAE,VV_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Fixed Cut 50.0%,2199,1099,2197,49.97725204731574,N/A,152.42897486686707,6.130098819732666,158.55907368659973,2.4930432526004216,0.05543748353849492,0.016292945416983742,0.011342256423540663,0.011393681958129839,0.00016222927197996278,0.0840253722792674,0.06201267283421599,0.006500527620830496,0.20299061795620912,0.1399184059786787,0.02912934422420725,0.6011505990487445,0.07742583538215268,0.008023338242286272,0.6785104196616369,0.06923761593833445,0.012021676955257545
Fixed Cut 55.0%,1979,1099,2417,54.98180163785259,N/A,148.56111526489258,7.402899980545044,155.96401524543762,2.0051409458531966,0.06028957238448181,0.01597194660537537,0.012207472622467918,0.01191190085058535,0.00021441826492978635,0.08631607980762765,0.061224102040097955,0.006249319118289527,0.19872354044870574,0.1325746454825154,0.026190338038505397,0.8051299946747724,0.08141877057378262,0.007962521625246846,0.6215036066813541,0.06948379826629271,0.011317708730469389
Fixed Cut 60.0%,1759,1099,2637,59.986351228389445,N/A,134.66275095939636,7.68806791305542,142.35081887245178,1.264142362726672,0.08055246952473077,0.015529299856399899,0.01688203763855743,0.0163606197089799,0.0003818954128997449,0.08256805253319506,0.06066290525119327,0.006235608043867029,0.19299168486083182,0.13252183943864138,0.02636967445446925,0.7982544578619787,0.08160109149520356,0.008005736474807843,0.47096771912424706,0.0743397850837498,0.011304442848488763
Fixed Cut 65.0%,1539,1099,2857,64.9909008189263,N/A,133.1097002029419,9.246803045272827,142.35650324821472,1.5922791316060012,0.06626861399625197,0.015490123491833895,0.006502876144549642,0.006393171958269145,7.096887651055477e-05,0.08555011603624961,0.06486257538269107,0.006995254653427706,0.19314524082506002,0.13238392016103373,0.026426909671864566,1.1928616569039707,0.09116671332337231,0.010132192620304622,0.6140678043031667,0.07221499896432365,0.01182308986278828
Fixed Cut 70.0%,1319,1099,3077,69.99545040946315,N/A,113.6102647781372,3.8506062030792236,117.46087098121643,3.736620817171513,0.05494888238078662,0.016625865406437616,0.017792713337481426,0.01760113380780863,0.0004460459859917847,0.07829456095017581,0.05791176529093809,0.005815482424382025,0.2037456016748583,0.13724553753936658,0.02834494725496986,1.07240193392417,0.09049626568900755,0.009735308339786194,1.0217711254116397,0.07164071694158154,0.012193529882313493
Fixed Cut 75.0%,1099,1099,3297,75.0,N/A,113.72889399528503,4.841962814331055,118.57085680961609,2.6751225182442013,0.05371048068959691,0.016378750136664212,0.018132595297151076,0.017944279065717002,0.0004650225394367214,0.08225020330738736,0.06011189283521956,0.00601691498422975,0.1983863192074373,0.13401768502861283,0.02650320053996373,1.5242269999554674,0.0989757374039887,0.012117154682208132,0.8996237272023286,0.07295201500462702,0.012296208576500506
Fixed Cut 80.0%,880,1099,3516,79.98180163785258,N/A,93.60704588890076,4.4965980052948,98.10364389419556,55.607013753149175,0.0578732824192088,0.018443912854558327,0.014082938532663049,0.013683048306244346,0.00030309319763487054,0.07950824690492853,0.06231332321808202,0.006412785206571204,0.23461206894164893,0.14546908078438772,0.03068860813432352,1.2765448524042449,0.09107498269633536,0.010366883441975845,11.442352371986527,0.07408274348485167,0.01324305656701276
Fixed Cut 85.0%,660,1099,3736,84.98635122838945,N/A,84.2883710861206,2.2500758171081543,86.53844690322876,1.936933517492365,0.07631442352201032,0.02051714454558732,3.3534327114731077,0.57443860660617,0.45787352293692046,2.4954959843245885,0.7546648867663934,0.7875431024295793,0.23381622336133598,0.14911994402053583,0.03251801028276777,3162.3197411005367,13.42818853559559,277.79824586092553,634.0678839074372,2.9965452793021408,55.81933952822406
Fixed Cut 90.0%,440,1099,3956,89.9909008189263,N/A,79.98871397972107,3.1507740020751953,83.13948798179626,1.2145902627010987,0.1020214070800824,0.021252180077951016,18.588234850727787,0.5872133473978655,0.4879396269531561,0.11272155150590463,0.08920230456177836,0.013157684561572045,33.139620860360026,0.45751104674387794,0.2774183029757436,16.01915848811075,1.7822922352749602,4.843386739801856,13.814865202681116,0.6036480682117127,1.1286309068740557
Window L1,791,1099,3605,82.00636942675159,0.14311504364013672,87.32095122337341,4.131309747695923,91.59537601470947,1.7339517398644904,0.06643948856995023,0.01581063536029772,0.01598770418127943,0.015703327937336326,0.0003698469440406031,0.07838679004522314,0.05891462325998045,0.005925042046104432,0.19872206898336692,0.133107360252195,0.026315626133411412,2.659716121817649,0.10487280344163746,0.01573325086905758,0.9373528849784014,0.07580752069221997,0.012830880270582355
