Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,P_MAPE,P_MAE,P_MSE,PrA_MAPE,PrA_MAE,PrA_MSE,T_MAPE,T_MAE,T_MSE,UR_MAPE,UR_MAE,UR_MSE,VV_MAPE,VV_MAE,VV_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Window Clinear,1348,1139,3205,70.39314737535692,0.06400704383850098,132.60002398490906,4.702471017837524,137.36650204658508,5.542680946061656,0.03838819335683868,0.009359751866907826,0.01693478004947436,0.01665452317157572,0.00038569386270841495,0.0934158106042856,0.06898607546389526,0.007213358807100106,0.09818362986048904,0.07599365012497449,0.009143589382934728,0.28944937968918394,0.09932715194511958,0.01521544260090911,1.2081329092530184,0.05986991881248075,0.008263567304112037
Window Rank,753,1139,3800,83.46145398638261,0.18762683868408203,93.57552886009216,3.624730110168457,97.3878858089447,1.9973992410933814,0.05924875088453483,0.019161696697524686,0.018317455771661044,0.017706728980391807,0.000529156535182217,0.09453844094556221,0.0730954825890312,0.00902311766464714,0.0954462210576458,0.07499755993476889,0.008884284582904488,0.3048636436208884,0.09760037181173478,0.015490685062573797,0.5021130004978274,0.06452977884009228,0.010617788108566468
Window Mahalanobis,753,1139,3800,83.46145398638261,0.16611790657043457,89.82957983016968,2.758795976638794,92.7544937133789,1.383399439923916,0.06436663938470001,0.015786080867426285,0.0342549826332968,0.034292321907205034,0.0017743342930471556,0.09184457720949432,0.06954370400754026,0.007911616316756334,0.09828783609259788,0.07611097313026324,0.00895453036091458,0.29763025839632723,0.11132098575728505,0.01801805578112536,0.3810834188511264,0.07112692483739873,0.010488923523853957
Window AR,1398,1139,3155,69.29497034922029,0.11078691482543945,126.80514097213745,9.56366491317749,136.47959280014038,1.8527332243850154,0.037522391041387604,0.007023119833002514,0.007403699928735442,0.0072794034692432175,8.455908215256687e-05,0.09295565424700516,0.07188902838528763,0.008729208883001851,0.09763974397076286,0.07597477161680465,0.009174651213091108,0.287246888686205,0.1013514626972904,0.01545721681525458,0.46759584224354445,0.05880341144200276,0.00809375116530053
Window Mean,678,1139,3875,85.10871952558753,2.033071756362915,87.36182498931885,2.5821142196655273,91.97701096534729,2.464290657521971,0.0689312054638035,0.019369037833013657,0.03180331213177283,0.03107642585888109,0.0013208284511428228,0.08477132189272517,0.06318878805812586,0.0063329587771718985,0.09853762555773027,0.07808675102501841,0.009737009992048073,0.306360815508704,0.09524907814074136,0.015162914504215046,0.5971527465225809,0.06730644970931404,0.010384549911518307
Window Median,601,1139,3952,86.79991214583791,2.033071756362915,94.59596109390259,3.49453067779541,100.12356352806091,3.0601954601149206,0.06782357452354158,0.021299493489747648,0.029652530504558076,0.030346815199205113,0.0012622212521842702,0.09790870726807811,0.07057856027387253,0.00732331990432913,0.13798213733808473,0.09980214893748869,0.014586766476746638,0.29352723836064143,0.09558229428046397,0.01461556632324209,0.723853214717256,0.07282667864291441,0.011817473489249946
Binary Segmentation L1,153,1139,4400,96.63957830002197,0.6334888935089111,67.79739499092102,2.025010108947754,70.45589399337769,1.0643861702826642,0.14490266796182905,0.03841052056366984,0.026362798530561532,0.025402355687482232,0.0010061479104969716,0.14681342585906398,0.12584894827629334,0.021852371468408353,0.13436408175200085,0.10205672978978989,0.01564351956296062,0.32513337535431835,0.13981020951636053,0.026462796057107992,0.3394119703557219,0.10760418224635102,0.020675071112528746
Binary Segmentation L2,153,1139,4400,96.63957830002197,0.1914682388305664,67.19385409355164,2.0752930641174316,69.46061539649963,11.077407858199852,0.0651875922144424,0.034618096876359715,0.030052581397709027,0.029992282790236847,0.0011776179111876784,0.09860453852808371,0.0780104229262389,0.010301116219456851,0.21721006503789983,0.15076969560073591,0.030443898003181234,0.3051493531552285,0.11952568872564412,0.02051527420974307,2.345684879263755,0.08869713645145968,0.019411200643985736
Binary Segmentation Normal,4408,1139,145,3.1847133757961785,0.3675546646118164,273.0970959663391,30.00415015220642,303.46880078315735,1.2900078144381926,0.015135401425220943,0.0007445839239454416,0.0038210621358997212,0.0037858357775319377,2.0262774089838995e-05,0.09378716303947554,0.07061274350976945,0.007948761341115652,0.1005105519207554,0.0762766036473022,0.009217509393778212,0.28560644577249145,0.08907512486618936,0.011855184417396221,0.354746607461363,0.050977141845202766,0.00595726037006507
Binary Segmentation RBF,153,1139,4400,96.63957830002197,23.04615092277527,67.2470760345459,2.1335830688476562,92.42681002616882,11.188180389085137,0.07549883204234703,0.0375288556959128,0.021400364453370083,0.021069882534944497,0.0006234637834887026,0.09621694179256814,0.07504083663536282,0.00942998244392142,0.20778290394167853,0.14591510472993532,0.027400924858153798,0.339968841175096,0.15328137474990147,0.03147089882228784,2.3707098880895705,0.09416120613849835,0.021290825120752914
Binary Segmentation Cosine,153,1139,4400,96.63957830002197,22.75875997543335,68.0444860458374,2.2969510555267334,93.10019707679749,152.22881230682643,0.07198561233418316,0.0381163093881613,0.0449432165922492,0.04707968604903478,0.003124048334359646,0.08493530889382528,0.06227457933958221,0.005999862641297252,0.17437658151896948,0.12579376363263267,0.02075189015116432,0.32850752956728807,0.1425876047130071,0.027652839046738095,30.572314988679768,0.08994424921368811,0.019128989912344116
Binary Segmentation Linear,948,1139,3605,79.17856358444982,0.262937068939209,96.6182758808136,3.7105698585510254,100.59178280830383,2.203226667031268,0.05739104719187685,0.01736391070045599,0.01745380055862743,0.017060153440351104,0.00042294341265650614,0.09070488182312662,0.0677219744254762,0.007145791286488778,0.09894651060524606,0.07706256756256964,0.00937656547397174,0.2902906891404068,0.1046197496292676,0.01615374670431073,0.5401245098317352,0.06477109844990829,0.010092591515576755
Binary Segmentation Clinear,183,1139,4370,95.98067208433999,0.21085095405578613,70.24565029144287,2.297926902770996,72.75442814826965,38.75371034248665,0.06489439039772901,0.03337337058995215,0.036086033503378696,0.0337113197282862,0.0020220986562177554,0.0983231474299828,0.07732081887474129,0.010029466139086686,0.17864060585099367,0.12906069193010322,0.022232699111139734,0.3317618813408095,0.14340397506191102,0.02777880774730247,7.879704402122367,0.08967823919855429,0.019087288448739748
Binary Segmentation Rank,1793,1139,2760,60.61937184274105,0.2976830005645752,127.77111506462097,8.751834154129028,136.82063221931458,1.194759317773475,0.01759801448821746,0.0008663919353056229,0.013415007803242122,0.013074919067618271,0.00019739119980584287,0.09238320962579924,0.06879850313243845,0.0073592737857045565,0.11014041242000958,0.08178929961523419,0.010311381366746513,0.2888245672979778,0.0945298078327592,0.01432758002578263,0.3399045029841005,0.05515810882725349,0.0066124036626690336
Binary Segmentation Mahalanobis,1793,1139,2760,60.61937184274105,15.203877925872803,130.32572388648987,10.382648229598999,155.91225004196167,11.46107709638393,0.010389587550042424,0.0008545568719842963,0.009977353094249663,0.00995726601520893,0.00013273037297111418,0.09205531605624565,0.06856584530417902,0.007348479577687946,0.09940346159921784,0.07545147426774422,0.009032307363438586,0.28721647169302505,0.10527559715270404,0.016285932537964794,2.3899459397653344,0.05392795405797575,0.0067308013448093475
Binary Segmentation AR,153,1139,4400,96.63957830002197,0.5253710746765137,66.85812211036682,2.1380159854888916,69.52150917053223,1.9578095572182954,0.08209995002711702,0.032543029187043125,0.013544460825572428,0.013450770469980838,0.00025965484428714785,0.09330175933623772,0.07204898292681965,0.008811210397061207,0.1420449483885271,0.1066926302595876,0.015723612825021206,0.3348570205275809,0.14884711302400014,0.02999535956599067,0.5083115492592424,0.08462788934150112,0.017466573363880678
Binary Segmentation Mean,989,1139,3564,78.2780584230178,63.4981427192688,107.33276200294495,4.163851976394653,174.9947566986084,73.16576889543299,0.04939515714145995,0.019032014487373544,0.019457063903474375,0.01913701655522209,0.0005187336158974321,0.0969072427123194,0.07301542002369597,0.008396420708485836,0.10559933921430535,0.08073968205968171,0.010082932014054956,0.29214608045296164,0.11151253895398086,0.017790760121230858,14.735975724343215,0.06675996294680817,0.011164172189408534
Binary Segmentation Median,168,1139,4385,96.31012519218099,63.4981427192688,65.33784914016724,2.0231380462646484,130.85912990570068,0.9591688660177872,0.1833780099715171,0.04494824976059297,0.03716394595342981,0.035149104587109924,0.0018907314696497489,0.12172381509621065,0.1006103645062471,0.016467603962022452,0.15630384062003383,0.11554099537067901,0.01820617855873473,0.41468397212279307,0.22121465216563296,0.05941510513951614,0.33780888796205105,0.1311786253202371,0.028185573778103212
Bottom Up L1,153,1139,4400,96.63957830002197,0.11902713775634766,66.45606017112732,2.1808197498321533,68.75590705871582,6.347836662682901,0.07808132239600869,0.03537497939595832,0.04769127147923294,0.043824312831628826,0.0031635612954764615,0.07501708168030513,0.05595911144110312,0.0052258395498812225,0.21762692310746648,0.15113883528975205,0.028739165151213133,0.3301259418835074,0.14481299766539468,0.02855900526564389,1.4036595761666835,0.09476331592477755,0.020212510131634626
Bottom Up L2,153,1139,4400,96.63957830002197,0.07714509963989258,67.83748579025269,2.5999670028686523,70.51459789276123,61.61323995311031,0.06924009562953401,0.0368918007728591,0.031186970737358204,0.02994681906351226,0.001439256211350449,0.08729371846875629,0.0672084932783645,0.007516453906120215,0.2527077582659608,0.17036587593873032,0.0360452525586677,0.356324653219473,0.1667474635131531,0.03662192729116248,12.468150610760372,0.10070174948465893,0.023702938148032003
Bottom Up Normal,853,1139,3700,81.26509993410937,0.1524662971496582,93.40979623794556,3.122135877609253,96.68439841270447,1.5490778965773218,0.0699509240915655,0.018948724180240968,0.032598563411605705,0.030885164486688307,0.0016099961125565236,0.08650589716042388,0.06485754615717443,0.006823822959919009,0.09954765446612347,0.0781440434670125,0.009774138779266818,0.2927867688978606,0.1034284289272079,0.015989361818749177,0.41210335610266713,0.06945322142592975,0.010629208770146498
Bottom Up RBF,153,1139,4400,96.63957830002197,0.7746119499206543,67.58247590065002,2.1372878551483154,70.494375705719,15.816535098006186,0.07323689290766296,0.03681908502941511,0.026427967531758825,0.026801560997470737,0.0009712976841832552,0.09860241145408126,0.07612908244510729,0.009572874651606335,0.20606768603450984,0.144841255523789,0.02754549696557647,0.32014048644357623,0.13591420533300852,0.025041052830982395,3.2935547298940193,0.09138459944140781,0.01998996143235273
Bottom Up Cosine,153,1139,4400,96.63957830002197,0.4434340000152588,66.7969069480896,2.593010902404785,69.83335185050964,7.300678735124366,0.07189479186385667,0.036251415469710085,0.020944200669217594,0.02092666377861899,0.0005973603853442443,0.09387109430677652,0.0730373862335273,0.009023261670112687,0.2368298265335724,0.16174257175975573,0.033616485843518604,0.3055692447421693,0.12307577227087903,0.021185970415373626,1.59157862027522,0.09013543718132759,0.020134898756811865
Bottom Up Linear,1398,1139,3155,69.29497034922029,0.08980703353881836,120.48470306396484,3.1707699298858643,123.74528002738953,2.2287153161027478,0.03873196599221875,0.007290414119942555,0.02928333320261756,0.028468539080278358,0.0010942073076736709,0.09068160509722227,0.0671760015930582,0.007033582137149507,0.09772543035528125,0.07554374020661994,0.008847166696622099,0.28846190789405113,0.09212776766740827,0.013942087957370897,0.5469735185303838,0.06040960290791676,0.007641491643751762
Bottom Up Clinear,163,1139,4390,96.41994289479464,0.06822681427001953,67.20269894599915,2.2716758251190186,69.54260158538818,1.0553249984414015,0.1435441825784847,0.03809607920937971,0.04963650600430013,0.052764673643280205,0.004095008514176712,0.12508551092026113,0.10389163535644534,0.015848278711393503,0.35262712753555364,0.21667658357465452,0.057141601821515314,0.31272545367063315,0.1277582657680065,0.022771012308741567,0.37907991931442975,0.12892706818417424,0.027590396113041378
Bottom Up Rank,1518,1139,3035,66.65934548649243,0.1896960735321045,128.88037610054016,6.706117153167725,135.77618932724,19.128937836148907,0.013285303277641596,0.0010110489586163036,0.013579922297452186,0.013248444539977564,0.0002751461765546561,0.09278093125700261,0.06963983614986216,0.007786136727735638,0.11462935206548754,0.08457344014046046,0.010913591063518613,0.30373072072983115,0.09362272014189858,0.014761982645677922,3.930731752499741,0.054873948849968046,0.006949581114420634
Bottom Up Mahalanobis,153,1139,4400,96.63957830002197,0.3213632106781006,68.217050075531,1.867112159729004,70.40552544593811,22.228704340045276,0.07110945252987527,0.04072500508539965,0.08278874093805069,0.09181685287425513,0.011279293122691318,0.16480278637308482,0.14461366816026286,0.02701558777929742,0.08405053624057614,0.07106014655447859,0.00831663490034919,0.31904252290295326,0.13155654913290063,0.02416392418684925,4.575877785299985,0.1020313338503545,0.022300089014917368
Bottom Up AR,1398,1139,3155,69.29497034922029,0.09901213645935059,133.08116102218628,6.9787538051605225,140.15892696380615,1.4337174376466542,0.045548682373686346,0.006995269629670835,0.01255496574150055,0.01223184921572697,0.00024542967006611487,0.09249716435446582,0.06862938370692322,0.007202262298220483,0.10498558663150193,0.07958328944682545,0.009907790152296295,0.28861051538035365,0.0989076981361907,0.015080805702773398,0.3864731339508952,0.060980180575870624,0.00788631149060541
Bottom Up Mean,610,1139,3943,86.60224028113332,2.334789752960205,92.95933103561401,3.608350992202759,98.90247178077698,1.4685567772628365,0.07712403394950035,0.01732205998271161,0.012994783985621905,0.012892351540538272,0.0002530376221689098,0.10631241157082004,0.08194928658417475,0.010985196299051267,0.09074658797097813,0.07163175564928166,0.008129991786051895,0.28920906762413473,0.09393593352017045,0.014072885338595678,0.3935639256828784,0.06750667224873307,0.01015263420571587
Bottom Up Median,158,1139,4395,96.5297605974083,2.334789752960205,70.28612399101257,2.176055908203125,74.7969696521759,23.01919489187142,0.07077595374503995,0.03972078518844917,0.03539442856340394,0.03564050331474464,0.001686010436636398,0.08429179949362223,0.06347127389649516,0.006640613158404373,0.23055444524349383,0.15750022723570406,0.031372215138922376,0.31922069516124324,0.13435581359312046,0.024616655785487034,4.7377312520666415,0.09234875435702097,0.020807255941579873
