Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,P_MAPE,P_MAE,P_MSE,PrA_MAPE,PrA_MAE,PrA_MSE,T_MAPE,T_MAE,T_MSE,UR_MAPE,UR_MAE,UR_MSE,VV_MAPE,VV_MAE,VV_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Fixed Cut 50.0%,2199,1099,2197,49.97725204731574,N/A,189.52762699127197,12.082016944885254,201.60964393615723,1.2987921116813061,0.0772031893930612,0.015392568830767998,0.01169167496370997,0.011403549497534535,0.00020084223306299876,0.07981073643689458,0.05820777550741417,0.005733290499002312,0.21315557709165334,0.1382846327950898,0.02802426298098241,0.5368070064713574,0.07322680152847523,0.007687899788498344,0.4280514213289842,0.07166518974431504,0.011407772866462808
Fixed Cut 55.0%,1979,1099,2417,54.98180163785259,N/A,179.39816403388977,5.919498920440674,185.31766295433044,1.5453613957950454,0.0701150714560284,0.01568972124792964,0.013002211374717612,0.012997776849310461,0.00025231844045857485,0.08485340530927443,0.06180218179328957,0.006481037888633571,0.20429729324230564,0.14074830953643083,0.02944997720551902,0.8675906962338368,0.0876069724861805,0.00908126999037968,0.5430210003910358,0.07465406242424799,0.012190864954584078
Fixed Cut 60.0%,1759,1099,2637,59.986351228389445,N/A,181.83042812347412,16.922852039337158,198.75328016281128,1.4727043926972407,0.07076703573366785,0.015541375166746725,0.022424023360361353,0.021731256068503704,0.0004947486222806875,0.08537095568352644,0.06042976497477457,0.006104399396411,0.20856866737814184,0.13720591685241884,0.027521486601181977,0.8659083041628916,0.08441121899552488,0.008476645337847356,0.5309952686564323,0.07490903852497803,0.011627731024893548
Fixed Cut 65.0%,1539,1099,2857,64.9909008189263,N/A,183.30807971954346,5.21136474609375,188.5194444656372,1.6710330489060088,0.06669883355681704,0.015687198763577586,0.02339088517435063,0.02287156980364424,0.0007669715856227893,0.08749810688549296,0.06364289512014974,0.007084196535478122,0.2077298033657842,0.14025188358227203,0.029367627936580182,0.9453753511256445,0.09101397161680833,0.009803310842816855,0.5870054390914559,0.07689583073593831,0.012541861132815118
Fixed Cut 70.0%,1319,1099,3077,69.99545040946315,N/A,149.39022827148438,11.45831298828125,160.84854125976562,1.6499895165375917,0.06630095173734554,0.015624939320458142,0.027304383172382447,0.026336554002504488,0.0007332792488136255,0.08034146148104446,0.060611284157205216,0.006223894524629121,0.21159329141756772,0.1385316556995901,0.028256336853937337,1.3533285632844099,0.09426814192804364,0.010996632167276667,0.6645114431785991,0.07720971750493784,0.012367016423022991
Fixed Cut 75.0%,1099,1099,3297,75.0,N/A,143.6851029396057,4.433771133422852,148.11887407302856,1.5450304336523342,0.06804768054439882,0.015478847171891932,0.01452314922796022,0.014249007202961721,0.00030995322997311295,0.07926278082368499,0.05967906085148869,0.006078837998403265,0.20268445032327717,0.13897483037018107,0.029413771088077918,1.9791823410359572,0.10519961437336295,0.0140508358244886,0.7641366310126427,0.07723003866847869,0.013066449062566963
Fixed Cut 80.0%,880,1099,3516,79.98180163785258,N/A,125.23652791976929,5.39933705329895,130.63586497306824,1.8358816643277407,0.06481266261065058,0.015918438541562975,0.013623947429767412,0.013383326467823097,0.00026494282836975186,0.08715561200930748,0.06453341988494003,0.0070504055731833454,0.21730133044656522,0.14590714373062327,0.03144538439112898,2.1954518124157767,0.10761998192017919,0.01477187916706053,0.8698828733258319,0.0792513069228433,0.013890210100261114
Fixed Cut 85.0%,660,1099,3736,84.98635122838945,N/A,103.85003232955933,3.50520396232605,107.35523629188538,1.5540713141386922,0.3048446415067356,0.13926226583741336,2.1198259082561606,1.016828114569537,1.4873004195448256,65.37170715403458,0.5318742002433318,0.3828765669419285,5.007134563080439,0.4479720070446397,0.26817089826701546,57.67613212139938,13.284470323933434,272.09652636089595,26.345774212181833,3.117197857459537,54.87482730229743
Fixed Cut 90.0%,440,1099,3956,89.9909008189263,N/A,88.47985315322876,5.728002071380615,94.20785522460938,1.2731487803697108,0.32315497393278564,0.15361265954200118,0.5406899742217276,0.29562544698700355,0.1276690647172383,0.2717129180455927,0.15680752878668683,0.03347787252743083,0.21226409381411834,0.1417361420149685,0.02991723978062387,13.098079959113932,1.9847472581626033,5.944530881218245,3.079179145113018,0.5804142699768093,1.2578415435571078
Window L1,791,1099,3605,82.00636942675159,0.14576983451843262,106.98905205726624,6.131997108459473,113.26681900024414,1.671906777177452,0.06784252443016102,0.01586338084600462,0.03094184757553491,0.029714199574558092,0.0009507857950031638,0.0900314416553098,0.06820566939846937,0.008107208593826793,0.2002929735006794,0.13732821576212798,0.028087570835704078,3.068155481696546,0.1101939134750001,0.016549565706778194,1.012265704321105,0.08265690452806336,0.013911702355463384
