Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,P_MAPE,P_MAE,P_MSE,PrA_MAPE,PrA_MAE,PrA_MSE,T_MAPE,T_MAE,T_MSE,UR_MAPE,UR_MAE,UR_MSE,VV_MAPE,VV_MAE,VV_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Fixed Cut 75.0%,1139,1139,3414,74.98352734460795,N/A,126.65130496025085,2.9897589683532715,129.64106392860413,19.283781055861763,0.05085250047933427,0.01547028705285278,0.024001857008491216,0.02400667865015869,0.0008344267404190208,0.10127001429426452,0.07605171537630111,0.009040705500087162,0.09660532009021013,0.07548779081277306,0.008951008728382271,0.28542399994001705,0.10220229246783132,0.015593014581256837,3.958216449438949,0.06572019555727972,0.009977888520599625
Fixed Cut 80.0%,911,1139,3642,79.9912145837909,N/A,114.42956805229187,5.639475345611572,120.06904339790344,46.2650752934255,0.053221022353695004,0.021499162277045358,0.017155447710026462,0.01694566422505633,0.0003988155839956735,0.09026205774377997,0.06827356076665513,0.0075711352540805,0.12365177309191037,0.09099070308092234,0.012345027610285275,0.28458520910328255,0.09519059352482526,0.01424822635035277,9.3561459562149,0.06492430879023085,0.01121247341515192
Fixed Cut 85.0%,683,1139,3870,84.99890182297386,N/A,116.51298570632935,3.0083329677581787,119.52131867408752,4.92459663277487,0.058716014132145056,0.02148955244211387,0.03493679902028055,0.03425875711771603,0.0018094080354053182,0.10086034890603028,0.07351068573542982,0.00814700431083961,0.2977211230838557,0.1834598843792997,0.0418187576489881,0.37842957598551924,0.1119538030737609,0.020579018335656514,1.147308895954111,0.09237982888767035,0.018768748154600702
Fixed Cut 90.0%,456,1139,4097,89.98462552163409,N/A,101.33409905433655,3.166440010070801,104.50053906440735,1.1523818626320523,0.08282253542273968,0.016721879887964083,0.025115843284831258,0.02507259717520143,0.0007796746697663145,0.11469454895336331,0.09317994686517202,0.014120204686478177,0.10586879549562946,0.07915944077569706,0.009642128827842524,0.2859887507587125,0.10196565797022866,0.015513803999583292,0.3368099602249178,0.07644003564180776,0.011355538414326866
Window L1,158,1139,4395,96.5297605974083,0.16449260711669922,89.42989492416382,2.747606039047241,92.34199357032776,6.809160957244432,0.076735857798127,0.03599060332252312,0.059736956149266794,0.06334601507868053,0.004547013372800219,0.10044584450885401,0.08010627539769197,0.009902292409798178,0.13898983371563092,0.10443456115103467,0.01516404105703418,0.2994280084057826,0.11538538445425431,0.018727903170303383,1.4815523200047926,0.08800161877595772,0.01686637066649183
Window L2,158,1139,4395,96.5297605974083,0.08172106742858887,111.22691798210144,3.369080066680908,114.67771911621094,25.412674089164984,0.06902905893910774,0.03695787684305511,0.042987376125266874,0.04431832983649137,0.0025683489167541633,0.09706640806163243,0.07582442103159928,0.0097598566356607,0.2398518492241277,0.16255741415376182,0.03415925454967973,0.34047675679426936,0.15315416721903075,0.031330650809409395,5.226611295874057,0.10097667823599832,0.022955197550911823
Window Normal,448,1139,4105,90.16033384581594,0.27263474464416504,135.11472487449646,3.742478847503662,139.1298384666443,1.524073962296958,0.06851911858618805,0.018731784757085583,0.02206813332699971,0.021888359772868217,0.0006324411256979619,0.08861728405474595,0.06847942271662096,0.008181521099386623,0.10263031341307166,0.07830882841982546,0.009486602824624754,0.2840177823452209,0.09444218765520887,0.014073926180945075,0.4042814950873993,0.0663275834301423,0.010221255197547994
Window RBF,158,1139,4395,96.5297605974083,0.9352319240570068,117.05705070495605,3.541435956954956,121.53371858596802,24.33470388183465,0.07299730505353728,0.039410885408243175,0.041934452018067316,0.04274245734029215,0.0023658484401900275,0.09553878121752458,0.07537851734238721,0.009459061126343118,0.23879619714487937,0.1619423669778407,0.03285661603897738,0.3315013199488368,0.14671319800558846,0.028932853484078896,5.008494926432791,0.09995476894392934,0.02260505289956653
Window Cosine,158,1139,4395,96.5297605974083,0.5462830066680908,116.0521810054779,3.484623908996582,120.08308792114258,1.8177097019026651,0.09295787794927782,0.03193781985411406,0.0713450668346383,0.07730999040295046,0.007426796243430677,0.09951260728074722,0.0787834050346001,0.01031521899146906,0.16465711728380045,0.12192109600683547,0.021123164785032473,0.28678597017419766,0.1120185677280555,0.0178320060782955,0.48800209269520983,0.09659818742434383,0.017727001190468352
Window Linear,1448,1139,3105,68.19679332308368,0.09556221961975098,179.0459427833557,4.0687479972839355,183.2102530002594,6.038077499612927,0.016990672211233855,0.0011594431278305133,0.028635126104337636,0.02887584466446544,0.0011724825106005689,0.09718465561372605,0.07405969284169099,0.008964983912843488,0.09174851289481227,0.0694312787204146,0.00773057221648592,0.28511207021050555,0.09464285973943129,0.014109628246974015,1.3081515728872621,0.056800069635447245,0.006627422002946898
Window Clinear,1348,1139,3205,70.39314737535692,0.07565689086914062,145.68289184570312,7.693247318267822,153.4517960548401,1.1916775528859418,0.05492582771467068,0.007216627874989428,0.016218075652601898,0.01575151322683515,0.00040231250011147187,0.09732684740570222,0.07290429158739219,0.008220327721341037,0.10095546038197395,0.07779352783195351,0.009516681139634327,0.28271388278015497,0.09913109616444232,0.014807342998657706,0.33777836382127474,0.06410125130505884,0.008032658446946787
