Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,T_MAPE,T_MAE,T_MSE,UR_MAPE,UR_MAE,UR_MSE,V_MAPE,V_MAE,V_MSE,P_MAPE,P_MAE,P_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Fixed Cut 75.0%,1753,1754,5259,75.0,N/A,12.519165992736816,12.519165992736816,0.13443773180658097,0.09532294885840427,0.013564421711325627,0.3345831799373134,0.14594477893832622,0.03090107006750862,25834469792840.78,0.06200642425187722,0.005456851760560676,155442160805064.47,0.04980396573562793,0.00466085281196525,45319157649476.266,0.08826952944605843,0.013645799087840065
Fixed Cut 80.0%,1403,1754,5609,79.99144324015973,N/A,8.050012111663818,8.050012111663818,0.12945259660547098,0.08869685202758651,0.012782229022617756,0.28731370054552147,0.13478605113578102,0.028877491549862695,26702456339195.887,0.06450650985874974,0.005967877520722885,57902743266222.78,0.03017938184459511,0.00425159206192062,21151299901354.625,0.07954219871667771,0.012969797538780997
Fixed Cut 85.0%,1052,1754,5960,84.9971477467199,N/A,5.241362810134888,5.241362810134888,0.13841682156428034,0.09865278750204196,0.01451766023011019,0.32387790932399746,0.14353423767179918,0.03048656468778677,20967922415573.113,0.050181683504507996,0.004061908230339064,55652178103094.04,0.029612956623075063,0.004216470775226762,19155025129666.832,0.08049541632535563,0.01332065098086569
Fixed Cut 90.0%,702,1754,6310,89.98859098687963,N/A,3.776602268218994,3.776602268218994,0.14247557304100245,0.10577669769653751,0.01573069639959307,0.29304433944357205,0.13835171691324508,0.029980037346927568,30104518611134.785,0.07645804824841222,0.008150535598630946,52406802409670.414,0.028692257867130876,0.004152735524394497,20627830255201.355,0.08731968018133023,0.0145035012173865
Window L1,997,1754,6015,85.78151739874501,0.21798491477966309,7.124223947525024,7.3422088623046875,0.12971825268168802,0.09110644690476864,0.012833104519855318,0.3482308761468228,0.15006268345565882,0.03216330022299456,26321751863997.742,0.06356581738089154,0.005764694745696689,171535986182600.6,0.05339590110698996,0.004959429735272901,49464434511649.55,0.08953271221207669,0.013930132305954863
Window L2,997,1754,6015,85.78151739874501,0.11318492889404297,6.491119861602783,6.604304790496826,0.12966997671704683,0.08953879954112319,0.012945850183228377,0.30586536782012613,0.13908228935482983,0.029594318183979267,26633117440346.55,0.06461354972282689,0.005997378391254301,153994537512470.5,0.04962652523785399,0.004759028190496956,45156913738204.21,0.08571529096415798,0.013324143737239717
Window Normal,3807,1754,3205,45.70735881346263,0.27378106117248535,21.04079794883728,21.314579010009766,0.13273379969262214,0.09297296635495438,0.013336073488750405,0.31237419026069646,0.13959378441129333,0.02928536075109699,25583986284478.082,0.06731857207241779,0.006123468929372202,74402654463438.88,0.029710581041891487,0.00276959102070449,24996660186979.3,0.08239897597013959,0.012878623547481
Window RBF,997,1754,6015,85.78151739874501,1.9638619422912598,9.561792135238647,11.525654077529907,0.1326036067024758,0.09230717722495779,0.013529274262911,0.32569429816137613,0.1437958215739158,0.030530973327696116,26558650110536.516,0.06391869294516563,0.005842772283110322,191726108931968.88,0.05779715042308959,0.005336398893472967,54571189760626.29,0.08945471054178163,0.013809854691797626
Window Cosine,997,1754,6015,85.78151739874501,0.8653261661529541,6.209273099899292,7.074599266052246,0.1300741300237875,0.09025909185419005,0.012963118630916518,0.32555090690479593,0.14351792274643235,0.030324542573080277,28303226083280.723,0.0688588663550827,0.006831650095849509,163361166817659.25,0.051544437479267985,0.0047993190601156735,47916098225234.94,0.08854507960874268,0.01372965758999049
Window Linear,3867,1754,3145,44.851682829435255,0.13140392303466797,17.397950887680054,17.52935481071472,0.12980365782828637,0.08884166292537847,0.01292061163305021,0.3074498902259158,0.1388189356376187,0.029304975823871086,28107031802032.906,0.07944002740541456,0.008063986087715521,84543163515621.33,0.031823829896260473,0.0028179519254470987,28162548829413.625,0.08473111396616839,0.013276881367520971
Window Clinear,5087,1754,1925,27.452937820878493,0.10677385330200195,19.561141967773438,19.66791582107544,0.12918529068482384,0.08900507479102791,0.012718305056273723,0.3187778917979385,0.14144667653950133,0.02975081613857057,29559510201978.79,0.08776729190663465,0.00961212942111769,69556098477515.29,0.028967615880778688,0.002841902448109189,24778902169873.562,0.08679666477948587,0.013730788266017795
Window Rank,952,1754,6060,86.42327438676554,0.13720178604125977,6.664634704589844,6.8018364906311035,0.13149088832741762,0.09198349350444482,0.01322823450427098,0.3060438079347651,0.1378772504717265,0.028722775225506477,28007027379092.34,0.06836013395674538,0.0067523893747378876,67339931443720.78,0.03187903504055202,0.004205396726005453,23836739705703.234,0.08252497824336663,0.013227198957630205
Window Mahalanobis,1002,1754,6010,85.71021106674273,0.4911322593688965,7.239842653274536,7.730974912643433,0.13708733340166218,0.0982459902064246,0.014240909097515443,0.32825388330622196,0.14476706585477403,0.03084833769935323,24256703599804.777,0.05826127910014736,0.004893671395385927,143789331870885.22,0.04746206830229882,0.004593985009107931,42011508867672.49,0.08718410086591069,0.013644225800340632
Window AR,997,1754,6015,85.78151739874501,0.1719508171081543,4.8447840213775635,5.016734838485718,0.14176820486940594,0.10181650777350539,0.015225240567886076,0.30560100716841326,0.13895965722471085,0.029474989362453945,29975984777274.33,0.0776091979665344,0.008294520763672396,228496562758837.94,0.06606208248134725,0.006127276082590358,64618136884028.11,0.09611186136152397,0.01478050669415069
