Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,T_MAPE,T_MAE,T_MSE,UR_MAPE,UR_MAE,UR_MSE,V_MAPE,V_MAE,V_MSE,P_MAPE,P_MAE,P_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Window Clinear,5087,1754,1925,27.452937820878493,0.15409612655639648,287.88231015205383,3.677253007888794,291.713659286499,0.15987600997902823,0.11406887160666405,0.01858764640560661,0.2430947167515363,0.1383087289449346,0.028239925901169725,0.46494936208954957,0.08221119459724863,0.008592881210455284,5.6953019006523204,0.051464548684998224,0.005021978154134424,1.6408054973681088,0.09651333595846161,0.015110607917841518
Window Rank,952,1754,6060,86.42327438676554,0.14087390899658203,108.83897805213928,4.304482698440552,113.28433465957642,0.14229907554613458,0.1048733035435867,0.015694595801881005,0.25085395582253645,0.14436536196195796,0.030757780588070473,0.3932057521292519,0.06349048874914426,0.0057647764048810645,1.2722498678523917,0.04358507316908508,0.0044872169100741415,0.5146521628375786,0.08907855685594297,0.014176092426226666
Window Mahalanobis,1002,1754,6010,85.71021106674273,0.41614508628845215,115.59721803665161,4.217952013015747,120.23131513595581,0.118650998824043,0.09147214195815671,0.013260733954592891,0.25173707789014926,0.13748382928659175,0.029537199082415595,0.4165449533763984,0.07115743571918828,0.0072187486604794685,1.5266325694801268,0.03355949159549679,0.00416942129894348,0.5783913998926793,0.08341822463985794,0.013546525749107865
Window AR,997,1754,6015,85.78151739874501,0.16829323768615723,108.44012594223022,3.625838041305542,112.23425722122192,0.131209021221365,0.09862715128174837,0.014248556880076691,0.2530932373427954,0.1451259560447184,0.03135410155510773,0.3958648454985,0.0642367033114469,0.005871340638306953,1.6376052314820453,0.03356501549729545,0.004261538026815739,0.6044430838861764,0.08538870653380175,0.013933884275076785
Window Mean,1970,1754,5042,71.90530519110096,4.445862293243408,178.7024519443512,5.488323926925659,188.63663816452026,0.1422362592654395,0.104275192870065,0.015354283828322976,0.25656121109827706,0.15074707586367697,0.03306732844384362,0.4027390635760148,0.06985172334327454,0.007024172209729039,1.348353650633624,0.04130749952790956,0.0044416989057435505,0.5374725461433385,0.09154537290123103,0.014971870846909801
Window Median,997,1754,6015,85.78151739874501,4.445862293243408,130.5140790939331,3.652635097503662,138.61257648468018,0.12474564456165878,0.09600762995951029,0.01451106908337103,0.2508265910535578,0.135966006367371,0.029217283852360196,0.4008124688435569,0.06779451857423605,0.006569850103828026,1.297333689599209,0.0413363448346542,0.004371351674410057,0.5184295985144955,0.0852761249339424,0.013667388678492327
Binary Segmentation L1,6922,1754,90,1.2835139760410725,1.2315309047698975,309.40633606910706,15.768597841262817,326.40646481513977,0.1224586449599269,0.09321312784755795,0.013577854026109556,0.2543983895199413,0.14186138264438256,0.030875224555160164,0.4454526469218996,0.07445753060822904,0.007239542712018876,7.605152589184957,0.016884545408224663,0.002148804288805472,2.10686556764668,0.08160414662709889,0.013460356395523506
Binary Segmentation L2,6922,1754,90,1.2835139760410725,0.3241572380065918,293.87470507621765,6.552170991897583,300.7510333061218,0.12788185031132712,0.09674326574521118,0.014343380112655324,0.25478038691317817,0.14633100014177813,0.03186950407726127,0.4532646017520223,0.07765056286017828,0.007848988417226553,2.073077449223727,0.017853379147792364,0.0018504580658906208,0.7272510720500631,0.08464455197374027,0.013978082668258418
Binary Segmentation Normal,1957,1754,5055,72.0907016543069,0.5476851463317871,155.64184713363647,7.193483114242554,163.38301539421082,0.12517945521645463,0.09511687193975604,0.013997729532730853,0.25330422572180306,0.14515385089360036,0.03144522937397991,0.4161893094948937,0.0763799211873266,0.008140941791542313,1.2439794952388818,0.04477463296462181,0.004511651703924475,0.5096631214180083,0.09035631924632573,0.014523888100544393
Binary Segmentation RBF,6922,1754,90,1.2835139760410725,88.78457283973694,323.0659329891205,11.996448040008545,423.84695386886597,0.12333259157638982,0.09424906641809513,0.014045526887136749,0.25691624778330996,0.1460265114407029,0.03207709437245005,0.4299302933185938,0.06901702422309616,0.0064279585622997685,2.333652810375593,0.01835040480510441,0.001904714762869481,0.7859579857634711,0.08191075172175,0.013613823646189035
Binary Segmentation Cosine,5727,1754,1285,18.325727324586424,71.03856611251831,300.5762691497803,14.57758378982544,386.192419052124,0.12468049540545059,0.09455403163780125,0.013826781045100848,0.2544278247709046,0.1413744286407248,0.030831195066006605,0.42433466468646586,0.06727720400607443,0.006165874399975444,37.815949251350695,0.013980374379321286,0.0020040155286573445,9.65484805905338,0.07929650966598077,0.013206966509935046
