Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg T_MAPE,Std T_MAPE,Avg T_MAE,Std T_MAE,Avg T_MSE,Std T_MSE,Avg UR_MAPE,Std UR_MAPE,Avg UR_MAE,Std UR_MAE,Avg UR_MSE,Std UR_MSE,Avg V_MAPE,Std V_MAPE,Avg V_MAE,Std V_MAE,Avg V_MSE,Std V_MSE,Avg P_MAPE,Std P_MAPE,Avg P_MAE,Std P_MAE,Avg P_MSE,Std P_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Fixed Cut 55.0%,3156,1754,3856,54.99144324015972,N/A,N/A,23.329158306121826,7.8130986680714765,23.329158306121826,7.8130986680714765,0.13044166438391772,0.002179441380721616,0.0900697923813411,0.0029920511797177727,0.012966101326383492,0.00030527004918804807,0.31230146426182337,0.021735585146109453,0.14027410291506348,0.005348410840052867,0.02973986354526296,0.001047814403398707,26103177886763.953,1358862380113.3303,0.06923030211745362,0.006707051133733568,0.006453466760036132,0.0010017191366111676,82476586913314.6,39756236299862.66,0.0316052143116667,0.008144897447653971,0.0029250766127042103,0.0001780492278073439,27144941200019.688,9825782121750.066,0.08279485293138159,0.003712140909664053,0.013021127061096704,0.0005429805721726611
Fixed Cut 60.0%,2805,1754,4207,59.997147746719904,N/A,N/A,17.72686324119568,5.09655292526501,17.72686324119568,5.09655292526501,0.12977589296154393,0.0006708608386011319,0.08928924166440605,0.0008871056102346488,0.012858508314078542,0.0001555421769695225,0.310495327811552,0.007135225124567964,0.13971538036075673,0.001905077989630562,0.02957448426996352,0.000499212750230587,23947093794163.13,1572122546219.6577,0.060073561438268155,0.0064742380160955565,0.005083346524402504,0.0009494989701768186,71530793541678.33,30882315207805.195,0.029370578371989045,0.006111835831507722,0.0028631974478165695,1.9097786996818778e-05,23869471833960.375,7958040783364.844,0.0796121904588554,0.0029672904401452987,0.012594884139065279,0.00027275107292102876
Fixed Cut 65.0%,2455,1754,4557,64.98859098687963,N/A,N/A,13.913219594955445,3.884949260208599,13.913219594955445,3.884949260208599,0.1310831320315755,0.0018170153076494907,0.09053587638623412,0.0025375879809591043,0.013066770536280171,0.00031883829158573955,0.32147385257810424,0.022855351898335884,0.1426508801815915,0.006007569752834255,0.030193954354390304,0.0014905538108206018,24300416270201.77,879253057195.8561,0.060935493599672486,0.0036101942798293794,0.005235038323075419,0.0005240476371692521,81482293205782.7,39766853920842.055,0.03481608869337467,0.00794520966052164,0.004304973809976994,0.00011967496766676266,26445677368996.133,9739454010121.88,0.08223458471521855,0.0021689628536868963,0.013200184255930725,0.00033610111376810914
Fixed Cut 70.0%,2104,1754,4908,69.99429549343982,N/A,N/A,13.383829927444458,2.4319829176270082,13.383829927444458,2.4319829176270082,0.13018979179946832,0.0014370092380182934,0.08862682479501385,0.0019383741481170111,0.013018147260489905,0.00019698030018747568,0.3223874388565363,0.00475172398307024,0.14252234214581827,0.0014444453693838303,0.029939063892579883,0.0004295432555835453,23265209346985.89,1563749504718.4756,0.05728839891019656,0.005588735958383915,0.004681436150132036,0.0008389430611146397,104950369476622.45,17056168911490.316,0.039416613440744326,0.0035399856980536997,0.004299471671699857,0.00012692730606692824,32053894705902.09,4554571701205.953,0.0819635448229436,0.002159848500807338,0.012984529743725418,0.0002866066567937145
Fixed Cut 75.0%,1753,1754,5259,75.0,N/A,N/A,11.220906972885132,3.641535805187517,11.220906972885132,3.641535805187517,0.13278982596888858,0.00211736009639338,0.09283092842425372,0.0023412084330883156,0.013288565777942568,0.00032233258057155116,0.31179624707594406,0.01329968203586827,0.14016831073463476,0.0033415033256597474,0.02965416916381736,0.0007121610432654272,26901252377706.12,1214431644528.5803,0.06514737098639435,0.003580963619487864,0.00607904150770113,0.0006973597479586254,103725230177882.39,34054271653112.625,0.03918161334876261,0.0070090157511947014,0.004325190467991666,0.000223287720062661,32656620638897.086,8326768459596.215,0.0843320558735109,0.002608416997389269,0.013336741729363187,0.0002484396289107667
Fixed Cut 80.0%,1403,1754,5609,79.99144324015973,N/A,N/A,8.007188653945922,1.6840821801100663,8.007188653945922,1.6840821801100663,0.13266187603646717,0.0030078193095710777,0.09255991469316417,0.0031341588890538615,0.013282168967414552,0.000560268567301537,0.3008861910450087,0.014178044492213087,0.1373672650211118,0.003473538629357314,0.029071167223414292,0.0008314958197994487,26895662059521.2,1047023972338.8016,0.0649340035322399,0.0027820323212123664,0.006056812146771291,0.0005358618136186362,88407413525632.25,56350862236031.08,0.0363988253470075,0.011167509138754304,0.004424462428954864,0.0003373601297854053,28825768896288.324,14136668190140.758,0.0828150021483804,0.003281617040974675,0.013208652691638761,0.00023119593919668756
Fixed Cut 85.0%,1052,1754,5960,84.9971477467199,N/A,N/A,6.865273952484131,1.4601039095948731,6.865273952484131,1.4601039095948731,0.1325685058553186,0.004059143192198725,0.09223127438721325,0.0051670074909939655,0.013570988935990768,0.0006362767482586828,0.31954323353778313,0.0064422569416485095,0.14204757844453275,0.0019960495885296753,0.030002044790724536,0.0005901102516847386,26677160649748.535,3204633754417.626,0.06501382507917924,0.008361860407645489,0.006233052592056888,0.001227943041932521,96310047403161.58,47660076162265.945,0.037866752956111284,0.009701932376042856,0.004404288336837478,0.00028762519363282333,30746802013227.516,12255316803622.092,0.08428985771675862,0.003330758553198727,0.013552593663902424,0.00013297378276253149
Fixed Cut 90.0%,702,1754,6310,89.98859098687963,N/A,N/A,4.257700777053833,1.156577582153146,4.257700777053833,1.156577582153146,0.1441237290802073,0.006872754827502127,0.10710236123548746,0.006526143811764484,0.01631899723520216,0.0020050970600169324,0.31494286552658646,0.01617710711200023,0.14305105572648294,0.0040290282917634064,0.030763455250020718,0.001121279271577305,32199735486514.93,1341585778458.9517,0.08693137399734617,0.007428344900251689,0.010091065820308949,0.0013842462566991877,101115719731600.17,38896882612869.44,0.03864083915700657,0.007905418382053749,0.004345495229618152,0.00019832738843106223,33328863804528.816,10022303372089.742,0.09393140752907962,0.004802844475772382,0.015379753383787498,0.0006148286105436821
Window L1,997,1754,6015,85.78151739874501,0.2208700180053711,0.020194382014639335,7.755896091461182,3.1900400532638407,7.976766109466553,3.2073753165885552,0.13118526343558734,0.0030787460367329477,0.0916847267310431,0.004226791073683948,0.01321177708016995,0.00045473059265092197,0.32646729869064234,0.014141702563811642,0.14376664809752138,0.00400666434822583,0.030318477952892223,0.0011399106358569615,27673425259529.56,1299234944710.1775,0.06797753659375304,0.005184174856688261,0.006591837383701336,0.0009285992995205844,146862544575918.88,52338924691546.805,0.048394177771341654,0.010854295997319154,0.004830292858603059,0.0004807003620693223,43633992458862.07,13066095292114.656,0.08795577229841424,0.003252219114256668,0.013738096318841646,0.00034004139737382993
Window L2,997,1754,6015,85.78151739874501,0.11631736755371094,0.011137656549564145,6.738045644760132,2.369621519057974,6.854363012313843,2.3653217813509997,0.13265101574185845,0.004540534845626522,0.09133108611866177,0.0048128142696796114,0.01369581249369508,0.0008684908195837008,0.3280306785714766,0.0173435847262956,0.14445240655556774,0.0046429353945349385,0.03052906758534623,0.0012631962279446266,29304518783402.152,2129296499019.2102,0.07421687700707581,0.009137686058825669,0.007720007814409359,0.0016000871747881061,155121900469299.16,43594075792509.875,0.05006628021596188,0.009510550946825345,0.004913733757325624,0.0007370458508149969,46106604813175.336,10939052241073.357,0.09001666247431625,0.003924993817196344,0.014214655412694071,0.0005602962409811659
