Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,Close_MAPE,Close_MAE,Close_MSE,Volume_MAPE,Volume_MAE,Volume_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Fixed Cut 60.0%,199,125,298,59.95975855130785,N/A,90.19747567176819,3.4588098526000977,93.65628552436829,0.2902130815677636,0.07763491550098145,0.007451349987606149,0.42995162305525003,0.01981859392450686,0.0009676618564992956,0.36008235231150676,0.04872675471274415,0.004209505922052724
Fixed Cut 65.0%,174,125,323,64.98993963782696,N/A,105.0035150051117,2.3378868103027344,107.34140181541443,0.20939562445309207,0.1383836727296966,0.023978503210349052,0.4281905499761245,0.07489643602601893,0.014889555283390152,0.3187930872146082,0.10664005437785778,0.019434029246869603
Fixed Cut 70.0%,150,125,347,69.81891348088531,N/A,111.50462913513184,3.4275310039520264,114.93216013908386,0.11749961240008149,0.08383935960133981,0.010704328860461639,0.4511761103825963,0.07815430791090702,0.014980401581718891,0.2843378613913389,0.0809968337561234,0.012842365221090267
Fixed Cut 75.0%,125,125,372,74.84909456740442,N/A,84.8874397277832,3.272675037384033,88.16011476516724,0.14989447783476473,0.10979952497358395,0.016737016757115593,0.5024762948656917,0.1286714036492038,0.04112368774450569,0.3261853863502282,0.11923546431139384,0.028930352250810646
Fixed Cut 80.0%,100,125,397,79.87927565392354,N/A,98.18976593017578,3.255275011062622,101.4450409412384,0.16278223733863728,0.11518189228752704,0.017995805795711788,0.4186474857168275,0.10955661264749463,0.03415232244647472,0.29071486152773235,0.11236925246751084,0.026074064121093258
Fixed Cut 85.0%,75,125,422,84.90945674044266,N/A,90.79575395584106,2.845431089401245,93.64118504524231,0.1140657138870036,0.08573530658888873,0.010882001448679096,0.43353086769721083,0.1097983939335523,0.03496823946888445,0.2737982907921072,0.0977668502612205,0.022925120458781777
Fixed Cut 90.0%,50,125,447,89.93963782696177,N/A,89.05313611030579,3.504594087600708,92.5577301979065,0.13731835912398926,0.09952021677960007,0.014909418565784299,0.417143720853298,0.11447199878947736,0.03266138326815414,0.27723103998864357,0.10699610778453872,0.02378540091696923
Window L1,127,125,370,74.44668008048289,0.020898103713989258,89.96653890609741,3.451798915863037,93.43923592567444,0.1263154117328868,0.09209664680468564,0.012110268920702511,0.49741733941295985,0.11467235467720928,0.039636153807119455,0.3118663755729232,0.10338450074094743,0.025873211363910978
Window L2,182,125,315,63.38028169014085,0.009943962097167969,85.01163506507874,2.6454548835754395,87.66703391075134,0.2485977332873627,0.06944810789361659,0.006332701595581111,0.5248818392741958,0.028498570946600063,0.001369658688281166,0.38673978628077926,0.04897333942010832,0.0038511801419311383
Window Normal,177,125,320,64.38631790744466,0.03388094902038574,82.48810291290283,2.9450318813323975,85.46701574325562,0.16946010654251878,0.11735783695381577,0.01877408519891523,0.4333978908367207,0.07374034519205548,0.014913916891535916,0.30142899868961964,0.09554909107293562,0.016844001045225578
Window RBF,127,125,370,74.44668008048289,0.013324975967407227,82.51672005653381,2.2170472145080566,84.74709224700928,0.1371938455714075,0.09880215495132917,0.014517761524482009,0.48139526779381986,0.1310125727525654,0.03825911934031262,0.3092945566826138,0.11490736385194728,0.026388440432397325
Window Cosine,182,125,315,63.38028169014085,0.007411956787109375,89.34969210624695,3.4891750812530518,92.84627914428711,0.25265679407683067,0.07145733779309162,0.006380822752721256,0.4850673892542101,0.023951190176056184,0.001147054421751181,0.3688620916655204,0.047704263984573905,0.00376393858723622
Window Linear,182,125,315,63.38028169014085,0.009216070175170898,104.95120573043823,3.346122980117798,108.3065447807312,0.1498835121268859,0.046476822584362414,0.003127699924647542,0.4430949278971844,0.019446341622812044,0.0009680600429993285,0.29648922001203515,0.032961582103587225,0.0020478799838234353
Window Clinear,227,125,270,54.32595573440644,0.00863790512084961,114.10392808914185,3.36319899559021,117.4757649898529,0.10319314480447503,0.029269259633907647,0.0012821012120586633,0.4557407602250066,0.023929200235043923,0.0010457289977312493,0.2794669525147408,0.026599229934475777,0.0011639151048949566
