Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,x_MAPE,x_MAE,x_MSE,y_MAPE,y_MAE,y_MSE,sin(theta)_MAPE,sin(theta)_MAE,sin(theta)_MSE,cos(theta)_MAPE,cos(theta)_MAE,cos(theta)_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Fixed Cut 50.0%,244,122,243,49.89733059548255,N/A,86.02851510047913,2.7511980533599854,88.77971315383911,0.08712069912269733,0.08950921127382308,0.010372820910854981,0.09951945648962755,0.08965213151108697,0.009888062939243221,2.786406286041117,0.5810761331048863,0.4248045830134978,5.931252001129324,0.45638860285968585,0.31170133018785695,2.2260746106956915,0.30415651968737056,0.1891916992628633
Fixed Cut 55.0%,220,122,267,54.82546201232032,N/A,87.50356197357178,3.3320839405059814,90.83564591407776,0.04180875172324223,0.03776019099108849,0.0022933727882837466,0.05268535404709044,0.04571376882602208,0.002802524151749059,3.32230641994464,0.5395618508637706,0.3634446341168563,6.645788360993196,0.4941280065072418,0.3416534383771628,2.5156472216770407,0.2792909542970308,0.17754849235851294
Fixed Cut 60.0%,195,122,292,59.95893223819302,N/A,85.54090595245361,2.528668165206909,88.06957411766052,0.1411944544535463,0.11844154274682754,0.017341865062950424,0.33968077525305573,0.1862670268190002,0.05929188320876745,2.173214649624386,0.5668064420281611,0.42389521536000274,1.9627117336726267,0.6226044732651993,0.5739608494697113,1.1542004032509035,0.37352987121479714,0.268622453275358
Fixed Cut 65.0%,171,122,316,64.8870636550308,N/A,89.26560711860657,3.024186134338379,92.28979325294495,0.03923992724527573,0.03543401884053432,0.00198127644547285,0.051205473850312315,0.04602381071170097,0.0029245895069574756,16.278972380148737,0.4998754735060825,0.32323799766135275,40.03698789262009,0.5262155084444963,0.37335630322382757,14.101601418466105,0.2768872028757037,0.1753750417094026
Fixed Cut 70.0%,147,122,340,69.81519507186859,N/A,89.07710695266724,2.8962652683258057,91.97337222099304,0.08783625494949837,0.09172480480176991,0.01419852731276658,0.20961804279600477,0.1485156653545071,0.02894482213723715,4.534881352503207,0.6179953930928987,0.46611811856726026,1.3629160477269788,0.4715295086815653,0.3745764883168721,1.5488129244939222,0.33244134298268524,0.22095948908353397
Fixed Cut 75.0%,122,122,365,74.94866529774127,N/A,79.5397469997406,2.303623914718628,81.84337091445923,0.0760790778435199,0.07255242771730232,0.007289547081991435,0.050065643178769235,0.043442503042632134,0.002735761606333961,1.9014900489153366,0.5599098165041793,0.41969877124527744,2.3529360947290967,0.5514992427600506,0.45586353957357456,1.0951427161666807,0.30685099750604117,0.22139690487679434
Fixed Cut 80.0%,98,122,389,79.87679671457906,N/A,69.17244291305542,2.1983489990234375,71.37079191207886,0.11681670608623154,0.09619616626280367,0.010468870987845722,0.06068096947124869,0.05044780677589529,0.004245511159453684,2.727790497755939,0.5760523845546194,0.4139252644073316,3.453930497084232,0.5245823677770785,0.3800110373151276,1.5898046675994129,0.3118196813425993,0.20216267096743964
Fixed Cut 85.0%,74,122,413,84.80492813141683,N/A,69.79643416404724,2.6183102130889893,72.41474437713623,0.13439430182958279,0.1162363569494951,0.019220152224409343,0.08998246852011657,0.08597449625544872,0.012398479778292433,1.5770675505618568,0.6191558530737872,0.5159988090355173,13.6748741153211,0.6696003905028576,0.520445738358157,3.869079609058166,0.3727417741953972,0.267015794849094
Fixed Cut 90.0%,49,122,438,89.93839835728953,N/A,67.33472895622253,2.510413885116577,69.84514284133911,0.11667296785331344,0.0944028379362966,0.016359662120002113,0.16573418310007745,0.13065504439094364,0.023358762685424764,0.9648489606930523,0.5917573821638596,0.6130641328244781,4.369449768094925,0.5271606765187347,0.42406296476832395,1.4041764699353423,0.3359939852524586,0.2692113805995572
Window L1,312,122,175,35.93429158110883,0.013216972351074219,89.13427996635437,3.4577908515930176,92.60528779029846,0.06095143655093457,0.053360411403565663,0.004782653001600723,0.05505729885125731,0.04888262311908351,0.0032720748094027833,3.2135650804847193,0.5570899946277025,0.3881541517541667,5.18223827132148,0.4619351266208646,0.2924775311782618,2.127953021802098,0.2803170389428041,0.172171602685858
