Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Dollars/Barrel_MAPE,Dollars/Barrel_MAE,Dollars/Barrel_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Fixed Cut 50.0%,201,100,199,49.75,N/A,3.352721929550171,3.352721929550171,0.14887437391664718,0.05262028361813131,0.004145401210562159,0.14887437391664718,0.05262028361813131,0.004145401210562159
Fixed Cut 55.0%,181,100,219,54.75,N/A,3.236931800842285,3.236931800842285,0.153083465224816,0.058549041556557185,0.00527897609527012,0.153083465224816,0.058549041556557185,0.00527897609527012
Fixed Cut 60.0%,160,100,240,60.0,N/A,3.332990884780884,3.332990884780884,0.1352158263979711,0.052184028001886436,0.00422184461492503,0.1352158263979711,0.052184028001886436,0.00422184461492503
Fixed Cut 65.0%,140,100,260,65.0,N/A,3.0885958671569824,3.0885958671569824,0.23938988316810333,0.11582779984134214,0.01673627042309489,0.23938988316810333,0.11582779984134214,0.01673627042309489
Fixed Cut 70.0%,120,100,280,70.0,N/A,3.1600229740142822,3.1600229740142822,0.10190794390377902,0.040729225003571165,0.0026428124883829313,0.10190794390377902,0.040729225003571165,0.0026428124883829313
Fixed Cut 75.0%,100,100,300,75.0,N/A,2.9602270126342773,2.9602270126342773,0.3185113245531469,0.15232852644711606,0.027118937340611406,0.3185113245531469,0.15232852644711606,0.027118937340611406
Fixed Cut 80.0%,80,100,320,80.0,N/A,3.170534133911133,3.170534133911133,0.11696011374145385,0.04897707802678084,0.003961523914322918,0.11696011374145385,0.04897707802678084,0.003961523914322918
Fixed Cut 85.0%,60,100,340,85.0,N/A,3.1655378341674805,3.1655378341674805,0.0904627231639643,0.043365314920799265,0.0029810295195442675,0.0904627231639643,0.043365314920799265,0.0029810295195442675
Fixed Cut 90.0%,40,100,360,90.0,N/A,2.916978120803833,2.916978120803833,0.18021267571483976,0.09691146803643823,0.012710123983417483,0.18021267571483976,0.09691146803643823,0.012710123983417483
Window L1,120,100,280,70.0,0.009106874465942383,3.585516929626465,3.5946238040924072,0.11933826815355986,0.04654520492500638,0.0035555879110176036,0.11933826815355986,0.04654520492500638,0.0035555879110176036
Window L2,125,100,275,68.75,0.005501985549926758,3.060901165008545,3.0664031505584717,0.2336290244970162,0.11358067909690357,0.016500478508183345,0.2336290244970162,0.11358067909690357,0.016500478508183345
Window Normal,290,100,110,27.500000000000004,0.01090097427368164,12.834159135818481,12.845060110092163,0.06199292545314172,0.0243864902999004,0.0009514278153303279,0.06199292545314172,0.0243864902999004,0.0009514278153303279
Window RBF,120,100,280,70.0,0.006018161773681641,3.3895020484924316,3.3955202102661133,0.33162585350996493,0.15885412371180585,0.02953555755962618,0.33162585350996493,0.15885412371180585,0.02953555755962618
Window Cosine,0,100,400,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Linear,90,100,310,77.5,0.005415916442871094,5.94483494758606,5.950250864028931,0.09614040541570239,0.04272874657964052,0.0025985007646880946,0.09614040541570239,0.04272874657964052,0.0025985007646880946
Window Clinear,135,100,265,66.25,0.005261898040771484,3.3556249141693115,3.360886812210083,0.0996711309257421,0.042623194073433984,0.0028779275088872914,0.0996711309257421,0.042623194073433984,0.0028779275088872914
Window Rank,125,100,275,68.75,0.006053924560546875,3.311905860900879,3.317959785461426,0.14138096635953878,0.055221264436979195,0.00473868854794861,0.14138096635953878,0.055221264436979195,0.00473868854794861
Window Mahalanobis,125,100,275,68.75,0.003776073455810547,3.2396175861358643,3.243393659591675,0.1397970076567457,0.06749134923330725,0.006622397929288413,0.1397970076567457,0.06749134923330725,0.006622397929288413
Window AR,65,100,335,83.75,0.008294820785522461,2.989528179168701,2.9978229999542236,0.09129448240770088,0.04199904812082834,0.0028597111329815043,0.09129448240770088,0.04199904812082834,0.0028597111329815043
Window Mean,120,100,280,70.0,0.06033062934875488,3.1041998863220215,3.1645305156707764,0.3913197479187861,0.18705389736064149,0.04030772998653312,0.3913197479187861,0.18705389736064149,0.04030772998653312
Window Median,123,100,277,69.25,0.06033062934875488,2.7046799659729004,2.7650105953216553,0.11047267402349314,0.05183391621406186,0.004109350467584199,0.11047267402349314,0.05183391621406186,0.004109350467584199
Binary Segmentation L1,260,100,140,35.0,0.015667200088500977,11.196803092956543,11.212470293045044,0.062260415891435474,0.024447704270084726,0.0009414706197577383,0.062260415891435474,0.024447704270084726,0.0009414706197577383
Binary Segmentation L2,245,100,155,38.75,0.010219812393188477,4.943080186843872,4.9532999992370605,0.09132512696645907,0.03425882770435902,0.0019101370267055788,0.09132512696645907,0.03425882770435902,0.0019101370267055788
Binary Segmentation Normal,285,100,115,28.749999999999996,0.014708995819091797,4.460167169570923,4.474876165390015,0.07615293333353047,0.029758626579741904,0.001405458519171319,0.07615293333353047,0.029758626579741904,0.001405458519171319
Binary Segmentation RBF,260,100,140,35.0,0.01661396026611328,13.887740850448608,13.904354810714722,0.06437574075920693,0.02547000565995806,0.0009774784206509277,0.06437574075920693,0.02547000565995806,0.0009774784206509277
Binary Segmentation Cosine,10,100,390,97.5,0.015986919403076172,3.912458896636963,3.928445816040039,0.17757276189106333,0.1708929169016893,0.03931463960470814,0.17757276189106333,0.1708929169016893,0.03931463960470814
Binary Segmentation Linear,380,100,20,5.0,0.008945941925048828,7.403524160385132,7.412470102310181,0.08352433116920391,0.03356663652541912,0.0016020078577910833,0.08352433116920391,0.03356663652541912,0.0016020078577910833
Binary Segmentation Clinear,40,100,360,90.0,0.006517171859741211,3.407547950744629,3.41406512260437,0.09295221770388389,0.04406746738506922,0.003120775495088145,0.09295221770388389,0.04406746738506922,0.003120775495088145
Binary Segmentation Rank,260,100,140,35.0,0.008305788040161133,4.538902044296265,4.547207832336426,0.09935796985470519,0.036591716648533675,0.002260294524616234,0.09935796985470519,0.036591716648533675,0.002260294524616234
Binary Segmentation Mahalanobis,245,100,155,38.75,0.012733221054077148,8.39454197883606,8.407275199890137,0.064549331136468,0.02507790800049021,0.0010471784833805333,0.064549331136468,0.02507790800049021,0.0010471784833805333
Binary Segmentation AR,185,100,215,53.75,0.013875007629394531,3.2992498874664307,3.313124895095825,0.11410220009455359,0.04210786398606019,0.002751518097665368,0.11410220009455359,0.04210786398606019,0.002751518097665368
Binary Segmentation Mean,217,100,183,45.75,0.12357401847839355,4.602552890777588,4.7261269092559814,0.10161199087227825,0.03681197220420102,0.002330371061792291,0.10161199087227825,0.03681197220420102,0.002330371061792291
Binary Segmentation Median,253,100,147,36.75,0.12357401847839355,3.9633328914642334,4.086906909942627,0.09321930353505438,0.03461757460214876,0.002039592487344006,0.09321930353505438,0.03461757460214876,0.002039592487344006
Bottom Up L1,265,100,135,33.75,0.0076808929443359375,8.77310299873352,8.780783891677856,0.0641221614364157,0.025037620845987374,0.000996500074140099,0.0641221614364157,0.025037620845987374,0.000996500074140099
Bottom Up L2,265,100,135,33.75,0.0053822994232177734,6.218148946762085,6.223531246185303,0.09250802121206173,0.03510701517601173,0.0020042068636955167,0.09250802121206173,0.03510701517601173,0.0020042068636955167
Bottom Up Normal,290,100,110,27.500000000000004,0.007903099060058594,13.473921060562134,13.481824159622192,0.058663522994333764,0.022978470224554393,0.000872977652357826,0.058663522994333764,0.022978470224554393,0.000872977652357826
Bottom Up RBF,265,100,135,33.75,0.006072044372558594,9.980995178222656,9.987067222595215,0.060839257207053146,0.02372287103087885,0.0009444258215910904,0.060839257207053146,0.02372287103087885,0.0009444258215910904
Bottom Up Cosine,15,100,385,96.25,0.004115104675292969,3.2012510299682617,3.2053661346435547,0.16112049120172756,0.14778853094426067,0.029056747955550473,0.16112049120172756,0.14778853094426067,0.029056747955550473
Bottom Up Linear,315,100,85,21.25,0.004544973373413086,12.384087800979614,12.388632774353027,0.061610296404581044,0.02430385494033605,0.0009345250563792251,0.061610296404581044,0.02430385494033605,0.0009345250563792251
Bottom Up Clinear,40,100,360,90.0,0.0036339759826660156,2.9882240295410156,2.9918580055236816,0.19111521527363767,0.10369684124990888,0.014966241028786133,0.19111521527363767,0.10369684124990888,0.014966241028786133
Bottom Up Rank,290,100,110,27.500000000000004,0.0063817501068115234,10.976490259170532,10.982872009277344,0.05944400409606185,0.023135786718841773,0.0009108520129593792,0.05944400409606185,0.023135786718841773,0.0009108520129593792
Bottom Up Mahalanobis,265,100,135,33.75,0.003847837448120117,11.796679973602295,11.800527811050415,0.059438087990143454,0.023386691163270676,0.0008917798870305211,0.059438087990143454,0.023386691163270676,0.0008917798870305211
Bottom Up AR,190,100,210,52.5,0.006836891174316406,5.137840747833252,5.144677639007568,0.08908452379834025,0.03316863159942496,0.0018773211423606382,0.08908452379834025,0.03316863159942496,0.0018773211423606382
Bottom Up Mean,220,100,180,45.0,0.056398868560791016,4.707381010055542,4.763779878616333,0.1422153161821599,0.05059597058029172,0.0041264715116961555,0.1422153161821599,0.05059597058029172,0.0041264715116961555
Bottom Up Median,265,100,135,33.75,0.056398868560791016,10.58781909942627,10.64421796798706,0.06547907379395262,0.025800946517872066,0.0010145662264769938,0.06547907379395262,0.025800946517872066,0.0010145662264769938
