Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg Dollars/Barrel_MAPE,Std Dollars/Barrel_MAPE,Avg Dollars/Barrel_MAE,Std Dollars/Barrel_MAE,Avg Dollars/Barrel_MSE,Std Dollars/Barrel_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Fixed Cut 55.0%,181,100,219,54.75,N/A,N/A,3.3462883472442626,0.07228363573031792,3.3462883472442626,0.07228363573031792,0.1363867138584758,0.02477106027082398,0.0529690138926007,0.008774323830929362,0.004459725634308194,0.001419248212543271,0.1363867138584758,0.02477106027082398,0.0529690138926007,0.008774323830929362,0.004459725634308194,0.001419248212543271
Fixed Cut 60.0%,160,100,240,60.0,N/A,N/A,3.350615978240967,0.10896009997483078,3.350615978240967,0.10896009997483078,0.12663683691725605,0.015037372293593141,0.0554534645967015,0.009951250134851826,0.004925745924490053,0.0016870515967807751,0.12663683691725605,0.015037372293593141,0.0554534645967015,0.009951250134851826,0.004925745924490053,0.0016870515967807751
Fixed Cut 65.0%,140,100,260,65.0,N/A,N/A,3.417285346984863,0.3901278703202158,3.417285346984863,0.3901278703202158,0.2022301682782837,0.06639904238562938,0.09116929722452652,0.03620005603213231,0.012197142434159106,0.008315386973159311,0.2022301682782837,0.06639904238562938,0.09116929722452652,0.03620005603213231,0.012197142434159106,0.008315386973159311
Fixed Cut 70.0%,120,100,280,70.0,N/A,N/A,3.3113823413848875,0.2913511408958092,3.3113823413848875,0.2913511408958092,0.17946101452986196,0.07403181003375123,0.07471641221919789,0.03740575192023842,0.008980023255009786,0.007596895162995884,0.17946101452986196,0.07403181003375123,0.07471641221919789,0.03740575192023842,0.008980023255009786,0.007596895162995884
Fixed Cut 75.0%,100,100,300,75.0,N/A,N/A,3.191596794128418,0.22190554183511776,3.191596794128418,0.22190554183511776,0.19981664879033323,0.09273454927987146,0.08851622216832117,0.04994746505566229,0.012328097054019075,0.01086415403279028,0.19981664879033323,0.09273454927987146,0.08851622216832117,0.04994746505566229,0.012328097054019075,0.01086415403279028
Fixed Cut 80.0%,80,100,320,80.0,N/A,N/A,3.1922256469726564,0.14579861258521246,3.1922256469726564,0.14579861258521246,0.129976425184066,0.02248772605588395,0.055855881601328004,0.008263391557254663,0.005018291389115255,0.0013926709067479082,0.129976425184066,0.02248772605588395,0.055855881601328004,0.008263391557254663,0.005018291389115255,0.0013926709067479082
Fixed Cut 85.0%,60,100,340,85.0,N/A,N/A,3.221057319641113,0.13097048864609714,3.221057319641113,0.13097048864609714,0.10792181646808555,0.010719196540001481,0.048880862994342966,0.003244660666089271,0.0038087050503546075,0.00048107397878237567,0.10792181646808555,0.010719196540001481,0.048880862994342966,0.003244660666089271,0.0038087050503546075,0.00048107397878237567
Fixed Cut 90.0%,40,100,360,90.0,N/A,N/A,3.032255220413208,0.1364248365531132,3.032255220413208,0.1364248365531132,0.15369112683287783,0.031130311440175914,0.08219529311376073,0.017461231570582103,0.009785842707517693,0.0034678444710554935,0.15369112683287783,0.031130311440175914,0.08219529311376073,0.017461231570582103,0.009785842707517693,0.0034678444710554935
Window L1,120,100,280,70.0,0.009664106369018554,0.0005433658121492159,3.3690637588500976,0.24242466731637125,3.3787278652191164,0.24213617968050943,0.16186387744490954,0.0850450691925463,0.07331211185150442,0.044219872782543766,0.00901493427109371,0.009716853955654596,0.16186387744490954,0.0850450691925463,0.07331211185150442,0.044219872782543766,0.00901493427109371,0.009716853955654596
Window L2,125,100,275,68.75,0.0056192874908447266,0.0003132026661150922,3.3194344997406007,0.25038837532837954,3.3250537872314454,0.2502880632921011,0.17358866779879878,0.06223661449913124,0.08313288705359267,0.03130850237607981,0.010106354807279751,0.0059302318680905805,0.17358866779879878,0.06223661449913124,0.08313288705359267,0.03130850237607981,0.010106354807279751,0.0059302318680905805
Window Normal,290,100,110,27.500000000000004,0.010404634475708007,0.0018981935112015358,11.004098653793335,3.4206716731189437,11.014503288269044,3.422193325783907,0.06554764833346746,0.00920481515666876,0.025616922853184013,0.003508252122333927,0.0010814003436588318,0.00030646095071354716,0.06554764833346746,0.00920481515666876,0.025616922853184013,0.003508252122333927,0.0010814003436588318,0.00030646095071354716
Window RBF,120,100,280,70.0,0.006920814514160156,0.0010716451941463914,3.352817678451538,0.16181551917967082,3.359738492965698,0.1626842187648401,0.2650880278573515,0.04944425880630816,0.12324305144145313,0.025379825327956625,0.01903824289706252,0.007125093209446092,0.2650880278573515,0.04944425880630816,0.12324305144145313,0.025379825327956625,0.01903824289706252,0.007125093209446092
Window Cosine,0,100,400,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Linear,90,100,310,77.5,0.005589437484741211,0.00029128444858682914,4.300267457962036,1.3326502306058254,4.3058568954467775,1.3326208105139703,0.12687091770316214,0.04712986857496273,0.05933806274485473,0.02461515742627746,0.005752232436224824,0.004610736041419307,0.12687091770316214,0.04712986857496273,0.05933806274485473,0.02461515742627746,0.005752232436224824,0.004610736041419307
Window Clinear,135,100,265,66.25,0.005020809173583984,0.00035048676167162606,3.3349180221557617,0.06958132836816633,3.339938831329346,0.06943790489503184,0.14528838079218195,0.03281213037096776,0.06642004881441589,0.01880028997810132,0.006722780812577855,0.0032016342078945046,0.14528838079218195,0.03281213037096776,0.06642004881441589,0.01880028997810132,0.006722780812577855,0.0032016342078945046
Window Rank,125,100,275,68.75,0.006078004837036133,0.00020367157433299847,3.330041790008545,0.10208082000783904,3.336119794845581,0.10202127599660565,0.15462969272507732,0.07118171683706902,0.063526710693552,0.027100306061463207,0.0064545848929283755,0.005019273634054972,0.15462969272507732,0.07118171683706902,0.063526710693552,0.027100306061463207,0.0064545848929283755,0.005019273634054972
Window Mahalanobis,125,100,275,68.75,0.0038410186767578124,0.00017490286863200744,3.2699931144714354,0.07559761920124909,3.2738341331481933,0.07551233398548583,0.17138169830974187,0.04292005838560703,0.08065038693106316,0.0244380142110149,0.009382653056765397,0.004438834090665245,0.17138169830974187,0.04292005838560703,0.08065038693106316,0.0244380142110149,0.009382653056765397,0.004438834090665245
Window AR,65,100,335,83.75,0.008649349212646484,0.00037879295273939923,3.1113091468811036,0.174835337180517,3.11995849609375,0.17508485925151746,0.11746592091441567,0.031582379526592715,0.05533104643351261,0.017516922414836975,0.005029518446177815,0.002981778717455238,0.11746592091441567,0.031582379526592715,0.05533104643351261,0.017516922414836975,0.005029518446177815,0.002981778717455238
Window Mean,120,100,280,70.0,0.06178746223449707,0.0029875398146206817,3.2270227432250977,0.15233828763366203,3.288810205459595,0.1507030639327361,0.20628295964326732,0.11534339327929254,0.0946671294295492,0.05635036833117409,0.014232658219319022,0.015100336412788259,0.20628295964326732,0.11534339327929254,0.0946671294295492,0.05635036833117409,0.014232658219319022,0.015100336412788259
Window Median,123,100,277,69.25,0.06178746223449707,0.0029875398146206817,2.7383773803710936,0.13104786350323921,2.8001648426055907,0.13027797478916878,0.20073368688738963,0.0955474784626891,0.09226215808103432,0.04746159274150893,0.012844459799946093,0.010587500090348489,0.20073368688738963,0.0955474784626891,0.09226215808103432,0.04746159274150893,0.012844459799946093,0.010587500090348489
Binary Segmentation L1,260,100,140,35.0,0.01659879684448242,0.001675417727172824,7.5052320003509525,2.648549355365125,7.521830797195435,2.6484913644596664,0.07672158549188716,0.011180834346191743,0.030030550948612802,0.004259850767707228,0.0014516192403457953,0.0004228773241066003,0.07672158549188716,0.011180834346191743,0.030030550948612802,0.004259850767707228,0.0014516192403457953,0.0004228773241066003
Binary Segmentation L2,245,100,155,38.75,0.011200904846191406,0.005047847674070361,6.231845235824585,2.0467486801206864,6.243046140670776,2.048064949393902,0.08258443727415704,0.01275087916999275,0.03147434388389417,0.004062392033114251,0.0016362231468137365,0.0004420319617768663,0.08258443727415704,0.01275087916999275,0.03147434388389417,0.004062392033114251,0.0016362231468137365,0.0004420319617768663
Binary Segmentation Normal,285,100,115,28.749999999999996,0.015975427627563477,0.002385226418367967,8.429941654205322,3.433903217263195,8.445917081832885,3.432776917673331,0.0714640324029119,0.012954426335077273,0.027604717274621722,0.004592007125962845,0.0012963487892609848,0.00044563498740676484,0.0714640324029119,0.012954426335077273,0.027604717274621722,0.004592007125962845,0.0012963487892609848,0.00044563498740676484
Binary Segmentation RBF,260,100,140,35.0,0.015849924087524413,0.0010619684954038249,9.485660791397095,4.137179760596949,9.501510715484619,4.138122060807915,0.0766421372049531,0.015451395235402164,0.029561043668248195,0.00538370697776736,0.0014605770193285668,0.0005405271492872727,0.0766421372049531,0.015451395235402164,0.029561043668248195,0.00538370697776736,0.0014605770193285668,0.0005405271492872727
Binary Segmentation Cosine,10,100,390,97.5,0.018959665298461915,0.006992393529445033,3.8835843086242674,0.22267391180732993,3.9025439739227297,0.22590862993297092,0.1663964237732746,0.018265056511232104,0.15970051249246067,0.018236803711561313,0.03502841062882443,0.007554472976176409,0.1663964237732746,0.018265056511232104,0.15970051249246067,0.018236803711561313,0.03502841062882443,0.007554472976176409
Binary Segmentation Linear,380,100,20,5.0,0.008868122100830078,0.000569796526779703,13.10204496383667,4.625180790960877,13.1109130859375,4.625543975787054,0.06662898694668834,0.009706307888258004,0.02633265818563521,0.004154296066049194,0.0010942938698121556,0.0002857382251850246,0.06662898694668834,0.009706307888258004,0.02633265818563521,0.004154296066049194,0.0010942938698121556,0.0002857382251850246
Binary Segmentation Clinear,40,100,360,90.0,0.006524181365966797,0.00020078621325525804,3.226192331314087,0.11168130203829492,3.232716512680054,0.11175461282565655,0.15023086220367501,0.05848425015253717,0.07940449022155113,0.033527152962949884,0.009893392205630226,0.006999859768579279,0.15023086220367501,0.05848425015253717,0.07940449022155113,0.033527152962949884,0.009893392205630226,0.006999859768579279
Binary Segmentation Rank,260,100,140,35.0,0.009159231185913086,0.001480093807647577,6.391996622085571,2.0096840243753986,6.401155853271485,2.01070949796601,0.08266113204032353,0.015270223949097028,0.03136013540196013,0.005206405950821012,0.0016850271081919692,0.0005407585104086232,0.08266113204032353,0.015270223949097028,0.03136013540196013,0.005206405950821012,0.0016850271081919692,0.0005407585104086232
Binary Segmentation Mahalanobis,245,100,155,38.75,0.012307548522949218,0.0006231513841341602,6.725490093231201,1.5877246909601308,6.737797641754151,1.5877228847314793,0.07760267206566374,0.009662732902574033,0.02998527988044045,0.003615196417254453,0.0014721392900255274,0.0003192912021718418,0.07760267206566374,0.009662732902574033,0.02998527988044045,0.003615196417254453,0.0014721392900255274,0.0003192912021718418
Binary Segmentation AR,185,100,215,53.75,0.014982938766479492,0.0008020896746048068,4.396070957183838,1.4543550462244639,4.411053895950317,1.4543388650824856,0.12136055181388855,0.04879433970271736,0.04463362843107574,0.01669313771739801,0.003357464685176668,0.0022729808619602757,0.12136055181388855,0.04879433970271736,0.04463362843107574,0.01669313771739801,0.003357464685176668,0.0022729808619602757
Binary Segmentation Mean,217,100,183,45.75,0.1304267406463623,0.013147173614452943,4.518744039535522,0.8505906763438962,4.649170780181885,0.8542542516947226,0.1046713406006592,0.011260307374716186,0.037934930116869915,0.0037566239425440053,0.0024650869312475413,0.0004816888129091786,0.1046713406006592,0.011260307374716186,0.037934930116869915,0.0037566239425440053,0.0024650869312475413,0.0004816888129091786
Binary Segmentation Median,253,100,147,36.75,0.1304267406463623,0.013147173614452943,5.278270673751831,1.569767041903861,5.408697414398193,1.570604133862093,0.08279035795516876,0.01206791531321204,0.03137173693456008,0.004092446865115279,0.0016756948623567894,0.0004174145877641193,0.08279035795516876,0.01206791531321204,0.03137173693456008,0.004092446865115279,0.0016756948623567894,0.0004174145877641193
Bottom Up L1,265,100,135,33.75,0.008373546600341796,0.0011741993196697797,8.796319484710693,3.6626642081816363,8.804693031311036,3.663221592449172,0.07616324822644023,0.018451750455794964,0.02916701161088622,0.006081608382405364,0.0014297495642757187,0.000667324881264657,0.07616324822644023,0.018451750455794964,0.02916701161088622,0.006081608382405364,0.0014297495642757187,0.000667324881264657
Bottom Up L2,265,100,135,33.75,0.005921125411987305,0.0010335286044615881,7.757816362380981,3.117177169927843,7.763737487792969,3.1173052296325867,0.07867964426405738,0.013030851258620623,0.03011108743336077,0.004602387587337799,0.0015284542985289813,0.00045869390189727944,0.07867964426405738,0.013030851258620623,0.03011108743336077,0.004602387587337799,0.0015284542985289813,0.00045869390189727944
Bottom Up Normal,290,100,110,27.500000000000004,0.008145999908447266,0.0004632899193096362,13.613029718399048,2.076201500262303,13.621175718307494,2.076370715955669,0.06197137315078192,0.0038387674389318838,0.024366133743850178,0.0015995082148732673,0.0009363036684693797,8.052743843252352e-05,0.06197137315078192,0.0038387674389318838,0.024366133743850178,0.0015995082148732673,0.0009363036684693797,8.052743843252352e-05
Bottom Up RBF,265,100,135,33.75,0.005958652496337891,0.00020584090019785787,8.729566812515259,3.058326594628722,8.735525465011596,3.05851434333426,0.07652751590916802,0.018913692698883336,0.029129853221848374,0.006363245617624853,0.0014932472327214385,0.0007207351439107806,0.07652751590916802,0.018913692698883336,0.029129853221848374,0.006363245617624853,0.0014932472327214385,0.0007207351439107806
Bottom Up Cosine,15,100,385,96.25,0.004274606704711914,0.00025498641322074556,3.4133553504943848,0.31326106460467074,3.4176299571990967,0.3134997260765395,0.15995545521292928,0.013547832947494376,0.146927430247445,0.01264323621244388,0.029463842573038145,0.0044474848635984695,0.15995545521292928,0.013547832947494376,0.146927430247445,0.01264323621244388,0.029463842573038145,0.0044474848635984695
Bottom Up Linear,315,100,85,21.25,0.004958677291870117,0.0007084036159233566,7.439339923858642,3.179119345221797,7.444298601150512,3.1792324908504517,0.07732810960339111,0.011414645168493191,0.030411188001881338,0.004636140165910769,0.0014823763653350106,0.00037424186541342585,0.07732810960339111,0.011414645168493191,0.030411188001881338,0.004636140165910769,0.0014823763653350106,0.00037424186541342585
Bottom Up Clinear,40,100,360,90.0,0.00422372817993164,0.0004083991814503063,3.2255874156951903,0.33707245355444587,3.2298111438751222,0.33732105923273803,0.1503335559695048,0.033948627827981484,0.08009140237676758,0.01927954377772364,0.009591823109456986,0.003963916963344645,0.1503335559695048,0.033948627827981484,0.08009140237676758,0.01927954377772364,0.009591823109456986,0.003963916963344645
Bottom Up Rank,290,100,110,27.500000000000004,0.006149911880493164,0.0007886288113067864,10.221609735488892,2.1992083409330916,10.227759647369385,2.1986036873674157,0.06761674117615107,0.012012872586461271,0.026178085683435205,0.004219600227928818,0.0011650524912413798,0.0003937706318100785,0.06761674117615107,0.012012872586461271,0.026178085683435205,0.004219600227928818,0.0011650524912413798,0.0003937706318100785
Bottom Up Mahalanobis,265,100,135,33.75,0.004075813293457031,0.0007122925213652616,9.330772352218627,3.9962095411730014,9.334848165512085,3.996526459236079,0.07222345420064222,0.016485772311670862,0.02774522667571617,0.005496517122672172,0.0013158730841045852,0.0005756888665752564,0.07222345420064222,0.016485772311670862,0.02774522667571617,0.005496517122672172,0.0013158730841045852,0.0005756888665752564
Bottom Up AR,190,100,210,52.5,0.007537555694580078,0.0006900154638833064,5.437219333648682,1.5372576423604372,5.444756889343262,1.5375808885420734,0.10458622047750298,0.0296124461768877,0.03844168637536683,0.009840577521159471,0.0025223180919533455,0.0011909595854710429,0.10458622047750298,0.0296124461768877,0.03844168637536683,0.009840577521159471,0.0025223180919533455,0.0011909595854710429
Bottom Up Mean,220,100,180,45.0,0.0596196174621582,0.0025675002848784406,6.014041328430176,0.8531561590251275,6.073660945892334,0.8543813802564858,0.09939581237440522,0.02729773881786911,0.03665318204303134,0.008754807351874056,0.0023124546388848355,0.0011128982325037077,0.09939581237440522,0.02729773881786911,0.03665318204303134,0.008754807351874056,0.0023124546388848355,0.0011128982325037077
Bottom Up Median,265,100,135,33.75,0.0596196174621582,0.0025675002848784406,7.451770401000976,2.3293016283796706,7.511390018463135,2.328583607361536,0.08233674707660499,0.016740592864585978,0.0314885775435296,0.005289935546181798,0.0016408022730556105,0.0006359792306509756,0.08233674707660499,0.016740592864585978,0.0314885775435296,0.005289935546181798,0.0016408022730556105,0.0006359792306509756
