Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg Amount_MAPE,Std Amount_MAPE,Avg Amount_MAE,Std Amount_MAE,Avg Amount_MSE,Std Amount_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Fixed Cut 50.0%,233,117,231,49.78448275862069,N/A,N/A,3.342832088470459,0.643992649646669,3.342832088470459,0.643992649646669,0.0267650889912062,0.0028548866060935127,0.024386185034725446,0.002404349998114046,0.0014852413042267384,0.000117236284113168,0.0267650889912062,0.0028548866060935127,0.024386185034725446,0.002404349998114046,0.0014852413042267384,0.000117236284113168
Fixed Cut 55.0%,209,117,255,54.956896551724135,N/A,N/A,4.036701822280884,0.8233700621524538,4.036701822280884,0.8233700621524538,0.029653520333310805,0.002374354247033081,0.026769683551772658,0.002033365227683508,0.001445867459206896,9.931033785864008e-05,0.029653520333310805,0.002374354247033081,0.026769683551772658,0.002033365227683508,0.001445867459206896,9.931033785864008e-05
Fixed Cut 60.0%,186,117,278,59.91379310344828,N/A,N/A,3.4841923236846926,0.3568275849858693,3.4841923236846926,0.3568275849858693,0.030944144140232048,0.0018111777397984397,0.02788777953510087,0.0015551334247433022,0.0014995981190633234,7.981899414397552e-05,0.030944144140232048,0.0018111777397984397,0.02788777953510087,0.0015551334247433022,0.0014995981190633234,7.981899414397552e-05
Fixed Cut 65.0%,163,117,301,64.87068965517241,N/A,N/A,2.7283981800079347,0.22058555214921982,2.7283981800079347,0.22058555214921982,0.0326935744397029,0.0010341005687696477,0.029360748843733155,0.0008799484638627272,0.0015200142614989658,4.5568783454237644e-05,0.0326935744397029,0.0010341005687696477,0.029360748843733155,0.0008799484638627272,0.0015200142614989658,4.5568783454237644e-05
Fixed Cut 70.0%,140,117,324,69.82758620689656,N/A,N/A,3.379816436767578,0.4185844697141953,3.379816436767578,0.4185844697141953,0.03407107076567038,0.003989172498157456,0.03050615940493282,0.0034386754829922673,0.001534450242106735,0.00020023930017903937,0.03407107076567038,0.003989172498157456,0.03050615940493282,0.0034386754829922673,0.001534450242106735,0.00020023930017903937
Fixed Cut 75.0%,116,117,348,75.0,N/A,N/A,3.093051242828369,0.1882096172717012,3.093051242828369,0.1882096172717012,0.0333564591685212,0.0030133683093856774,0.02987369362148533,0.0025549684186420628,0.001472159695803876,8.685578378797104e-05,0.0333564591685212,0.0030133683093856774,0.02987369362148533,0.0025549684186420628,0.001472159695803876,8.685578378797104e-05
Fixed Cut 80.0%,93,117,371,79.95689655172413,N/A,N/A,2.904353618621826,0.5147179508114379,2.904353618621826,0.5147179508114379,0.028452568175143172,0.0007644440571674298,0.0266512607149997,0.0006932748850195691,0.001586101334333594,6.750721814519203e-05,0.028452568175143172,0.0007644440571674298,0.0266512607149997,0.0006932748850195691,0.001586101334333594,6.750721814519203e-05
Fixed Cut 85.0%,70,117,394,84.91379310344827,N/A,N/A,3.1082546710968018,0.3310513266581509,3.1082546710968018,0.3310513266581509,0.026903925958129616,0.0011191115706706482,0.025293376446202553,0.0010669615905493494,0.001558084155876945,0.00013573954510119244,0.026903925958129616,0.0011191115706706482,0.025293376446202553,0.0010669615905493494,0.001558084155876945,0.00013573954510119244
Fixed Cut 90.0%,47,117,417,89.87068965517241,N/A,N/A,2.531982660293579,0.08401050209512179,2.531982660293579,0.08401050209512179,0.027872983097296276,0.0013192975649011305,0.026088450095469402,0.0012137427982718424,0.0014965320070513765,0.00011723690192381905,0.027872983097296276,0.0013192975649011305,0.026088450095469402,0.0012137427982718424,0.0014965320070513765,0.00011723690192381905
Window L1,234,117,230,49.56896551724138,0.011098051071166992,0.0009220806505829391,3.5165390014648437,0.5149871101357677,3.5276370525360106,0.5152724572662972,0.026721718988422658,0.0020903725298741208,0.0242947987683859,0.0017933270581672455,0.0014006223129864573,8.569827987429741e-05,0.026721718988422658,0.0020903725298741208,0.0242947987683859,0.0017933270581672455,0.0014006223129864573,8.569827987429741e-05
Window L2,99,117,365,78.66379310344827,0.006225204467773438,0.0004725119288120872,3.2034096240997316,0.2974969406840876,3.2096348285675047,0.29715351344455615,0.02944026253545247,0.003816787950109591,0.027414716283141613,0.0033885023730446133,0.0014740349558205424,0.00013924120180059635,0.02944026253545247,0.003816787950109591,0.027414716283141613,0.0033885023730446133,0.0014740349558205424,0.00013924120180059635
Window Normal,99,117,365,78.66379310344827,0.010679340362548828,0.0009147248221534131,3.295953559875488,0.22784812170551771,3.306632900238037,0.22716559951082374,0.030642656932565536,0.001795093608633955,0.028511779422522688,0.001569354656925073,0.0015567024944425924,7.2113134673638e-05,0.030642656932565536,0.001795093608633955,0.028511779422522688,0.001569354656925073,0.0015567024944425924,7.2113134673638e-05
Window RBF,99,117,365,78.66379310344827,0.006540536880493164,0.0007892308791525079,3.346642827987671,0.18117366204837512,3.353183364868164,0.1816411836781949,0.03031963213939379,0.0021862367031623108,0.028236817415919494,0.001949560890126178,0.001555094284882947,0.0001126487703583647,0.03031963213939379,0.0021862367031623108,0.028236817415919494,0.001949560890126178,0.001555094284882947,0.0001126487703583647
Window Cosine,0,117,464,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Linear,414,117,50,10.775862068965516,0.005937719345092773,0.0006721983541443277,6.168030786514282,1.059183131026486,6.173968505859375,1.05908606213297,0.03168960449309714,0.0021745225770796895,0.028465548011620306,0.0018872936930622887,0.0014483540686694458,0.00011722330974510307,0.03168960449309714,0.0021745225770796895,0.028465548011620306,0.0018872936930622887,0.0014483540686694458,0.00011722330974510307
Window Clinear,269,117,195,42.025862068965516,0.005381441116333008,0.000459414277852048,4.115431022644043,0.44523783154906904,4.120812463760376,0.4455571332818797,0.030319277556994817,0.0028597627873206146,0.02732550783174357,0.0024779927891306376,0.0014474892361620044,0.00014171820666882638,0.030319277556994817,0.0028597627873206146,0.02732550783174357,0.0024779927891306376,0.0014474892361620044,0.00014171820666882638
Window Rank,99,117,365,78.66379310344827,0.009331083297729493,0.0015247627419094165,3.7130624771118166,0.29988498776498995,3.7223935604095457,0.30041658619280714,0.02970344381229549,0.002308618496568401,0.02766284953062044,0.0020269762060321226,0.00149446839380255,8.186583620567162e-05,0.02970344381229549,0.002308618496568401,0.02766284953062044,0.0020269762060321226,0.00149446839380255,8.186583620567162e-05
Window Mahalanobis,99,117,365,78.66379310344827,0.00427699089050293,0.00034994820446863147,3.5289013385772705,0.4330437249023709,3.5331783294677734,0.43316151479429654,0.02994258771515787,0.00147397196103986,0.027881928146474704,0.001319320312479255,0.0015079568410644706,8.864593769662386e-05,0.02994258771515787,0.00147397196103986,0.027881928146474704,0.001319320312479255,0.0015079568410644706,8.864593769662386e-05
Window AR,274,117,190,40.94827586206897,0.009420394897460938,0.0005487448200813046,5.169690895080566,2.267594830405844,5.179111289978027,2.2678487037534203,0.029098446916430307,0.0011702028857338849,0.026262622204966477,0.0010266298722373627,0.001380495932355608,0.00010206554725015272,0.029098446916430307,0.0011702028857338849,0.026262622204966477,0.0010266298722373627,0.001380495932355608,0.00010206554725015272
Window Mean,169,117,295,63.577586206896555,0.06889076232910156,0.0025430349258370806,3.8961931228637696,0.6927748364699546,3.965083885192871,0.6936705195938666,0.032028715516630675,0.0025824150129418327,0.02880296298334057,0.002249437777860325,0.001507342418874795,0.00014210975843115863,0.032028715516630675,0.0025824150129418327,0.02880296298334057,0.002249437777860325,0.001507342418874795,0.00014210975843115863
Window Median,99,117,365,78.66379310344827,0.06889076232910156,0.0025430349258370806,3.296271467208862,0.21784243300757447,3.365162229537964,0.21965296489307254,0.029368330941881873,0.0016274810903002855,0.02739940112068759,0.0014596529374034982,0.0015287285869309785,9.41864284442334e-05,0.029368330941881873,0.0016274810903002855,0.02739940112068759,0.0014596529374034982,0.0015287285869309785,9.41864284442334e-05
Binary Segmentation L1,444,117,20,4.310344827586207,0.020001792907714845,0.0017556012627800313,11.606945419311524,4.783440394914842,11.626947212219239,4.783188947016971,0.02443857999377508,0.00363939932283797,0.022088495622023623,0.0032298865915987387,0.0010766098369188004,0.00020394060697419096,0.02443857999377508,0.00363939932283797,0.022088495622023623,0.0032298865915987387,0.0010766098369188004,0.00020394060697419096
