Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,V1_MAPE,V1_MAE,V1_MSE,V2_MAPE,V2_MAE,V2_MSE,V3_MAPE,V3_MAE,V3_MSE,V4_MAPE,V4_MAE,V4_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Fixed Cut 50.0%,204,102,203,49.877149877149876,N/A,3.7194790840148926,3.7194790840148926,0.09770785972473119,0.08836621558701548,0.012136092418033132,0.1454373364513701,0.1569825662111984,0.029443328879825204,315679420928905.75,0.46292114680577856,0.40190300372933746,0.2694928786287712,0.7917247954380502,1.4859374149019393,78919855232226.56,0.3749986810105106,0.4823549599822836
Fixed Cut 55.0%,184,102,223,54.791154791154796,N/A,5.086426734924316,5.086426734924316,0.143978598292797,0.13245901198976368,0.03192395933816418,0.19976667652663205,0.21864581955179208,0.05946289423460665,409203534694766.75,0.39807362751784103,0.2652282923659011,0.3562125185089536,1.0146300460765518,2.3097479635391784,102300883673691.88,0.4409521262839872,0.6665907773694627
Fixed Cut 60.0%,163,102,244,59.95085995085995,N/A,2.926187038421631,2.926187038421631,0.1511719439541614,0.13878815623996316,0.030996359789870916,0.10472091617497829,0.11251256547522297,0.01530913038720985,128846694992756.2,0.4962305924511956,0.5649926112885754,0.28843359118739437,0.8375592093789572,1.6291013443387268,32211673748189.184,0.3962726308863347,0.5600998614510957
Fixed Cut 65.0%,143,102,264,64.86486486486487,N/A,3.5831379890441895,3.5831379890441895,0.12392465711514779,0.12486444018374188,0.027364233025498435,0.1251500621896936,0.1366366001928814,0.022959652879450728,128231382096971.8,0.5372004198078915,0.6640127823934947,0.3317809070256456,0.9551818614235742,2.0706791091594026,32057845524243.094,0.4384708304020221,0.6962539443644614
Fixed Cut 70.0%,123,102,284,69.77886977886978,N/A,2.723918914794922,2.723918914794922,0.20181736355626537,0.20762796850788032,0.07570285514225236,0.13918110780655926,0.15106601693725355,0.028719227507822524,150962200691205.78,0.6336723815223277,0.928463758170681,0.322605826777848,0.8761962997888546,1.6413940710521384,37740550172801.61,0.46714066668907905,0.6685699779682234
Fixed Cut 75.0%,102,102,305,74.93857493857494,N/A,2.658190965652466,2.658190965652466,0.1710425452433421,0.17555635764342423,0.05651328851718704,0.12603942751379557,0.13776528002052135,0.026198600266044616,157621064310870.56,0.5356581305665273,0.6444799366487217,0.3119383575654863,0.9008787389493504,1.8653486166813826,39405266077717.8,0.437464626794956,0.6481351105283338
Fixed Cut 80.0%,82,102,325,79.85257985257985,N/A,2.756197929382324,2.756197929382324,0.08196926800837383,0.0842865371675812,0.012628930730711795,0.13162203027916938,0.14473097109713384,0.02742243159979759,230796204667872.03,0.6689901137861745,0.9854667000227584,0.431311049716958,1.2369230303843568,3.445889952943558,57699051166968.17,0.5337326631088113,1.1178520038242068
Fixed Cut 85.0%,62,102,345,84.76658476658476,N/A,2.7508938312530518,2.7508938312530518,0.11539804432752082,0.11697766585607881,0.02031277809355988,0.27337014548945443,0.34370757513550254,0.1945024725653607,210556941183084.16,0.9884028567559782,2.279641249974526,0.3838296148561449,1.074511914146184,2.5527209688976797,52639235295771.24,0.6309000029734357,1.261794367382782
Fixed Cut 90.0%,41,102,366,89.92628992628993,N/A,3.1123368740081787,3.1123368740081787,0.4147426000865366,0.45615239755457404,0.4803162880606368,0.3734801292639228,0.46414505462523054,0.3322620592190331,140969525552915.22,173.4255304623722,77249.62849898804,0.44217201913363285,1.2249141316221754,3.2291074123231103,35242381388229.12,43.89268551154354,19313.4175461869
Window L1,307,102,100,24.57002457002457,0.01070094108581543,3.187675714492798,3.1983766555786133,0.17343057040272594,0.15734985763810994,0.031138622721666,0.23524691979158335,0.2526231844181492,0.06603864905186711,414509421441153.7,0.3045699676218043,0.13120299231975108,0.27768460779287524,0.39259395430053073,0.34976124508016077,103627355360288.6,0.27678424099464866,0.14453537729336124
Window L2,312,102,95,23.34152334152334,0.0057048797607421875,3.88118577003479,3.8868906497955322,0.15504069313647123,0.1414406030871761,0.030434274003333917,0.1947246455042334,0.21007889728869683,0.04847822895699371,351133597494563.3,0.296292776243236,0.1317301025171535,0.30561148335074545,0.4331502856339482,0.4201311194330565,87783399373641.0,0.27024064056326436,0.1576934312276344
Window Normal,137,102,270,66.33906633906635,0.01732802391052246,3.2922658920288086,3.309593915939331,0.11670475438190725,0.11967466974553445,0.023973955422763416,0.09169566112980182,0.10014355416012641,0.014776011011955909,109669928425019.62,0.5843234840262745,0.8102304131317817,0.3044683837195869,0.8704432179379811,1.7157064836416298,27417482106255.03,0.41864623146747915,0.6411717158020329
Window RBF,217,102,190,46.68304668304668,0.0065920352935791016,3.670012950897217,3.676604986190796,0.10960059461147224,0.10124532059601196,0.01901844628364991,0.10129012203178858,0.10803075254045942,0.014309892570840014,193300456899595.06,0.39446804706050187,0.32807173180797844,0.30734632675806833,0.8829753183340197,1.76414718383692,48325114224898.9,0.3716798596327481,0.5313868136248467
Window Cosine,222,102,185,45.45454545454545,0.0038580894470214844,4.494826078414917,4.4986841678619385,0.07794924359211404,0.07089940947643261,0.006959499908862354,0.13233657511707927,0.14249915104235894,0.02317541670229378,160328005065458.8,0.42897217759219247,0.3970811359345191,0.3592817973416193,0.8938241195318848,1.7569904295957863,40082001266364.85,0.38404871441071736,0.5460516205353652
Window Linear,282,102,125,30.71253071253071,0.00814199447631836,3.2966251373291016,3.30476713180542,0.09863796863221695,0.08892848816078772,0.008423847252086806,0.17248547732735697,0.18571595486914277,0.036378300262003685,434372926767104.25,0.27669625547113025,0.10855284286584918,0.31693774491375837,0.44660001635012725,0.44144575576727635,108593231691776.2,0.24948517871279702,0.14870018653680395
Window Clinear,287,102,120,29.484029484029485,0.005057811737060547,3.0929510593414307,3.098008871078491,0.05461260348315424,0.04917950366346791,0.0028500668627555992,0.18130864603193822,0.19449842823251717,0.03958170345358544,463087815755107.94,0.2778713535138693,0.09944424743601153,0.2685987338795006,0.36757601280698293,0.3026299293401513,115771953938777.11,0.2222813245542094,0.11112648677312602
Window Rank,127,102,280,68.7960687960688,0.010473251342773438,2.5826478004455566,2.59312105178833,0.05363138877073835,0.054585452238395366,0.004826468653945519,0.11729361088808855,0.12471907526965532,0.02106766314546692,173970806030508.84,0.6428419896685741,0.9415829962051541,0.3166443366393963,0.8821890756306178,1.7057755418673537,43492701507627.33,0.42608389820181064,0.6683131674679801
Window Mahalanobis,122,102,285,70.02457002457002,0.005658864974975586,2.5695688724517822,2.575227737426758,0.056552098492904754,0.056992663001698925,0.00468692601842204,0.08978324325828341,0.10015595995995225,0.01991030636097134,124591606587306.11,0.5387299166768658,0.6717807695150051,0.29916317614988225,0.8550894157396621,1.6815305257462212,31147901646826.63,0.3877419888445446,0.5944771319101548
Window AR,197,102,210,51.5970515970516,0.008762836456298828,2.8024630546569824,2.8112258911132812,0.11839399116492841,0.10718177755918185,0.014006117565542988,0.17207478775533655,0.18746709290376254,0.04352514448413404,172381732944023.3,0.5749419314737677,0.7488085427350162,0.2763188214642384,0.7647036482881584,1.3122159310576669,43095433236005.97,0.4085736125562176,0.52963893396059
Window Mean,221,102,186,45.7002457002457,0.08227872848510742,4.125910043716431,4.208188772201538,0.10338860474645406,0.09673087810541121,0.02574023673515067,0.1300854308591175,0.14146130932077403,0.02501711601555051,391834170917899.06,0.3993244585163872,0.2837024967848065,0.3460811016573086,0.9108235083514884,1.9068979302951543,97958542729474.94,0.3870850385735151,0.5603394449576655
Window Median,220,102,187,45.94594594594595,0.08227872848510742,4.259371995925903,4.341650724411011,0.178576856913617,0.1642024267162542,0.04459331423991118,0.13048430766285787,0.14006544006570812,0.022108725523090178,294303668920579.0,0.4336975200321702,0.35676847340566925,0.2917803314449196,0.8073934378951783,1.5044037171457725,73575917230144.9,0.3863397061773278,0.4819685575786104
Binary Segmentation L1,217,102,190,46.68304668304668,0.018605947494506836,3.4942078590393066,3.5128138065338135,0.1910117275834541,0.17622215159509563,0.05753009963422814,0.1241826775682287,0.13352755841528535,0.021021386843837624,112873420732912.17,0.4471595755851171,0.45850330275185747,0.2812832178749194,0.8081918823871446,1.501890236439242,28218355183228.184,0.3912752919956606,0.5097362564172913
Binary Segmentation L2,222,102,185,45.45454545454545,0.009373903274536133,3.783926010131836,3.793299913406372,0.04408143120894036,0.041056040267135996,0.004109802080212433,0.1557895016533568,0.16680581789340265,0.02973201868426624,288878179697157.7,0.4220375777785304,0.3364091659453078,0.2973969910714935,0.7478348382790739,1.261082248796823,72219544924289.55,0.3444335685545359,0.40783330887665237
Binary Segmentation Normal,217,102,190,46.68304668304668,0.022933006286621094,3.5210611820220947,3.543994188308716,0.04973981408959282,0.045103562793527445,0.003992821384518737,0.1959329869208168,0.21284468832841463,0.05089303398437235,253887905162854.7,0.43227630417640867,0.37446518908627024,0.3793012934351714,1.0747356898508855,2.5764367972389417,63471976290713.84,0.44124006128730914,0.751446960423526
Binary Segmentation RBF,222,102,185,45.45454545454545,0.012852907180786133,3.090477705001831,3.103330612182617,0.175495150848134,0.1615910480394898,0.04904679704416346,0.10985762683782375,0.1156634949092695,0.01910727210526596,213943075385818.56,0.4574181216253635,0.4334431562611818,0.2860371000593379,0.7266800751786263,1.2164433486860888,53485768846454.8,0.36533818493818737,0.42951014352417527
Binary Segmentation Cosine,147,102,260,63.882063882063875,0.011435985565185547,2.6966819763183594,2.708117961883545,0.1178487930775634,0.1162592977972563,0.036791582985233946,0.0708496068358164,0.07529639425232319,0.007355244046023835,316184536103063.25,0.5795451673308354,0.674038829998596,0.24715259365546255,0.7157206790028248,1.1805284934227198,79046134025765.92,0.3717053845958099,0.47467853761314327
Binary Segmentation Linear,222,102,185,45.45454545454545,0.011626005172729492,3.441301107406616,3.4529271125793457,0.06023508106455493,0.05535449783595789,0.005142553771875126,0.101377002057036,0.10623883455221492,0.01728310374099206,166083014087216.84,0.4633600659006109,0.4678467540819755,0.3538824472644188,0.8886406324331853,1.789796921931519,41520753521804.336,0.3783985076804923,0.5700173333815906
Binary Segmentation Clinear,122,102,285,70.02457002457002,0.008550167083740234,2.7851624488830566,2.793712615966797,0.04151413230726236,0.0420732789575493,0.002430766886174328,0.07560159364726642,0.08058639940238302,0.00847261092900574,250908580831836.0,0.6772865932473989,0.9994444239521083,0.34833769724224256,0.9957597292430194,2.232661636428652,62727145207959.12,0.44892650021258756,0.8107523595489852
