Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg USD/Bitcoin_MAPE,Std USD/Bitcoin_MAPE,Avg USD/Bitcoin_MAE,Std USD/Bitcoin_MAE,Avg USD/Bitcoin_MSE,Std USD/Bitcoin_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Window Clinear,79,155,540,87.23747980613894,0.00919036865234375,0.0011409289544824452,2.885314416885376,0.2730559847563713,2.8945047855377197,0.27395888437986177,0.2852676080120605,0.06441162316942727,0.07131696271152096,0.015593984463929818,0.006767623835884696,0.0030912158566493275,0.2852676080120605,0.06441162316942727,0.07131696271152096,0.015593984463929818,0.006767623835884696,0.0030912158566493275
Window Rank,529,155,90,14.539579967689823,0.012580633163452148,0.0019745171361492645,13.785502910614014,5.629347902957407,13.798083543777466,5.630734229554174,0.05832003918779228,0.012184465699619902,0.018510341901653522,0.003837640821348928,0.0006789909583055879,0.00023819990594275482,0.05832003918779228,0.012184465699619902,0.018510341901653522,0.003837640821348928,0.0006789909583055879,0.00023819990594275482
Window Mahalanobis,54,155,565,91.2762520193861,0.009995222091674805,0.0012212901012685188,3.19691481590271,0.18433826585921487,3.2069100379943847,0.18437163509706517,0.3825515774359555,0.03930053621920391,0.09723096689909988,0.010081337531949211,0.011549207587311962,0.002323517889877218,0.3825515774359555,0.03930053621920391,0.09723096689909988,0.010081337531949211,0.011549207587311962,0.002323517889877218
Window AR,54,155,565,91.2762520193861,0.01650261878967285,0.0023513646025922655,2.8870325088500977,0.2959735647186107,2.9035351276397705,0.29618587398883034,0.3109104168954482,0.06576307911741874,0.07920852239285868,0.01626367509448864,0.007994668656503516,0.0029879312425318237,0.3109104168954482,0.06576307911741874,0.07920852239285868,0.01626367509448864,0.007994668656503516,0.0029879312425318237
Window Mean,196,155,423,68.33602584814217,0.12009429931640625,0.009533952657911104,3.0680813789367676,0.16925234956074287,3.188175678253174,0.1754158807411512,0.10067926427589452,0.015011416174430865,0.03315279862392056,0.0058074669382257105,0.001990748184179638,0.0006670420443480776,0.10067926427589452,0.015011416174430865,0.03315279862392056,0.0058074669382257105,0.001990748184179638,0.0006670420443480776
Window Median,57,155,562,90.79159935379644,0.12009429931640625,0.009533952657911104,2.6921366691589355,0.35080823069400824,2.8122309684753417,0.3551895005249713,0.33300621036680483,0.05750949582900671,0.08462214041088248,0.014279218313545687,0.009008908044486385,0.0029794139158765033,0.33300621036680483,0.05750949582900671,0.08462214041088248,0.014279218313545687,0.009008908044486385,0.0029794139158765033
Binary Segmentation L1,49,155,570,92.08400646203555,0.028780031204223632,0.0016296662304187508,2.7811371803283693,0.1556473516695281,2.8099172115325928,0.15458210105255057,0.38559681042303073,0.03086605920442255,0.09866423312466636,0.008065775353056713,0.01171721685521352,0.0017956560609601695,0.38559681042303073,0.03086605920442255,0.09866423312466636,0.008065775353056713,0.01171721685521352,0.0017956560609601695
Binary Segmentation L2,44,155,575,92.89176090468497,0.014567375183105469,0.00031216800192317807,2.6541951179504393,0.16139172670892357,2.6687624931335447,0.16146981043393988,0.37459792445435264,0.02720597260906861,0.09553258061706346,0.006904327213337003,0.011050388954487168,0.001530829401395846,0.37459792445435264,0.02720597260906861,0.09553258061706346,0.006904327213337003,0.011050388954487168,0.001530829401395846
Binary Segmentation Normal,129,155,490,79.15993537964458,0.025932121276855468,0.0021258317920424905,2.8107643604278563,0.1708200039504542,2.836696481704712,0.16945312440388027,0.16076412407742,0.04255114954697602,0.04201220846367029,0.009557392052589906,0.0025461579781251224,0.0011003212328850047,0.16076412407742,0.04255114954697602,0.04201220846367029,0.009557392052589906,0.0025461579781251224,0.0011003212328850047
Binary Segmentation RBF,154,155,465,75.12116316639742,0.04599003791809082,0.0012589736289947183,2.924165439605713,0.24891863874795683,2.9701554775238037,0.24864449160542665,0.10214109553729706,0.004274769338213338,0.031577313587569,0.0016223441687822525,0.0017529518790833129,0.00022758428064144711,0.10214109553729706,0.004274769338213338,0.031577313587569,0.0016223441687822525,0.0017529518790833129,0.00022758428064144711
