Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,V1_MAPE,V1_MAE,V1_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Window AR,527,199,265,33.45959595959596,0.025888919830322266,16.41573977470398,16.4416286945343,0.1645404406236799,0.024523626422755445,0.0011872726921156596,0.1645404406236799,0.024523626422755445,0.0011872726921156596
Window Mean,248,199,544,68.68686868686868,0.1559891700744629,8.281822919845581,8.437812089920044,0.19706835502847228,0.02814718631652151,0.0014951145550884703,0.19706835502847228,0.02814718631652151,0.0014951145550884703
Window Median,127,199,665,83.96464646464646,0.1559891700744629,2.896132707595825,3.052121877670288,0.7743473361446144,0.07616124575609323,0.007714936801790906,0.7743473361446144,0.07616124575609323,0.007714936801790906
Binary Segmentation L1,502,199,290,36.61616161616162,0.03867006301879883,5.63647723197937,5.675147294998169,0.20796141228357948,0.03190795062643333,0.0018316082037515334,0.20796141228357948,0.03190795062643333,0.0018316082037515334
Binary Segmentation L2,12,199,780,98.48484848484848,0.018558025360107422,3.2920117378234863,3.3105697631835938,1.3779508662588047,0.23624543398222378,0.06527662701132117,1.3779508662588047,0.23624543398222378,0.06527662701132117
Binary Segmentation Normal,642,199,150,18.939393939393938,0.031014204025268555,12.33318018913269,12.364194393157959,0.17304084688025814,0.025614329827320464,0.0012969415461347616,0.17304084688025814,0.025614329827320464,0.0012969415461347616
Binary Segmentation RBF,502,199,290,36.61616161616162,0.07292008399963379,6.758239984512329,6.831160068511963,0.18725296113330878,0.02790687674372293,0.0015019906231209558,0.18725296113330878,0.02790687674372293,0.0015019906231209558
Binary Segmentation Cosine,12,199,780,98.48484848484848,0.10915684700012207,3.2099008560180664,3.3190577030181885,1.3216379915168042,0.22685640633951676,0.060464372631601614,1.3216379915168042,0.22685640633951676,0.060464372631601614
Binary Segmentation Linear,12,199,780,98.48484848484848,0.01712322235107422,3.2715139389038086,3.288637161254883,1.3203897531752224,0.22667744159034295,0.06123537138776558,1.3203897531752224,0.22667744159034295,0.06123537138776558
Binary Segmentation Clinear,17,199,775,97.85353535353535,0.013486146926879883,3.0652899742126465,3.0787761211395264,1.6445339643737367,0.2869541438745155,0.09298698485847673,1.6445339643737367,0.2869541438745155,0.09298698485847673
Binary Segmentation Rank,502,199,290,36.61616161616162,0.018954038619995117,12.712954998016357,12.731909036636353,0.1626574184568851,0.024644243844403,0.0011803317451967053,0.1626574184568851,0.024644243844403,0.0011803317451967053
Binary Segmentation Mahalanobis,12,199,780,98.48484848484848,0.1100931167602539,3.0520269870758057,3.1621201038360596,1.187782032885046,0.2076284885677303,0.05246680349171492,1.187782032885046,0.2076284885677303,0.05246680349171492
Binary Segmentation AR,217,199,575,72.6010101010101,0.04104900360107422,3.8273942470550537,3.868443250656128,0.37356239178479383,0.04778207511363161,0.004181585197974236,0.37356239178479383,0.04778207511363161,0.004181585197974236
Binary Segmentation Mean,243,199,549,69.31818181818183,0.471024751663208,5.847733020782471,6.318757772445679,0.3171836438205813,0.03998936220766244,0.0027782757973444975,0.3171836438205813,0.03998936220766244,0.0027782757973444975
Binary Segmentation Median,117,199,675,85.22727272727273,0.471024751663208,3.5241098403930664,3.9951345920562744,0.5277960143477295,0.05706599352821162,0.004989502560116948,0.5277960143477295,0.05706599352821162,0.004989502560116948
