Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,x_MAPE,x_MAE,x_MSE,y_MAPE,y_MAE,y_MSE,sin(theta)_MAPE,sin(theta)_MAE,sin(theta)_MSE,cos(theta)_MAPE,cos(theta)_MAE,cos(theta)_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Fixed Cut 50.0%,244,122,243,49.89733059548255,N/A,112.27532696723938,3.2065579891204834,115.48188495635986,0.05472876960274445,0.04907947167593604,0.004004135958020946,0.05172191752295551,0.04401232580741796,0.0026722964592184573,3.174457951825894,0.5586184274879842,0.38913353429444164,3.3214463142515736,0.4913707938743708,0.35307877599847853,1.6505887383007924,0.28577025471142736,0.1872221856775399
Fixed Cut 55.0%,220,122,267,54.82546201232032,N/A,113.89760613441467,4.174098014831543,118.07170414924622,0.05295001079519618,0.04762962759185522,0.002925429820201117,0.043151137832388414,0.037653053816040276,0.0024229855561831884,2.5272120616091702,0.556817546738051,0.391069724802047,7.499308094593512,0.564622625637807,0.41091665539785477,2.530655326207567,0.3016807134459385,0.20183369889407152
Fixed Cut 60.0%,195,122,292,59.95893223819302,N/A,109.16768908500671,3.482543706893921,112.65023279190063,0.12503188965950543,0.10338877158338408,0.01790820153707589,0.19176497155536446,0.14003237686137093,0.02552938318458979,1.5415933120842615,0.6101136466905361,0.5125241454720564,3.511790003162,0.5658471729254956,0.4333927365715545,1.3425450441152833,0.35484549201519683,0.247338616691319
Fixed Cut 65.0%,171,122,316,64.8870636550308,N/A,112.61027598381042,3.7019288539886475,116.31220483779907,0.06757598085763436,0.060223435060659074,0.005165666515383739,0.031539946609249164,0.027924230039980666,0.0011600491915192289,9.097503600952212,0.5278142767163361,0.35387589747010156,4.404788123801583,0.603432396339093,0.4699256338881352,3.400351913055169,0.3048485845390173,0.207531811766285
Fixed Cut 70.0%,147,122,340,69.81519507186859,N/A,107.44334101676941,3.5829010009765625,111.02624201774597,0.08789839375646687,0.07535678696618342,0.007674884388845274,0.04899137713341188,0.04619430557122434,0.004087775140738335,3.4362986800752138,0.5716793873028594,0.40555432757147836,2.412048854960631,0.557388171772702,0.440352607656289,1.496309326481431,0.3126546629032424,0.21441739868933773
Fixed Cut 75.0%,122,122,365,74.94866529774127,N/A,118.58592414855957,3.72131609916687,122.30724024772644,0.059583318021065576,0.052052003623028475,0.0046160912486199876,0.04631808301059952,0.040143687075526756,0.0023266100221690416,1.6609292300326401,0.5374239232281546,0.4034512826840659,3.196864298031776,0.6122440439241127,0.49521166952394036,1.2409237322740199,0.31046591446270566,0.22640141336969877
Fixed Cut 80.0%,98,122,389,79.87679671457906,N/A,103.24658107757568,3.3969902992248535,106.64357137680054,0.31522383957526956,0.1878516137766502,0.0601733012205741,0.1407302014575473,0.10854816169781428,0.018744028213506375,2.613186342203331,0.5578647396352663,0.4042990478083535,2.8563077909465546,0.5705273458551814,0.4534975288238554,1.481362043545675,0.35619796524122815,0.2341784765165723
Fixed Cut 85.0%,74,122,413,84.80492813141683,N/A,107.26589679718018,3.4029932022094727,110.66888999938965,0.06775807081786593,0.06030873905428006,0.005618210473970908,0.05755394269302338,0.0507083764371642,0.003482644317739192,1.570609932164423,0.5794229250098467,0.46178749170284095,13.710839652987975,0.6719113236452904,0.5274831675357153,3.8516903996658214,0.34058784103664547,0.2495928785075665
Fixed Cut 90.0%,49,122,438,89.93839835728953,N/A,87.15307307243347,2.2041637897491455,89.35723686218262,1.0691281362476595,0.33149651101563227,0.185259716512053,0.5470489813314234,0.23744911587574005,0.10231266889244785,1.2723870606955847,0.5081402282142259,0.45678936189437735,12.1030980344336,0.47748533519571656,0.3265133878995053,3.7479155531770676,0.3886427975753287,0.2677187837995959
Window L1,312,122,175,35.93429158110883,0.01323699951171875,72.9836790561676,2.3274478912353516,75.32436394691467,0.056820159220963014,0.052587590761776784,0.0036592128467842185,0.05951365918491092,0.05072604026650992,0.003447948080479054,3.5060495427191474,0.5534802379744408,0.3817900173245648,2.123190603216522,0.46277758300864724,0.32016126856703575,1.4363934910853857,0.2798928630028437,0.177264611704716
