Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg Pace_MAPE,Std Pace_MAPE,Avg Pace_MAE,Std Pace_MAE,Avg Pace_MSE,Std Pace_MSE,Avg Distance_MAPE,Std Distance_MAPE,Avg Distance_MAE,Std Distance_MAE,Avg Distance_MSE,Std Distance_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Fixed Cut 50.0%,151,76,149,49.666666666666664,N/A,N/A,3.0868481159210206,0.6069804736612923,3.0868481159210206,0.6069804736612923,0.24950091434295266,0.03147862504044713,0.24139365846104788,0.034915118134768386,0.06490432065756345,0.019500736593056112,0.15700586793724558,0.06019655620045049,0.17524673999318324,0.06796526133193864,0.03610861659203026,0.021635664329080196,0.2032533911400991,0.037206091610075494,0.2083201992271156,0.03898677300190839,0.05050646862479686,0.01328391011431539
Fixed Cut 55.0%,136,76,164,54.666666666666664,N/A,N/A,3.297193908691406,0.34673250761908836,3.297193908691406,0.34673250761908836,0.21095568286657698,0.02565353649967383,0.19967249939199702,0.02919513833493012,0.04407683914403757,0.011640744380618545,0.14359613740685898,0.03636450426262903,0.16041200774402004,0.04110391001776402,0.0281978930992997,0.012530358872522265,0.17727591013671795,0.01873960309858831,0.18004225356800854,0.018871333183694362,0.03613736612166864,0.0056529749154314995
Fixed Cut 60.0%,120,76,180,60.0,N/A,N/A,3.676814603805542,0.3737749794175434,3.676814603805542,0.3737749794175434,0.20630232921862562,0.02935005727861891,0.1928974144334368,0.03080839013290291,0.040732513150615726,0.011885647432809076,0.15347332141245187,0.0339685947279519,0.17213300129740278,0.03823786649924891,0.031392154191419074,0.013146450408624033,0.17988782531553874,0.029121845359329025,0.1825152078654198,0.03155407415431945,0.036062333671017396,0.011110551229003129
Fixed Cut 65.0%,105,76,195,65.0,N/A,N/A,2.8379250049591063,0.35297599379610156,2.8379250049591063,0.35297599379610156,0.2400197178312073,0.051520672864470936,0.229493059591624,0.051698003024158716,0.058635167872757195,0.021520053818867887,0.10073190572295916,0.020796729724163594,0.11280971394167576,0.023406087873050107,0.013720813248495558,0.005318396419671666,0.17037581177708325,0.024855670501951962,0.17115138676664987,0.02559481480264771,0.03617799056062637,0.01038558124611454
Fixed Cut 70.0%,90,76,210,70.0,N/A,N/A,3.2385511875152586,0.5508109950566893,3.2385511875152586,0.5508109950566893,0.22609304230221375,0.034572016294846436,0.21453910734135068,0.03464247187568748,0.050070102181386605,0.014340846606898631,0.10882365135189229,0.02600421716652275,0.12213817511479418,0.02955621282572051,0.016247621120996248,0.006678997314303278,0.16745834682705302,0.02845105442259479,0.16833864122807243,0.030310813055931744,0.033158861651191425,0.00986664484918022
Fixed Cut 75.0%,75,76,225,75.0,N/A,N/A,2.900310230255127,0.284388086744427,2.900310230255127,0.284388086744427,0.2208751558676938,0.01629534111742398,0.20831758263974845,0.01669479504421966,0.04648243203564904,0.006831297240312218,0.06768963258005757,0.03064243137785297,0.07551057239035923,0.034257875072003986,0.007465783199780241,0.006164872851588779,0.14428239422387568,0.018721149005777076,0.14191407751505386,0.021139812149552215,0.02697410761771464,0.0047759988335805735
Fixed Cut 80.0%,60,76,240,80.0,N/A,N/A,2.9054365158081055,0.45749368729551787,2.9054365158081055,0.45749368729551787,0.23148380541789448,0.026939326044242828,0.22018218969745806,0.0326823012373726,0.053151003419682645,0.015678787231278853,0.061878934055462284,0.044080300120808324,0.06886264601902657,0.04917451580082523,0.007425560063189197,0.006555027981345515,0.14668136973667836,0.01635708605164479,0.14452241785824232,0.0176920452402216,0.030288281741435923,0.005957248984843672
Fixed Cut 85.0%,45,76,255,85.0,N/A,N/A,2.6168781757354735,0.1966375763833111,2.6168781757354735,0.1966375763833111,0.27880653409144357,0.05698465725790839,0.31299430800049266,0.06823361904991546,0.11113722872296773,0.04449379405189303,0.0530400718998526,0.014308938876746622,0.05924421078675675,0.016184894083309025,0.004486106434651528,0.002476911096280228,0.16592330299564806,0.023643157386062284,0.18611925939362473,0.02860345899128406,0.057811667578809636,0.021309902986402385
Fixed Cut 90.0%,30,76,270,90.0,N/A,N/A,2.5596407890319823,0.08537840055407281,2.5596407890319823,0.08537840055407281,0.26160364415262993,0.01163810199676649,0.36666199488227186,0.0194726894663632,0.14355202421069366,0.015696885265022338,0.06947453810342463,0.025858448975859906,0.0776158103439392,0.028730820980099166,0.007856397888517089,0.004792354912262639,0.16553909112802725,0.010086831715728153,0.22213890261310545,0.01070768467248207,0.07570421104960538,0.006420611933862931
Window L1,160,76,140,46.666666666666664,0.007686042785644531,0.0006118282878960053,3.6721341133117678,0.4802540137390201,3.679820156097412,0.4806721449817353,0.24275221392616994,0.034077814867235726,0.23116071911618227,0.036974750429315605,0.058198283913762736,0.01733865806948437,0.2235958178498525,0.018214409198216604,0.2502963174090365,0.020727185934303064,0.0641868767058788,0.010188783843729501,0.23317401588801123,0.020949874963058734,0.24072851826260944,0.02267797080237545,0.06119258030982078,0.009900455672897029
Window L2,160,76,140,46.666666666666664,0.004531574249267578,0.0007028751447215144,3.3824142932891847,0.4295909773449858,3.386945867538452,0.4298951933720223,0.21942481811582393,0.021892424672061154,0.20419160003040043,0.024156550420012017,0.04442587533721413,0.010094885161409304,0.19631177222804524,0.03726456001898696,0.2198267666335915,0.042209807207603034,0.05056620625787599,0.018256205512826366,0.2078682951719346,0.025762506488103236,0.21200918333199598,0.02870897313725808,0.04749604079754506,0.012590428075427094
Window Normal,125,76,175,58.333333333333336,0.013051462173461915,0.004726062378155132,3.3309359550476074,0.7261793537245483,3.3439874172210695,0.7282790899641035,0.24502364753958164,0.05106200203655287,0.23731434548903096,0.05682653349829844,0.06436163127713629,0.03510684199369929,0.14525469507804026,0.07008248456499698,0.16233097158364876,0.07913344061183171,0.03276439842161257,0.021772546184842957,0.19513917130881098,0.02210302074973303,0.1998226585363399,0.025298319744948214,0.048563014849374427,0.013396207091595369
Window RBF,155,76,145,48.333333333333336,0.004559803009033203,0.00033670086774677363,3.979604625701904,0.24675264143692005,3.9841644287109377,0.24664929704003805,0.24619291928480685,0.014848278390485668,0.23346089259230468,0.017754548270493574,0.05767226535165731,0.009394953448507312,0.2524873141753996,0.032257672998099174,0.28307758405687294,0.03631053746378469,0.08227098359774597,0.021987987479535783,0.24934011673010326,0.022748134106908253,0.2582692383245888,0.025937596951030473,0.06997162447470164,0.015102866854216286
Window Cosine,250,76,50,16.666666666666664,0.003372669219970703,0.00021500630557401358,3.8982529640197754,0.7168808849969148,3.901625633239746,0.7168100504682869,0.24692843978564782,0.07121433401571775,0.23690626657357633,0.08375253827594731,0.06881128526330967,0.034565655174087904,0.3589102047421047,0.03641384541249884,0.40150611875812353,0.04094430303147943,0.16342064958976935,0.03147447132346708,0.3029193222638763,0.05310495329890714,0.31920619266584993,0.061751360308075764,0.11611596742653951,0.03241735137413726
Window Linear,245,76,55,18.333333333333332,0.00453643798828125,0.0008951054835393457,3.42280535697937,0.42142763106971937,3.4273417949676515,0.42140895220455077,0.20075962306439252,0.05481047914010414,0.18547223929236775,0.06582372215094504,0.042894499266876975,0.024872414464108084,0.3214204638223763,0.07859921839416645,0.3594714039487611,0.08800566013521734,0.13608774711159494,0.05664227109114005,0.26109004344338443,0.06453880519952117,0.27247182162056444,0.07489489572852147,0.08949112318923595,0.038974716485484465
