Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Dollars/Barrel_MAPE,Dollars/Barrel_MAE,Dollars/Barrel_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Fixed Cut 75.0%,100,100,300,75.0,N/A,3.4852232933044434,3.4852232933044434,0.0955895293613684,0.038286706338305596,0.0025911921631797297,0.0955895293613684,0.038286706338305596,0.0025911921631797297
Fixed Cut 80.0%,80,100,320,80.0,N/A,3.0470058917999268,3.0470058917999268,0.16951125473783615,0.06960620846243627,0.007353952281716539,0.16951125473783615,0.06960620846243627,0.007353952281716539
Fixed Cut 85.0%,60,100,340,85.0,N/A,3.161752939224243,3.161752939224243,0.10482373326875596,0.0516093759011568,0.004227251479137881,0.10482373326875596,0.0516093759011568,0.004227251479137881
Fixed Cut 90.0%,40,100,360,90.0,N/A,3.0582990646362305,3.0582990646362305,0.1316776327762268,0.0696485570976222,0.006934951449071332,0.1316776327762268,0.0696485570976222,0.006934951449071332
Window L1,120,100,280,70.0,0.009382009506225586,3.6595137119293213,3.668895721435547,0.09807530465396812,0.04482563465563783,0.0031703902870517716,0.09807530465396812,0.04482563465563783,0.0031703902870517716
Window L2,125,100,275,68.75,0.005239248275756836,3.384866952896118,3.390106201171875,0.20135118623675868,0.09693263676373769,0.0119704486325298,0.20135118623675868,0.09693263676373769,0.0119704486325298
Window Normal,290,100,110,27.500000000000004,0.00908517837524414,5.7436628341674805,5.752748012542725,0.0816054246221562,0.031722485969121285,0.0016117881940636285,0.0816054246221562,0.031722485969121285,0.0016117881940636285
Window RBF,120,100,280,70.0,0.008341073989868164,3.5660529136657715,3.5743939876556396,0.26329125935393255,0.10530553301121129,0.013769137433338395,0.26329125935393255,0.10530553301121129,0.013769137433338395
Window Cosine,0,100,400,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Linear,90,100,310,77.5,0.005484104156494141,3.4232430458068848,3.428727149963379,0.20617935673955803,0.1005022437635708,0.013517215515959354,0.20617935673955803,0.1005022437635708,0.013517215515959354
Window Clinear,135,100,265,66.25,0.0047149658203125,3.428622007369995,3.4333369731903076,0.1816704595179406,0.08836317107506118,0.010751405934462081,0.1816704595179406,0.08836317107506118,0.010751405934462081
Window Rank,125,100,275,68.75,0.006063938140869141,3.448307991027832,3.454371929168701,0.2800327592280639,0.11079153842769174,0.015317260406667714,0.2800327592280639,0.11079153842769174,0.015317260406667714
Window Mahalanobis,125,100,275,68.75,0.00386810302734375,3.346318006515503,3.3501861095428467,0.11588684605097693,0.04539042772406356,0.0034294626416514185,0.11588684605097693,0.04539042772406356,0.0034294626416514185
Window AR,65,100,335,83.75,0.008980989456176758,3.3188788890838623,3.327859878540039,0.14593126130218678,0.06135332100916498,0.005820715892609485,0.14593126130218678,0.06135332100916498,0.005820715892609485
Window Mean,120,100,280,70.0,0.061159610748291016,3.3806159496307373,3.4417755603790283,0.2101096892155696,0.0827225355227251,0.009267388569245177,0.2101096892155696,0.0827225355227251,0.009267388569245177
Window Median,123,100,277,69.25,0.061159610748291016,2.707413911819458,2.768573522567749,0.19348927432193194,0.07587825946110306,0.008017161359318445,0.19348927432193194,0.07587825946110306,0.008017161359318445
Binary Segmentation L1,260,100,140,35.0,0.015562057495117188,4.561243057250977,4.576805114746094,0.08729921418257107,0.034027223984104044,0.00186178129704189,0.08729921418257107,0.034027223984104044,0.00186178129704189
Binary Segmentation L2,245,100,155,38.75,0.008436203002929688,9.277496099472046,9.285932302474976,0.06573882842730323,0.025583631168307433,0.0010765474782510355,0.06573882842730323,0.025583631168307433,0.0010765474782510355
Binary Segmentation Normal,285,100,115,28.749999999999996,0.01459503173828125,11.14930009841919,11.16389513015747,0.05897275401276169,0.023096711680675584,0.000888551612996697,0.05897275401276169,0.023096711680675584,0.000888551612996697
Binary Segmentation RBF,260,100,140,35.0,0.014562845230102539,6.529239177703857,6.54380202293396,0.0869121459289928,0.033008815905980975,0.0018254427278137054,0.0869121459289928,0.033008815905980975,0.0018254427278137054
Binary Segmentation Cosine,10,100,390,97.5,0.015356063842773438,3.8166680335998535,3.832024097442627,0.13958479437697027,0.13234859678333982,0.023661352391844075,0.13958479437697027,0.13234859678333982,0.023661352391844075
Binary Segmentation Linear,380,100,20,5.0,0.008420944213867188,10.645830869674683,10.65425181388855,0.065940019791929,0.026010015409791035,0.0010212241037124551,0.065940019791929,0.026010015409791035,0.0010212241037124551
Binary Segmentation Clinear,40,100,360,90.0,0.006349802017211914,3.1626529693603516,3.1690027713775635,0.12671274518043735,0.06781622302767523,0.006880467902747538,0.12671274518043735,0.06781622302767523,0.006880467902747538
Binary Segmentation Rank,260,100,140,35.0,0.008408784866333008,5.389621019363403,5.398029804229736,0.08440775864723013,0.032832030763871485,0.001725608824150241,0.08440775864723013,0.032832030763871485,0.001725608824150241
Binary Segmentation Mahalanobis,245,100,155,38.75,0.011275053024291992,7.2908899784088135,7.3021650314331055,0.07076521611362127,0.027238294000066634,0.0012360267176017596,0.07076521611362127,0.027238294000066634,0.0012360267176017596
Binary Segmentation AR,185,100,215,53.75,0.015245914459228516,6.500072002410889,6.515317916870117,0.07721899739105664,0.028615021116953306,0.0014625867854461208,0.07721899739105664,0.028615021116953306,0.0014625867854461208
Binary Segmentation Mean,217,100,183,45.75,0.11821269989013672,3.2391738891601562,3.357386589050293,0.123189679714734,0.04418745622010131,0.0032840745878192105,0.123189679714734,0.04418745622010131,0.0032840745878192105
Binary Segmentation Median,253,100,147,36.75,0.11821269989013672,4.850630760192871,4.968843460083008,0.09558593128592786,0.035884394616942566,0.0021347003136708387,0.09558593128592786,0.035884394616942566,0.0021347003136708387
Bottom Up L1,265,100,135,33.75,0.008662939071655273,4.9045140743255615,4.913177013397217,0.10346496291477839,0.03784004174327086,0.0024283071516206594,0.10346496291477839,0.03784004174327086,0.0024283071516206594
Bottom Up L2,265,100,135,33.75,0.005990028381347656,13.297954082489014,13.303944110870361,0.06214830666386837,0.02451191782632751,0.0009452943474875248,0.06214830666386837,0.02451191782632751,0.0009452943474875248
Bottom Up Normal,290,100,110,27.500000000000004,0.008424758911132812,12.374931335449219,12.383356094360352,0.06255845907469884,0.024551920451358594,0.0009473359822892023,0.06255845907469884,0.024551920451358594,0.0009473359822892023
Bottom Up RBF,265,100,135,33.75,0.006139039993286133,9.922744750976562,9.928883790969849,0.06853861024775164,0.026317342448778393,0.0011573060204418722,0.06853861024775164,0.026317342448778393,0.0011573060204418722
Bottom Up Cosine,15,100,385,96.25,0.00469660758972168,3.8968560695648193,3.901552677154541,0.1764325261890032,0.1622836106587104,0.03478049638478134,0.1764325261890032,0.1622836106587104,0.03478049638478134
Bottom Up Linear,315,100,85,21.25,0.005128383636474609,5.56109094619751,5.566219329833984,0.08784388868098993,0.034792980550423014,0.0018325858013070325,0.08784388868098993,0.034792980550423014,0.0018325858013070325
Bottom Up Clinear,40,100,360,90.0,0.004734039306640625,3.7090351581573486,3.7137691974639893,0.12162565475648895,0.06282930520197294,0.006323639457715333,0.12162565475648895,0.06282930520197294,0.006323639457715333
Bottom Up Rank,290,100,110,27.500000000000004,0.007384777069091797,6.6293323040008545,6.636717081069946,0.08793915704019538,0.03323825562272197,0.00183940072756928,0.08793915704019538,0.03323825562272197,0.00183940072756928
Bottom Up Mahalanobis,265,100,135,33.75,0.003996849060058594,4.676207780838013,4.680204629898071,0.0818302469037433,0.03126618620236298,0.0016295073690144805,0.0818302469037433,0.03126618620236298,0.0016295073690144805
Bottom Up AR,190,100,210,52.5,0.006999015808105469,3.541944980621338,3.5489439964294434,0.14814020681221068,0.0531277071052256,0.0043086189148207575,0.14814020681221068,0.0531277071052256,0.0043086189148207575
Bottom Up Mean,220,100,180,45.0,0.06215643882751465,6.773317813873291,6.835474252700806,0.07702691261664649,0.03024240199978232,0.0014600855472342068,0.07702691261664649,0.03024240199978232,0.0014600855472342068
Bottom Up Median,265,100,135,33.75,0.06215643882751465,9.193273067474365,9.25542950630188,0.06929605978189629,0.027264845900645526,0.0011286310499656264,0.06929605978189629,0.027264845900645526,0.0011286310499656264
