Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,V1_MAPE,V1_MAE,V1_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Fixed Cut 85.0%,34,57,192,84.95575221238938,N/A,2.891388177871704,2.891388177871704,5.758195140917511,0.2687622760215217,0.1170975946987534,5.758195140917511,0.2687622760215217,0.1170975946987534
Fixed Cut 90.0%,23,57,203,89.82300884955751,N/A,2.391319751739502,2.391319751739502,4.878443929575465,0.2733002743758939,0.11902279278583158,4.878443929575465,0.2733002743758939,0.11902279278583158
Window L1,131,57,95,42.0353982300885,0.004464149475097656,3.7722630500793457,3.7767271995544434,5.448172590145187,0.17521460693954213,0.04888937564541826,5.448172590145187,0.17521460693954213,0.04888937564541826
Window L2,131,57,95,42.0353982300885,0.0024979114532470703,3.201399087905884,3.203896999359131,5.557554176125256,0.1785015113832854,0.04991476600093675,5.557554176125256,0.1785015113832854,0.04991476600093675
Window Normal,131,57,95,42.0353982300885,0.004053831100463867,3.687932014465332,3.691985845565796,5.438612239871735,0.17547450982709542,0.049076646484814114,5.438612239871735,0.17547450982709542,0.049076646484814114
Window RBF,131,57,95,42.0353982300885,0.0023589134216308594,3.4220759868621826,3.4244349002838135,5.444121189242991,0.1760756081156339,0.04912255472323697,5.444121189242991,0.1760756081156339,0.04912255472323697
Window Cosine,131,57,95,42.0353982300885,0.0017447471618652344,3.605012893676758,3.606757640838623,5.62395263916766,0.17924781696819295,0.0502372485112607,5.62395263916766,0.17924781696819295,0.0502372485112607
Window Linear,0,57,226,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Clinear,141,57,85,37.610619469026545,0.002064228057861328,3.556989908218384,3.559054136276245,5.603180493244836,0.17547716932319632,0.04876958118422469,5.603180493244836,0.17547716932319632,0.04876958118422469
Window Rank,131,57,95,42.0353982300885,0.003343820571899414,3.3881969451904297,3.391540765762329,5.633109909305512,0.1793036718847655,0.050666054836651764,5.633109909305512,0.1793036718847655,0.050666054836651764
Window Mahalanobis,131,57,95,42.0353982300885,0.001705169677734375,3.770744800567627,3.7724499702453613,5.555400312622479,0.17555524246715534,0.048776465445592505,5.555400312622479,0.17555524246715534,0.048776465445592505
Window AR,131,57,95,42.0353982300885,0.004176139831542969,3.2656760215759277,3.2698521614074707,5.389458419983054,0.17902336357160467,0.05050106014487103,5.389458419983054,0.17902336357160467,0.05050106014487103
Window Mean,119,57,107,47.34513274336283,0.026408910751342773,3.1960630416870117,3.2224719524383545,5.787679287881126,0.17742383794807423,0.0495577326797894,5.787679287881126,0.17742383794807423,0.0495577326797894
Window Median,131,57,95,42.0353982300885,0.026408910751342773,3.4900877475738525,3.5164966583251953,5.512009404091443,0.1775517280580901,0.049620600955583516,5.512009404091443,0.1775517280580901,0.049620600955583516
