Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Close_MAPE,Close_MAE,Close_MSE,Volume_MAPE,Volume_MAE,Volume_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Fixed Cut 50.0%,249,125,248,49.899396378269614,N/A,2.746239423751831,2.746239423751831,0.22027007554352637,0.0525632090030505,0.0039026586411784526,0.8159486867175487,0.026531161441415485,0.0011138601734360703,0.5181093811305376,0.03954718522223298,0.0025082594073072605
Fixed Cut 55.0%,224,125,273,54.929577464788736,N/A,2.5789291858673096,2.5789291858673096,0.17263349852964902,0.04111425878857393,0.002437812229305838,0.32364866481514504,0.01622761123935352,0.0009826610433691194,0.248141081672397,0.02867093501396372,0.0017102366363374781
Fixed Cut 60.0%,199,125,298,59.95975855130785,N/A,2.9632062911987305,2.9632062911987305,0.12118996350957514,0.03377815910502097,0.0017361112604493097,0.7552406627495787,0.02527443596315018,0.0011090405722161717,0.43821531312957696,0.029526297534085574,0.0014225759163327403
Fixed Cut 65.0%,174,125,323,64.98993963782696,N/A,2.871350049972534,2.871350049972534,0.09585818977505299,0.07095932055357244,0.007151947914492561,0.5280074588522364,0.07625934964806122,0.014310135232046207,0.3119328243136448,0.07360933510081685,0.010731041573269385
Fixed Cut 70.0%,150,125,347,69.81891348088531,N/A,2.5974831581115723,2.5974831581115723,0.20038385426699723,0.1647249896846927,0.0357166982529906,0.37597123782661396,0.06652349160966436,0.01499126563399042,0.2881775460468058,0.11562424064717855,0.02535398194349051
Fixed Cut 75.0%,125,125,372,74.84909456740442,N/A,2.4673550128936768,2.4673550128936768,0.09310263717615527,0.07031718954709766,0.007084348978334699,0.3649014079846156,0.09809466272129845,0.0327683580788439,0.22900202258038554,0.08420592613419803,0.019926353528589298
Fixed Cut 80.0%,100,125,397,79.87927565392354,N/A,2.3465559482574463,2.3465559482574463,0.0965444098528565,0.07085632122171709,0.00714874180817211,0.42092847332369576,0.10268882119427457,0.03169159007337589,0.2587364415882762,0.08677257120799581,0.019420165940773997
Fixed Cut 85.0%,75,125,422,84.90945674044266,N/A,2.6651620864868164,2.6651620864868164,0.11013926711041437,0.08466120276562916,0.009850893606859005,0.42835258115375413,0.1071703786688527,0.03457546566191182,0.26924592413208426,0.0959157907172409,0.022213179634385412
Fixed Cut 90.0%,50,125,447,89.93963782696177,N/A,2.829725980758667,2.829725980758667,0.12362910195126796,0.10466072632551313,0.016427463353879877,0.41155621823013017,0.10126429438604692,0.03092428182273018,0.26759266009069904,0.10296251035578001,0.023675872588305037
Window L1,127,125,370,74.44668008048289,0.01275491714477539,2.0453500747680664,2.058104991912842,0.09914722139645897,0.07898852200665207,0.008858986423334709,0.3771078912092152,0.09932113096133631,0.032955628534912344,0.23812755630283705,0.08915482648399417,0.02090730747912353
Window L2,182,125,315,63.38028169014085,0.0070269107818603516,2.4560041427612305,2.463031053543091,0.1149965490567288,0.038804097835276816,0.0020868531386667322,0.7672524826976314,0.024680186816925926,0.0010285511595645007,0.44112451587718005,0.031742142326101376,0.001557702149115617
