Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Number of Passengers_MAPE,Number of Passengers_MAE,Number of Passengers_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Window RBF,264,94,110,29.411764705882355,0.007487058639526367,4.555397033691406,4.562884092330933,0.10906039489001496,0.09151348135570635,0.012399938340191709,0.10906039489001496,0.09151348135570635,0.012399938340191709
Window Cosine,0,94,374,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Linear,0,94,374,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Clinear,254,94,120,32.0855614973262,0.0045928955078125,5.055207014083862,5.059799909591675,0.10503348342472082,0.08823620975007015,0.011020680038082957,0.10503348342472082,0.08823620975007015,0.011020680038082957
Window Rank,264,94,110,29.411764705882355,0.005226850509643555,5.905762672424316,5.91098952293396,0.10172840759835901,0.08534951437091119,0.010189420441953471,0.10172840759835901,0.08534951437091119,0.010189420441953471
Window Mahalanobis,264,94,110,29.411764705882355,0.003471851348876953,4.414345026016235,4.417816877365112,0.10386071926577924,0.08875250143470463,0.0106876512076927,0.10386071926577924,0.08875250143470463,0.0106876512076927
Window AR,264,94,110,29.411764705882355,0.007378339767456055,5.032869815826416,5.040248155593872,0.10676719842907269,0.09120074092406182,0.01179309093756726,0.10676719842907269,0.09120074092406182,0.01179309093756726
Window Mean,211,94,163,43.58288770053476,0.055252790451049805,3.3976070880889893,3.452859878540039,0.11285653368557473,0.09688860786160394,0.01361590977815853,0.11285653368557473,0.09688860786160394,0.01361590977815853
Window Median,264,94,110,29.411764705882355,0.055252790451049805,3.5100739002227783,3.565326690673828,0.10740928115222403,0.08908095793033356,0.012036026166747026,0.10740928115222403,0.08908095793033356,0.012036026166747026
Binary Segmentation L1,289,94,85,22.727272727272727,0.015130043029785156,3.7790231704711914,3.7941532135009766,0.11475121480763818,0.09864699221985322,0.014182619117104346,0.11475121480763818,0.09864699221985322,0.014182619117104346
Binary Segmentation L2,284,94,90,24.06417112299465,0.007602214813232422,4.891692161560059,4.899294376373291,0.10525738099274587,0.08838363384033542,0.011248568604722115,0.10525738099274587,0.08838363384033542,0.011248568604722115
Binary Segmentation Normal,289,94,85,22.727272727272727,0.013552188873291016,6.932628870010376,6.946181058883667,0.10283314279636527,0.08622717289701388,0.01059828519074899,0.10283314279636527,0.08622717289701388,0.01059828519074899
Binary Segmentation RBF,289,94,85,22.727272727272727,0.011960744857788086,3.492814779281616,3.5047755241394043,0.10568518708736555,0.08801939433407377,0.011168260720003447,0.10568518708736555,0.08801939433407377,0.011168260720003447
