Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Number of Passengers_MAPE,Number of Passengers_MAE,Number of Passengers_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Fixed Cut 50.0%,188,94,186,49.73262032085562,N/A,3.1984152793884277,3.1984152793884277,0.15444102615724348,0.14464736936056405,0.03260893082124902,0.15444102615724348,0.14464736936056405,0.03260893082124902
Fixed Cut 55.0%,169,94,205,54.81283422459893,N/A,3.517030954360962,3.517030954360962,0.16480593296543639,0.1547135971527103,0.03633444340450318,0.16480593296543639,0.1547135971527103,0.03633444340450318
Fixed Cut 60.0%,150,94,224,59.893048128342244,N/A,3.2829809188842773,3.2829809188842773,0.13705431032816812,0.12238251048949263,0.023016853599331543,0.13705431032816812,0.12238251048949263,0.023016853599331543
Fixed Cut 65.0%,131,94,243,64.97326203208557,N/A,3.1595239639282227,3.1595239639282227,0.12337882547163191,0.10802340264776104,0.017703179679923763,0.12337882547163191,0.10802340264776104,0.017703179679923763
Fixed Cut 70.0%,113,94,261,69.78609625668449,N/A,2.65126895904541,2.65126895904541,0.12057492090815723,0.10613522855665541,0.016745509018048877,0.12057492090815723,0.10613522855665541,0.016745509018048877
Fixed Cut 75.0%,94,94,280,74.8663101604278,N/A,3.221925973892212,3.221925973892212,0.13694407762306726,0.12498881656115358,0.02482847274874711,0.13694407762306726,0.12498881656115358,0.02482847274874711
Fixed Cut 80.0%,75,94,299,79.94652406417111,N/A,3.066802740097046,3.066802740097046,0.13276349919656566,0.1151036091306545,0.02013611689435283,0.13276349919656566,0.1151036091306545,0.02013611689435283
Fixed Cut 85.0%,57,94,317,84.75935828877004,N/A,2.7417171001434326,2.7417171001434326,0.12327295167007829,0.10911089618810756,0.018094441854630744,0.12327295167007829,0.10911089618810756,0.018094441854630744
Fixed Cut 90.0%,38,94,336,89.83957219251337,N/A,2.637784004211426,2.637784004211426,0.1280446206504457,0.11587249850280276,0.020557108535029185,0.1280446206504457,0.11587249850280276,0.020557108535029185
Window L1,54,94,320,85.56149732620321,0.008754968643188477,4.18121600151062,4.189970970153809,0.11318532682409936,0.0990079094007797,0.01397285396225216,0.11318532682409936,0.0990079094007797,0.01397285396225216
Window L2,54,94,320,85.56149732620321,0.00458979606628418,4.474710941314697,4.4793007373809814,0.11537517295507331,0.10199869224345597,0.015487570390154113,0.11537517295507331,0.10199869224345597,0.015487570390154113
Window Normal,54,94,320,85.56149732620321,0.008076906204223633,3.4834539890289307,3.4915308952331543,0.12006302810322905,0.1059766324402423,0.016837086601034792,0.12006302810322905,0.1059766324402423,0.016837086601034792
Window RBF,54,94,320,85.56149732620321,0.004976749420166016,3.3214569091796875,3.3264336585998535,0.12178869123589513,0.10680437139561713,0.01722340458900576,0.12178869123589513,0.10680437139561713,0.01722340458900576
Window Cosine,0,94,374,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Linear,0,94,374,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Clinear,64,94,310,82.88770053475936,0.004408121109008789,3.114137887954712,3.1185460090637207,0.12349320999558848,0.10954350076931949,0.018351267156799942,0.12349320999558848,0.10954350076931949,0.018351267156799942
Window Rank,54,94,320,85.56149732620321,0.0050449371337890625,3.14762282371521,3.152667760848999,0.11785627641608923,0.104092301476976,0.016232594207785795,0.11785627641608923,0.104092301476976,0.016232594207785795
Window Mahalanobis,54,94,320,85.56149732620321,0.0036618709564208984,3.3740830421447754,3.3777449131011963,0.12370747851886264,0.1075033324347038,0.017083361662485412,0.12370747851886264,0.1075033324347038,0.017083361662485412
Window AR,59,94,315,84.22459893048129,0.00726771354675293,3.315403938293457,3.32267165184021,0.12648811657610382,0.10827307464122596,0.01662880420580808,0.12648811657610382,0.10827307464122596,0.01662880420580808
Window Mean,45,94,329,87.96791443850267,0.046781063079833984,6.727723121643066,6.7745041847229,0.11095200051785642,0.09936316127272794,0.015068456587585505,0.11095200051785642,0.09936316127272794,0.015068456587585505
Window Median,54,94,320,85.56149732620321,0.046781063079833984,3.433480978012085,3.480262041091919,0.1293285177570752,0.11194586506556105,0.01893655261265574,0.1293285177570752,0.11194586506556105,0.01893655261265574
