Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,V1_MAPE,V1_MAE,V1_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Window RBF,360,135,180,33.33333333333333,0.011250972747802734,5.075061082839966,5.0863120555877686,0.03858859746627864,0.02716280396376681,0.002372615864857276,0.03858859746627864,0.02716280396376681,0.002372615864857276
Window Cosine,0,135,540,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Linear,260,135,280,51.85185185185185,0.010626792907714844,4.578370809555054,4.5889976024627686,0.03923233366195929,0.027530005284822266,0.0024939581041771193,0.03923233366195929,0.027530005284822266,0.0024939581041771193
Window Clinear,490,135,50,9.25925925925926,0.006808280944824219,3.8024370670318604,3.8092453479766846,0.04205069111275825,0.029429241082278082,0.00276959421011023,0.04205069111275825,0.029429241082278082,0.00276959421011023
Window Rank,360,135,180,33.33333333333333,0.008489131927490234,3.3656630516052246,3.374152183532715,0.038595424926127594,0.02705748343619022,0.0025125688880602045,0.038595424926127594,0.02705748343619022,0.0025125688880602045
Window Mahalanobis,360,135,180,33.33333333333333,0.007855892181396484,3.87262225151062,3.8804781436920166,0.05402041440588293,0.038519211399724584,0.003534840361371073,0.05402041440588293,0.038519211399724584,0.003534840361371073
Window AR,335,135,205,37.96296296296296,0.011775016784667969,3.1143360137939453,3.1261110305786133,0.03909160250782159,0.027504714620416724,0.0024359002495882823,0.03909160250782159,0.027504714620416724,0.0024359002495882823
Window Mean,325,135,215,39.81481481481482,0.09267854690551758,4.6444947719573975,4.737173318862915,0.048150175854322234,0.033974978423633784,0.0031777390413659052,0.048150175854322234,0.033974978423633784,0.0031777390413659052
Window Median,360,135,180,33.33333333333333,0.09267854690551758,2.999312162399292,3.0919907093048096,0.03894281826370956,0.027353984559673344,0.002481237078152212,0.03894281826370956,0.027353984559673344,0.002481237078152212
Binary Segmentation L1,360,135,180,33.33333333333333,0.02290797233581543,3.3704612255096436,3.393369197845459,0.03894875613415933,0.02729478965541631,0.0025462789957123007,0.03894875613415933,0.02729478965541631,0.0025462789957123007
Binary Segmentation L2,360,135,180,33.33333333333333,0.01755809783935547,3.1881039142608643,3.2056620121002197,0.037672006175639275,0.026446661443556833,0.002350903444965163,0.037672006175639275,0.026446661443556833,0.002350903444965163
