Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg V1_MAPE,Std V1_MAPE,Avg V1_MAE,Std V1_MAE,Avg V1_MSE,Std V1_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Window Cosine,131,57,95,42.0353982300885,0.001806926727294922,6.231634112797968e-05,3.6262019634246827,0.4252388245857907,3.6280088901519774,0.42522082845519066,5.540855218056687,0.12431868920322511,0.17774238438770915,0.002327660064259688,0.04983707303352112,0.0008628196541601885,5.540855218056687,0.12431868920322511,0.17774238438770915,0.002327660064259688,0.04983707303352112,0.0008628196541601885
Window Linear,0,57,226,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Clinear,141,57,85,37.610619469026545,0.0021178722381591797,8.22540642551407e-05,3.644809436798096,0.3460659891221303,3.646927309036255,0.3459993766996366,5.5900015520138,0.12252924306920951,0.17650816136692352,0.002153236707952602,0.049340262092105416,0.0009357667313001397,5.5900015520138,0.12252924306920951,0.17650816136692352,0.002153236707952602,0.049340262092105416,0.0009357667313001397
Window Rank,131,57,95,42.0353982300885,0.003033018112182617,0.0003541117755070949,3.6285032749176027,0.29193293062384423,3.631536293029785,0.29212258841546446,5.522470384277729,0.07353131622464827,0.17699366762592983,0.0017766585593226086,0.049574607130316105,0.0008013972414399647,5.522470384277729,0.07353131622464827,0.17699366762592983,0.0017766585593226086,0.049574607130316105,0.0008013972414399647
Window Mahalanobis,131,57,95,42.0353982300885,0.0017437934875488281,9.132894344050808e-05,3.4693069458007812,0.23284312904515286,3.47105073928833,0.2328715376796218,5.505217798297242,0.05102281392261227,0.17675224957211258,0.0015781389931455528,0.04941432968200407,0.0007179640166860404,5.505217798297242,0.05102281392261227,0.17675224957211258,0.0015781389931455528,0.04941432968200407,0.0007179640166860404
Window AR,131,57,95,42.0353982300885,0.004682493209838867,0.00033056146604068905,3.8718393325805662,0.45390609926223663,3.8765218257904053,0.4541086329993441,5.4630786734732615,0.0853524711090699,0.17770499024136308,0.0007400273889316023,0.0498210909521427,0.0003853029001051803,5.4630786734732615,0.0853524711090699,0.17770499024136308,0.0007400273889316023,0.0498210909521427,0.0003853029001051803
Window Mean,119,57,107,47.34513274336283,0.027569055557250977,0.0013786594588307136,3.4523672580718996,0.3341031483112756,3.4799363136291506,0.3338064541746743,5.666185898501559,0.1141752501197103,0.1787063602688216,0.0022194456171412357,0.05019739032448718,0.0010963879639128457,5.666185898501559,0.1141752501197103,0.1787063602688216,0.0022194456171412357,0.05019739032448718,0.0010963879639128457
Window Median,131,57,95,42.0353982300885,0.027569055557250977,0.0013786594588307136,3.716819143295288,0.3508016653000316,3.744388198852539,0.35011117481122445,5.489349594267231,0.0853315960483634,0.17607378335163737,0.0015893566373634022,0.04917989922049627,0.0007038272679156193,5.489349594267231,0.0853315960483634,0.17607378335163737,0.0015893566373634022,0.04917989922049627,0.0007038272679156193
Binary Segmentation L1,131,57,95,42.0353982300885,0.009046554565429688,0.0009652834995380254,3.7785922050476075,0.1752970549335626,3.787638759613037,0.17485616579815072,5.474650033733291,0.0822038088922548,0.1765012181536927,0.0012793130144143532,0.04937104233749566,0.00045431330940401643,5.474650033733291,0.0822038088922548,0.1765012181536927,0.0012793130144143532,0.04937104233749566,0.00045431330940401643
Binary Segmentation L2,131,57,95,42.0353982300885,0.004638814926147461,0.00014939160533459258,3.501925754547119,0.3187733289184575,3.506564569473267,0.3187526506848795,5.466188256094217,0.045051248629823765,0.17742757855469782,0.0016348216583684687,0.04978435860205436,0.0006165864241731144,5.466188256094217,0.045051248629823765,0.17742757855469782,0.0016348216583684687,0.04978435860205436,0.0006165864241731144
Binary Segmentation Normal,131,57,95,42.0353982300885,0.007930898666381836,0.0004915929666185273,3.4254650115966796,0.17680550085941027,3.4333959102630613,0.17703529069334387,5.49766681747552,0.10974956851537487,0.17770316257431698,0.0023218961848581947,0.04980910520141932,0.000891351921287793,5.49766681747552,0.10974956851537487,0.17770316257431698,0.0023218961848581947,0.04980910520141932,0.000891351921287793
Binary Segmentation RBF,131,57,95,42.0353982300885,0.0043609619140625,0.0007852173454732293,3.3934932708740235,0.18158745335860937,3.397854232788086,0.18198241972952214,5.4680884308031175,0.09971916053785254,0.1775030612583418,0.0017201519274990397,0.0497459073589307,0.0007766263485934473,5.4680884308031175,0.09971916053785254,0.1775030612583418,0.0017201519274990397,0.0497459073589307,0.0007766263485934473
