Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg V1_MAPE,Std V1_MAPE,Avg V1_MAE,Std V1_MAE,Avg V1_MSE,Std V1_MSE,Avg V2_MAPE,Std V2_MAPE,Avg V2_MAE,Std V2_MAE,Avg V2_MSE,Std V2_MSE,Avg V3_MAPE,Std V3_MAPE,Avg V3_MAE,Std V3_MAE,Avg V3_MSE,Std V3_MSE,Avg V4_MAPE,Std V4_MAPE,Avg V4_MAE,Std V4_MAE,Avg V4_MSE,Std V4_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Window L1,307,102,100,24.57002457002457,0.01416792869567871,0.0066331137161729625,3.92657675743103,0.501666144360649,3.940744686126709,0.504160514183736,0.07978087319729792,0.06056079874269255,0.07265539300694343,0.05510507876280604,0.010846746539724585,0.01309026034221364,0.23559383242546944,0.025227398973332787,0.2543896763582962,0.028824041007575088,0.07183233922034275,0.021606351132440613,360189719210057.6,78931771460087.47,0.28366644237912436,0.013216505085547694,0.11870430857921196,0.012928566915275611,0.31271757980555676,0.022179092908820017,0.4331505504926336,0.02544225440047566,0.4172195499396754,0.0443607659362504,90047429802514.55,19732942865021.883,0.2609655155592494,0.012474109438685094,0.15465073606973867,0.010791601061017812
Window L2,312,102,95,23.34152334152334,0.006907892227172851,0.0024584111539251653,3.816190767288208,0.20070940286197891,3.823098659515381,0.2014660465846506,0.0997465523007405,0.03589884500791223,0.09038897191986577,0.03307032340448391,0.012537737017613694,0.010868496095714516,0.24130600641691177,0.038071814884070736,0.26043021948786577,0.0417888846705976,0.07481340152010632,0.024308567969626826,339014309801182.3,64940081491619.02,0.28669884944174273,0.009584957949222338,0.12445043099103151,0.007807788705959934,0.29735952451246145,0.016153102888382224,0.40942804592082815,0.023466997139222637,0.3726129664761938,0.04117953666121743,84753577450295.75,16235020372904.768,0.26173652169257566,0.010156777866407764,0.14610363400123627,0.011706555907827076
Window Normal,137,102,270,66.33906633906635,0.016343355178833008,0.0016273069263577308,3.162622594833374,0.2504930065734415,3.178965950012207,0.2518678425195703,0.07425575959348436,0.03183483981181844,0.07601823390767842,0.033335268373109565,0.01274065542457371,0.010571366019856407,0.1295277992860191,0.05427876554092128,0.14186792817968966,0.0611078607829002,0.03554667038796862,0.03149308594948151,234731148758566.06,119430136309760.64,0.602968080354118,0.06276855057070638,0.8007448109395419,0.19913755398580082,0.32559583963528177,0.03491836870921335,0.9331706727759808,0.09245140720766146,1.9810784596088278,0.3629360963164374,58682787189641.66,29857534077440.16,0.4385062288043666,0.037959078301837944,0.707527649090228,0.11678101772821398
Window RBF,217,102,190,46.68304668304668,0.006652212142944336,0.0006765424011877405,3.4561148643493653,0.4187741635561688,3.4627670764923097,0.41838587052698456,0.07886606617882179,0.03209287676118958,0.07204582117890738,0.02951424208666737,0.009328418976810282,0.006582869322295891,0.14423483537725423,0.05870492060531687,0.15452713094113102,0.06445754180393369,0.031061612517827564,0.02580079485447707,256455942577917.62,122086063454841.12,0.4609856638493095,0.045933865577229685,0.42913128468263223,0.07673347958589764,0.3241223936138366,0.017498424555027516,0.9298017690084607,0.04755598630557416,1.9585315236617489,0.19307932544533454,64113985644479.55,30521515863710.29,0.40434009624445205,0.03685654591046378,0.6070132099597547,0.06947334500642846
Window Cosine,222,102,185,45.45454545454545,0.004523420333862304,0.001060647845436525,3.879854154586792,0.46681156835708254,3.8843775749206544,0.4663458254021041,0.12685292935120052,0.10805144233353307,0.11644577159506417,0.09989645115545621,0.036595735422565695,0.050917024875073595,0.19674430663962886,0.07184152637985705,0.21443667894885182,0.08062539252513232,0.06797868131900245,0.051591960779501636,203488539780400.28,139177809607242.78,0.44290301427730255,0.03857883746707774,0.4201788312437576,0.11632814899126444,0.34070203494717516,0.032446322377392756,0.8493530754963733,0.07956086705637817,1.6188737642772257,0.2919036078000662,50872134945100.24,34794452401810.707,0.40578463507939805,0.029978928499995193,0.5359067530656378,0.0772809087717718
Window Linear,282,102,125,30.71253071253071,0.007653665542602539,0.00034758576850430465,3.798029899597168,0.503264679950888,3.8056835651397707,0.5031874394188849,0.04563599428389943,0.03317825467680411,0.04119847290639216,0.029838415132394415,0.002902579435843668,0.0032417216423728332,0.20599907558480893,0.03748693736155457,0.22229596922344702,0.04131483768304465,0.05501686107942596,0.02077226703518694,407096466265176.7,147475353666743.0,0.2872232813087775,0.01923868823383987,0.12075128355869424,0.02356674787511748,0.28952098845511337,0.019901980890257947,0.40438030815784426,0.029018786153467032,0.36756077505116963,0.05097724653059206,101774116566294.3,36868838416685.74,0.23877450789911528,0.007993916455561849,0.13655787478128337,0.010383074512907263
Window Clinear,287,102,120,29.484029484029485,0.005595970153808594,0.000555997018522657,3.5103684425354005,0.5658498948276619,3.515964412689209,0.5657290525496247,0.08294931863654209,0.02515796299676991,0.07522998772654696,0.023120160521307352,0.008534241286990193,0.006291784262954292,0.20607401153155316,0.022859219841056527,0.22036455687796236,0.024379029700038586,0.05172181709390778,0.011877278550399046,401733939355010.2,43081719672774.35,0.2977565485683753,0.019154120426801893,0.1270419119018175,0.023574365091092325,0.27771404513702014,0.025061558854600628,0.3825735055932619,0.03759003780302388,0.3286954815224267,0.06404383687998641,100433484838752.69,10770429918193.584,0.2439811496915367,0.019405418403108544,0.12899836295128553,0.02191756220980725
Window Rank,127,102,280,68.7960687960688,0.012171792984008788,0.0012919287425822018,2.9584445476531984,0.23092264373996013,2.970616340637207,0.23175319759714383,0.06960774554036794,0.02240965196352053,0.07133625236209425,0.023523606610853082,0.009804227605696509,0.007209246863164168,0.11174788801887059,0.033607225836861626,0.1207345239623818,0.03646363590195909,0.02122757508802332,0.013459073608533403,158265580993077.16,38755209364878.87,0.573946026023035,0.040984130699717396,0.750314883019798,0.11538444011702721,0.33067568096086214,0.024960711243905934,0.9412723050328757,0.06808595141379603,1.9908934980773656,0.27842241137857165,39566395248269.42,9688802341219.729,0.4268222768450966,0.020518958021262364,0.6930600459477209,0.06069916788770562
Window Mahalanobis,122,102,285,70.02457002457002,0.004293203353881836,0.0008706863873802699,3.0680550575256347,0.4680388930227288,3.0723482608795165,0.4673865559983995,0.08655163032597438,0.05205097623590411,0.0884236997379591,0.053911377735358285,0.018836002940783483,0.02219497523611104,0.11579052400255836,0.035931519071668735,0.12620582039757755,0.03944272831984202,0.025511034223850614,0.014783337188516465,204171108045015.94,55696299132878.17,0.5854658071754706,0.05111800093879748,0.7615647872679011,0.15251135771196664,0.3225547410981784,0.02576013742076349,0.9202718306622829,0.06791749289535322,1.9139129928018264,0.2512636766922462,51042777011254.11,13924074783219.57,0.43009178949332244,0.025452719343309834,0.6799562043085904,0.07196991691100987
Window AR,197,102,210,51.5970515970516,0.009242820739746093,0.0009009010225676758,3.2723731994628906,0.42511433602815224,3.2816160202026365,0.42571077324453127,0.10069121029614184,0.06046202914804019,0.09201912512811475,0.055461211728496655,0.016800651132635246,0.019187181413910948,0.1691876753164768,0.07776660062531786,0.18465923615470195,0.08700864091069817,0.05645823246416791,0.059219212995516836,300735437210704.06,105892714608902.66,0.4707438195447275,0.0655138705944149,0.44433069653175766,0.18420469843253545,0.3080286513621248,0.04619951094318893,0.8766433377156752,0.12928586569947143,1.761318546247256,0.4951805938771034,75183859302676.17,26473178652225.664,0.4060163796358048,0.029511285893033506,0.5697270315939543,0.11492419346998954
Window Mean,221,102,186,45.7002457002457,0.08755226135253906,0.007066953808803226,4.423196840286255,0.3653436993677774,4.510749101638794,0.36822529838789486,0.09455200620624099,0.03651363742128227,0.08715569058012893,0.033604399649423765,0.01621417687439482,0.011195238972788015,0.1203106846558898,0.01792635514486779,0.12880597763894389,0.020715993790482373,0.021440684498488197,0.004933589286538299,214405482796810.56,105240666606657.3,0.43576096318312973,0.023414753389512204,0.398196224798252,0.06972146674966416,0.3380309440692719,0.018019700031301007,0.8755864920658684,0.043362167158039235,1.7214911335562482,0.16432459902940824,53601370699202.78,26310166651664.34,0.38182728086701767,0.014872296213566285,0.5393355549318459,0.03639268257496935
Window Median,220,102,187,45.94594594594595,0.08755226135253906,0.007066953808803226,3.887306642532349,0.49377324367742725,3.9748589038848876,0.48788754384223243,0.14005824628852423,0.07896925713446921,0.12842019890333775,0.07332332370675601,0.036414741339649705,0.03863254297387646,0.13388214526595407,0.02198319553254335,0.14338089700082704,0.025564870812913337,0.02547287451640968,0.007854912667237412,256884701781102.28,109103474841669.55,0.46312912987293975,0.022154565073212073,0.43357490092438655,0.08559667439716127,0.2889747683114868,0.01743682286601188,0.8007398997593022,0.04165746051477733,1.4820313144383737,0.13119146233373444,64221175445275.71,27275868710417.387,0.38391753138410173,0.023446603027804106,0.4943734578047049,0.031313168782116145
Binary Segmentation L1,217,102,190,46.68304668304668,0.020335626602172852,0.0028376767953624633,3.381901168823242,0.231596815999327,3.402236795425415,0.23235519830189275,0.12233759777528773,0.054680364570995496,0.11236514654419935,0.051074860071117924,0.028124499161435064,0.023956815257632526,0.15204089376874474,0.038150608010616635,0.1644428433209478,0.042551436688760255,0.033899631728915296,0.01605445629901034,184266336471958.7,54855952742394.89,0.4615752585275766,0.02383731900069447,0.45896465712156054,0.062048924476408814,0.31623221589837247,0.02625454026661532,0.9064126738834124,0.07229946912182104,1.873716103501627,0.28233691061017013,46066584117989.82,13713988185598.738,0.411198980569034,0.028267227645869863,0.5986762228783845,0.07644479407631238
Binary Segmentation L2,222,102,185,45.45454545454545,0.009803009033203126,0.001032727343586516,3.7771655559539794,0.342650425359029,3.7869685649871827,0.34325084557586943,0.05225846318107395,0.019051860112317073,0.04787534229462248,0.017680020173521663,0.004761480896255418,0.0031562536147589576,0.16979959525551588,0.03907771833595106,0.18308228123939468,0.04294511127820592,0.03982339858930337,0.018250290094215606,263127216840687.06,75220394435611.05,0.4159328725193265,0.010310536459332628,0.33881684979019716,0.039162590375128474,0.3132354068663103,0.02706500836828328,0.7892977388368028,0.06524306371479122,1.4169039898856817,0.22368960290711684,65781804210171.9,18805098608902.766,0.3590470587225367,0.01816144345580931,0.45007642979035944,0.05463591704709013
Binary Segmentation Normal,217,102,190,46.68304668304668,0.022918176651000977,0.0005310112578070343,4.083831787109375,0.9766881004998206,4.106749963760376,0.9771297867190599,0.16695617599865745,0.1320107166991982,0.15355876368144353,0.12184938790115808,0.06345864983920141,0.08077363957220486,0.17621739497680794,0.07106494078474622,0.19116374438403685,0.07845395697784446,0.05048601171641621,0.038813497406420386,313422658919810.2,124549063121470.05,0.43391622033209204,0.025446928698247943,0.35873868492972816,0.07963480749399214,0.3045194500835913,0.06917074927934788,0.8822903514907999,0.18246925175072445,1.8536823054742364,0.6642739435124488,78355664729952.72,31137265780367.52,0.415232269972093,0.04615553943119928,0.5815914129898956,0.16723563629566618
Binary Segmentation RBF,222,102,185,45.45454545454545,0.01315913200378418,0.0007072471371517236,3.474906396865845,0.3340995273543112,3.4880655288696287,0.33399730521094395,0.12137726919585984,0.06171799146189561,0.1116469643036869,0.05726355725149187,0.02728261036494174,0.02224898272325017,0.13220858064153404,0.03991762652864641,0.14145590224441018,0.044624218687305824,0.02676648116115942,0.01518110123405103,199486409094215.47,39332043753135.64,0.4492037517777772,0.029619455586795573,0.4254436938637209,0.06950897741240931,0.30136047788510717,0.018346649021875286,0.7639648955493551,0.04313292600863025,1.343667954475096,0.13921450200477292,49871602273554.01,9833010938283.902,0.36656787846880745,0.029285771209922887,0.4557901849662296,0.04350147581610711
Binary Segmentation Cosine,147,102,260,63.882063882063875,0.01148829460144043,0.00046253759218604077,2.7947495937347413,0.13481842198871302,2.806237888336182,0.13508584502188767,0.05567306197127667,0.0404486256846345,0.054202969821322035,0.040126707637692056,0.009937400480675615,0.015394884682627796,0.10457839885996864,0.03473386238591374,0.11308197823570448,0.03821043693825005,0.01731756699548956,0.010581747127098326,188451221054147.44,83089820334521.48,0.5823862329973877,0.04212914251721142,0.7583319995337473,0.1338813653581199,0.3013974818464714,0.03388015892619993,0.8676210353319891,0.09400398181459653,1.7292987055123807,0.3434455902216777,47112805263536.98,20772455083630.37,0.40432305409660074,0.02362393684100153,0.6287214181305733,0.09468787997164665
Binary Segmentation Linear,222,102,185,45.45454545454545,0.011379194259643555,0.0006735797755763999,3.8299028396606447,0.8628307574131899,3.841282033920288,0.8628676472322356,0.06961781356812198,0.04002753966492035,0.06363985705105878,0.03686172524169285,0.007944480754344042,0.007622821990509305,0.1898100136743659,0.06209560706084627,0.20515488149208147,0.06961449962581591,0.05395739978552861,0.034327626989233494,230462495015912.62,81373828614572.36,0.46344960568025517,0.01036465656962586,0.4412457257313484,0.04754188569965946,0.32800522125853476,0.023619222032825887,0.82637412802693,0.056369967067084956,1.553710285991532,0.1983774749674589,57615623753978.305,20343457153643.094,0.38965461806258145,0.023776441041472952,0.5142144730656882,0.0512718605210834
Binary Segmentation Clinear,122,102,285,70.02457002457002,0.010550498962402344,0.00444006048338491,3.1795136451721193,0.309759916575474,3.1900641441345217,0.3094074245959991,0.06237150555273961,0.029206545818662482,0.06386555445882283,0.030191401447164198,0.00905280182972671,0.007529160392150473,0.09018564053877988,0.015242299990131186,0.09693491872513234,0.017677216601256283,0.01290314630479926,0.006246242679455325,283710711393433.4,185245603196399.0,0.5862575956615853,0.05286541889926792,0.7281886277668551,0.17076996930007785,0.314236290695622,0.029538291030143427,0.8951625946728629,0.09015394191487629,1.8222556589647605,0.35525358897304954,70927677848358.47,46311400799099.734,0.4105551658796008,0.026160005614405943,0.6431000587165354,0.12328538829979377
