Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Dollars/Barrel_MAPE,Dollars/Barrel_MAE,Dollars/Barrel_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Window Linear,90,100,310,77.5,0.005293130874633789,3.2798001766204834,3.285093307495117,0.1315484831857369,0.062288959292054434,0.006200267255431264,0.1315484831857369,0.062288959292054434,0.006200267255431264
Window Clinear,135,100,265,66.25,0.0047321319580078125,3.2649662494659424,3.26969838142395,0.1289497914945873,0.06190151781048705,0.005852655626960718,0.1289497914945873,0.06190151781048705,0.005852655626960718
Window Rank,125,100,275,68.75,0.005835056304931641,3.255185842514038,3.2610208988189697,0.12390652137139167,0.051506296261964166,0.0040223782778267434,0.12390652137139167,0.051506296261964166,0.0040223782778267434
Window Mahalanobis,125,100,275,68.75,0.0036678314208984375,3.2464849948883057,3.250152826309204,0.22192408072271536,0.1075520197886507,0.014840866185840103,0.22192408072271536,0.1075520197886507,0.014840866185840103
Window AR,65,100,335,83.75,0.00896000862121582,2.9983808994293213,3.007340908050537,0.1568758514319859,0.08302627358985487,0.009877218467114868,0.1568758514319859,0.08302627358985487,0.009877218467114868
Window Mean,120,100,280,70.0,0.06001877784729004,3.2079477310180664,3.2679665088653564,0.09597656111983446,0.042500171131112374,0.002860154240889311,0.09597656111983446,0.042500171131112374,0.002860154240889311
Window Median,123,100,277,69.25,0.06001877784729004,2.637855052947998,2.697873830795288,0.10454333856010704,0.048112230282181735,0.0036433615120857517,0.10454333856010704,0.048112230282181735,0.0036433615120857517
Binary Segmentation L1,260,100,140,35.0,0.015666961669921875,5.806215047836304,5.821882009506226,0.08511307862442409,0.032631262676186365,0.001781519678215088,0.08511307862442409,0.032631262676186365,0.001781519678215088
Binary Segmentation L2,245,100,155,38.75,0.007925748825073242,4.946846008300781,4.9547717571258545,0.09786937048652437,0.036012536605540005,0.0021959577543071477,0.09786937048652437,0.036012536605540005,0.0021959577543071477
Binary Segmentation Normal,285,100,115,28.749999999999996,0.014451026916503906,12.614078044891357,12.628529071807861,0.0594217178171481,0.023353509511665472,0.0008874410216455857,0.0594217178171481,0.023353509511665472,0.0008874410216455857
Binary Segmentation RBF,260,100,140,35.0,0.015869855880737305,6.559093952178955,6.574963808059692,0.08228121027820427,0.03175772450481342,0.0016280385658424112,0.08228121027820427,0.03175772450481342,0.0016280385658424112
Binary Segmentation Cosine,10,100,390,97.5,0.015857219696044922,3.538590908050537,3.554448127746582,0.16852351649080102,0.1620525993391234,0.03586844258046625,0.16852351649080102,0.1620525993391234,0.03586844258046625
Binary Segmentation Linear,380,100,20,5.0,0.008433103561401367,13.52981686592102,13.538249969482422,0.06272571271512156,0.02470018216729185,0.0009661314857606671,0.06272571271512156,0.02470018216729185,0.0009661314857606671
Binary Segmentation Clinear,40,100,360,90.0,0.006346940994262695,3.114701986312866,3.121048927307129,0.10631227559342672,0.05549451736059669,0.004660513337835973,0.10631227559342672,0.05549451736059669,0.004660513337835973
Binary Segmentation Rank,260,100,140,35.0,0.008502006530761719,8.214175939559937,8.222677946090698,0.06891193902383477,0.02618277976330489,0.0012409273113242595,0.06891193902383477,0.02618277976330489,0.0012409273113242595
Binary Segmentation Mahalanobis,245,100,155,38.75,0.012593269348144531,7.856555938720703,7.869149208068848,0.08410903966731775,0.03225738983074571,0.0016883253021653625,0.08410903966731775,0.03225738983074571,0.0016883253021653625
Binary Segmentation AR,185,100,215,53.75,0.015704870223999023,3.5967419147491455,3.6124467849731445,0.1243458730426834,0.04799512579654608,0.003524601934296694,0.1243458730426834,0.04799512579654608,0.003524601934296694
Binary Segmentation Mean,217,100,183,45.75,0.12135100364685059,5.2309160232543945,5.352267026901245,0.10197315696306224,0.036934509087441704,0.002300542162887762,0.10197315696306224,0.036934509087441704,0.002300542162887762
Binary Segmentation Median,253,100,147,36.75,0.12135100364685059,6.282116889953613,6.403467893600464,0.08159906424644744,0.031095979371015426,0.0016035859692104647,0.08159906424644744,0.031095979371015426,0.0016035859692104647
Bottom Up L1,265,100,135,33.75,0.010265827178955078,12.44482421875,12.455090045928955,0.06399928316834112,0.02516420644094562,0.0009747337649164276,0.06399928316834112,0.02516420644094562,0.0009747337649164276
Bottom Up L2,265,100,135,33.75,0.005646705627441406,5.954295873641968,5.959942579269409,0.0914467193153155,0.03465315216671901,0.001985153921564304,0.0914467193153155,0.03465315216671901,0.001985153921564304
Bottom Up Normal,290,100,110,27.500000000000004,0.008758068084716797,14.395057201385498,14.403815269470215,0.06320804573391234,0.0248464588864742,0.0009623065450997599,0.06320804573391234,0.0248464588864742,0.0009623065450997599
Bottom Up RBF,265,100,135,33.75,0.0061092376708984375,12.14917516708374,12.155284404754639,0.06377367650381528,0.024699485481278084,0.0010308294698198317,0.06377367650381528,0.024699485481278084,0.0010308294698198317
Bottom Up Cosine,15,100,385,96.25,0.004281044006347656,3.2890548706054688,3.2933359146118164,0.15552839044546682,0.14262189077801307,0.02802478164039832,0.15552839044546682,0.14262189077801307,0.02802478164039832
Bottom Up Linear,315,100,85,21.25,0.004705905914306641,5.378665208816528,5.383371114730835,0.08404397687526288,0.033665492997130064,0.001669581355344704,0.08404397687526288,0.033665492997130064,0.001669581355344704
Bottom Up Clinear,40,100,360,90.0,0.004080772399902344,3.1460628509521484,3.150143623352051,0.13268449405990285,0.07085017569118218,0.007778132971595882,0.13268449405990285,0.07085017569118218,0.007778132971595882
Bottom Up Rank,290,100,110,27.500000000000004,0.00571894645690918,12.572165966033936,12.577884912490845,0.06595946374585693,0.025631971220030938,0.0011253059107843475,0.06595946374585693,0.025631971220030938,0.0011253059107843475
Bottom Up Mahalanobis,265,100,135,33.75,0.0034770965576171875,5.261972904205322,5.2654500007629395,0.09677170801607415,0.03573565431968635,0.0021862355864215323,0.09677170801607415,0.03573565431968635,0.0021862355864215323
Bottom Up AR,190,100,210,52.5,0.008587837219238281,5.904417037963867,5.9130048751831055,0.09590030203625308,0.035810428777782184,0.002136405193933454,0.09590030203625308,0.035810428777782184,0.002136405193933454
Bottom Up Mean,220,100,180,45.0,0.06163144111633301,5.945292949676514,6.006924390792847,0.10842662410043424,0.03924205010596275,0.0025663701348572166,0.10842662410043424,0.03924205010596275,0.0025663701348572166
Bottom Up Median,265,100,135,33.75,0.06163144111633301,5.29872989654541,5.360361337661743,0.10743366818113556,0.03916913142842379,0.002590001986700864,0.10743366818113556,0.03916913142842379,0.002590001986700864
