Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg Exchange rate_MAPE,Std Exchange rate_MAPE,Avg Exchange rate_MAE,Std Exchange rate_MAE,Avg Exchange rate_MSE,Std Exchange rate_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Window Linear,132,50,65,32.99492385786802,0.0022134780883789062,0.0004143237148416079,3.251331615447998,0.773974621062275,3.2535450935363768,0.7736047645531217,0.04431910193308106,0.007380227998727817,0.0240225651594548,0.004397123119885549,0.0008743850331232566,0.0003637032520364818,0.04431910193308106,0.007380227998727817,0.0240225651594548,0.004397123119885549,0.0008743850331232566,0.0003637032520364818
Window Clinear,112,50,85,43.14720812182741,0.001775360107421875,8.158595292566334e-05,2.8319791316986085,0.736984696609006,2.8337544918060305,0.7369729808483415,0.04197491015140368,0.0020281695809079817,0.02293533259426729,0.0011527527720662399,0.0007769303108755242,7.543853758146896e-05,0.04197491015140368,0.0020281695809079817,0.02293533259426729,0.0011527527720662399,0.0007769303108755242,7.543853758146896e-05
Window Rank,82,50,115,58.37563451776649,0.0027053356170654297,0.00021208374577871603,2.2979502201080324,0.1485621930245213,2.300655555725098,0.14846782164183464,0.05572118962796657,0.006315285375682633,0.04173011238142728,0.004691987210786849,0.002572210295076779,0.0005181180775680321,0.05572118962796657,0.006315285375682633,0.04173011238142728,0.004691987210786849,0.002572210295076779,0.0005181180775680321
Window Mahalanobis,82,50,115,58.37563451776649,0.0017232418060302735,0.0002621003984779754,2.2929595947265624,0.37229664752297126,2.294682836532593,0.37253776868033095,0.05357283102100634,0.0032833431787355556,0.04000560614060714,0.002508238706843408,0.0023473415608722906,0.0002738021990273588,0.05357283102100634,0.0032833431787355556,0.04000560614060714,0.002508238706843408,0.0023473415608722906,0.0002738021990273588
Window AR,82,50,115,58.37563451776649,0.0032440185546875,0.00021637905352781778,2.2369834423065185,0.164371395682356,2.240227460861206,0.16434470016840225,0.0537103523493099,0.0028313608978521062,0.04006633086976541,0.002162679748941092,0.0023407565753154336,0.00022044304061327375,0.0537103523493099,0.0028313608978521062,0.04006633086976541,0.002162679748941092,0.0023407565753154336,0.00022044304061327375
Window Mean,82,50,115,58.37563451776649,0.025517606735229494,0.0045598742855984765,2.468570184707642,0.17481768253311583,2.494087791442871,0.17550184098645472,0.055355403201117356,0.004285070039703443,0.041470190887133065,0.0033000381539623376,0.0025490523771350445,0.00041118915365660205,0.055355403201117356,0.004285070039703443,0.041470190887133065,0.0033000381539623376,0.0025490523771350445,0.00041118915365660205
Window Median,82,50,115,58.37563451776649,0.025517606735229494,0.0045598742855984765,2.4841503143310546,0.4670689057335666,2.509667921066284,0.4664190221274398,0.05875105663467156,0.006294080321474892,0.044025407487543036,0.004859629741317888,0.0028658029069410654,0.0005710609642068295,0.05875105663467156,0.006294080321474892,0.044025407487543036,0.004859629741317888,0.0028658029069410654,0.0005710609642068295
Binary Segmentation L1,82,50,115,58.37563451776649,0.008209228515625,0.0005602287965655767,2.424324083328247,0.34481230877401164,2.432533311843872,0.3453021155719096,0.058594796370549956,0.006370580639024083,0.04371275461796551,0.004675740512588474,0.002723468339442782,0.00047582088923621635,0.058594796370549956,0.006370580639024083,0.04371275461796551,0.004675740512588474,0.002723468339442782,0.00047582088923621635
Binary Segmentation L2,82,50,115,58.37563451776649,0.004473161697387695,0.0005769367147520066,2.4931074142456056,0.08457903965608539,2.497580575942993,0.08473376256146761,0.05528083946961507,0.006366539208587281,0.04133873711165906,0.00487460095353384,0.0025224288015903177,0.0005591467803735977,0.05528083946961507,0.006366539208587281,0.04133873711165906,0.00487460095353384,0.0025224288015903177,0.0005591467803735977
Binary Segmentation Normal,82,50,115,58.37563451776649,0.007924270629882813,0.0011598154073477818,2.391279172897339,0.24667861585995912,2.3992034435272216,0.24737135628733992,0.05738803863007492,0.0034181100766741564,0.04303197826894932,0.002611917105161251,0.0027354901486543667,0.00032074814322099944,0.05738803863007492,0.0034181100766741564,0.04303197826894932,0.002611917105161251,0.0027354901486543667,0.00032074814322099944
