Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg Number of Passengers_MAPE,Std Number of Passengers_MAPE,Avg Number of Passengers_MAE,Std Number of Passengers_MAE,Avg Number of Passengers_MSE,Std Number of Passengers_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Fixed Cut 50.0%,188,94,186,49.73262032085562,N/A,N/A,3.317880058288574,0.7194594609345604,3.317880058288574,0.7194594609345604,0.1433823882426732,0.01866499498442922,0.13179174802694382,0.021022477596888287,0.027331944994095036,0.008711459818517772,0.1433823882426732,0.01866499498442922,0.13179174802694382,0.021022477596888287,0.027331944994095036,0.008711459818517772
Fixed Cut 55.0%,169,94,205,54.81283422459893,N/A,N/A,3.4761869430541994,0.17349854710785786,3.4761869430541994,0.17349854710785786,0.13995303426160152,0.017357555904307483,0.12797473927830616,0.019312467707141127,0.025661662290594144,0.007862896896712239,0.13995303426160152,0.017357555904307483,0.12797473927830616,0.019312467707141127,0.025661662290594144,0.007862896896712239
Fixed Cut 60.0%,150,94,224,59.893048128342244,N/A,N/A,3.7365299701690673,0.5588265298843479,3.7365299701690673,0.5588265298843479,0.1314206416639121,0.004185527311036233,0.11966899245141349,0.003720023973408278,0.022209126760251337,0.0016299841792157225,0.1314206416639121,0.004185527311036233,0.11966899245141349,0.003720023973408278,0.022209126760251337,0.0016299841792157225
Fixed Cut 65.0%,131,94,243,64.97326203208557,N/A,N/A,3.2416228294372558,0.12473064105861884,3.2416228294372558,0.12473064105861884,0.13302263123053346,0.013181362024481613,0.12079656120446966,0.015063384996171896,0.022941922432583344,0.006334451099531161,0.13302263123053346,0.013181362024481613,0.12079656120446966,0.015063384996171896,0.022941922432583344,0.006334451099531161
Fixed Cut 70.0%,113,94,261,69.78609625668449,N/A,N/A,2.8369108200073243,0.23879076277144598,2.8369108200073243,0.23879076277144598,0.12976682934285952,0.008464211861429507,0.11638489892761568,0.009643346574573558,0.021026873124248148,0.00421175917173234,0.12976682934285952,0.008464211861429507,0.11638489892761568,0.009643346574573558,0.021026873124248148,0.00421175917173234
Fixed Cut 75.0%,94,94,280,74.8663101604278,N/A,N/A,3.249668312072754,0.08885236098293112,3.249668312072754,0.08885236098293112,0.12964656486040282,0.007954967666654373,0.11547912956217356,0.007913797113602662,0.020342758395271023,0.0032906036720480544,0.12964656486040282,0.007954967666654373,0.11547912956217356,0.007913797113602662,0.020342758395271023,0.0032906036720480544
Fixed Cut 80.0%,75,94,299,79.94652406417111,N/A,N/A,3.13867244720459,0.10723013287983353,3.13867244720459,0.10723013287983353,0.12725047166114256,0.004450631700523487,0.11204029151703566,0.0035900341058261944,0.019100307465542365,0.0013753817914087044,0.12725047166114256,0.004450631700523487,0.11204029151703566,0.0035900341058261944,0.019100307465542365,0.0013753817914087044
Fixed Cut 85.0%,57,94,317,84.75935828877004,N/A,N/A,2.756891441345215,0.1792949194832068,2.756891441345215,0.1792949194832068,0.12336806398545064,0.0012490008177384194,0.10843378594188771,0.0014039400368703661,0.017787046923692176,0.0005757969289994941,0.12336806398545064,0.0012490008177384194,0.10843378594188771,0.0014039400368703661,0.017787046923692176,0.0005757969289994941
Fixed Cut 90.0%,38,94,336,89.83957219251337,N/A,N/A,2.777984380722046,0.1607486915681107,2.777984380722046,0.1607486915681107,0.12884673324774945,0.004237313423319906,0.11656352444802226,0.004514672223406808,0.020969562355428486,0.0019786040219899217,0.12884673324774945,0.004237313423319906,0.11656352444802226,0.004514672223406808,0.020969562355428486,0.0019786040219899217
Window L1,54,94,320,85.56149732620321,0.009357595443725586,0.0008655774381555782,3.6963037967681887,0.47722899917655687,3.705661392211914,0.4774176169244716,0.11927978390219642,0.0036516872435220496,0.10469174197718119,0.0032579518362655857,0.01623143648676183,0.0013154347901201571,0.11927978390219642,0.0036516872435220496,0.10469174197718119,0.0032579518362655857,0.01623143648676183,0.0013154347901201571
