Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg x_MAPE,Std x_MAPE,Avg x_MAE,Std x_MAE,Avg x_MSE,Std x_MSE,Avg y_MAPE,Std y_MAPE,Avg y_MAE,Std y_MAE,Avg y_MSE,Std y_MSE,Avg sin(theta)_MAPE,Std sin(theta)_MAPE,Avg sin(theta)_MAE,Std sin(theta)_MAE,Avg sin(theta)_MSE,Std sin(theta)_MSE,Avg cos(theta)_MAPE,Std cos(theta)_MAPE,Avg cos(theta)_MAE,Std cos(theta)_MAE,Avg cos(theta)_MSE,Std cos(theta)_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Fixed Cut 55.0%,220,122,267,54.82546201232032,N/A,N/A,4.121186780929565,0.3291683933615332,4.121186780929565,0.3291683933615332,0.04074746255997408,0.003924823205099863,0.03844296908762374,0.003595502631947387,0.0023599241760342083,0.000530432528195678,0.06270976600876436,0.008979103839940878,0.05190547167489172,0.0075103407776959345,0.003693591257904523,0.0010153677733924437,0.8977470631492874,0.0643773611627901,0.451187196747888,0.014256371638429332,0.2663206544557152,0.018283934266089662,0.722480248012644,0.014629587393251835,0.49356508079354966,0.015494884367272891,0.31088422429929585,0.023154564845663937,0.4309211349326674,0.01583133007575564,0.25877517957598833,0.003779383117212322,0.1458145985472374,0.005741624778346836
Fixed Cut 60.0%,195,122,292,59.95893223819302,N/A,N/A,3.818659448623657,0.34973969813087746,3.818659448623657,0.34973969813087746,0.05437904466011255,0.01368799190229987,0.051071116151433046,0.013325082430435566,0.004194590986481225,0.002624307199636145,0.05188034450123684,0.015430252260065924,0.044764094921271994,0.013502002527022426,0.002929639810510664,0.0015283980754087088,0.9076288827021941,0.06651819934302475,0.4496270149746125,0.01491974157630365,0.27280841429979286,0.019811542188916044,0.6982680121919437,0.02510317736528688,0.4870325936106378,0.013377324182621195,0.3276146643345237,0.020834745010545427,0.4280390710138719,0.026039137801125312,0.2581237049144889,0.010228709600073627,0.1518868273578271,0.00974822421140281
Fixed Cut 65.0%,171,122,316,64.8870636550308,N/A,N/A,3.8908708095550537,0.862181802506545,3.8908708095550537,0.862181802506545,0.045989148941959816,0.009372246800940473,0.042927124723464306,0.008837915818938707,0.0029594891549625984,0.0011614688177771723,0.0467590879936542,0.011319667276788788,0.040747485183768646,0.009579751325596533,0.0024043321213431147,0.0010768297938289339,0.8845060521966374,0.03422313076305853,0.4708540657833636,0.01579077468701465,0.28588897791327406,0.01816878968456599,0.733984731333631,0.02303824043475007,0.5087457430738135,0.019456029951610842,0.33245662239015755,0.0275717212079995,0.42780975511647057,0.012205193881170823,0.26581860469110263,0.007010267916452484,0.15592735539493432,0.010455228812416329
Fixed Cut 70.0%,147,122,340,69.81519507186859,N/A,N/A,2.961942958831787,0.13483985188640527,2.961942958831787,0.13483985188640527,0.048266631212872314,0.00973185701041239,0.045051547747913624,0.009129128204363004,0.0032689752338963983,0.0013463241508741915,0.05670561766667782,0.0076454737705603714,0.04879124210201367,0.0066346503109933844,0.003473019669425788,0.0010185202004465725,0.8010502962641886,0.022311521862971175,0.45688290264596565,0.015046964595076371,0.26569710926711354,0.018485019717011573,0.7317956414320003,0.014346149334917447,0.5116422952575265,0.012154286955258366,0.3408451346950522,0.016941455504501355,0.4094545466439347,0.006430281498549386,0.265591996938355,0.0054964902202080165,0.15332105971637194,0.007250961116449197
Fixed Cut 75.0%,122,122,365,74.94866529774127,N/A,N/A,2.980439281463623,0.33450262368145073,2.980439281463623,0.33450262368145073,0.11734644170524802,0.10327604349645061,0.10858995577708191,0.09528289777818721,0.023727717794529226,0.03345620191295217,0.11614402931647355,0.10342325837818976,0.10190188254318647,0.09167558681863923,0.025530629950813195,0.043512627720729904,1.1202131663784265,0.04965786085134143,0.47657726157761354,0.014884675882896083,0.3212018245902228,0.018026073818499903,0.7354326009628678,0.03263106636090136,0.49754940987016766,0.018415287088045042,0.3564792824903353,0.03070801221078835,0.5222840595907539,0.057573213218196403,0.2961546274420125,0.04375148354026821,0.18173486370647512,0.023518423083642433
Fixed Cut 80.0%,98,122,389,79.87679671457906,N/A,N/A,2.6235527992248535,0.09379872898825935,2.6235527992248535,0.09379872898825935,0.11596834923676537,0.07922470621696152,0.10689801003854023,0.07316607010068539,0.02803863490576172,0.03275902744048673,0.14048321178352202,0.1121773133433443,0.12517316165203765,0.10124351004267931,0.029691218189589263,0.03669146658030224,0.9574838052009593,0.06125254674346216,0.4925690640697327,0.0371451485003415,0.316887635118771,0.05031926428763778,0.7685080175478057,0.0756638821093017,0.5100589027967575,0.02828136934332864,0.36623815985447444,0.06873017536149191,0.4956108459422631,0.07544030112171331,0.3086747846392671,0.05397331842124444,0.1852139120171491,0.04213848567355659
Fixed Cut 85.0%,74,122,413,84.80492813141683,N/A,N/A,3.171992874145508,0.21389170581163655,3.171992874145508,0.21389170581163655,0.0652217412559208,0.019707375113248996,0.05974821358219024,0.01867203593768329,0.0062358462868303145,0.0038270111900550593,0.09103572769184134,0.07399777999959493,0.08116466088695226,0.06800050493706583,0.01376259668739544,0.020770042773060816,0.9702621622780281,0.07498557882619403,0.48630571886848006,0.04523906046159333,0.3128661041106223,0.06134082193975186,0.8481106119921359,0.06592869645402073,0.5450204294651085,0.04603207480141088,0.35979313506861194,0.05924293439459958,0.49365756080448153,0.04023073631436914,0.2930597557006829,0.03326300082661718,0.173164420538365,0.0313642424814863
Fixed Cut 90.0%,49,122,438,89.93839835728953,N/A,N/A,3.417639207839966,0.2932872428090048,3.417639207839966,0.2932872428090048,0.1425966494298657,0.048172770306594705,0.1375922374227438,0.04557228982339211,0.03768090049531923,0.018284753849316493,0.14228388765609168,0.062068039389934306,0.12760630644071666,0.057166365476250126,0.03507670933867317,0.02709848792170736,1.8384206940203616,0.189271136958508,0.5873399153943976,0.06337505394607211,0.6019878827630254,0.13604285677680125,0.7895255528385741,0.05918364801867053,0.4990790984230368,0.02868282298659996,0.38756504451431656,0.0551970523889049,0.7282066959862233,0.03421017922708867,0.3379043894202237,0.01334588010005357,0.2655776342778336,0.031054587532626896
Window L1,312,122,175,35.93429158110883,0.017012596130371094,0.0026332447556077273,3.7786115646362304,0.4494629390847753,3.7956241607666015,0.4492210199083136,0.05659548726131274,0.008385938653023502,0.05346654813617864,0.00807944052389374,0.0042108423008647665,0.0013397857637108947,0.048568819774498485,0.0098095200910868,0.04022928656860053,0.007880422710334902,0.0023959099064150948,0.0009269140130120124,0.81347531676965,0.05813967705867514,0.44496657627153696,0.01621889316545472,0.25352373132734934,0.017593559106292223,0.6864464444960227,0.023802615106120886,0.47864986390377406,0.02076070011389521,0.31809417997195516,0.023596260875917496,0.401271517075371,0.01160957954899287,0.25432806872002267,0.002595022002339199,0.14455616587664608,0.0034434824299046443
Window L2,247,122,240,49.28131416837782,0.006830739974975586,0.0003629803812176122,3.41697096824646,0.24682519616649334,3.4238017082214354,0.2466228126199885,0.045041476329430535,0.004943648426790031,0.04177832624556371,0.004467675328962304,0.002735299574443251,0.0007742673086549783,0.05359740936491271,0.005794913903919459,0.044458969667987944,0.0048450915903928546,0.002870209753540505,0.0006226465152850345,0.8610772615864563,0.05190089846230279,0.46158056225469407,0.01489264049764175,0.27606772380468353,0.020520895378611934,0.7162738047945507,0.020489614876395154,0.49469385044316877,0.014525270788843001,0.32518109717432775,0.01832171311437842,0.41899748801883757,0.01638420211376304,0.2606279271528537,0.006330046230957489,0.15171358257674875,0.007751601578985734
