Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg V1_MAPE,Std V1_MAPE,Avg V1_MAE,Std V1_MAE,Avg V1_MSE,Std V1_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Fixed Cut 50.0%,271,135,269,49.81481481481482,N/A,N/A,3.7890016555786135,0.46568960204407456,3.7890016555786135,0.46568960204407456,0.04099669381722231,0.002089799619835815,0.02871986352684777,0.0014070615151320917,0.0027378550459785534,0.0002153822456466674,0.04099669381722231,0.002089799619835815,0.02871986352684777,0.0014070615151320917,0.0027378550459785534,0.0002153822456466674
Fixed Cut 55.0%,244,135,296,54.81481481481482,N/A,N/A,3.623185062408447,0.933659223986145,3.623185062408447,0.933659223986145,0.041737056535279565,0.003874479024553792,0.029337585109316774,0.0027541105068482176,0.0027234245545513613,0.0003323550274731154,0.041737056535279565,0.003874479024553792,0.029337585109316774,0.0027541105068482176,0.0027234245545513613,0.0003323550274731154
Fixed Cut 60.0%,216,135,324,60.0,N/A,N/A,3.581603765487671,0.604587500240675,3.581603765487671,0.604587500240675,0.03935276694831884,0.0006504142096001356,0.02755812790000033,0.00037006906510475145,0.0025698334284659104,0.00011686059261308739,0.03935276694831884,0.0006504142096001356,0.02755812790000033,0.00037006906510475145,0.0025698334284659104,0.00011686059261308739
Fixed Cut 65.0%,189,135,351,65.0,N/A,N/A,3.1448303699493407,0.43289699390869607,3.1448303699493407,0.43289699390869607,0.03929597822069753,0.0018145061178924337,0.027591535545001506,0.0011735145785894132,0.002530533954109894,0.00020333594850853866,0.03929597822069753,0.0018145061178924337,0.027591535545001506,0.0011735145785894132,0.002530533954109894,0.00020333594850853866
Fixed Cut 70.0%,162,135,378,70.0,N/A,N/A,2.966806411743164,0.3767587368592477,2.966806411743164,0.3767587368592477,0.03841291380510121,0.0007250694521355284,0.026956665551919595,0.00037251914907559576,0.0024688434618753098,0.0001386080198215853,0.03841291380510121,0.0007250694521355284,0.026956665551919595,0.00037251914907559576,0.0024688434618753098,0.0001386080198215853
Fixed Cut 75.0%,135,135,405,75.0,N/A,N/A,3.347537326812744,0.40230520414165377,3.347537326812744,0.40230520414165377,0.03941185809735885,0.0005956185332135662,0.027616898516753325,0.0003828990126454681,0.0025950736576746693,9.274205198962934e-05,0.03941185809735885,0.0005956185332135662,0.027616898516753325,0.0003828990126454681,0.0025950736576746693,9.274205198962934e-05
Fixed Cut 80.0%,108,135,432,80.0,N/A,N/A,2.7835528373718263,0.5086008948105407,2.7835528373718263,0.5086008948105407,0.03862920731187005,0.00041987393083159634,0.030514898870815932,0.0002811852707830564,0.0031464734589461245,0.0001340268851506387,0.03862920731187005,0.00041987393083159634,0.030514898870815932,0.0002811852707830564,0.0031464734589461245,0.0001340268851506387
Fixed Cut 85.0%,81,135,459,85.0,N/A,N/A,3.148006057739258,0.4525568420177007,3.148006057739258,0.4525568420177007,0.039140967116081414,0.0009094851238622475,0.03188431266169856,0.0006466062055034829,0.0034790638698720144,0.0002327169348949666,0.039140967116081414,0.0009094851238622475,0.03188431266169856,0.0006466062055034829,0.0034790638698720144,0.0002327169348949666
Fixed Cut 90.0%,54,135,486,90.0,N/A,N/A,2.8607129096984862,0.16172857097321924,2.8607129096984862,0.16172857097321924,0.03888732556441977,0.00033242199745198294,0.0316664802305866,0.00032623553912287104,0.0034095802824345724,3.255220563122446e-05,0.03888732556441977,0.00033242199745198294,0.0316664802305866,0.00032623553912287104,0.0034095802824345724,3.255220563122446e-05
Window L1,360,135,180,33.33333333333333,0.014368152618408203,0.0007301094487401048,3.768977642059326,0.6526832146871421,3.7833457946777345,0.6525181714783108,0.039804886426317285,0.0017480110036417922,0.027872325666858645,0.0011474445758849468,0.0025820107392668114,0.00017644297250655097,0.039804886426317285,0.0017480110036417922,0.027872325666858645,0.0011474445758849468,0.0025820107392668114,0.00017644297250655097
Window L2,360,135,180,33.33333333333333,0.007823991775512695,0.0004941320217076647,3.69500617980957,0.29941113507815936,3.702830171585083,0.2990639320860332,0.04123244296721059,0.0025422686119504776,0.028933334286847873,0.0017492624619864965,0.002666133293038766,0.00021161135043322202,0.04123244296721059,0.0025422686119504776,0.028933334286847873,0.0017492624619864965,0.002666133293038766,0.00021161135043322202
Window Normal,365,135,175,32.407407407407405,0.01584734916687012,0.00416331366606508,3.682685375213623,0.4888783047457443,3.698532724380493,0.48900155113520316,0.04107975452930842,0.003810511541445692,0.028930548073562944,0.002726586687106924,0.002619837269736207,0.0002837827202065534,0.04107975452930842,0.003810511541445692,0.028930548073562944,0.002726586687106924,0.002619837269736207,0.0002837827202065534
Window RBF,360,135,180,33.33333333333333,0.011842775344848632,0.0007045231575390384,4.093685436248779,1.0614218721129443,4.105528211593628,1.060943312684596,0.041198502035365604,0.005492749058002995,0.029049073190670432,0.003967306837097792,0.002601449123560945,0.00044489106293617954,0.041198502035365604,0.005492749058002995,0.029049073190670432,0.003967306837097792,0.002601449123560945,0.00044489106293617954
Window Cosine,0,135,540,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Linear,260,135,280,51.85185185185185,0.008565378189086915,0.0013418015724174562,4.012355661392212,0.5097532310829787,4.020921039581299,0.5104228546394044,0.03946221784691307,0.0014354229134286621,0.02768953930542627,0.0008613423765275351,0.002563170264628086,0.0002142010241567709,0.03946221784691307,0.0014354229134286621,0.02768953930542627,0.0008613423765275351,0.002563170264628086,0.0002142010241567709
Window Clinear,490,135,50,9.25925925925926,0.006829690933227539,0.0006991371144491539,4.5145915985107425,0.7801572294734855,4.521421289443969,0.7807135149175664,0.039619857860863625,0.0023542914618200415,0.02787992799887833,0.0015707705318739906,0.002477270532460828,0.0002395989161170406,0.039619857860863625,0.0023542914618200415,0.02787992799887833,0.0015707705318739906,0.002477270532460828,0.0002395989161170406
Window Rank,360,135,180,33.33333333333333,0.008840608596801757,0.0008853525447743118,3.629314994812012,0.35341841099376947,3.6381556034088134,0.3531865058378645,0.043476845323167895,0.0068082324977529534,0.030620205434305367,0.005014074396687803,0.0028487752533104213,0.0004816460686515622,0.043476845323167895,0.0068082324977529534,0.030620205434305367,0.005014074396687803,0.0028487752533104213,0.0004816460686515622
Window Mahalanobis,360,135,180,33.33333333333333,0.007139873504638672,0.0010107690551917929,3.500104856491089,0.3478768561892311,3.5072447299957275,0.3477331237957125,0.04428690703248501,0.006628207104088128,0.03120674890502348,0.004953068478723348,0.00287483951051257,0.00045360136273965617,0.04428690703248501,0.006628207104088128,0.03120674890502348,0.004953068478723348,0.00287483951051257,0.00045360136273965617
Window AR,335,135,205,37.96296296296296,0.011270999908447266,0.000634236733133506,3.3768077850341798,0.43976978993665816,3.388078784942627,0.4399505358629419,0.04355960983531904,0.007610788006202116,0.030705673221472333,0.0057408344971039815,0.002800942573653684,0.0005121814926380523,0.04355960983531904,0.007610788006202116,0.030705673221472333,0.0057408344971039815,0.002800942573653684,0.0005121814926380523
Window Mean,325,135,215,39.81481481481482,0.0925288200378418,0.005058612737132554,4.229956197738647,1.0956344708922783,4.322485017776489,1.0928173618769064,0.04252410049089977,0.006039980690580861,0.030017834809590194,0.004298861049512042,0.002721019567410388,0.00047295478727808044,0.04252410049089977,0.006039980690580861,0.030017834809590194,0.004298861049512042,0.002721019567410388,0.00047295478727808044
