Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,USD/Bitcoin_MAPE,USD/Bitcoin_MAE,USD/Bitcoin_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Window L2,54,155,565,91.2762520193861,0.00903010368347168,2.6959779262542725,2.705008029937744,0.3874215991712632,0.09820633341842946,0.01176351264737968,0.3874215991712632,0.09820633341842946,0.01176351264737968
Window Normal,539,155,80,12.924071082390952,0.01572394371032715,16.606014013290405,16.621737957000732,0.04614002243465632,0.014603837645545022,0.0004187392113377954,0.04614002243465632,0.014603837645545022,0.0004187392113377954
Window RBF,529,155,90,14.539579967689823,0.015327930450439453,30.712408781051636,30.727736711502075,0.042967157644332725,0.013462829705618374,0.0003658359654544896,0.042967157644332725,0.013462829705618374,0.0003658359654544896
Window Cosine,0,155,619,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Linear,59,155,560,90.46849757673667,0.009946107864379883,2.97723126411438,2.9871773719787598,0.4985750510465545,0.12317530437004778,0.019221679743880615,0.4985750510465545,0.12317530437004778,0.019221679743880615
Window Clinear,79,155,540,87.23747980613894,0.008376121520996094,2.6406431198120117,2.649019241333008,0.39103187623176633,0.0967496722996188,0.011984830532027285,0.39103187623176633,0.0967496722996188,0.011984830532027285
Window Rank,529,155,90,14.539579967689823,0.013773918151855469,10.469932079315186,10.483705997467041,0.0678858719079513,0.02150634334948365,0.0008574450197619019,0.0678858719079513,0.02150634334948365,0.0008574450197619019
Window Mahalanobis,54,155,565,91.2762520193861,0.008584976196289062,3.0985817909240723,3.1071667671203613,0.44138376648670846,0.11222740898259694,0.01505341316210082,0.44138376648670846,0.11222740898259694,0.01505341316210082
Window AR,54,155,565,91.2762520193861,0.014440059661865234,2.6430599689483643,2.6575000286102295,0.3522105082903377,0.0896324096669508,0.009847197364997307,0.3522105082903377,0.0896324096669508,0.009847197364997307
Window Mean,196,155,423,68.33602584814217,0.11362504959106445,2.9473869800567627,3.061012029647827,0.09362563365876342,0.03120021876510456,0.0017199352702901407,0.09362563365876342,0.03120021876510456,0.0017199352702901407
Window Median,57,155,562,90.79159935379644,0.11362504959106445,2.7124879360198975,2.826112985610962,0.4209737314167974,0.10663141169769273,0.013774100461152137,0.4209737314167974,0.10663141169769273,0.013774100461152137
Binary Segmentation L1,49,155,570,92.08400646203555,0.029812335968017578,2.880479097366333,2.9102914333343506,0.3570230364795433,0.09144622249083478,0.010060110709308562,0.3570230364795433,0.09144622249083478,0.010060110709308562
Binary Segmentation L2,44,155,575,92.89176090468497,0.014735937118530273,2.6863269805908203,2.7010629177093506,0.41436655654439214,0.10526051735261542,0.013392601961761416,0.41436655654439214,0.10526051735261542,0.013392601961761416
Binary Segmentation Normal,129,155,490,79.15993537964458,0.024776935577392578,3.0795340538024902,3.104310989379883,0.23569004715652522,0.058925899696154915,0.004498635687316592,0.23569004715652522,0.058925899696154915,0.004498635687316592
Binary Segmentation RBF,154,155,465,75.12116316639742,0.0451200008392334,3.3557090759277344,3.4008290767669678,0.10131440632805097,0.030160973289979662,0.0015767161655009386,0.10131440632805097,0.030160973289979662,0.0015767161655009386
Binary Segmentation Cosine,9,155,610,98.54604200323102,0.055558204650878906,3.382828950881958,3.438387155532837,0.1885173553793532,0.07981990615133225,0.008433913741087463,0.1885173553793532,0.07981990615133225,0.008433913741087463
Binary Segmentation Linear,29,155,590,95.31502423263328,0.013566970825195312,3.3161780834198,3.329745054244995,0.322179914014539,0.08155090385529219,0.00828634344267136,0.322179914014539,0.08155090385529219,0.00828634344267136
Binary Segmentation Clinear,119,155,500,80.77544426494345,0.010890007019042969,2.8070411682128906,2.8179311752319336,0.18720307602996814,0.04835971690875252,0.0029804646134748815,0.18720307602996814,0.04835971690875252,0.0029804646134748815
Binary Segmentation Rank,214,155,405,65.4281098546042,0.04485511779785156,3.4457128047943115,3.490567922592163,0.14433613020337627,0.048900768581993506,0.003819417792691185,0.14433613020337627,0.048900768581993506,0.003819417792691185
Binary Segmentation Mahalanobis,44,155,575,92.89176090468497,0.05087780952453613,2.9395720958709717,2.990449905395508,0.4359625392314132,0.11208207696208047,0.01473286785432556,0.4359625392314132,0.11208207696208047,0.01473286785432556
Binary Segmentation AR,19,155,600,96.93053311793214,0.026308059692382812,2.759974956512451,2.786283016204834,0.2981035138164399,0.12354394731840601,0.01922439729801425,0.2981035138164399,0.12354394731840601,0.01922439729801425
Binary Segmentation Mean,81,155,538,86.91437802907916,0.3165013790130615,2.5923709869384766,2.908872365951538,0.30789876505791813,0.07608547448632058,0.007512509642092984,0.30789876505791813,0.07608547448632058,0.007512509642092984
Binary Segmentation Median,47,155,572,92.40710823909531,0.3165013790130615,2.4174251556396484,2.73392653465271,0.44360737188388594,0.11355109384268292,0.015258290222993203,0.44360737188388594,0.11355109384268292,0.015258290222993203
Bottom Up L1,39,155,580,93.69951534733441,0.01676487922668457,2.9903969764709473,3.007161855697632,0.4138306106622988,0.1049696376608186,0.013283091914015383,0.4138306106622988,0.1049696376608186,0.013283091914015383
Bottom Up L2,39,155,580,93.69951534733441,0.009380817413330078,2.5249459743499756,2.5343267917633057,0.5130115173122214,0.1328606536347426,0.020149935699762436,0.5130115173122214,0.1328606536347426,0.020149935699762436
Bottom Up Normal,99,155,520,84.00646203554119,0.017035961151123047,2.768474817276001,2.785510778427124,0.3295476436658532,0.0846220724602404,0.008708581030635962,0.3295476436658532,0.0846220724602404,0.008708581030635962
Bottom Up RBF,214,155,405,65.4281098546042,0.01520085334777832,3.2307629585266113,3.2459638118743896,0.12219250205002284,0.04021339345944746,0.002597257626862566,0.12219250205002284,0.04021339345944746,0.002597257626862566
Bottom Up Cosine,9,155,610,98.54604200323102,0.012242794036865234,2.8566231727600098,2.868865966796875,0.17462623245287087,0.07557799158744442,0.007517339966927416,0.17462623245287087,0.07557799158744442,0.007517339966927416
Bottom Up Linear,29,155,590,95.31502423263328,0.008954048156738281,2.4137518405914307,2.422705888748169,0.32469267134458757,0.08221086158477356,0.008409510848397509,0.32469267134458757,0.08221086158477356,0.008409510848397509
Bottom Up Clinear,79,155,540,87.23747980613894,0.0072400569915771484,2.554975986480713,2.56221604347229,0.21485526713426,0.05494856866660107,0.003839570062131406,0.21485526713426,0.05494856866660107,0.003839570062131406
Bottom Up Rank,214,155,405,65.4281098546042,0.010280847549438477,2.8444292545318604,2.854710102081299,0.08645492741823821,0.02774290291696229,0.0014470638436464304,0.08645492741823821,0.02774290291696229,0.0014470638436464304
Bottom Up Mahalanobis,39,155,580,93.69951534733441,0.011851072311401367,2.9636991024017334,2.9755501747131348,0.525311888895459,0.13576603834767065,0.021096233510911038,0.525311888895459,0.13576603834767065,0.021096233510911038
Bottom Up AR,19,155,600,96.93053311793214,0.012901067733764648,2.5598819255828857,2.5727829933166504,0.35051124929082383,0.14595689178290924,0.026530387289416858,0.35051124929082383,0.14595689178290924,0.026530387289416858
Bottom Up Mean,78,155,541,87.39903069466882,0.12185239791870117,2.2472288608551025,2.3690812587738037,0.23729914061792642,0.060612384854433876,0.00465897391906476,0.23729914061792642,0.060612384854433876,0.00465897391906476
Bottom Up Median,39,155,580,93.69951534733441,0.12185239791870117,3.1286556720733643,3.2505080699920654,0.2525430243874924,0.06469290905365152,0.005217637608059285,0.2525430243874924,0.06469290905365152,0.005217637608059285
