Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Amount_MAPE,Amount_MAE,Amount_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Fixed Cut 50.0%,233,117,231,49.78448275862069,N/A,4.235298156738281,4.235298156738281,0.02757297656707252,0.025098300810369706,0.0015367904429494793,0.02757297656707252,0.025098300810369706,0.0015367904429494793
Fixed Cut 55.0%,209,117,255,54.956896551724135,N/A,3.6267831325531006,3.6267831325531006,0.03348302567937732,0.03002637077460413,0.001535292694725357,0.03348302567937732,0.03002637077460413,0.001535292694725357
Fixed Cut 60.0%,186,117,278,59.91379310344828,N/A,3.398422956466675,3.398422956466675,0.03197792999971526,0.028777751025296446,0.0015491464858209,0.03197792999971526,0.028777751025296446,0.0015491464858209
Fixed Cut 65.0%,163,117,301,64.87068965517241,N/A,2.927091121673584,2.927091121673584,0.03307644851349203,0.029664607893825554,0.0014997428103584738,0.03307644851349203,0.029664607893825554,0.0014997428103584738
Fixed Cut 70.0%,140,117,324,69.82758620689656,N/A,3.1427161693573,3.1427161693573,0.03537331904843257,0.03160510789325404,0.0015550710894826202,0.03537331904843257,0.03160510789325404,0.0015550710894826202
Fixed Cut 75.0%,116,117,348,75.0,N/A,2.9230852127075195,2.9230852127075195,0.03060870142049304,0.027542724027330632,0.001391425301481383,0.03060870142049304,0.027542724027330632,0.001391425301481383
Fixed Cut 80.0%,93,117,371,79.95689655172413,N/A,2.61336612701416,2.61336612701416,0.02781732745365873,0.026029545494055832,0.0014801887467741635,0.02781732745365873,0.026029545494055832,0.0014801887467741635
Fixed Cut 85.0%,70,117,394,84.91379310344827,N/A,3.0776171684265137,3.0776171684265137,0.02711876718394232,0.025530805731840887,0.0016483134163630723,0.02711876718394232,0.025530805731840887,0.0016483134163630723
Fixed Cut 90.0%,47,117,417,89.87068965517241,N/A,2.587618112564087,2.587618112564087,0.027398125978385014,0.02568021375453463,0.001495625763794819,0.027398125978385014,0.02568021375453463,0.001495625763794819
Window L1,234,117,230,49.56896551724138,0.010573148727416992,3.124768018722534,3.135341167449951,0.02901814123912483,0.026264252577832048,0.001466651377777182,0.02901814123912483,0.026264252577832048,0.001466651377777182
Window L2,99,117,365,78.66379310344827,0.0061948299407958984,2.904521942138672,2.9107167720794678,0.033828306513012885,0.03131481163278416,0.0016477516759127937,0.033828306513012885,0.03131481163278416,0.0016477516759127937
Window Normal,99,117,365,78.66379310344827,0.012128829956054688,2.952336072921753,2.9644649028778076,0.032082517043075125,0.02973893514946042,0.0015442272097172523,0.032082517043075125,0.02973893514946042,0.0015442272097172523
Window RBF,99,117,365,78.66379310344827,0.0059261322021484375,3.1655080318450928,3.171434164047241,0.0319547698403327,0.02964224828772863,0.0015681317926354139,0.0319547698403327,0.02964224828772863,0.0015681317926354139
Window Cosine,0,117,464,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Linear,414,117,50,10.775862068965516,0.0056149959564208984,5.8994529247283936,5.9050679206848145,0.0287057040538232,0.025904658342405205,0.0013458289360105881,0.0287057040538232,0.025904658342405205,0.0013458289360105881
Window Clinear,269,117,195,42.025862068965516,0.006186008453369141,4.681735992431641,4.68792200088501,0.03142033864269461,0.02827906815826458,0.001481010353469587,0.03142033864269461,0.02827906815826458,0.001481010353469587
Window Rank,99,117,365,78.66379310344827,0.010323047637939453,3.4606361389160156,3.470959186553955,0.03372719477478706,0.03118567491871584,0.0015917299497971759,0.03372719477478706,0.03118567491871584,0.0015917299497971759
Window Mahalanobis,99,117,365,78.66379310344827,0.003942251205444336,3.1261680126190186,3.130110263824463,0.027526116988457413,0.025735277628132793,0.0014117124461088342,0.027526116988457413,0.025735277628132793,0.0014117124461088342
Window AR,274,117,190,40.94827586206897,0.009315967559814453,4.107913255691528,4.117229223251343,0.029820029909198187,0.026813983074733875,0.001307836942661661,0.029820029909198187,0.026813983074733875,0.001307836942661661
Window Mean,169,117,295,63.577586206896555,0.0702052116394043,5.10261869430542,5.172823905944824,0.028715600302319778,0.025897991291956874,0.001306072940206386,0.028715600302319778,0.025897991291956874,0.001306072940206386
Window Median,99,117,365,78.66379310344827,0.0702052116394043,3.364062786102295,3.434267997741699,0.03042197830761413,0.028368917261966876,0.0016278550703821533,0.03042197830761413,0.028368917261966876,0.0016278550703821533
Binary Segmentation L1,444,117,20,4.310344827586207,0.02057194709777832,18.81827712059021,18.83884906768799,0.019733186288217904,0.01790813249155352,0.0008330609968340924,0.019733186288217904,0.01790813249155352,0.0008330609968340924
Binary Segmentation L2,444,117,20,4.310344827586207,0.009333133697509766,4.038467168807983,4.047800302505493,0.030045196914942198,0.02710188834487957,0.0014647884773939899,0.030045196914942198,0.02710188834487957,0.0014647884773939899
Binary Segmentation Normal,444,117,20,4.310344827586207,0.020086050033569336,10.87923002243042,10.89931607246399,0.02653714976110432,0.023889024809650636,0.0011170190137251665,0.02653714976110432,0.023889024809650636,0.0011170190137251665
Binary Segmentation RBF,444,117,20,4.310344827586207,0.020807981491088867,5.40244197845459,5.423249959945679,0.029608302913708546,0.02665460838251059,0.0013354603413576565,0.029608302913708546,0.02665460838251059,0.0013354603413576565
Binary Segmentation Cosine,9,117,455,98.0603448275862,0.02294301986694336,3.3732972145080566,3.396240234375,0.025853968204164628,0.0268394405200765,0.0019092650702865637,0.025853968204164628,0.0268394405200765,0.0019092650702865637
Binary Segmentation Linear,349,117,115,24.78448275862069,0.008794784545898438,4.918310165405273,4.927104949951172,0.02920208449628812,0.026427850878811384,0.0015042584404262752,0.02920208449628812,0.026427850878811384,0.0015042584404262752
Binary Segmentation Clinear,379,117,85,18.318965517241377,0.007037162780761719,4.214491128921509,4.2215282917022705,0.03178250513094127,0.02859755913995515,0.0015173484261834687,0.03178250513094127,0.02859755913995515,0.0015173484261834687
Binary Segmentation Rank,444,117,20,4.310344827586207,0.010917901992797852,10.418041706085205,10.428959608078003,0.02357501341882968,0.021331424408314675,0.0010294667436420114,0.02357501341882968,0.021331424408314675,0.0010294667436420114
Binary Segmentation Mahalanobis,444,117,20,4.310344827586207,0.04365086555480957,6.420069217681885,6.463720083236694,0.03065529745031041,0.027562721079534728,0.0014008114753009545,0.03065529745031041,0.027562721079534728,0.0014008114753009545
Binary Segmentation AR,439,117,25,5.387931034482758,0.015710830688476562,4.771941184997559,4.787652015686035,0.03175013009024972,0.02852520496243878,0.0014573562097597735,0.03175013009024972,0.02852520496243878,0.0014573562097597735
