Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg Population_MAPE,Std Population_MAPE,Avg Population_MAE,Std Population_MAE,Avg Population_MSE,Std Population_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Fixed Cut 50.0%,327,164,325,49.84662576687116,N/A,N/A,4.528548955917358,1.8571340745897964,4.528548955917358,1.8571340745897964,0.0322356947647449,0.02992391540936546,0.03432001163032479,0.031865632635529384,0.002069444765967245,0.002083017534724558,0.0322356947647449,0.02992391540936546,0.03432001163032479,0.031865632635529384,0.002069444765967245,0.002083017534724558
Fixed Cut 55.0%,294,164,358,54.90797546012271,N/A,N/A,5.935824394226074,3.842370347946496,5.935824394226074,3.842370347946496,0.014660584623614843,0.016883365884397115,0.015603907859633094,0.01800157795960536,0.0005688915513339995,0.0008986536019682336,0.014660584623614843,0.016883365884397115,0.015603907859633094,0.01800157795960536,0.0005688915513339995,0.0008986536019682336
Fixed Cut 60.0%,261,164,391,59.96932515337423,N/A,N/A,5.037650394439697,2.8697464266816146,5.037650394439697,2.8697464266816146,0.028657547511427264,0.023279378512046606,0.03053764651305969,0.024765123455165867,0.0014878230092997674,0.0016720812756344137,0.028657547511427264,0.023279378512046606,0.03053764651305969,0.024765123455165867,0.0014878230092997674,0.0016720812756344137
Fixed Cut 65.0%,229,164,423,64.87730061349694,N/A,N/A,3.2216678619384767,0.35020801938600593,3.2216678619384767,0.35020801938600593,0.034944432336807184,0.022825995278786898,0.0372354469672262,0.024305038422671097,0.0019527255283146906,0.0019669563231454685,0.034944432336807184,0.022825995278786898,0.0372354469672262,0.024305038422671097,0.0019527255283146906,0.0019669563231454685
Fixed Cut 70.0%,196,164,456,69.93865030674846,N/A,N/A,4.580411767959594,1.2960676325337683,4.580411767959594,1.2960676325337683,0.0402123612155834,0.008846727330720372,0.04284409294226034,0.009423702714171546,0.001999438976704751,0.0007883599861201345,0.0402123612155834,0.008846727330720372,0.04284409294226034,0.009423702714171546,0.001999438976704751,0.0007883599861201345
Fixed Cut 75.0%,163,164,489,75.0,N/A,N/A,2.7508142471313475,0.4362664122834746,2.7508142471313475,0.4362664122834746,0.03044035683121691,0.014069192534876863,0.032489530177669576,0.014975465392179645,0.0013295354285310027,0.0009014255775239152,0.03044035683121691,0.014069192534876863,0.032489530177669576,0.014975465392179645,0.0013295354285310027,0.0009014255775239152
Fixed Cut 80.0%,131,164,521,79.9079754601227,N/A,N/A,2.7257696628570556,0.18585239433723577,2.7257696628570556,0.18585239433723577,0.02699107618682074,0.017724531716202814,0.02885526031715723,0.01886192015059983,0.0012303420110705238,0.0014708121864613173,0.02699107618682074,0.017724531716202814,0.02885526031715723,0.01886192015059983,0.0012303420110705238,0.0014708121864613173
Fixed Cut 85.0%,98,164,554,84.96932515337423,N/A,N/A,2.415467119216919,0.27274328576898677,2.415467119216919,0.27274328576898677,0.024091106966268754,0.003922802666498556,0.02579396221051977,0.004183055049425276,0.000787267310850149,0.00024253906572573145,0.024091106966268754,0.003922802666498556,0.02579396221051977,0.004183055049425276,0.000787267310850149,0.00024253906572573145
Fixed Cut 90.0%,66,164,586,89.87730061349694,N/A,N/A,2.8256198883056642,0.34141647566243455,2.8256198883056642,0.34141647566243455,0.020901985742786153,0.005622432120489733,0.022426632731985623,0.006011753493886361,0.0006497838926835278,0.0003266846297180415,0.020901985742786153,0.005622432120489733,0.022426632731985623,0.006011753493886361,0.0006497838926835278,0.0003266846297180415
Window L1,167,164,485,74.38650306748467,0.01862611770629883,0.0009931024572118433,2.7202141284942627,0.5313322219584519,2.7388402462005614,0.5303594103902483,0.029594680599771248,0.008966426735478452,0.03160336619492976,0.009571205419653445,0.0011746558137173309,0.0007087363305334113,0.029594680599771248,0.008966426735478452,0.03160336619492976,0.009571205419653445,0.0011746558137173309,0.0007087363305334113
Window L2,152,164,500,76.68711656441718,0.011226463317871093,0.0012026565096131007,2.6112514972686767,0.2951094404770547,2.622477960586548,0.29476413017826647,0.034817681608116074,0.012496712279716764,0.03718365487228675,0.013250871364641722,0.0016569773572623141,0.0009516312919769647,0.034817681608116074,0.012496712279716764,0.03718365487228675,0.013250871364641722,0.0016569773572623141,0.0009516312919769647
Window Normal,427,164,225,34.50920245398773,0.01958322525024414,0.003930775313770215,6.581730747222901,0.40928509924139483,6.601313972473145,0.4120625493270613,0.0008637818659965213,0.0005898728190608717,0.0009239273041990512,0.0006296216422370599,1.4074287644097554e-06,1.6742855178779076e-06,0.0008637818659965213,0.0005898728190608717,0.0009239273041990512,0.0006296216422370599,1.4074287644097554e-06,1.6742855178779076e-06
Window RBF,157,164,495,75.920245398773,0.016454505920410156,0.0017379926979610204,3.0251564025878905,0.6759265920518363,3.041610908508301,0.6761384766490446,0.028196145089305447,0.0028583069277852455,0.03011530776455571,0.0030402080227283773,0.0010048833584748223,0.00020032974048623574,0.028196145089305447,0.0028583069277852455,0.03011530776455571,0.0030402080227283773,0.0010048833584748223,0.00020032974048623574
Window Cosine,0,164,652,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
