Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Dollars/Barrel_MAPE,Dollars/Barrel_MAE,Dollars/Barrel_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Window L2,125,100,275,68.75,0.0057070255279541016,3.6161139011383057,3.6218209266662598,0.1104828856252443,0.05151469201878633,0.004209932433811379,0.1104828856252443,0.05151469201878633,0.004209932433811379
Window Normal,290,100,110,27.500000000000004,0.013458013534545898,14.896698236465454,14.91015625,0.06118368334806946,0.024163208831771033,0.0009050639307057774,0.06118368334806946,0.024163208831771033,0.0009050639307057774
Window RBF,120,100,280,70.0,0.007707118988037109,3.4160990715026855,3.4238061904907227,0.24724458295650406,0.1189512690915187,0.0172877450667907,0.24724458295650406,0.1189512690915187,0.0172877450667907
Window Cosine,0,100,400,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Linear,90,100,310,77.5,0.005727052688598633,5.557374000549316,5.563101053237915,0.0899778948137496,0.03982873033726351,0.002275056229345459,0.0899778948137496,0.03982873033726351,0.002275056229345459
Window Clinear,135,100,265,66.25,0.005508899688720703,3.2664527893066406,3.2719616889953613,0.17048486109408637,0.08235946855501886,0.009186861878143255,0.17048486109408637,0.08235946855501886,0.009186861878143255
Window Rank,125,100,275,68.75,0.00640106201171875,3.2138590812683105,3.2202601432800293,0.10661826958578088,0.04207544665548016,0.0030361936436458445,0.10661826958578088,0.04207544665548016,0.0030361936436458445
Window Mahalanobis,125,100,275,68.75,0.004127025604248047,3.1712870597839355,3.1754140853881836,0.19553414921507803,0.0943454638299336,0.011586094000328456,0.19553414921507803,0.0943454638299336,0.011586094000328456
Window AR,65,100,335,83.75,0.008188962936401367,2.9648277759552,2.9730167388916016,0.09062152828300594,0.04074794556889538,0.002698118545053661,0.09062152828300594,0.04074794556889538,0.002698118545053661
Window Mean,120,100,280,70.0,0.0670781135559082,3.057286024093628,3.124364137649536,0.2100742535024402,0.10177019459741951,0.013286765482807937,0.2100742535024402,0.10177019459741951,0.013286765482807937
Window Median,123,100,277,69.25,0.0670781135559082,2.6745920181274414,2.7416701316833496,0.309953742305662,0.14829524260589064,0.02581159505167824,0.309953742305662,0.14829524260589064,0.02581159505167824
Binary Segmentation L1,260,100,140,35.0,0.016597747802734375,9.082133769989014,9.098731517791748,0.067451392516618,0.026509530372828258,0.0010613879824487096,0.067451392516618,0.026509530372828258,0.0010613879824487096
Binary Segmentation L2,245,100,155,38.75,0.009328842163085938,4.571603059768677,4.580931901931763,0.07507269590500122,0.02977403064943009,0.0013535144505035094,0.07507269590500122,0.02977403064943009,0.0013535144505035094
Binary Segmentation Normal,285,100,115,28.749999999999996,0.016033172607421875,8.012459993362427,8.028493165969849,0.0726878849595168,0.027785119326713764,0.00133502130835079,0.0726878849595168,0.027785119326713764,0.00133502130835079
Binary Segmentation RBF,260,100,140,35.0,0.017136812210083008,14.143062114715576,14.16019892692566,0.05664648333844061,0.02240932546780591,0.0008143068155697344,0.05664648333844061,0.02240932546780591,0.0008143068155697344
Binary Segmentation Cosine,10,100,390,97.5,0.031456947326660156,4.057146787643433,4.088603734970093,0.1590985674031205,0.15326121097615683,0.032647943588686994,0.1590985674031205,0.15326121097615683,0.032647943588686994
Binary Segmentation Linear,380,100,20,5.0,0.009808778762817383,19.88332486152649,19.893133640289307,0.06051986030479388,0.02369161057990143,0.000947436283700364,0.06051986030479388,0.02369161057990143,0.000947436283700364
Binary Segmentation Clinear,40,100,360,90.0,0.0068359375,3.2390549182891846,3.2458908557891846,0.20416583362443144,0.11077349306919954,0.016736791344668073,0.20416583362443144,0.11077349306919954,0.016736791344668073
Binary Segmentation Rank,260,100,140,35.0,0.011786937713623047,8.891370058059692,8.903156995773315,0.06530024497953629,0.02555122516766366,0.0010400790805143159,0.06530024497953629,0.02555122516766366,0.0010400790805143159
Binary Segmentation Mahalanobis,245,100,155,38.75,0.012762069702148438,5.17577862739563,5.188540697097778,0.08778979888876327,0.033384771972100005,0.0018080463522186032,0.08778979888876327,0.033384771972100005,0.0018080463522186032
Binary Segmentation AR,185,100,215,53.75,0.015655994415283203,3.2504570484161377,3.266113042831421,0.2018772204549418,0.07126592457816827,0.007165998251110331,0.2018772204549418,0.07126592457816827,0.007165998251110331
Binary Segmentation Mean,217,100,183,45.75,0.14740324020385742,4.201264142990112,4.34866738319397,0.1040437764943587,0.03768253840663063,0.0024015321519605896,0.1040437764943587,0.03768253840663063,0.0024015321519605896
Binary Segmentation Median,253,100,147,36.75,0.14740324020385742,3.8222367763519287,3.969640016555786,0.07751386861754407,0.029633018688414926,0.0014830361374478583,0.07751386861754407,0.029633018688414926,0.0014830361374478583
Bottom Up L1,265,100,135,33.75,0.007266998291015625,5.382280111312866,5.389547109603882,0.08723910543799872,0.03334079422962006,0.0018124081889219481,0.08723910543799872,0.03334079422962006,0.0018124081889219481
Bottom Up L2,265,100,135,33.75,0.00494694709777832,6.397146940231323,6.402093887329102,0.0743762164443775,0.02801843461051441,0.001406757550289355,0.0743762164443775,0.02801843461051441,0.001406757550289355
Bottom Up Normal,290,100,110,27.500000000000004,0.007560014724731445,11.181010961532593,11.188570976257324,0.06745827809728257,0.02669954090815924,0.001051392751400761,0.06745827809728257,0.02669954090815924,0.001051392751400761
Bottom Up RBF,265,100,135,33.75,0.005773067474365234,7.461110830307007,7.466883897781372,0.08260428693165561,0.03190652627943167,0.0016460219752753343,0.08260428693165561,0.03190652627943167,0.0016460219752753343
Bottom Up Cosine,15,100,385,96.25,0.004240989685058594,3.5489718914031982,3.553212881088257,0.16665970260853263,0.15348893638787972,0.032343508241359856,0.16665970260853263,0.15348893638787972,0.032343508241359856
Bottom Up Linear,315,100,85,21.25,0.0061070919036865234,8.898139715194702,8.904246807098389,0.06891297791906029,0.02667052468653233,0.0012613869190324757,0.06891297791906029,0.02667052468653233,0.0012613869190324757
Bottom Up Clinear,40,100,360,90.0,0.004251956939697266,3.4108340740203857,3.415086030960083,0.12315690740857618,0.06507815561000943,0.00628699952008491,0.12315690740857618,0.06507815561000943,0.00628699952008491
Bottom Up Rank,290,100,110,27.500000000000004,0.005937814712524414,10.80277705192566,10.808714866638184,0.06682309042148156,0.02614422595421665,0.001090880985640688,0.06682309042148156,0.02614422595421665,0.001090880985640688
Bottom Up Mahalanobis,265,100,135,33.75,0.003753185272216797,12.465896129608154,12.469649314880371,0.061995952024182996,0.024278884365727695,0.0009603299075512969,0.061995952024182996,0.024278884365727695,0.0009603299075512969
Bottom Up AR,190,100,210,52.5,0.007596015930175781,4.87605619430542,4.883652210235596,0.11843346413297863,0.042598820392470066,0.0030480634475842073,0.11843346413297863,0.042598820392470066,0.0030480634475842073
Bottom Up Mean,220,100,180,45.0,0.05743408203125,6.787458896636963,6.844892978668213,0.07657252763711364,0.029026730794178713,0.0014461101443800578,0.07657252763711364,0.029026730794178713,0.0014461101443800578
Bottom Up Median,265,100,135,33.75,0.05743408203125,5.5956079959869385,5.6530420780181885,0.08117609314717018,0.03223966424257271,0.001586229086576572,0.08117609314717018,0.03223966424257271,0.001586229086576572
