Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg Close_MAPE,Std Close_MAPE,Avg Close_MAE,Std Close_MAE,Avg Close_MSE,Std Close_MSE,Avg Volume_MAPE,Std Volume_MAPE,Avg Volume_MAE,Std Volume_MAE,Avg Volume_MSE,Std Volume_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Fixed Cut 50.0%,249,125,248,49.899396378269614,N/A,N/A,3.1137434959411623,0.4269987797959214,3.1137434959411623,0.4269987797959214,0.2735535111003674,0.03930857611043318,0.06593173682375408,0.009912721481736114,0.0059320254844449595,0.0015632690647400882,0.7171770877819331,0.1398227880991428,0.024012354673308416,0.0032937535294953885,0.0010448869341289865,9.39106184170002e-05,0.49536529944115026,0.07003801647175512,0.04497204574853125,0.004976337504432732,0.0034884562092869736,0.0007612019949138521
Fixed Cut 55.0%,224,125,273,54.929577464788736,N/A,N/A,2.7996763229370116,0.15923502472151196,2.7996763229370116,0.15923502472151196,0.18626263650503275,0.011430268522929568,0.04440425939902152,0.0029510073500852337,0.0028685386391121884,0.00029658700927683024,0.76051248214346,0.42572805199151154,0.025940562102199256,0.010335515959206986,0.0012454149263180152,0.00043482918583608157,0.4733875593242464,0.21317459826683713,0.035172410750610374,0.005327146908366137,0.002056976782715101,0.0002784559295873935
Fixed Cut 60.0%,199,125,298,59.95975855130785,N/A,N/A,3.0421426773071287,0.3536521369740719,3.0421426773071287,0.3536521369740719,0.13333160339597247,0.019935839633839672,0.038464720750647115,0.004240258811663778,0.0022165362750100905,0.0005401615612848096,0.6498316564359256,0.06544743496856209,0.02244120595549857,0.0017851384824198147,0.001016444942350272,7.240198160747891e-05,0.39158162991594897,0.02659592142764375,0.030452963353072834,0.0014635780136345161,0.0016164906086801813,0.0002536273027621317
Fixed Cut 65.0%,174,125,323,64.98993963782696,N/A,N/A,2.9122775554656983,0.3531737254529837,2.9122775554656983,0.3531737254529837,0.0988828599673266,0.011942812043419066,0.07740241666109997,0.012844169473622642,0.008930748962077552,0.003421571690885245,0.4400542872040102,0.12743141929349525,0.07207138965422207,0.00606015043871206,0.014797724410532965,0.0011575287054631529,0.2694685735856684,0.06115261003203756,0.07473690315766102,0.0059318042306431154,0.011864236686305258,0.002260334130282778
Fixed Cut 70.0%,150,125,347,69.81891348088531,N/A,N/A,2.659368371963501,0.15046859145881694,2.659368371963501,0.15046859145881694,0.13250156995629947,0.0539225185869658,0.10454512745693068,0.047398518281276336,0.016981872127962653,0.013779961794458482,0.5289310580920223,0.13955859909437,0.07837943355427826,0.013650565968989762,0.015160134263568865,0.0020908888743931546,0.33071631402416096,0.05458022333244941,0.09146228050560448,0.020717862570498433,0.016071003195765755,0.00689367734151056
Fixed Cut 75.0%,125,125,372,74.84909456740442,N/A,N/A,2.617205810546875,0.0853953212855562,2.617205810546875,0.0853953212855562,0.09026046375207895,0.023726137719067918,0.06931634816327133,0.016264734827147916,0.007148303776984514,0.0029869267930107066,0.40958676390346327,0.05365469362266816,0.10241073280572126,0.005410004361850283,0.03197082977259666,0.0007967425028457804,0.24992361382777112,0.03329090422550213,0.08586354048449628,0.009392330119872762,0.019559566774790586,0.0015829972578613838
Fixed Cut 80.0%,100,125,397,79.87927565392354,N/A,N/A,2.5483529567718506,0.24170934536724203,2.5483529567718506,0.24170934536724203,0.10417166966751949,0.04084022654505595,0.08157084480439832,0.036433028863856604,0.01087211623379304,0.010327151556289157,0.43410335091614827,0.0692572415420591,0.10534954838712213,0.008772259504855079,0.03224962406032167,0.0008020831656120953,0.26913751029183386,0.02930574186471499,0.0934601965957602,0.016425588885772037,0.021560870147057352,0.005060292284601207
Fixed Cut 85.0%,75,125,422,84.90945674044266,N/A,N/A,2.611562442779541,0.20623888026179624,2.611562442779541,0.20623888026179624,0.09884805071295463,0.00750608436351924,0.07743826638422252,0.005666450316436326,0.008584270037651115,0.0011562651499053493,0.41163698802604354,0.022957124622882713,0.10322446293563135,0.004056516644066949,0.03288315984718703,0.001562635688520657,0.2552425193694991,0.014030807157122112,0.09033136465992692,0.004662078453918845,0.020733714942419074,0.0012854019963960668
Fixed Cut 90.0%,50,125,447,89.93963782696177,N/A,N/A,2.7502685546875,0.25620871849108656,2.7502685546875,0.25620871849108656,0.12835256033794867,0.017605318346602332,0.10844313197001369,0.015169108627286623,0.017818685699256466,0.004382505429306882,0.47068753656717766,0.035466176366570436,0.10964070779997177,0.00499830446521848,0.03256621783521136,0.0009961350924662538,0.29952004845256314,0.02234417235642183,0.10904191988499273,0.008742704676001764,0.025192451767233916,0.002493171530925389
Window L1,127,125,370,74.44668008048289,0.016080379486083984,0.0038926867872099403,2.1948012351989745,0.204708563748221,2.2108816146850585,0.20548792272450686,0.1079514675520066,0.038091912719067894,0.08680264328906942,0.03623647790445052,0.012669743819395339,0.012212714687315645,0.4488383718907167,0.07118743974078498,0.10767071681763962,0.00870781163592207,0.03296977435260816,0.00040185478315817697,0.27839491972136166,0.05257684851751271,0.09723668005335451,0.02196652331313843,0.02281975908600175,0.006228852252178298
Window L2,182,125,315,63.38028169014085,0.007178401947021485,0.0004712717173884368,2.523463010787964,0.29153853112477646,2.5306414127349854,0.2912491600793602,0.12535004332067037,0.011128099656243534,0.041278803878098395,0.0035256962855787504,0.0023793094798037376,0.0004015655785667605,0.6204117132121681,0.18511298001781223,0.022763116017188945,0.004149240882949017,0.001071249706247879,0.00024238572919780415,0.37288087826641925,0.09511953312564822,0.03202095994764368,0.0030746205612562486,0.0017252795930258085,0.00021832187967953305
Window Normal,177,125,320,64.38631790744466,0.022540473937988283,0.004105509087177402,2.3896466732025146,0.3662293072068819,2.4121871471405028,0.3651515396406703,0.09388710958386602,0.014538722875073443,0.07398139208071407,0.01519243226607818,0.008373691897324325,0.003592883928824965,0.6025205632825953,0.18437955100324963,0.08530127943323346,0.01956402554048859,0.01603708042993805,0.0030385946921946344,0.34820383643323066,0.09870918313413819,0.07964133575697376,0.017171949712037872,0.012205386163631185,0.0032942752987301606
Window RBF,127,125,370,74.44668008048289,0.01139240264892578,0.0021375975414868035,2.2676233291625976,0.13813941489913836,2.2790157318115236,0.13986798402799702,0.0918321287594566,0.01647832382349308,0.07112085832955507,0.010959090109057905,0.007541662216309824,0.0023529132120338812,0.42735991381998495,0.029314094674375842,0.10503760497666333,0.0038824119882495613,0.03275183857252522,0.001603618292247462,0.25959602128972076,0.02111487077889443,0.08807923165310919,0.006589056355949236,0.020146750394417524,0.0010182126441723239
Window Cosine,182,125,315,63.38028169014085,0.006008720397949219,0.0014883278759661093,2.5246257305145265,0.09179153166627788,2.5306344509124754,0.09076016329202942,0.1124885830419162,0.0024704636252032824,0.035643710840338585,0.001259562823592494,0.0018111938462930398,0.00010900025018252398,0.7381421849422464,0.21577836082022267,0.024767270685421793,0.00636631365688342,0.0011243611106114,0.0003429888383967381,0.4253153839920813,0.10851667418598933,0.030205490762880188,0.0037579160652254843,0.0014677774784522199,0.00021930628064054046
Window Linear,182,125,315,63.38028169014085,0.007837247848510743,0.0007294212430566155,2.4068044662475585,0.27370491961840065,2.4146417140960694,0.274303968575946,0.10949680423446845,0.011418031571397676,0.035424409448352526,0.004044799504105585,0.0017810826354214126,0.00040843179476791864,0.603717873928802,0.1752908387796774,0.02144496159312119,0.004848487600024234,0.0009973136707402631,0.00020501947547282222,0.35660733908163533,0.08581069271026152,0.02843468552073686,0.0026519400142668422,0.0013891981530808378,0.00018768356430583748
Window Clinear,227,125,270,54.32595573440644,0.0067065715789794925,0.0006488554862714634,2.527452898025513,0.23476703660273598,2.534159469604492,0.23528005864308213,0.18643184500277737,0.04287816552700875,0.044448475249552616,0.010346142996460797,0.002950033756121753,0.0012420527250574965,0.6700515485533057,0.3643461408405917,0.023048947072270714,0.009427913059656715,0.0010915919377772153,0.00042431781921312335,0.4282416967780415,0.17706604166326279,0.03374871116091167,0.00598651258098358,0.002020812846949484,0.0006165358804658128
Window Rank,177,125,320,64.38631790744466,0.011037778854370118,0.00184669442824201,2.6086689949035646,0.2727458089560737,2.6197067737579345,0.2719108382823211,0.09528435930593375,0.024144502721501867,0.07244149028914341,0.018315468009247552,0.007733821499319869,0.003627673177464761,0.4573781903985674,0.06861979056882091,0.07025713438976393,0.005588047663690303,0.013683264480941667,0.0003798537370939834,0.27633127485225056,0.03346336507443779,0.07134931233945369,0.008859273007718474,0.010708542990130767,0.001749953605295341
Window Mahalanobis,177,125,320,64.38631790744466,0.00640721321105957,0.0008946480692114485,2.3697320461273192,0.24650259425564552,2.376139259338379,0.24658850371428598,0.11084358894379584,0.026388505082334316,0.08795523312991488,0.025516149831754053,0.01201310533232551,0.006758738401639857,0.5948369331326312,0.22762997899710974,0.08728369541020922,0.020759923471654743,0.017078341902678672,0.003809839065880883,0.35284026103821353,0.11846036476059005,0.08761946427006205,0.02042755658104064,0.014545723617502091,0.00510951466852162
Window AR,182,125,315,63.38028169014085,0.011570072174072266,0.0013208038815176449,2.4275582313537596,0.2512077867115707,2.439128303527832,0.25049369358155427,0.10649862987392218,0.013224363683223134,0.03525094575178939,0.004763343850243817,0.0017702125336247847,0.0004536776432727034,0.6104576146479408,0.12032355605528612,0.021006572794341333,0.0028413704263664046,0.000934874842959147,9.137236146037809e-05,0.35847812226093156,0.06285130975872585,0.02812875927306536,0.003098483226003636,0.0013525436882919658,0.00023517763157978228
Window Mean,174,125,323,64.98993963782696,0.10675926208496093,0.012300585198412109,2.690792369842529,0.1806951641316828,2.7975516319274902,0.18653564042950263,0.09325336357432763,0.01942065730652065,0.07405138717806906,0.018599235859052765,0.008564654417934896,0.004698464250624358,0.4911409218142241,0.12484150076686161,0.07514039566906419,0.008794474622504246,0.014811875839984761,0.0005148984930699547,0.2921971426942758,0.059242984673257955,0.07459589142356662,0.007599940051879958,0.011688265128959829,0.002296694284745395
Window Median,180,125,317,63.78269617706237,0.10675926208496093,0.012300585198412109,2.7191444396972657,0.18467561660345164,2.8259037017822264,0.18107085188713548,0.10739401679863632,0.019269948665628332,0.03768755409832619,0.009020508017537659,0.0020916826541150504,0.0010461300340084947,0.4652984234500296,0.13268048809417576,0.01854458207038872,0.002145791285007394,0.0009346015329423358,5.573734319919321e-05,0.28634622012433303,0.058068236905950074,0.02811606808435746,0.0038882098612399003,0.0015131420935286931,0.0005429318829096981
Binary Segmentation L1,412,125,85,17.102615694164992,0.025376033782958985,0.0021785515662575946,3.3605478286743162,0.26470145272932205,3.3859238624572754,0.26388073836991216,0.22890381950623975,0.02715920493660245,0.05449330061989572,0.006449977864852563,0.0043467450670421105,0.000912284632728589,1.0432102554491711,0.13833548087552444,0.032256684874052394,0.0038560963300283847,0.00140759596447469,0.00022935937308647051,0.6360570374777055,0.07715194077456626,0.04337499274697405,0.00453003947008873,0.0028771705157584,0.0005378506003865759
Binary Segmentation L2,452,125,45,9.054325955734406,0.011946916580200195,0.0009053289199429658,3.316959285736084,0.24633651489679956,3.328906202316284,0.24669824038721028,0.18652643143172815,0.028338610060578515,0.0449969195789717,0.006284747914588144,0.0031242561099475547,0.0008379674202312065,0.8150146775758295,0.2637007066459162,0.02628193511032331,0.006963663473485525,0.001142558281806495,0.0003193441129530317,0.5007705545037787,0.13836441414089717,0.0356394273446475,0.005477750271550629,0.002133407195877024,0.0004863069694724507
