Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Population_MAPE,Population_MAE,Population_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Bottom Up L1,247,164,405,62.11656441717791,0.015751123428344727,3.537684917449951,3.553436040878296,0.04332271427246941,0.046112345302853325,0.002198841765384325,0.04332271427246941,0.046112345302853325,0.002198841765384325
Bottom Up L2,297,164,355,54.44785276073619,0.009647130966186523,6.86860203742981,6.878249168395996,0.0007358273565992333,0.0007881932257271988,8.136422737183712e-07,0.0007358273565992333,0.0007881932257271988,8.136422737183712e-07
Bottom Up Normal,237,164,415,63.65030674846626,0.014651775360107422,6.816089868545532,6.83074164390564,0.0038151934355064865,0.004075327137386431,1.8347820625977526e-05,0.0038151934355064865,0.004075327137386431,1.8347820625977526e-05
Bottom Up RBF,177,164,475,72.85276073619632,0.01653599739074707,2.843276023864746,2.859812021255493,0.035510973560256856,0.037843839398528076,0.0015074907066773495,0.035510973560256856,0.037843839398528076,0.0015074907066773495
Bottom Up Cosine,12,164,640,98.15950920245399,0.014702796936035156,3.0739099979400635,3.0886127948760986,0.018971901592412826,0.020393411465424352,0.0005384793814877075,0.018971901592412826,0.020393411465424352,0.0005384793814877075
Bottom Up Linear,207,164,445,68.25153374233128,0.009505033493041992,2.5052082538604736,2.5147132873535156,0.03082237348648263,0.032869544778573,0.0011501762121891449,0.03082237348648263,0.032869544778573,0.0011501762121891449
Bottom Up Clinear,207,164,445,68.25153374233128,0.00783228874206543,2.402968168258667,2.4108004570007324,0.02295775289405149,0.02452941724972028,0.0006648373677364418,0.02295775289405149,0.02452941724972028,0.0006648373677364418
Bottom Up Rank,287,164,365,55.98159509202454,0.010981321334838867,6.314263105392456,6.325244426727295,0.001275906592181455,0.0013655596457028598,2.209191152677769e-06,0.001275906592181455,0.0013655596457028598,2.209191152677769e-06
Bottom Up Mahalanobis,297,164,355,54.44785276073619,0.007522106170654297,5.449048042297363,5.456570148468018,0.006355834231997846,0.006778294513852441,4.9031663193349716e-05,0.006355834231997846,0.006778294513852441,4.9031663193349716e-05
Bottom Up AR,197,164,455,69.78527607361963,0.013191938400268555,2.698052167892456,2.7112441062927246,0.04369638774958454,0.04654141712104106,0.00226096340868302,0.04369638774958454,0.04654141712104106,0.00226096340868302
Bottom Up Mean,217,164,435,66.71779141104295,0.12032151222229004,3.7701261043548584,3.8904476165771484,0.03907949340477329,0.04164572128587894,0.001824834747638254,0.03907949340477329,0.04164572128587894,0.001824834747638254
Bottom Up Median,222,164,430,65.95092024539878,0.12032151222229004,2.649731159210205,2.770052671432495,0.008601903509282617,0.009136619475980929,0.00011213804406107642,0.008601903509282617,0.009136619475980929,0.00011213804406107642
