Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg Number of Passengers_MAPE,Std Number of Passengers_MAPE,Avg Number of Passengers_MAE,Std Number of Passengers_MAE,Avg Number of Passengers_MSE,Std Number of Passengers_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Fixed Cut 50.0%,188,94,186,49.73262032085562,N/A,N/A,4.026483678817749,0.9433992233557652,4.026483678817749,0.9433992233557652,0.10648057471316358,0.003974632943227937,0.0905667619530337,0.003978465850095504,0.011743229022253226,0.0013226352521490167,0.10648057471316358,0.003974632943227937,0.0905667619530337,0.003978465850095504,0.011743229022253226,0.0013226352521490167
Fixed Cut 55.0%,169,94,205,54.81283422459893,N/A,N/A,4.951551389694214,0.8060133226937842,4.951551389694214,0.8060133226937842,0.10490470759127629,0.0022723870306763766,0.0889223618135751,0.0017978457500959807,0.011182086157348592,0.0006562036977095435,0.10490470759127629,0.0022723870306763766,0.0889223618135751,0.0017978457500959807,0.011182086157348592,0.0006562036977095435
Fixed Cut 60.0%,150,94,224,59.893048128342244,N/A,N/A,4.646831941604614,0.9021366940251465,4.646831941604614,0.9021366940251465,0.10572070627527952,0.0017582054149483438,0.09003189154480659,0.0016429059010088939,0.011413855526762785,0.0004910900723558721,0.10572070627527952,0.0017582054149483438,0.09003189154480659,0.0016429059010088939,0.011413855526762785,0.0004910900723558721
Fixed Cut 65.0%,131,94,243,64.97326203208557,N/A,N/A,5.307636737823486,1.6801244213491755,5.307636737823486,1.6801244213491755,0.10504467128839196,0.0033115687903477594,0.08880844562796428,0.002879223721253903,0.011467718746210212,0.0009374775625635624,0.10504467128839196,0.0033115687903477594,0.08880844562796428,0.002879223721253903,0.011467718746210212,0.0009374775625635624
Fixed Cut 70.0%,113,94,261,69.78609625668449,N/A,N/A,4.706263065338135,0.5209744995969344,4.706263065338135,0.5209744995969344,0.10613323259096057,0.0014286761851275897,0.09018210714708919,0.001445272045281709,0.01178466129167291,0.0004197678869392094,0.10613323259096057,0.0014286761851275897,0.09018210714708919,0.001445272045281709,0.01178466129167291,0.0004197678869392094
Fixed Cut 75.0%,94,94,280,74.8663101604278,N/A,N/A,3.7622156143188477,0.4655903367246213,3.7622156143188477,0.4655903367246213,0.1132421531692416,0.002689142472581942,0.09838766975657091,0.002583270458943547,0.013635810205075184,0.0008086283528310538,0.1132421531692416,0.002689142472581942,0.09838766975657091,0.002583270458943547,0.013635810205075184,0.0008086283528310538
Fixed Cut 80.0%,75,94,299,79.94652406417111,N/A,N/A,3.640822696685791,0.13496406258445678,3.640822696685791,0.13496406258445678,0.11181503312810909,0.0022844718056602956,0.09676588255828232,0.0021098565382042774,0.013357108711086623,0.0007885110494947156,0.11181503312810909,0.0022844718056602956,0.09676588255828232,0.0021098565382042774,0.013357108711086623,0.0007885110494947156
Fixed Cut 85.0%,57,94,317,84.75935828877004,N/A,N/A,3.1190442562103273,0.1509989503637948,3.1190442562103273,0.1509989503637948,0.11088356299560986,0.002808843519556106,0.09600576112840477,0.0026141862802114913,0.013119856106193999,0.0008933721091716415,0.11088356299560986,0.002808843519556106,0.09600576112840477,0.0026141862802114913,0.013119856106193999,0.0008933721091716415
Fixed Cut 90.0%,38,94,336,89.83957219251337,N/A,N/A,2.9256121635437013,0.14140723918992293,2.9256121635437013,0.14140723918992293,0.11680231356699904,0.004841261966241849,0.10299990694100943,0.005424387168868932,0.014759881874967518,0.0013224982965118744,0.11680231356699904,0.004841261966241849,0.10299990694100943,0.005424387168868932,0.014759881874967518,0.0013224982965118744
Window L1,269,94,105,28.07486631016043,0.009774160385131837,0.0012576077482839823,5.1742476463317875,1.1511536046132544,5.184021806716919,1.1517688566240754,0.11012298369247489,0.006409620128309089,0.09397276406008885,0.00709384684876209,0.01275900224853643,0.0019758860248060097,0.11012298369247489,0.006409620128309089,0.09397276406008885,0.00709384684876209,0.01275900224853643,0.0019758860248060097
Window L2,264,94,110,29.411764705882355,0.005310773849487305,0.0005164520933866681,4.857998657226562,0.764941877231888,4.86330943107605,0.7648584993291564,0.10750895788266858,0.002882508110755345,0.09156405009068487,0.003437845563855875,0.012038149053583453,0.0008751820438478674,0.10750895788266858,0.002882508110755345,0.09156405009068487,0.003437845563855875,0.012038149053583453,0.0008751820438478674
Window Normal,264,94,110,29.411764705882355,0.00910186767578125,0.0007308921129154887,4.43469877243042,1.2382089171441661,4.443800640106201,1.238679218060292,0.1053899312004506,0.003923821526801154,0.08882644167098892,0.0038283476727333943,0.011331668644927838,0.0012654511191572612,0.1053899312004506,0.003923821526801154,0.08882644167098892,0.0038283476727333943,0.011331668644927838,0.0012654511191572612
Window RBF,264,94,110,29.411764705882355,0.006353950500488282,0.0012116704946733392,4.713819217681885,0.8423934381644415,4.720173168182373,0.8420439387801423,0.1087518118945846,0.0013619539393154596,0.09205657561982049,0.0015913102529678197,0.012370938700779575,0.0005352907645608275,0.1087518118945846,0.0013619539393154596,0.09205657561982049,0.0015913102529678197,0.012370938700779575,0.0005352907645608275
Window Cosine,0,94,374,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Linear,0,94,374,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Clinear,254,94,120,32.0855614973262,0.004536914825439453,0.0001838999019852324,4.539395952224732,0.5323460968379021,4.543932867050171,0.5324687573823751,0.10608933551807331,0.0010028726112937974,0.08972136599308499,0.0008838410182864595,0.011379567499071522,0.0002967327162563562,0.10608933551807331,0.0010028726112937974,0.08972136599308499,0.0008838410182864595,0.011379567499071522,0.0002967327162563562
