Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg V1_MAPE,Std V1_MAPE,Avg V1_MAE,Std V1_MAE,Avg V1_MSE,Std V1_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Fixed Cut 60.0%,317,199,475,59.97474747474747,N/A,N/A,8.510594654083253,4.333907409423184,8.510594654083253,4.333907409423184,0.24176513104350808,0.11323118373565096,0.03284607427915999,0.011276793880069661,0.0021557218703394483,0.00143331142620302,0.24176513104350808,0.11323118373565096,0.03284607427915999,0.011276793880069661,0.0021557218703394483,0.00143331142620302
Fixed Cut 65.0%,278,199,514,64.8989898989899,N/A,N/A,5.4445864200592045,2.2434108845153933,5.4445864200592045,2.2434108845153933,0.30294643809645455,0.07519333546188073,0.03919817476462964,0.007102566109918668,0.0028153088428649296,0.0008719609442573179,0.30294643809645455,0.07519333546188073,0.03919817476462964,0.007102566109918668,0.0028153088428649296,0.0008719609442573179
Fixed Cut 70.0%,238,199,554,69.94949494949495,N/A,N/A,5.210296726226806,1.6983712730784888,5.210296726226806,1.6983712730784888,0.33529398185822074,0.08679018397184901,0.042546797629467614,0.008307845371269516,0.0033255791291538855,0.001181583509917017,0.33529398185822074,0.08679018397184901,0.042546797629467614,0.008307845371269516,0.0033255791291538855,0.001181583509917017
Fixed Cut 75.0%,198,199,594,75.0,N/A,N/A,4.099729585647583,0.6797861110298733,4.099729585647583,0.6797861110298733,0.3467233163662032,0.032845284253315406,0.044564955294515145,0.003940988491568131,0.0036050835057800028,0.0007166808491846428,0.3467233163662032,0.032845284253315406,0.044564955294515145,0.003940988491568131,0.0036050835057800028,0.0007166808491846428
Fixed Cut 80.0%,159,199,633,79.92424242424242,N/A,N/A,4.265996932983398,0.6311047680727055,4.265996932983398,0.6311047680727055,0.41692778041590145,0.0464385845859012,0.049350891904426396,0.0036820278649253293,0.0041325396232259745,0.00045190595530621863,0.41692778041590145,0.0464385845859012,0.049350891904426396,0.0036820278649253293,0.0041325396232259745,0.00045190595530621863
Fixed Cut 85.0%,119,199,673,84.97474747474747,N/A,N/A,3.597551441192627,0.46718816153770976,3.597551441192627,0.46718816153770976,0.7772893029486777,0.11071539234691821,0.0772491038387846,0.009553632771910719,0.008059804325870685,0.0016730237981781658,0.7772893029486777,0.11071539234691821,0.0772491038387846,0.009553632771910719,0.008059804325870685,0.0016730237981781658
Fixed Cut 90.0%,80,199,712,89.8989898989899,N/A,N/A,3.9840736865997313,0.3626762096969032,3.9840736865997313,0.3626762096969032,0.4205733514692967,0.015145539243356574,0.09944266637895353,0.003473449039116342,0.020999622477273373,0.0016884471002038882,0.4205733514692967,0.015145539243356574,0.09944266637895353,0.003473449039116342,0.020999622477273373,0.0016884471002038882
Window L1,507,199,285,35.984848484848484,0.026090383529663086,0.003844970862756607,11.010723447799682,3.0956333153954203,11.036813831329345,3.0971024966731417,0.1780155871659302,0.029421321110489188,0.026276196700292853,0.0034318954479005824,0.00130967922658551,0.0003339277309489095,0.1780155871659302,0.029421321110489188,0.026276196700292853,0.0034318954479005824,0.00130967922658551,0.0003339277309489095
Window L2,127,199,665,83.96464646464646,0.012963294982910156,0.001000747608140607,2.9138772010803224,0.1985260099375539,2.9268404960632326,0.19886485938167708,0.7359869810819789,0.1925268834405974,0.0739341866870298,0.01614702143992018,0.007584879432972474,0.002876067851054245,0.7359869810819789,0.1925268834405974,0.0739341866870298,0.01614702143992018,0.007584879432972474,0.002876067851054245
Window Normal,127,199,665,83.96464646464646,0.022503662109375,0.0012167751269226493,2.902739238739014,0.2013611839119709,2.9252429008483887,0.20167260156024644,0.7378339364927776,0.11961162115999736,0.07353704345351078,0.010046768698107694,0.007301848220964578,0.0016621528296290287,0.7378339364927776,0.11961162115999736,0.07353704345351078,0.010046768698107694,0.007301848220964578,0.0016621528296290287
