Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Pace_MAPE,Pace_MAE,Pace_MSE,Distance_MAPE,Distance_MAE,Distance_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Fixed Cut 55.0%,136,76,164,54.666666666666664,N/A,2.992978811264038,2.992978811264038,0.19745205054669235,0.18668660232778805,0.037670708304006276,0.11935715445507118,0.13290426359759006,0.018924577094421323,0.15840460250088179,0.15979543296268905,0.028297642699213803
Fixed Cut 60.0%,120,76,180,60.0,N/A,3.4331281185150146,3.4331281185150146,0.24012868696133294,0.23055293089894177,0.05691241639677253,0.17403233452540223,0.19528413345946927,0.03884075459975374,0.20708051074336759,0.21291853217920553,0.04787658549826314
Fixed Cut 65.0%,105,76,195,65.0,N/A,3.0762689113616943,3.0762689113616943,0.26956772583953287,0.2629120143924924,0.07447969670571827,0.09948491654329757,0.11118225870023749,0.013028954432096838,0.1845263211914152,0.18704713654636496,0.04375432556890754
Fixed Cut 70.0%,90,76,210,70.0,N/A,3.8133368492126465,3.8133368492126465,0.2564917696377627,0.24739806302872153,0.06525434333311195,0.12942440015626694,0.14566805060457635,0.022203651524657367,0.19295808489701485,0.19653305681664895,0.043728997428884656
Fixed Cut 75.0%,75,76,225,75.0,N/A,2.768648147583008,2.768648147583008,0.2355813458262661,0.2211925613341114,0.05141207042798671,0.05708456509539486,0.06354027649729295,0.004611647627978242,0.1463329554608305,0.14236641891570218,0.02801185902798248
Fixed Cut 80.0%,60,76,240,80.0,N/A,2.9514050483703613,2.9514050483703613,0.24425621496325656,0.24139988954309,0.06471634296890726,0.017673528366055947,0.019622791600567773,0.0005950737682321192,0.13096487166465628,0.1305113405718289,0.03265570836856969
Fixed Cut 85.0%,45,76,255,85.0,N/A,2.9509761333465576,2.9509761333465576,0.32260612420318935,0.3688867989955957,0.15100052938893535,0.04017481698666745,0.045014313253062085,0.00235492391381114,0.18139047059492835,0.2069505561243289,0.07667772665137326
Fixed Cut 90.0%,30,76,270,90.0,N/A,2.449981927871704,2.449981927871704,0.2517689649607572,0.3491836547955422,0.12916125274457887,0.10379906079042432,0.11577447143012994,0.015028584285487036,0.17778401287559076,0.232479063112836,0.07209491851503297
Window L1,160,76,140,46.666666666666664,0.008051156997680664,4.052776098251343,4.060827255249023,0.2734689823782554,0.26942413195112375,0.07941207447170168,0.20449065107309136,0.22924791565938415,0.053198617315671826,0.23897981672567348,0.24933602380525405,0.06630534589368677
Window L2,160,76,140,46.666666666666664,0.00419306755065918,3.237643003463745,3.2418360710144043,0.2394598718776038,0.22736183902284268,0.05440350750909807,0.20457773545221633,0.22942036744575714,0.053352286455898,0.2220188036649101,0.22839110323429995,0.053877896982498036
Window Normal,125,76,175,58.333333333333336,0.01131582260131836,2.7775278091430664,2.7888436317443848,0.21943473926494397,0.21181856217384235,0.04880357872283147,0.13228475317626368,0.14693534037439862,0.024675126558001585,0.17585974622060385,0.1793769512741205,0.03673935264041652
Window RBF,155,76,145,48.333333333333336,0.0044269561767578125,4.179842233657837,4.184269189834595,0.26866603110638754,0.2597124940740879,0.07162455495254744,0.3041687972644552,0.3411908297444959,0.11818689909939406,0.28641741418542144,0.30045166190929196,0.09490572702597072
Window Cosine,250,76,50,16.666666666666664,0.0032482147216796875,3.4919698238372803,3.49521803855896,0.25839780675450663,0.25730015502252335,0.07360236299541566,0.38225694699571344,0.42749196213323276,0.18350144323046225,0.3203273768751101,0.342396058577878,0.12855190311293893
Window Linear,245,76,55,18.333333333333332,0.003888845443725586,3.3671858310699463,3.371074676513672,0.19145421017555497,0.17724006085948563,0.03431342883642811,0.3374191473481547,0.3772475979476231,0.14291507660817443,0.2644366787618549,0.2772438294035544,0.08861425272230125
Window Clinear,250,76,50,16.666666666666664,0.0041790008544921875,3.9465131759643555,3.9506921768188477,0.2864971824684684,0.2831730170160089,0.08747085738704904,0.3744179298950503,0.41916712306646475,0.1766799011956415,0.3304575561817593,0.3511700700412369,0.13207537929134527
Window Rank,135,76,165,55.00000000000001,0.0043752193450927734,3.3406319618225098,3.3450071811676025,0.17888072559348556,0.1568061468891465,0.02734963240021821,0.1303770990474489,0.14605719464511255,0.02161249713706796,0.15462891232046724,0.15143167076712954,0.02448106476864308
Window Mahalanobis,135,76,165,55.00000000000001,0.003365039825439453,3.29154109954834,3.2949061393737793,0.18325337686640833,0.15891069360193893,0.027871616918618097,0.1770458370460451,0.19831130478791711,0.03975749312230277,0.18014960695622667,0.17861099919492807,0.033814555020460435
Window AR,155,76,145,48.333333333333336,0.0056040287017822266,3.391714096069336,3.397318124771118,0.2253258413861292,0.21284215273857013,0.04775992057492638,0.16449652717826818,0.18440570529055048,0.03445829174168011,0.1949111842821987,0.1986239290145603,0.041109106158303245
Window Mean,177,76,123,41.0,0.05264735221862793,3.294985055923462,3.34763240814209,0.27232255157601787,0.2628441756683837,0.07318567734815515,0.3077210824828807,0.3450711050769053,0.12069079636447073,0.2900218170294493,0.3039576403726445,0.09693823685631293
Window Median,158,76,142,47.333333333333336,0.05264735221862793,3.18516206741333,3.237809419631958,0.28195891043110205,0.2770659259761578,0.08321647298205828,0.21052615356669527,0.23618149593355145,0.05666819460150294,0.24624253199889853,0.2566237109548547,0.06994233379178061
Binary Segmentation L1,155,76,145,48.333333333333336,0.012432098388671875,3.8594257831573486,3.8718578815460205,0.243437438017607,0.22733609240780603,0.05391388961611569,0.20817155738127296,0.2334407024635281,0.05524367766206889,0.22580449769943997,0.23038839743566708,0.0545787836390923
Binary Segmentation L2,150,76,150,50.0,0.007097959518432617,3.439422130584717,3.4465200901031494,0.24272549637406557,0.22922545339542783,0.05502783031751481,0.18474335598309208,0.20710307627583038,0.04343364496683107,0.21373442617857885,0.21816426483562912,0.04923073764217295
Binary Segmentation Normal,135,76,165,55.00000000000001,0.016867876052856445,3.1814839839935303,3.1983518600463867,0.20132861127528742,0.17939626838642514,0.034624373901612895,0.19069902194414548,0.21401385474994705,0.04675069681153503,0.19601381660971645,0.19670506156818612,0.04068753535657396
Binary Segmentation RBF,155,76,145,48.333333333333336,0.007889032363891602,3.765636682510376,3.7735257148742676,0.21114479761335941,0.19005649345301096,0.03800013727004386,0.20607060566050667,0.23070679980874206,0.05377448844182717,0.20860770163693304,0.21038164663087652,0.045887312855935516
Binary Segmentation Cosine,290,76,10,3.3333333333333335,0.007887125015258789,5.109073877334595,5.1169610023498535,0.2841172309535901,0.2778200422141852,0.0830013177420121,0.4531070088063642,0.5073699174593684,0.2590449142190438,0.3686121198799771,0.3925949798367769,0.17102311598052797
