Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg HPO Seconds,Std HPO Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg Close_MAPE,Std Close_MAPE,Avg Close_MAE,Std Close_MAE,Avg Close_MSE,Std Close_MSE,Avg Volume_MAPE,Std Volume_MAPE,Avg Volume_MAE,Std Volume_MAE,Avg Volume_MSE,Std Volume_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Fixed Cut 75.0%,125,125,372,74.84909456740442,N/A,N/A,338.9347674369812,65.77552821772957,4.577198314666748,2.122382769077409,343.51196575164795,67.88316127769332,0.12235822218223821,0.01265883623435368,0.09187114731804763,0.008689331284925578,0.012305261056161695,0.0022661358320438126,0.4450954154540462,0.02185457866069713,0.10843709602122195,0.004496591159468402,0.036422407600363284,0.0012311437139929551,0.2837268188181422,0.007949873361275199,0.10015412166963476,0.006400248280048716,0.024363834328262488,0.0008901861668475268
Fixed Cut 80.0%,100,125,397,79.87927565392354,N/A,N/A,336.71426639556887,88.75477267247852,3.8209465026855467,1.125074161247959,340.5352128982544,89.81457996296677,0.13947420193990248,0.023809541413564776,0.10159297967004519,0.014785024354844866,0.015395331927475385,0.003889607787947534,0.44674090838409936,0.03502783450562786,0.10224359531584153,0.003410692733010492,0.03487250119275889,0.0017047495892657993,0.29310755516200093,0.02050627974942309,0.10191828749294335,0.008975744167604506,0.02513391656011714,0.0022321967224762413
Fixed Cut 85.0%,75,125,422,84.90945674044266,N/A,N/A,314.8874825000763,57.772406401917834,3.843964672088623,1.1297811650533383,318.7314471721649,58.60437425763872,0.13102350110069433,0.019800981453556875,0.09690120011161296,0.012836395514107486,0.014018741607319545,0.003655491680936566,0.4469768367981112,0.028597188349112432,0.10378115350044136,0.004186515324570899,0.035080056781736875,0.0011235111408059357,0.2890001689494028,0.02222442039775718,0.10034117680602715,0.006820558538433956,0.024549399194528213,0.0022120931659063967
Fixed Cut 90.0%,50,125,447,89.93963782696177,N/A,N/A,301.5975932598114,65.16864303331748,3.435987663269043,0.5959376377665767,305.0335809230804,65.67761977538768,0.11386924753210863,0.02860001474792332,0.08406815343985258,0.018748705306825937,0.010997676569479503,0.004772860939829865,0.4325238237719628,0.014645085547338526,0.11257504131225744,0.010471248062684402,0.03383495201081994,0.0015714889087369555,0.2731965356520357,0.015240410127156373,0.098321597376055,0.011121475069733417,0.022416314290149716,0.0024225112661383085
Window L1,127,125,370,74.44668008048289,0.025699424743652343,0.0182408800926351,348.6766028404236,82.07951528887382,4.319837617874145,1.673265209483781,353.0221398830414,83.75165184847279,0.12953339083877438,0.04418461910125242,0.0953554706667423,0.029565800538439324,0.013596305446068978,0.006863458961821246,0.47668960810072414,0.011949501148909842,0.11038861018472149,0.009340433320235278,0.0384832415470691,0.0009572395762323356,0.30311149946974925,0.020434438152799612,0.10287204042573186,0.015864124681233865,0.02603977349656904,0.0033279279624557137
Window L2,182,125,315,63.38028169014085,0.009483814239501953,0.0019231127162348807,385.5746003627777,151.7469972519582,4.076084470748901,0.819494869956236,389.6601686477661,152.5603198523495,0.13859115787552434,0.03057521427296955,0.04419117105199469,0.008500501146986432,0.0026827919986758333,0.0008311863237164581,0.5364005546147895,0.07540721422251823,0.02310819766763599,0.004159759284980843,0.0012304067084843574,0.00011336848092611759,0.3374958562451569,0.04147681442662723,0.03364968435981534,0.0044077985005094,0.0019565993535800956,0.00040823082254167083
Window Normal,177,125,320,64.38631790744466,0.031666803359985354,0.013717480918972468,397.3035798549652,150.8460339152712,5.355850601196289,3.7443266594087885,402.6910972595215,154.5582684120268,0.14506069288564183,0.05469961466570312,0.10219349643380424,0.03311784212434011,0.015117464632303304,0.008327029974883986,0.4394108394211626,0.011583743281282428,0.08138303584905927,0.005848448308354671,0.015627903547652637,0.0008709468305200425,0.29223576615340213,0.028409492924506327,0.09178826614143176,0.017910595419394375,0.015372684089977972,0.004359539627836119
Window RBF,127,125,370,74.44668008048289,0.04081082344055176,0.04692998704692114,362.0321054458618,120.88731141205062,3.438407611846924,1.021381520018521,365.5113238811493,121.93173789437367,0.10610899234153037,0.0277211414334479,0.07902019219941701,0.017999323390175497,0.009554417878969835,0.0040018170260267055,0.45767942803919043,0.05467415045770201,0.10751723995407274,0.005916992050502904,0.034714983860305595,0.002037863188151255,0.28189421019036043,0.027395821406614642,0.09326871607674486,0.010816469774928585,0.022134700869637716,0.0023124253350623935
Window Cosine,182,125,315,63.38028169014085,0.015816593170166017,0.015811728633346393,370.0488356113434,104.57729820699305,5.548159503936768,2.095104162228329,375.6128117084503,103.80668539522891,0.12719973429470108,0.04988675249548464,0.040285545892250536,0.013167533643616612,0.0023851299933284544,0.0015303957329816378,0.4864124442280521,0.03329147548372697,0.021951175561123876,0.006852298666176682,0.001163619931622224,0.00022049299999992664,0.3068060892613766,0.02513206036568294,0.031118360726687205,0.006152844890118684,0.001774374962475339,0.0007256316774204036
Window Linear,182,125,315,63.38028169014085,0.017419815063476562,0.006168867102899973,383.4075036048889,80.89183252070133,3.677081346511841,0.7219174158118382,387.10200476646423,81.18379374599323,0.16084414703260586,0.06812385069000633,0.04920723401756445,0.017378357612631762,0.003446013718526926,0.002068356880062654,0.4714582349973324,0.019433201709289322,0.021150150255652676,0.004867743934796637,0.0011171098428473473,0.00012784534177223111,0.31615119101496914,0.03399964560120714,0.03517869213660857,0.009630048026998721,0.002281561780687136,0.0010343438139850671
Window Clinear,227,125,270,54.32595573440644,0.008999013900756836,0.0018852066912769384,360.1818257808685,66.80836581341305,3.307228946685791,0.6609872450689988,363.49805374145507,67.35433884268416,0.2156867984149904,0.11808874570300149,0.052574724149835945,0.02324341896567334,0.004073371696273543,0.003237734141455461,0.7104839293541334,0.35640483859990874,0.02394025318140646,0.009769847391624271,0.0013350600310807416,0.00044278973528008743,0.4630853638845619,0.22092934199610287,0.038257488665621196,0.011066303923737513,0.0027042158636771422,0.0016254240051464693
Window Rank,177,125,320,64.38631790744466,0.018625640869140626,0.006854273330038581,387.72342138290406,106.63858973621167,4.326282978057861,1.4841588341389065,392.06833000183104,108.09785322799834,0.11992193646320616,0.03017071934645505,0.08796226509130986,0.02049931186226546,0.010844746473306223,0.004085718805371082,0.48182214524304195,0.04714253120198062,0.08071112335923449,0.017183545285004327,0.017311330457102213,0.0021404125074310464,0.3008720408531241,0.03526241226769925,0.08433669422527218,0.01402267099229316,0.01407803846520422,0.0026058705559608604
Window Mahalanobis,177,125,320,64.38631790744466,0.023405933380126955,0.025100789233503115,388.4989223957062,124.78495687044354,4.752853441238403,2.1461476291359887,393.2751817703247,126.85035950445786,0.12566844472680547,0.03677925128092055,0.09042657847672338,0.02270410613338177,0.012167904018508636,0.005586087061768865,0.44838712728140595,0.0167470438969368,0.07869766156556096,0.009478594776127707,0.01572249535342566,0.001164346768473321,0.28702778600410567,0.01830162470056571,0.08456212002114218,0.010912219851298241,0.013945199685967146,0.002585504614306366
Window AR,182,125,315,63.38028169014085,0.020732927322387695,0.006804159191918495,385.5199068069458,127.74472484230861,4.177651357650757,0.8023965069177926,389.71829109191896,128.27322886161338,0.2520434983799273,0.13715467193332356,0.06990766706268398,0.028531272509279035,0.006641683025836368,0.005257754912175771,0.6513039045834483,0.35880541586637094,0.024950972896603908,0.005479222979662404,0.0013193364498462568,0.00024404534449407774,0.4516737014816878,0.1606909972666208,0.04742931997964395,0.013674808785791139,0.003980509737841312,0.0025735918923351473
Window Mean,174,125,323,64.98993963782696,0.2126607894897461,0.1184882693505212,385.1625126838684,115.00362488481115,4.604745817184448,1.7603575699126672,389.9799192905426,116.75842393246685,0.13669648292720005,0.024426262878261103,0.09901589991098231,0.015275676660522947,0.013042298174527883,0.0034447186521284067,0.4795952839845622,0.021432204668858666,0.08898679578314152,0.01973171076946743,0.018253736282382593,0.0023951502716880436,0.308145883455881,0.021210818986829135,0.09400134784706192,0.014971393570508421,0.015648017228455238,0.002473834021770327
