Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,x_MAPE,x_MAE,x_MSE,y_MAPE,y_MAE,y_MSE,sin(theta)_MAPE,sin(theta)_MAE,sin(theta)_MSE,cos(theta)_MAPE,cos(theta)_MAE,cos(theta)_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Fixed Cut 65.0%,171,122,316,64.8870636550308,N/A,5.3452160358428955,5.3452160358428955,0.040611413753394,0.03804702000184198,0.0020648513954140387,0.049693514227876545,0.04331409936712476,0.0025406569272631834,0.8428194902287705,0.44988570828126967,0.26224365172398945,0.7081836881851599,0.5035088849314067,0.3295155712858119,0.4103270265988002,0.2586889281454109,0.1490911828331196
Fixed Cut 70.0%,147,122,340,69.81519507186859,N/A,3.0727179050445557,3.0727179050445557,0.04253096592933667,0.03975054100294206,0.002536042655256918,0.06428487453432133,0.055176571982429576,0.004407104093513144,0.8005945645199208,0.44249710290928285,0.24570318747056138,0.7229984344002015,0.4992534628076583,0.3224155283723037,0.4076022098459451,0.2591694196755784,0.14376546564790876
Fixed Cut 75.0%,122,122,365,74.94866529774127,N/A,2.7049341201782227,2.7049341201782227,0.162235543372581,0.1488791261409324,0.0288223302339556,0.29287773154101016,0.2580250411844801,0.10292056019594943,1.1393139777653727,0.4902349427906106,0.3309917181066004,0.7885692316864914,0.529046600526795,0.4104488958763017,0.5957491210913637,0.35654642766070466,0.21829587610320184
Fixed Cut 80.0%,98,122,389,79.87679671457906,N/A,2.5482571125030518,2.5482571125030518,0.20273205884693188,0.18654702610329196,0.06400587822568063,0.31340416598797566,0.2819583756313095,0.08696337782247637,1.049119012739533,0.5301948155952161,0.37475358657118435,0.9006077244899495,0.552929067735608,0.48653184531759996,0.6164657405160974,0.3879073212663565,0.25306367198423535
Fixed Cut 85.0%,74,122,413,84.80492813141683,N/A,3.0950000286102295,3.0950000286102295,0.0654127709301085,0.059964609007796606,0.004681487954160093,0.22190221260559867,0.2015645223699335,0.05078276164631299,1.0533742002203255,0.509391860655344,0.34587583151805384,0.7861700532183092,0.5376127489521748,0.35009478032842206,0.5317148092435855,0.32713343524631233,0.18785871536173726
Fixed Cut 90.0%,49,122,438,89.93839835728953,N/A,3.414264678955078,3.414264678955078,0.1638641914096289,0.15755096572309216,0.048333339740032524,0.15807149908457502,0.14317114945459503,0.0383630310228241,1.8138174715962891,0.5807037917243416,0.5776355486214798,0.7206826053359838,0.4706750623842706,0.3474369241814429,0.7141089418566193,0.3380252423215748,0.25294221089144486
Window L1,312,122,175,35.93429158110883,0.018285036087036133,4.520716905593872,4.539001941680908,0.04807889318610708,0.04494486733481992,0.0026194836830990805,0.06049346882076228,0.04958100592001056,0.0036246639677624433,0.8072588511417755,0.4234603001960658,0.23275909224381497,0.7075501200733615,0.499615257648787,0.33395802055464574,0.40584533330550154,0.25440035777492087,0.1432403151123306
Window L2,247,122,240,49.28131416837782,0.007164955139160156,3.575700044631958,3.582864999771118,0.04498020547994488,0.039862368178664134,0.0025409228555252537,0.05462267343261651,0.04665586602222665,0.0030610425357214667,0.8950069194461121,0.4740633186372984,0.2955563980783818,0.7503522855135515,0.5153011927850745,0.3358139865690492,0.4362405209680562,0.26897068640581606,0.15924308750966942
Window Normal,92,122,395,81.1088295687885,0.017195940017700195,2.9712071418762207,2.988403081893921,0.053604506643333084,0.05033511948147801,0.0038636728353028975,0.05894965053624258,0.051936662828041415,0.00395475868107065,0.9117026424506818,0.47002605067865383,0.28815931962369296,0.7147865300037687,0.5042212638035974,0.3278833781126963,0.43476083240850644,0.2691297741979428,0.15596528231319073
Window RBF,317,122,170,34.90759753593429,0.006706953048706055,3.567528247833252,3.574235200881958,0.04871071610996986,0.04689698847941781,0.004390295157029265,0.06654403350388866,0.05428427748354434,0.0040013026418928704,0.9072710613165157,0.458471496670018,0.27306004254633043,0.7192101397411913,0.5030640929956984,0.3429972848468164,0.4354339876678914,0.2656792139071698,0.15611223129801727
Window Cosine,317,122,170,34.90759753593429,0.005083799362182617,3.7172601222991943,3.722343921661377,0.05855372114770128,0.05567726876121756,0.004829076753344154,0.04812703451725289,0.039230786769125024,0.0021982399596647633,0.8200172692252217,0.43222357456413457,0.24311385767816365,0.7183257784454258,0.4960784317316044,0.3115840268855932,0.4112559508339005,0.25580251545652044,0.14043130031919146
Window Linear,172,122,315,64.68172484599589,0.008405923843383789,3.5785410404205322,3.586946964263916,0.04525809900593993,0.04242391373850304,0.0029038681806529748,0.06845757307181466,0.05895599188302318,0.004844179280300783,0.8743054747629457,0.45946885750805694,0.27312603014166775,0.7284306657630651,0.4984407106479101,0.30990379571047794,0.4291129531509414,0.26482236844437346,0.14769446832827482
Window Clinear,342,122,145,29.774127310061605,0.00572514533996582,4.113303184509277,4.119028329849243,0.04444135126665847,0.04191212137810517,0.0025268130263245542,0.08277808703530555,0.06299223568321281,0.005971695983315894,0.9087203181386618,0.4457231386143916,0.2715681804905591,0.6843135236135685,0.45114353837548365,0.3107468568084598,0.4300633200135486,0.2504427585127984,0.1477033865771649
Window Rank,312,122,175,35.93429158110883,0.006873130798339844,3.9534530639648438,3.9603261947631836,0.04885761108021297,0.04592474859839059,0.003423150363189604,0.03771178282616435,0.030959429227832652,0.0014179493204409131,0.8373389400749025,0.45776225993534303,0.2665305122435673,0.6453291976525841,0.4479219264250499,0.2729855554868183,0.39230938290846584,0.24564209104665413,0.13608929185350402
Window Mahalanobis,312,122,175,35.93429158110883,0.005616188049316406,3.3940718173980713,3.3996880054473877,0.033526900186432285,0.03127615017377954,0.0016002667191613357,0.04342998382058255,0.03654543560215775,0.002014142458302082,0.8415257672885806,0.44394856894656237,0.25403372973624366,0.7131754393316442,0.48778333655733497,0.35298271309418444,0.40791452265680994,0.24988837281995874,0.15265771300197292
Window AR,162,122,325,66.73511293634496,0.009804964065551758,3.0228850841522217,3.0326900482177734,0.04258340247902415,0.040041902310327684,0.0024614286296071285,0.047536699095680854,0.04206312469448019,0.0025153295761514718,0.7814836988164254,0.45039246924346066,0.25869115800542974,0.8038519624633018,0.5479696249468178,0.36627758466359517,0.418863940713608,0.2701167802987716,0.15748637521869585
Window Mean,259,122,228,46.81724845995893,0.09086203575134277,3.648258924484253,3.7391209602355957,0.03650407294951939,0.033781217152694464,0.001764747252849182,0.06456924092043788,0.05376281005643063,0.003971730634885233,0.7906487544676625,0.44590464054366974,0.25387347860136283,0.6805344959340055,0.4693087838784348,0.31212025691389345,0.39306414106790627,0.25068936290780747,0.14293255335074767
Window Median,312,122,175,35.93429158110883,0.09086203575134277,3.663156032562256,3.7540180683135986,0.05717611812990707,0.0545044793519369,0.004785715353373531,0.04484725232308427,0.0373209945599549,0.0018988455741997437,0.8081019690048172,0.4371339626752309,0.2443192780073053,0.67864327859504,0.4706619923599554,0.3182837768443393,0.3971921545132122,0.2499053572367696,0.1423219039448045
Binary Segmentation L1,312,122,175,35.93429158110883,0.022995948791503906,4.0518200397491455,4.074815988540649,0.061265829514314654,0.057918639906777133,0.005288079109199207,0.05056673298897583,0.04305776632688417,0.0027638674299794576,0.8090069630722204,0.4220811927945463,0.2330831017090175,0.662294421700572,0.4579410824810425,0.3046397250082923,0.3957834868190207,0.2452496703773126,0.1364436933141221
Binary Segmentation L2,257,122,230,47.227926078028744,0.010490894317626953,2.9696431159973145,2.9801340103149414,0.05475582569137498,0.05073208683559536,0.0033856399443516613,0.06513470361264834,0.05420930669433548,0.004083947171452524,0.9496642500895573,0.4739151372610278,0.2941893106739844,0.6962095148532758,0.47466382485507064,0.3403609873419919,0.4414410735617139,0.26338008891150744,0.16050497128294516
Binary Segmentation Normal,97,122,390,80.08213552361396,0.02640223503112793,2.7059199810028076,2.7323222160339355,0.03488308406952473,0.0321028714544451,0.0015366920670582696,0.059771592738260895,0.052774256345862545,0.003970820337067026,0.9503482855399115,0.49341545836385337,0.31829836940856154,0.7429754262085962,0.4942969355829928,0.3149722551318256,0.4469945971390734,0.26814738043678865,0.15969453423612812
Binary Segmentation RBF,257,122,230,47.227926078028744,0.017590999603271484,3.4481308460235596,3.465721845626831,0.05284921135043501,0.049021522148531324,0.0036052481968274516,0.050739359991490915,0.04287643070725022,0.002587066926096327,0.8316264566495942,0.43384981570150716,0.24590907997657066,0.6854891391003016,0.465013271300529,0.30022144219048624,0.4051760417729555,0.24769025996445448,0.13808070932249517
Binary Segmentation Cosine,312,122,175,35.93429158110883,0.015169858932495117,3.5724852085113525,3.5876550674438477,0.05435953505237572,0.05121400615824429,0.0036811038371945297,0.049530078087035405,0.041166626175475875,0.002209659351440721,0.7893199640029106,0.44656615850680703,0.2534096110802865,0.6850535229866909,0.46943278538531974,0.31408199016948,0.3945657750322532,0.2520948940564618,0.14334559110960046
Binary Segmentation Linear,312,122,175,35.93429158110883,0.013269901275634766,3.4176461696624756,3.4309160709381104,0.04481262468586345,0.04228095175033311,0.002800823946267727,0.05275495915559961,0.0429771913361926,0.0028545581057830586,0.9554244633920497,0.4506656995133933,0.2718331041880042,0.6975614523795243,0.4789130379829903,0.3059963622095998,0.4376383749032592,0.25370922014572744,0.14587121211241366
Binary Segmentation Clinear,407,122,80,16.427104722792606,0.008023977279663086,3.5483200550079346,3.5563440322875977,0.05808063572840721,0.055020535749605706,0.004232031228323067,0.1122528054328555,0.08479086209859146,0.00988177191300807,1.0209891724154532,0.4610238708560715,0.29644566931744165,0.6760934151548444,0.4752447329107907,0.32106599943053143,0.46685400718288994,0.26902000040376495,0.15790636797232604
Binary Segmentation Rank,312,122,175,35.93429158110883,0.010230779647827148,3.1419079303741455,3.1521387100219727,0.057846956392946736,0.05503910713258916,0.0049878114676190815,0.028216136381840437,0.02351303924860525,0.0008193311460667364,0.856815461664452,0.4462634085869587,0.25642158479576227,0.7167951647537636,0.4958643591455976,0.3368711519589178,0.4149184297982508,0.25516997852843776,0.14977496984209143
Binary Segmentation Mahalanobis,312,122,175,35.93429158110883,0.017251253128051758,3.75455904006958,3.771810293197632,0.03819657930375963,0.035819001482676735,0.0017275451929437266,0.07037044768436342,0.05721479657332113,0.005150859655479643,0.8655419891209579,0.444542561323476,0.2606279606457458,0.7213183372492707,0.5160727846189544,0.3586937017382649,0.423856838339588,0.2634122859996072,0.15655001680810854
Binary Segmentation AR,312,122,175,35.93429158110883,0.016069889068603516,4.2993199825286865,4.31538987159729,0.05817080314334043,0.05516945770563807,0.004835064977106812,0.056311552415163516,0.04730118821433812,0.0027301810216932686,0.9271880837406798,0.45202748161669287,0.26726321423118954,0.67356654598026,0.4740512045754885,0.2986254830247948,0.428809246319861,0.2571373330280395,0.14336348581369612
Binary Segmentation Mean,289,122,198,40.6570841889117,0.15749573707580566,4.9125449657440186,5.070040702819824,0.052638249885976235,0.048884798701412026,0.0036609331236601788,0.06296405642258693,0.05179387126211519,0.0035383066608308117,0.8329550850546756,0.4487779031035383,0.2585631602379484,0.6598176488556604,0.45875727803563165,0.3019656370241794,0.40209376005472486,0.25205346277567436,0.14193200926165467
Binary Segmentation Median,312,122,175,35.93429158110883,0.15749573707580566,3.8629889488220215,4.020484685897827,0.04550660371425532,0.043291935576371295,0.0030620921217498114,0.04913682775488638,0.04037011129220491,0.002306865392607574,0.8013569429137946,0.44748345368301895,0.25450212228471264,0.7178571359439795,0.5038812062713872,0.34176553468774074,0.403464377581729,0.2587566767057457,0.1504091536217027
Bottom Up L1,242,122,245,50.308008213552355,0.00740504264831543,3.904637098312378,3.9120421409606934,0.03605940807636569,0.03372200419988894,0.0015493020998653463,0.08382677250076266,0.06834916909127677,0.006369307297799134,0.8145333955188392,0.4347081291305194,0.24412555181682774,0.6911774249118569,0.45287513894429565,0.3081022203001709,0.4063992502519561,0.24741361034149528,0.14003659537866583
Bottom Up L2,242,122,245,50.308008213552355,0.004949092864990234,4.240201950073242,4.245151042938232,0.036855817061894836,0.034907157123279076,0.001832804283258754,0.06076170023879769,0.04934206516383397,0.003642881837374613,0.8709630707580679,0.44718669791536647,0.26103282785011517,0.6805144188720907,0.4682610670510961,0.3056101136831462,0.41227375173271286,0.249924246813394,0.14302965691347375
Bottom Up Normal,262,122,225,46.201232032854215,0.010263204574584961,3.806807041168213,3.817070245742798,0.048198868370500296,0.04513026129853799,0.0030937938940227444,0.048035904056482066,0.03931200415696497,0.0023634466344365527,0.8457676242652876,0.43450666240817043,0.25123446786152104,0.6843191863013182,0.47425775299739775,0.3181420344521224,0.4065803957483972,0.24830167021526786,0.14370843571052566
Bottom Up RBF,242,122,245,50.308008213552355,0.007784843444824219,3.235229969024658,3.2430148124694824,0.03924921083496625,0.036611046648208356,0.0021668315690829116,0.04926464923981044,0.04044735409815605,0.0024395810446001674,0.8105109892401757,0.4421491829699355,0.25161701740451553,0.6928270641184595,0.4768356273294328,0.32992867453017266,0.3979629783583531,0.24901080276143328,0.14653802613709282
Bottom Up Cosine,322,122,165,33.880903490759756,0.00400090217590332,3.079241991043091,3.083242893218994,0.08780391487804494,0.08350689299184867,0.01094026939299505,0.04893711032177475,0.03905717136940892,0.002234506948471228,0.9467895324480349,0.47933055084083964,0.29539013850867984,0.7417926125905643,0.49680889881474277,0.3401486507300613,0.45633079255960474,0.27467587850421016,0.16217839139505186
Bottom Up Linear,322,122,165,33.880903490759756,0.005402088165283203,5.1295130252838135,5.134915113449097,0.0714175493167843,0.06763453948098426,0.006114310639962882,0.0527474143264831,0.040814782193527105,0.002379094343397316,0.7994884821950409,0.4378099086067096,0.24751901881564678,0.6618046892577804,0.45735895946610633,0.28023328915135987,0.3963645337740221,0.2509045474368319,0.13406142823759168
Bottom Up Clinear,322,122,165,33.880903490759756,0.003835916519165039,4.051548719406128,4.055384635925293,0.05331672482232232,0.050596397913985035,0.004076571346091927,0.0633650552779331,0.049306311687907785,0.0034448265535960477,0.9046984088166877,0.4349039967014895,0.2540530090331979,0.68078242377007,0.4728653544984619,0.30194138087269407,0.42554065317175327,0.25191801520046114,0.14087894695139497
Bottom Up Rank,307,122,180,36.96098562628337,0.00525212287902832,3.804762125015259,3.810014247894287,0.0551063266240597,0.05220127835655309,0.004340047866879062,0.049211322690846694,0.04047728794625833,0.0022963283074347407,0.8717197257946239,0.45090504783444296,0.26616393881250705,0.6993631306666739,0.48225231219311815,0.30037540366058274,0.418850126444051,0.2564589815825932,0.1432939296618509
Bottom Up Mahalanobis,307,122,180,36.96098562628337,0.0046539306640625,4.259340047836304,4.263993978500366,0.06068806699109764,0.057051096200461546,0.004864872878712768,0.04794351725442699,0.03965183946965526,0.0022189245980600457,0.7519482868399172,0.44726093730581146,0.25430382019948666,0.6781028672796263,0.4748575366068344,0.29672345145234846,0.3846706845912671,0.25470535239569075,0.139527767282152
Bottom Up AR,307,122,180,36.96098562628337,0.006318092346191406,2.9431800842285156,2.949498176574707,0.0698171753190004,0.06362818051077777,0.005688309403728681,0.062312134976139334,0.0507398152875496,0.004139401188233146,0.8677462792054768,0.4747828547493502,0.2879730016318171,0.6375413844626684,0.44124114903939066,0.2662817647107968,0.4093542434908213,0.2575979998967671,0.14102061923364392
Bottom Up Mean,288,122,199,40.86242299794661,0.05986523628234863,3.556541919708252,3.6164071559906006,0.04750192623622074,0.04454054296269692,0.0029675221540412626,0.06633951688665347,0.05403565778669133,0.004261962305050867,0.8801234738196306,0.4461092312467244,0.2585840960023768,0.7075758711192437,0.45863015738067625,0.323543240830624,0.42538519701543726,0.25082889734419733,0.14733920532302325
Bottom Up Median,307,122,180,36.96098562628337,0.05986523628234863,3.1727640628814697,3.2326292991638184,0.07106149239570937,0.06788403933568497,0.008216292969266814,0.06325812049742915,0.05226736081974179,0.0036232876626695176,0.7986939337004711,0.45082456316936226,0.25890674848822504,0.7015854847334428,0.48305371735117264,0.31197270051515374,0.40864975783176316,0.26350742016899054,0.14567975740882874
