Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,x_MAPE,x_MAE,x_MSE,y_MAPE,y_MAE,y_MSE,sin(theta)_MAPE,sin(theta)_MAE,sin(theta)_MSE,cos(theta)_MAPE,cos(theta)_MAE,cos(theta)_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Fixed Cut 50.0%,244,122,243,49.89733059548255,N/A,3.828195810317993,3.828195810317993,0.0649186004111022,0.06067378906481752,0.00585142242385233,0.06569812018568888,0.05366156708989721,0.004326206478327518,0.8652810538671629,0.4561792502920022,0.26735810710056135,0.6722968872859337,0.45710754721370767,0.2717792692521749,0.417048665437472,0.2569055384151062,0.13732875131372904
Fixed Cut 55.0%,220,122,267,54.82546201232032,N/A,4.3610570430755615,4.3610570430755615,0.0451991198632978,0.04263918755077352,0.003079682279779453,0.04724368856013307,0.038932951646530344,0.00200072893838723,0.9258069297957026,0.4398668994960629,0.2555463758557024,0.7316392507552033,0.5067944719561293,0.3209733914681512,0.43747224724358424,0.2570583776623741,0.14540004463550502
Fixed Cut 60.0%,195,122,292,59.95893223819302,N/A,3.6573421955108643,3.6573421955108643,0.04119995002202663,0.03837786868145545,0.001991941831277723,0.07149946029288164,0.0628070876806306,0.0048709810606498965,0.9068361328353554,0.4505947099294392,0.2777596730376626,0.6728916043977783,0.4704274954698841,0.30538136248848835,0.42310678688701064,0.25555179044035237,0.14750098960451963
Fixed Cut 65.0%,171,122,316,64.8870636550308,N/A,4.001715898513794,4.001715898513794,0.05885687512348849,0.05469840505228441,0.004392171045834282,0.04578777055643717,0.03932593831167116,0.0020988650660497972,0.8516602145420464,0.46476812960878156,0.27673154151669743,0.7284611367163155,0.4822796942811821,0.29250801007422744,0.421191499234572,0.26026804181347996,0.14393264692570223
Fixed Cut 70.0%,147,122,340,69.81519507186859,N/A,2.8892829418182373,2.8892829418182373,0.04044784975207553,0.037875224401798524,0.002613176621752485,0.061709699899555756,0.05323664721668607,0.004397990659258573,0.7635426047755826,0.4398036904320513,0.2472129820506333,0.7426269632923936,0.5179586109522429,0.3518511708123748,0.402081779429902,0.2622185432506948,0.1515188300360047
Fixed Cut 75.0%,122,122,365,74.94866529774127,N/A,3.0092241764068604,3.0092241764068604,0.06421835568597721,0.0597173755387809,0.005369969519754433,0.04117671719670252,0.03558064686235112,0.0020567394578930366,1.1203250126124025,0.4951825312350673,0.33211655709925586,0.7408948989076181,0.49414259614183614,0.34919066712994923,0.4916537461006751,0.27115578744450897,0.17218348330171312
Fixed Cut 80.0%,98,122,389,79.87679671457906,N/A,2.6977009773254395,2.6977009773254395,0.06463302739015665,0.05890512016977754,0.0053408238426004215,0.049930449081515726,0.04350564466550295,0.002981465432670929,0.944587101745067,0.48424845359847757,0.2987447050401999,0.7404947326924965,0.5017677292085397,0.34506423134014763,0.449911327727309,0.27210673691057463,0.16303280641390466
Fixed Cut 85.0%,74,122,413,84.80492813141683,N/A,3.39379620552063,3.39379620552063,0.04728654854845833,0.04248451573033408,0.0032671536971933756,0.045544732654964754,0.03983551704287296,0.002486649863183947,0.8790738089634584,0.4356852572206119,0.24524804154722282,0.7912181430492261,0.49040395311171353,0.29175014749531075,0.440780808304027,0.25210231077638323,0.13568799815072768
Fixed Cut 90.0%,49,122,438,89.93839835728953,N/A,3.597317695617676,3.597317695617676,0.1558374224061188,0.15030068402451263,0.03938040983348511,0.1882803509059035,0.17023449182931358,0.0538425958626332,1.5415485695225137,0.49215986530140776,0.40783425316231997,0.811051165987764,0.49032449323706995,0.39914532629321264,0.6741793772055751,0.32575488359807603,0.2250506462879127
Window L1,312,122,175,35.93429158110883,0.020473957061767578,3.402383804321289,3.4228577613830566,0.05975610486642015,0.056663172449408584,0.004850621693450253,0.041692145678519324,0.03420170414088193,0.0017717518936880095,0.9115170509426819,0.4641502659277475,0.27663862087458635,0.6626581740895555,0.4597171487985819,0.2950385021434393,0.4189058688942944,0.25368307282915514,0.14457487415129094
Window L2,247,122,240,49.28131416837782,0.006621837615966797,3.567218780517578,3.573840618133545,0.053580457117109605,0.04967656556662129,0.004017021042558857,0.04757172323394657,0.039162502914590024,0.0021948934552890463,0.8646667343673647,0.4596875091063409,0.2719519367441005,0.7099489432136651,0.49507365688958804,0.34334921445721506,0.41894196448302157,0.2609000586192851,0.15537826642479086
Window Normal,92,122,395,81.1088295687885,0.02402782440185547,2.9322140216827393,2.9562418460845947,0.0346302795099719,0.03225047032694782,0.0014777798240776972,0.06074927379270277,0.052314770282755656,0.004090395524487595,0.9789911977434638,0.4861194756480711,0.3055113385114191,0.75665416084145,0.5159898002315944,0.3326553818416682,0.4577562279718971,0.27166862912234235,0.16093372392541305
Window RBF,317,122,170,34.90759753593429,0.016107797622680664,3.4180867671966553,3.434194564819336,0.041236011346545004,0.03870066980295171,0.0023317487101333694,0.056407026144880405,0.04569093588964384,0.003160422281559696,0.9476535142061029,0.4631900115348556,0.2853812678677615,0.7178777341843176,0.4802246665549272,0.33547972075275756,0.4407935714704614,0.2569515709455947,0.156588289903053
Window Cosine,317,122,170,34.90759753593429,0.007375955581665039,3.6339142322540283,3.6412901878356934,0.047898619237859305,0.04519176427875808,0.003044022867045862,0.05714284126470709,0.047654420024067445,0.002908958883583551,0.8019602631427976,0.43117228863146045,0.23804233247911133,0.6904183101564152,0.47334551979386025,0.32445085580406136,0.3993550084504448,0.24934099818203662,0.14211154250845057
Window Linear,172,122,315,64.68172484599589,0.008209943771362305,2.775714635848999,2.7839245796203613,0.17418245518742748,0.1589716385739334,0.03176005317535981,0.1039660105637969,0.09150297618714592,0.01087647367753992,0.9552977071316076,0.4773086021609332,0.29686911237670555,0.8689435024155737,0.6068640970978384,0.4752917677668543,0.5255974188246013,0.33366182850496284,0.2036993517491149
Window Clinear,342,122,145,29.774127310061605,0.0059337615966796875,6.3341240882873535,6.340057849884033,0.04980897656416952,0.04686274561040416,0.003137839382440451,0.051727051158045836,0.03979527564451762,0.002234558533591604,0.8716764044355165,0.4221732008154459,0.23824313525018573,0.6726634074506448,0.4574990932452215,0.299582459870584,0.4114689599020942,0.24158257882889733,0.13579949825920046
Window Rank,312,122,175,35.93429158110883,0.012223243713378906,3.496501922607422,3.508725166320801,0.06469072332957272,0.06171863149997135,0.005899603114287891,0.06079536908627524,0.05042043349667058,0.0034332050177785568,0.9117478226900776,0.4629146225356942,0.2794186417961101,0.6987945924747794,0.48755877185331226,0.3174711680246795,0.4340071268951762,0.26565311484641224,0.1515556544882139
Window Mahalanobis,312,122,175,35.93429158110883,0.005649089813232422,3.345890998840332,3.3515400886535645,0.054868611832217834,0.052092094304254356,0.0045579173897309045,0.05192769965793981,0.0425973176121856,0.002590245072481008,0.7881809322761069,0.45828213976577725,0.2662668960269519,0.661341739884548,0.4629526379997715,0.3086928660465773,0.38907974591270317,0.25398104742049726,0.1455269811339353
Window AR,162,122,325,66.73511293634496,0.010078907012939453,3.637424945831299,3.6475038528442383,0.04196405826741805,0.03961218478818616,0.002421668767117777,0.05401060904926276,0.046839453404248284,0.003037200497008442,0.825678320747801,0.44093356179278986,0.25410627970751487,0.7595934795132221,0.5238214970142208,0.33926903049455215,0.4203116168944261,0.26280167424986134,0.14970854486654833
Window Mean,259,122,228,46.81724845995893,0.11670231819152832,3.9732859134674072,4.0899882316589355,0.04952618999808937,0.045978683088699936,0.0028025693807062057,0.042504418610511324,0.03580064165549244,0.0015938522407075298,0.8981623469045102,0.45070434783581026,0.265692458401949,0.7150190139780426,0.4876155440603422,0.342996843377324,0.4263029923727884,0.2550248041600863,0.1532714308501717
Window Median,312,122,175,35.93429158110883,0.11670231819152832,4.010853052139282,4.1275553703308105,0.032926578081382774,0.030875987226577212,0.0015241896997121769,0.06724805845930702,0.055665088467906534,0.004262406075829007,0.8823958861579648,0.44447330714560573,0.26165159332000143,0.662511421437322,0.4438039255386463,0.2984141311930918,0.4112704860339941,0.24370457709468402,0.1414630800721586
