Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,Close_MAPE,Close_MAE,Close_MSE,Volume_MAPE,Volume_MAE,Volume_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Fixed Cut 70.0%,150,125,347,69.81891348088531,N/A,306.686714887619,5.07062292098999,311.757337808609,0.10020732860448828,0.07560360294704924,0.008025967150144617,0.44960659535494646,0.0797009103181173,0.016518892158377377,0.27490696197971753,0.07765225663258327,0.012272429654260997
Fixed Cut 75.0%,125,125,372,74.84909456740442,N/A,330.96968817710876,4.06049919128418,335.03018736839294,0.10639920028082298,0.08122711600062281,0.009578394999487152,0.48117434499884937,0.10321943642292791,0.03828949039393146,0.2937867726398363,0.09222327621177537,0.023933942696709308
Fixed Cut 80.0%,100,125,397,79.87927565392354,N/A,318.30211091041565,4.121330261230469,322.4234411716461,0.1429306170781211,0.10390771369503117,0.016055422082747104,0.43349088972364463,0.10103439467712004,0.03443615318661491,0.28821075340088287,0.1024710541860756,0.025245787634681004
Fixed Cut 85.0%,75,125,422,84.90945674044266,N/A,325.9880793094635,3.085728645324707,329.0738079547882,0.14902033886659477,0.10892084372055415,0.01710872438960235,0.496871725165423,0.10857420182931538,0.036979197919888136,0.32294603201600885,0.10874752277493474,0.027043961154745243
Fixed Cut 90.0%,50,125,447,89.93963782696177,N/A,274.78880620002747,3.494508981704712,278.2833151817322,0.10281168826605416,0.07702947816653098,0.009180632212240034,0.4457132779752745,0.13039788322480786,0.036432054077094676,0.2742624831206644,0.10371368069566943,0.022806343144667354
Window L1,127,125,370,74.44668008048289,0.015056848526000977,405.8442280292511,5.223741054534912,411.083025932312,0.17985704277700892,0.1275335588729684,0.02180617210333877,0.48327815970959576,0.10340054693553412,0.038336633466782274,0.33156760124330237,0.11546705290425124,0.030071402785060534
Window L2,182,125,315,63.38028169014085,0.011217117309570312,366.62241673469543,4.172863006591797,370.8064968585968,0.1545967817467081,0.04865594359249489,0.003072472318435909,0.5218355100979073,0.019582899527720077,0.0011373420576219306,0.33821614592230786,0.034119421560107485,0.00210490718802892
Window Normal,177,125,320,64.38631790744466,0.0362701416015625,422.17916083335876,4.94196891784668,427.157399892807,0.18422385298623156,0.12719413813821875,0.020354456562195405,0.4510228102076533,0.08541377256478522,0.01690116410351499,0.31762333159694234,0.106303955351502,0.018627810332855196
Window RBF,127,125,370,74.44668008048289,0.03600287437438965,426.7904460430145,3.6258230209350586,430.452271938324,0.08348099671766246,0.0635410483125133,0.0063219425827106815,0.42285741296442864,0.10251783683566223,0.032495435742683584,0.2531692048410456,0.08302944257408774,0.01940868916269713
Window Cosine,182,125,315,63.38028169014085,0.010583877563476562,450.1263680458069,5.952603816986084,456.08955574035645,0.09909613992365358,0.03207970504731458,0.0015168632741778914,0.5101524190585728,0.03402202216576652,0.0015515886540507636,0.3046242794911132,0.03305086360654055,0.0015342259641143276
Window Linear,182,125,315,63.38028169014085,0.024944067001342773,429.91203713417053,4.9328529834747314,434.8698341846466,0.10081107150967777,0.03389958635273614,0.0017434649382763298,0.4535575261127708,0.01690251923186329,0.0010191905900245998,0.2771842988112243,0.025401052792299723,0.0013813277641504646
Window Clinear,227,125,270,54.32595573440644,0.012104034423828125,452.33511900901794,4.452791213989258,456.80001425743103,0.12336561867001249,0.033972651055234844,0.0015827563920326304,0.7745144099638713,0.018728892935415912,0.0011657369795256942,0.448940014316942,0.026350771995325373,0.0013742466857791622
Window Rank,177,125,320,64.38631790744466,0.022402048110961914,565.0419661998749,6.8939738273620605,571.9583420753479,0.11496212781883124,0.08551623757432468,0.009978257218553895,0.47369402926273274,0.08660638157293962,0.017607303414984597,0.29432807854078186,0.08606130957363216,0.013792780316769247
Window Mahalanobis,177,125,320,64.38631790744466,0.06775093078613281,599.1714761257172,8.381681203842163,607.6209082603455,0.17269560205464193,0.11927918945627779,0.019570144422396428,0.45032549949416106,0.07523700930008549,0.015244124970839752,0.3115105507744016,0.09725809937818164,0.017407134696618087
Window AR,182,125,315,63.38028169014085,0.021149873733520508,601.5322110652924,5.119998931884766,606.6733598709106,0.1798180594337589,0.05542633564662992,0.00391856363985526,0.45616147534677653,0.021388389616156557,0.0010764357872632203,0.31798976739026763,0.03840736263139326,0.0024974997135592406
Window Mean,174,125,323,64.98993963782696,0.25748181343078613,582.87140417099,7.749161958694458,590.8780479431152,0.1524764708573835,0.10843064757931918,0.015123982519801795,0.4691421775406802,0.09292209904458457,0.017951924588151875,0.3108093241990318,0.1006763733119519,0.016537953553976838
Window Median,180,125,317,63.78269617706237,0.25748181343078613,641.1906068325043,7.814772844314575,649.2628614902496,0.1068101138261687,0.038285955907355756,0.0022292631016063175,0.47015413470642115,0.020972038343789627,0.0010614893135777424,0.28848212426629494,0.029628997125572692,0.00164537620759203
Binary Segmentation L1,412,125,85,17.102615694164992,0.11902570724487305,674.6174018383026,4.591036796569824,679.3274643421173,0.11110179824600665,0.03136561586893613,0.0014401839827399678,0.4536846927823007,0.02213112536825577,0.0010518344081922688,0.28239324551415373,0.026748370618595946,0.0012460091954661183
Binary Segmentation L2,452,125,45,9.054325955734406,0.01885199546813965,582.8765971660614,5.2311179637908936,588.1265671253204,0.14123265158319823,0.038584674190261146,0.001999355060913105,0.4296489961470801,0.021202322336140764,0.0009280594951916807,0.28544082386513914,0.029893498263200945,0.001463707278052393
Binary Segmentation Normal,172,125,325,65.3923541247485,0.06255602836608887,456.9096100330353,5.940031051635742,462.9121971130371,0.1087480005433294,0.08157882049589152,0.009292057969740837,0.47545457315804524,0.06931592987039417,0.01673868182362933,0.29210128685068726,0.07544737518314286,0.013015369896685086
