Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,CO(GT)_MAPE,CO(GT)_MAE,CO(GT)_MSE,NMHC(GT)_MAPE,NMHC(GT)_MAE,NMHC(GT)_MSE,C6H6(GT)_MAPE,C6H6(GT)_MAE,C6H6(GT)_MSE,NOx(GT)_MAPE,NOx(GT)_MAE,NOx(GT)_MSE,NO2(GT)_MAPE,NO2(GT)_MAE,NO2(GT)_MSE,T_MAPE,T_MAE,T_MSE,RH_MAPE,RH_MAE,RH_MSE,AH_MAPE,AH_MAE,AH_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Window Mean,3676,1872,3809,50.88844355377421,5.128469467163086,226.5814368724823,13.898026943206787,245.60793328285217,1.1739123327073901,0.21472809282085306,0.062191393470861445,0.004637017742121108,0.004657334182663005,5.5937667849421175e-05,54.058493154485184,0.0741267561561975,0.03638855990886478,0.6881647006309924,0.10317180985454366,0.02305157559527959,3.7990068807622217,0.40614057236400103,0.19877466129973329,1.0338678874632603,0.06549197859082799,0.03878479611544201,1.502163316912486,0.1186912180430048,0.059116988038465774,1.2937513167499162,0.09174657469986362,0.036580143257100114,7.9442495759316945,0.13484429208899418,0.05686800691919956
Window Median,3853,1872,3632,48.52371409485638,5.128469467163086,208.9581639766693,20.698228120803833,234.78486156463623,1.1205541954431406,0.2639278480434083,0.08056730491644877,0.005010244469193767,0.005057087883570593,4.7702278601196914e-05,1.9400509775626715,0.06580836045147116,0.03713970285615139,0.9920781903944711,0.11426539029377351,0.027736254623625466,6.4248865448681665,0.4341328902884193,0.22000075025540936,0.8823272179886054,0.06478546309752087,0.03928420019161489,4.621791675731082,0.1200771514385504,0.0569870321800992,1.2605201172063176,0.08270854583059087,0.03359929023424467,2.1559023954579573,0.1438453421659129,0.06192027969202437
Binary Segmentation L1,2110,1872,5375,71.81028724114896,1.564570665359497,147.35640287399292,14.571796178817749,163.49276971817017,3.2597400569743917,0.07456833044343354,0.04435809337443304,0.015543406225674095,0.015812965066673818,0.000277444501217446,34.85588341641369,0.07931833153666434,0.03250468454167068,0.5077827270810545,0.10652651116825455,0.019767472364013355,0.7578768121111956,0.23544690641036475,0.09577895901023124,2.1094171990531105,0.06945522676176843,0.032362802962492256,16.373643730903694,0.11462761195416969,0.05591692918329981,1.1871313050015955,0.08288183684192342,0.029161934013649582,7.38337733172055,0.0973297150229065,0.03876603999387594
Binary Segmentation L2,2110,1872,5375,71.81028724114896,0.46144580841064453,148.10112690925598,14.60365080833435,163.16622352600098,1.8986745820892532,0.08899268876644065,0.04336412484789238,0.017752837543285622,0.0174250562470517,0.00032149275453200127,2.48832899151373,0.06734100217975954,0.03637885526090904,0.4987225598779861,0.12429575584609347,0.022879011942978977,0.521102453740089,0.19604103693591995,0.07899542963777888,2.155065200289468,0.07242366295818266,0.03638651704407505,1.3947239340103854,0.1092794756680276,0.057103116225345835,1.2605403081835749,0.07856311097074663,0.03255616273852502,1.2793638584059719,0.09429522369652768,0.038498088806504634
Binary Segmentation Normal,6250,1872,1235,16.499665998663996,0.8445560932159424,317.53751492500305,31.99560308456421,350.3776741027832,1.1635794882560353,0.22378938542766097,0.06520675864068325,0.0077596300210392944,0.007710639204224144,7.89985938146835e-05,1.036115426238516,0.062479958099345784,0.03732402354875545,1.3688988490617275,0.1273025506641377,0.03205051792734388,2.652992756208882,0.3749364929621342,0.17440940228078722,1.3791089830837642,0.07524280117583365,0.04310950224593784,1.1559567293108208,0.11699704585516214,0.060125288363428564,1.50022788271685,0.05888071873401576,0.034577575040313925,1.2830799681122045,0.1309174490153142,0.05586025833013319
Binary Segmentation RBF,6255,1872,1230,16.432865731462925,84.73244595527649,305.3558142185211,22.547401905059814,412.6356620788574,1.1126486627735208,0.2629466362091902,0.07944294053323703,0.023939573962029,0.016970401442976023,0.0003152428904144143,1.1184199937289863,0.062231593477468546,0.03883066133975531,1.366629326269833,0.12775514985593367,0.03200464118343502,2.234203559988175,0.35873655121091336,0.16438926972792503,1.3494905953382466,0.0721318886296581,0.04227198789143453,1.673706369047627,0.11996403025559063,0.058745242990330626,1.47303460045797,0.06123385603824104,0.035075221717785265,1.2940090851957984,0.13524626338999632,0.05638440103428971
Binary Segmentation Cosine,6255,1872,1230,16.432865731462925,84.33139300346375,306.63638496398926,14.080120086669922,405.0478980541229,1.1366263608083849,0.24013643526973416,0.07042991828262958,0.008083467070907974,0.005819166130825519,5.531922035534347e-05,1.005279626009858,0.06250884526253705,0.03715039625586847,1.3208246488409752,0.12596892082723357,0.03186923630726443,2.977273875805737,0.3861382478814253,0.1837320529074134,1.1750189807804403,0.08736009988239879,0.04324676122748314,1.6638949556984555,0.11086346376017335,0.05664927999701447,1.4183916312099019,0.06310810164118766,0.03405213660462872,1.3381741932780833,0.13523791008193936,0.05714813760033221
Binary Segmentation Linear,2110,1872,5375,71.81028724114896,0.9522109031677246,162.08113884925842,8.729229927062988,171.76257967948914,2.0678075318506535,0.08668393712383729,0.044376597556152864,0.017184163297662085,0.01762674535563802,0.0004776477488153388,2.594118741620924,0.06460581368263478,0.03236529821351865,0.5202094471664394,0.1092828050399903,0.020648909483856465,0.9642334756611182,0.2640760639301475,0.11095331655922461,0.856067708697933,0.06253248817461173,0.03519025150224318,2.902092624727866,0.10956727210741828,0.05215505566760788,1.290475507445306,0.06574798930782237,0.02954925363683181,1.401523650058488,0.09751538934026245,0.040714541296031366
Binary Segmentation Clinear,5715,1872,1770,23.647294589178355,0.5685420036315918,258.95535612106323,20.479935884475708,280.00383400917053,1.1389743895278108,0.24078805901384226,0.07088146048345487,0.01570003081874769,0.015958802437974044,0.00026413390377433976,1.007281503402437,0.06221905349691975,0.036181309622849295,1.2073419438046544,0.1227764084004357,0.03039263422081215,2.497929802528865,0.36953271727810344,0.17165782794442952,1.0616043893886151,0.07786219901927516,0.04094619784411206,2.679259794820415,0.11686934969954133,0.056638291942357095,1.4179882729940203,0.05952854646446983,0.03257763141174566,1.3782600159106968,0.1331918919763201,0.054942435921691915
Binary Segmentation Rank,6255,1872,1230,16.432865731462925,0.5229020118713379,328.2930860519409,10.744402170181274,339.56039023399353,1.115795793579286,0.25991850725942334,0.07844127858797997,0.030209617086389,0.021253822189637738,0.0005026092889351106,1.0496384480082779,0.07420226475871916,0.03762892061038963,1.2741242463110203,0.12396855012005477,0.0314246924477369,1.969889156889112,0.34526945870147335,0.15562309649210182,1.127388788937637,0.09937862167533074,0.043766697230442006,2.3584022734046046,0.11294184559969428,0.05693517984622838,5.52683026981183,0.04495925205291249,0.03333462470916613,1.8065348242535202,0.1352365402946556,0.054707137401622516
Binary Segmentation Mahalanobis,6255,1872,1230,16.432865731462925,83.28995990753174,322.7989706993103,17.36535096168518,423.4542815685272,1.148629278830067,0.22938680763193492,0.06643478015123247,0.008549526737653303,0.006135450242177598,6.558294030943037e-05,1.3126100940342718,0.06394988360858195,0.03891199910945239,1.4776739816191988,0.1303068197211669,0.03306014368728693,2.223980963605902,0.3579927517831912,0.16367108708079006,1.8422420830646975,0.08900687238433407,0.045675679776895434,1.3763656756364222,0.12654286571281687,0.0612569308358024,1.5258087089286354,0.05718089505882535,0.03399827387306488,1.3644825390571058,0.1325627932678785,0.055384309681854274
Binary Segmentation AR,6255,1872,1230,16.432865731462925,1.470808982849121,305.79461574554443,12.236402988433838,319.5018277168274,1.1729158180272656,0.22133578876036233,0.0650942540217028,0.01715015514434552,0.012216032248372068,0.00018750565110437983,0.918474420559831,0.06055291993733979,0.03472495943391115,1.3768827252505824,0.12780449863870513,0.03265193088078396,2.5341852708070443,0.3712104051719762,0.17364066232255984,0.92174680731614,0.08256930208257504,0.03961230540097426,14.56179882161024,0.11633569844554713,0.05589866143995966,1.438570300918467,0.05933355453989314,0.03228100795749716,2.867715539954239,0.13141977497809623,0.05426141088856165
Binary Segmentation Mean,4957,1872,2528,33.77421509686039,258.73883533477783,267.0953629016876,17.694289922714233,543.5284881591797,1.1427603355467684,0.23368947289199185,0.06797515566831394,0.006130350816828434,0.006051502648672837,7.912879651116226e-05,1.5020580780943689,0.06292666221261868,0.0395657660941654,1.1268371639244745,0.11987422638240511,0.0297190661645555,2.4400323946972264,0.36710977589230565,0.16960331770019327,1.8421212189523613,0.07963926359817018,0.04519414889691609,0.9473136579613264,0.12045134057770247,0.06264925868236716,1.4060568552908583,0.07033895974368029,0.03576266684940821,1.3016637569105276,0.13251015049344328,0.056318563606553955
Binary Segmentation Median,6253,1872,1232,16.459585838343354,258.73883533477783,301.2264578342438,22.965834856033325,582.9311280250549,1.128354619573472,0.24793418962842126,0.07338878855026496,0.0035563973071641507,0.003582882726598211,3.135387191140973e-05,1.2722664684499594,0.06312681408693811,0.04058850300320199,1.3871184203223859,0.12806493297491198,0.03215143431122966,1.6491483612940991,0.32506073865480684,0.14215005737169592,2.5705303871444443,0.09369321839657108,0.04779357492919421,1.286826643261141,0.12033483318959552,0.06032327443387101,1.3293483957156274,0.0742307522970809,0.03447549705673881,1.3283937116335367,0.13200354524436536,0.05386281044101353
Bottom Up L1,2110,1872,5375,71.81028724114896,0.1732792854309082,153.58438897132874,8.404192209243774,162.16186046600342,1.6049286041178072,0.10800473957789501,0.043942585766255766,0.008849951405337083,0.00876439342714357,0.00012729217014797973,2.7154699931584947,0.06637132943257192,0.03501392043815052,0.5131749444312677,0.1372110285474265,0.026471099084420753,0.5652727739312053,0.20493947287635814,0.08391424335441762,7.0887478525753025,0.08068941512419989,0.03648830012151058,19.28432822337694,0.11184424292923736,0.05515283106293653,1.2096725142948779,0.10001042172373636,0.03429652920010695,4.1238056071614,0.10222938045482102,0.039425850149743355
