Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,DEWP_MAPE,DEWP_MAE,DEWP_MSE,TEMP_MAPE,TEMP_MAE,TEMP_MSE,PRES_MAPE,PRES_MAE,PRES_MSE,Iws_MAPE,Iws_MAE,Iws_MSE,Is_MAPE,Is_MAE,Is_MSE,Ir_MAPE,Ir_MAE,Ir_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Fixed Cut 50.0%,17530,8765,17529,49.998573832682055,N/A,973.6627161502838,149.07584404945374,1122.7385601997375,30.44546248744363,0.323585934782965,0.13609906671329156,0.8064858990631179,0.23952974398759416,0.07634618084893739,0.0042556443206998714,0.004139624238105252,2.7076081348973818e-05,0.8906735352588654,0.04270500033793723,0.006587467557124031,1.026188865263162,0.014979589983147816,0.0013073721448498008,1.1402546730397296,0.011958013045815567,0.0009616474502545485,5.718886850731557,0.10614965106259316,0.03688813513263444
Fixed Cut 55.0%,15777,8765,19282,54.99871644941384,N/A,1725.5939919948578,152.28776097297668,1877.8817529678345,18.237818790849644,0.3287636901315503,0.14363209038140018,0.6852967995384409,0.23557654880539655,0.07456055675053684,0.0062109428477490755,0.006025016365987255,5.11400994284583e-05,0.8969704316146231,0.04453727627589051,0.0067983148414340775,1.1730368077895807,0.0028525108904099957,0.0011973768239380486,1.2206192399714997,0.007791498718120342,0.0009419219651575425,3.7033255021019094,0.10425775686455878,0.03786356681031588
Fixed Cut 60.0%,14024,8765,21035,59.99885906614564,N/A,1319.5402381420135,28.24876618385315,1347.7890043258667,2.8231556006789438,0.33463276973573797,0.15487845217948853,0.6850256867803035,0.23777508388311508,0.07622815133566527,0.00862387768848561,0.008435405927731064,0.00010484489453198286,0.8313437936019744,0.06268341208536374,0.007522843907640463,1.0259828089902732,0.015421820374781398,0.0013128296101572762,1.118155638009032,0.017847525144878994,0.0010994594183978315,1.0820479009581676,0.11279933619193465,0.04019109689098043
Fixed Cut 65.0%,12271,8765,22788,64.99900168287743,N/A,741.8578491210938,30.29541802406311,772.1532671451569,20.254143854315057,0.3233411044545259,0.13785441442004706,0.6929676231416787,0.2297912821217538,0.07084730161274409,0.005529157214290235,0.005381761505467749,4.4487230075954744e-05,0.9471139084797939,0.037610887477231604,0.006305269917388344,1.1756837976637804,0.007000515302737543,0.0012174376673996863,1.242764652366689,0.008688120388785952,0.0009495783719954499,4.053033832196876,0.1019689452084166,0.03620308153660839
Fixed Cut 70.0%,10518,8765,24541,69.99914429960923,N/A,505.7447648048401,27.34360408782959,533.0883688926697,13.766098945911873,0.3214566465713894,0.13435056028308925,0.8026872024940623,0.23146985529464414,0.07218631081807243,0.014663455137974223,0.014427269252643734,0.0003095242610795261,0.8830310168909341,0.04495581830409656,0.0066298562833703315,1.0385761153554893,0.012858959327904654,0.0013551727049147698,1.0720620557226834,0.019596566266799884,0.0011327802828741522,2.929519798585508,0.107460852502912,0.03599403410556682
Fixed Cut 75.0%,8765,8765,26294,74.99928691634102,N/A,507.71174812316895,20.505032062530518,528.2167801856995,26.458650129224107,0.33126345191835527,0.1450499611061247,0.7554312173558323,0.23503215513498557,0.0736918956857925,0.015496224995581545,0.014948407769817651,0.0003060597358400656,1.0716167773466625,0.036895892837217406,0.006764809740017515,1.1208815110685315,0.006016241887793134,0.003341293577367883,1.144080592020873,0.012064583729047963,0.0015365578594100015,5.0943594086685895,0.10603678887953566,0.03844842961742539
Fixed Cut 80.0%,7012,8765,28047,79.99942953307281,N/A,422.57728695869446,56.91366910934448,479.49095606803894,1.7626393500946562,0.34105223626929737,0.17298707536277938,0.5409516329688052,0.24110358690366301,0.08558050715532664,0.010443308365280957,0.010346174218614718,0.0001699835102527461,0.9354126734620026,0.03945742253636397,0.006628162250793358,1.186825084349394,0.0067706262418446225,0.004256883282231557,1.1516059402420615,0.015676613906927348,0.0015921600484216142,0.9313129982470333,0.10906777667945232,0.045202461934967735
Fixed Cut 85.0%,5259,8765,29800,84.99957214980462,N/A,290.4762601852417,7.388329982757568,297.86459016799927,1.170663378566166,0.3953668055398618,0.25339303685525477,0.5384699487114908,0.2649938332353168,0.1061780172308826,0.052159230518602606,0.040813847210697626,0.004010591617922694,1.6617170116986197,0.03993835229251465,0.008094306262021558,2.3871520462528624,0.0429441487973785,0.49172490393301804,1.3456952253162144,0.014885611844857502,0.0019059136259750602,1.1926428068439923,0.1331570998201034,0.1442177949208466
Fixed Cut 90.0%,3506,8765,31553,89.99971476653641,N/A,238.37398600578308,16.253042936325073,254.62702894210815,76.87398478864317,0.33249342827452605,0.14563064083026492,0.6794501695311623,0.24468184402934834,0.08086521110235882,0.010091201175457507,0.00956393561702421,0.0003377199882011422,1.0117181174029046,0.04244288081821861,0.007298978474609831,1.9020212238453866,0.03843213397773513,0.4573359615300725,2.5269287360873114,0.012339681513968295,0.005009933486602361,13.834032372780863,0.11332565070513623,0.11607974090201789
Window L1,26294,8765,8765,25.000713083658976,1.5063531398773193,2751.572936296463,206.3123288154602,2959.3916182518005,33.18433955088746,0.32702958146283,0.13943896709311948,0.716801322253614,0.2300340676089957,0.07056449462244732,0.009839242144270654,0.009640792687191521,0.0001444036902859842,0.9080502594830754,0.041709250630305846,0.006600591823796569,1.0216584127464312,0.014028633006498113,0.0011398166106480455,107.11105140691765,0.00521620586267765,0.0009455208736453643,23.825290032405405,0.10460975520974898,0.03647229911899051
