Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg T_out_MAPE,Std T_out_MAPE,Avg T_out_MAE,Std T_out_MAE,Avg T_out_MSE,Std T_out_MSE,Avg Press_mm_hg_MAPE,Std Press_mm_hg_MAPE,Avg Press_mm_hg_MAE,Std Press_mm_hg_MAE,Avg Press_mm_hg_MSE,Std Press_mm_hg_MSE,Avg RH_out_MAPE,Std RH_out_MAPE,Avg RH_out_MAE,Std RH_out_MAE,Avg RH_out_MSE,Std RH_out_MSE,Avg Windspeed_MAPE,Std Windspeed_MAPE,Avg Windspeed_MAE,Std Windspeed_MAE,Avg Windspeed_MSE,Std Windspeed_MSE,Avg Visibility_MAPE,Std Visibility_MAPE,Avg Visibility_MAE,Std Visibility_MAE,Avg Visibility_MSE,Std Visibility_MSE,Avg Tdewpoint_MAPE,Std Tdewpoint_MAPE,Avg Tdewpoint_MAE,Std Tdewpoint_MAE,Avg Tdewpoint_MSE,Std Tdewpoint_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Fixed Cut 70.0%,4737,3947,11051,69.99619964530022,N/A,N/A,24.497464656829834,6.936465918225307,24.497464656829834,6.936465918225307,0.3253257921107698,0.012364664127594314,0.21962055446182938,0.011866647364986013,0.0745919815641473,0.007561098995921151,0.00810095883307803,0.0021655029665752154,0.007954238455395217,0.0021150011506490644,0.00010076893825838044,4.345223374405731e-05,0.22683941490973855,0.007438811156311802,0.12669856267313007,0.0026256962325330586,0.022872445606303433,0.001274041242414207,308180232971.76996,31290189903.4683,0.10765405114151885,0.013124017266572937,0.01653115730561386,0.0035440766446623753,0.21557253654948383,0.002166428652972181,0.08201877183211505,0.0036046028278273494,0.012286363583093473,0.00045528863315383674,1750508016897.667,89276986638.59496,0.3119073392556888,0.014512793476819141,0.13460503170579644,0.012502482033865045,343114708311.6833,16345041660.539333,0.14264225296994604,0.0033545978017696897,0.04349795811720214,0.0025974283486576584
Fixed Cut 75.0%,3947,3947,11841,75.0,N/A,N/A,18.348371458053588,4.603451099808586,18.348371458053588,4.603451099808586,0.3235909152119692,0.0058454112564548895,0.21967318394003024,0.009664878374096627,0.07400573454417574,0.0053646971257935855,0.008144074343535819,0.0017920033235852668,0.008018350734674823,0.0017716834896574654,0.00010582030664814156,4.4852278782134866e-05,0.22649241204810455,0.009999447424733183,0.1247549365629633,0.0020341854023937576,0.02264800266328038,0.001787690826216746,353878202879.62256,42711313532.28891,0.12696087523616867,0.010414037767104036,0.023778017958778742,0.002909510201099846,0.223724651255468,0.008742309389827264,0.09099908738253396,0.010681476122975035,0.014031198089246901,0.002323475028754926,1769869703863.8445,104164307073.51826,0.3079295634668294,0.006110409339699434,0.13025574305051998,0.00529658906336885,353957984457.3534,16320319410.267992,0.1463893328872004,0.0030448451616845945,0.044137419435441624,0.0009404571025333519
Fixed Cut 80.0%,3158,3947,12630,79.99746643020015,N/A,N/A,18.052992153167725,1.51163099175666,18.052992153167725,1.51163099175666,0.3607450948186193,0.014315659209251881,0.2676070224423842,0.0145028103043602,0.10494539260577065,0.010000851918110334,0.014782440755063301,0.007657498180922094,0.014525338549054145,0.007530047194644309,0.0003510972892403787,0.00029041803858386,0.22854544522292025,0.012561021226185942,0.12656086932713284,0.0035276496859227143,0.023158669690002028,0.0019401583495164611,342005047980.70026,31599407314.03476,0.1227241025821394,0.0057657557220414666,0.022342581661242474,0.0012830538120847522,0.22399267401520823,0.008363267554589639,0.08875621496701822,0.011052413878668416,0.01403584082330512,0.0017612990839880268,1524048971469.6584,116702557750.40808,0.35706329319284036,0.016149243727475407,0.1779739172129146,0.016140779089404585,311009003241.8615,23326306759.478825,0.16287280684342845,0.005341232860353561,0.0571345832137459,0.003374349307534376
Fixed Cut 85.0%,2369,3947,13419,84.99493286040031,N/A,N/A,14.582190132141113,5.021987609918157,14.582190132141113,5.021987609918157,0.3685095620529793,0.016920946558863628,0.27747700602358255,0.014977074590419052,0.11073015086780963,0.01043472614728222,0.018673584962944426,0.010893230248469705,0.018340678868705426,0.010705492718636444,0.0006198286070014359,0.0005496577691635515,0.22762145410158727,0.016533753108157984,0.12756541462090126,0.005811136235578385,0.023196908860236672,0.0029499706274007495,380062760545.0431,51826708610.90912,0.13311514595581989,0.011470867261730053,0.025487929402139422,0.0037713920817198563,0.22147902739888534,0.003669397530078151,0.0849815984578874,0.004858311859401916,0.01330081830622613,0.0005543683202852861,1505892217176.634,151033359798.93494,0.4472874992669735,0.0213526946687333,0.2819582028338964,0.02716699103115664,314325829620.42487,23268147271.729626,0.1814612238656457,0.006060235962203538,0.07588230647955163,0.004993924856771555
Fixed Cut 90.0%,1579,3947,14209,89.99873321510007,N/A,N/A,11.249679851531983,3.077390527807424,11.249679851531983,3.077390527807424,0.3651434447925464,0.013247069430137782,0.2762310964557041,0.012280752160452827,0.10914818972073552,0.008510702202674624,0.021140474041666295,0.016719424857123986,0.020765132304668806,0.016384736083206584,0.0010390599564447775,0.0014318215760343853,0.21925060902905305,0.008706315342606718,0.13140894185276125,0.007338633735642118,0.023972448541626074,0.0025121363868245775,403096415745.8848,25762916513.8698,0.13716783946137467,0.009871128309735135,0.027354548531548388,0.0030649566340500613,0.22584225207229686,0.01212327512467356,0.08941753571224359,0.0070868981325774875,0.014888534570107647,0.0017944066658772745,1597474645409.3926,149654559644.30753,0.6151153607679128,0.028251482540296986,0.5406246286399569,0.049157081540901613,333428510192.7026,23265578153.532845,0.21168431775911176,0.00852310507537187,0.1195045683267366,0.009493618465983978
Window L1,7328,3947,8460,53.58500126678491,0.6197007179260254,0.18490953466453253,31.242321252822876,16.521270651871827,31.862021970748902,16.618859374922362,0.3667102887077335,0.023967074672703276,0.2629993232174315,0.02033051632522682,0.09974068075168292,0.012807412911451663,0.006443924433174499,0.0011587903438806744,0.006320882757304704,0.001136266197422582,6.604339739682269e-05,1.744652707571895e-05,0.23296286740579616,0.016812916748177368,0.12771097694368863,0.005666917377820886,0.023969826609342035,0.0032997337347902994,266043043725.56,12253311131.204895,0.09351001554673256,0.0026973861189037197,0.012419752626288543,0.0006484299707115812,0.2098184306812036,0.00549294287642667,0.07615971439469289,0.0035196583626542995,0.011724695674913192,0.0007230989076063172,1410566704380.3345,86337705072.80049,0.34419748097984276,0.014907510171693058,0.16595016570143398,0.014897896961269029,279434958017.7823,12456233508.063925,0.15181639897328225,0.005219164340332863,0.05231186079350958,0.004290557502228139
Window L2,6268,3947,9520,60.29896123638206,0.32794528007507323,0.08129547583586082,37.75045599937439,9.127915149471509,38.078401279449466,9.206064144907167,0.34664840320154017,0.009446841555644094,0.24520135153544104,0.008119069931430698,0.088561242025219,0.005171406037096665,0.006954338445640788,0.0015324966770045802,0.006846137285156793,0.0015069212095508851,7.084500483598281e-05,2.867393183784584e-05,0.2272424393773585,0.005776147289316841,0.12446496115875459,0.003269329860092658,0.022596075761907964,0.0011812441899539986,238418413597.05502,25034447754.40499,0.08439732938170028,0.005495693464609961,0.010515657082003619,0.0011780182237331252,0.21204773885314374,0.0018842210320223298,0.07753525364068978,0.0039941475160494575,0.0118913116656807,0.00020728321060056577,1652753697780.0916,77357727302.95132,0.3182794853566059,0.0076536676871787595,0.1399782225789383,0.007197556520928639,315195351896.30853,15716507882.587072,0.14278741972639145,0.00285976186092563,0.04560222568643093,0.0019398435706697063
Window Normal,8178,3947,7610,48.20116544210793,0.7065999507904053,0.06735978175291041,50.06870403289795,14.069715523341793,50.77530398368835,14.08940568346556,0.3727912489495088,0.01415484585492802,0.2691960904970318,0.010812714039011405,0.10198834493150034,0.006493478241222147,0.009054830471100016,0.0018484236235213633,0.008895410729389683,0.0018115706811825298,0.00011793948447001972,4.023170660755048e-05,0.22733789391726344,0.005949882267256931,0.12347087403359217,0.00282601041836995,0.02252867415855977,0.0011868247360612724,246080461743.88498,21240011735.9958,0.08758217137366656,0.005624011036720924,0.011105576149965709,0.0010938031724808395,0.2079875437162903,0.00924819900428985,0.0758777788752677,0.0018423576492364274,0.011590031109852792,0.0008226569748195897,1223476711405.3774,75379644421.40985,0.3584605965425818,0.0066781219140477684,0.18060803576360684,0.006909838102130471,244926195525.01443,14493079120.657156,0.15391382034192175,0.0015632829932755929,0.054656433599659285,0.0018160970776848462
Window RBF,10368,3947,5420,34.32987078794021,12.883521795272827,1.146334178584015,57.87422695159912,24.20611234079587,70.75774874687195,25.020177811621977,0.40039403293021797,0.01890357274666295,0.29218467662980796,0.0150689797370403,0.11646362332203555,0.00955547662749419,0.008308450554004984,0.0012966018838203777,0.008142258837810112,0.0012789509913866256,0.00010378098421898473,2.9295203041973957e-05,0.2300125428294278,0.004729042883834581,0.12491085594586054,0.0006115397129167609,0.02306399442743535,0.0009019597855192898,262869318799.559,24944563115.87132,0.09259039520502231,0.008249685687193482,0.01214241310232698,0.001833064280249452,0.21106994820234076,0.005140501122617365,0.07581930139973282,0.0045280789294691775,0.01177165125805734,0.0006886724238327352,1066901976904.1068,101050004095.66039,0.3720592264843345,0.013265739409966372,0.1950921315242782,0.014448921406833638,221628549284.08435,19057572983.750534,0.16095111908376156,0.004074154970014462,0.05977293243639204,0.003180590846722468
Window Cosine,6268,3947,9520,60.29896123638206,4.667354726791382,0.32396359065350666,29.78598198890686,7.221472500699925,34.45333671569824,7.486786247647698,0.3377755854722371,0.02021076807504116,0.23777674393304893,0.017798079722726828,0.08392403913866078,0.010737431898503628,0.009208075570443626,0.0015071456351318964,0.009035121542290872,0.0014682097620918448,0.0001263316817621725,4.079464793950529e-05,0.23728958860250163,0.012905623899465693,0.1275283507015613,0.00432887991358484,0.024647188891873183,0.0027033859188218532,247228843878.20428,13592402276.42532,0.08624647284454005,0.0043149613134243064,0.01085459391598197,0.000988982763742044,0.211403403186789,0.003952304939874606,0.07848239214470314,0.0031664577022481252,0.01165970686618545,0.0003981027396340733,1739836910795.42,63852848991.58621,0.3112999093251917,0.008615520568200459,0.13343157885904142,0.007284791447029364,331177625779.0505,11429856565.117542,0.1417281650818894,0.0038423742875606697,0.04410723989225082,0.002707997848380817
Window Linear,1393,3947,14395,91.1768431720294,0.38349037170410155,0.062450664361552895,11.40068736076355,2.5395073793848733,11.78417773246765,2.513220887141819,0.39114906567724644,0.035814584760686496,0.2981088168260078,0.029223473581317817,0.124324573769531,0.020795179321335986,0.017713853094180027,0.010650736432006366,0.017499851425752392,0.010523096595607172,0.0005901407032809833,0.0006975451158116935,0.23295621864075977,0.009690832270537054,0.1375386793759663,0.00787655045912629,0.027045898729497853,0.0031534608811735303,417690472467.44574,41279846072.47335,0.14377653187581238,0.01833977861448514,0.029478264287754786,0.006814268065598723,0.2219341748325205,0.0043820037854254,0.08697710422166434,0.0037090293701277574,0.013522610015345684,0.0006725985413723802,1566385784901.2056,76117886791.72874,0.6340483403211767,0.020462346117789652,0.5713730274353783,0.0387152949758271,330679376228.278,18934170624.479755,0.2196582206743975,0.008324882981166707,0.12772241915679802,0.01015272237202161
Window Clinear,6293,3947,9495,60.14061312389156,0.2549731731414795,0.0179927111712811,29.4578800201416,7.056150982441813,29.71285319328308,7.064013357146711,0.3467788106017313,0.02777639689491547,0.2443169491719167,0.022987783839470758,0.08849787678262896,0.014836120236862373,0.006248166326380585,0.0009304681855056622,0.006146063231242309,0.0009158484197010367,6.269934664706535e-05,1.8106724445639842e-05,0.23758777543226114,0.014777412845081562,0.12902273318675342,0.004736086760787626,0.02480561474200072,0.002949249543086181,254339087603.27365,33523328687.99575,0.09151054349700342,0.010421469961794983,0.012154534905952023,0.002229141624771517,0.21524828355494013,0.0048413318893760346,0.08120575064179701,0.0034264770649872845,0.011953976595229022,0.00036337661907828223,1659847067251.9485,73379729675.45506,0.31533189412559953,0.007453595016697114,0.13713178943224585,0.0067209475706228455,319031025809.3202,15611839574.679523,0.1445889889757187,0.00581776363260796,0.04576774863411728,0.003748472755237215
Window Rank,1423,3947,14365,90.98682543704079,0.40755295753479004,0.02199308500687377,9.976685285568237,2.4871162978952337,10.384238243103027,2.505900825921504,0.4027356103437647,0.022011455949811323,0.30881821697745304,0.017616094560021462,0.13261463904172732,0.011499670164311174,0.025854011023677598,0.012037689432730241,0.025428741548932262,0.011797235183742715,0.0010872997197802112,0.0011529630735963887,0.23441362745057298,0.007002105935803072,0.1379332716442189,0.004529247771749659,0.02651440502474962,0.0017062336424927224,403951568576.05396,42819303277.56561,0.14021115418349026,0.014295831624076185,0.028482360886723596,0.0050244849842016786,0.23037937755957466,0.01053114447213112,0.09046576209898599,0.00805021229427839,0.014667068061898445,0.001493554306406458,1521556246594.0752,155119755412.5887,0.6321739596220077,0.013537041266178397,0.5683559561036182,0.023515108907164038,320917969195.19586,32453254838.194874,0.22250518434584893,0.005649730913199879,0.1286202881397496,0.004949414370959855
Window Mahalanobis,1358,3947,14430,91.39853052951608,1.9173708438873291,0.266362423604839,11.494662380218506,4.186787353643228,13.412033224105835,4.099650327833752,0.40246691330039114,0.010324737013925146,0.30809585097820213,0.007389332288313513,0.130955590566965,0.0052948656198305785,0.01758289415349587,0.01001301706047114,0.017357735542816076,0.009871761038388134,0.0005355133723415209,0.0005202796582652814,0.2359581117605725,0.003195545051253087,0.13654241622533372,0.0051303940557852245,0.02693808787825339,0.0016123241221331257,384965895537.0289,23287116868.66406,0.1345911245121544,0.008712921663936448,0.026144334646116724,0.0027779206534806755,0.22370358359608425,0.014816672088156128,0.08943890657038864,0.00434346308179322,0.014560579793968456,0.001931008238298923,1518065465482.5935,119811975068.2533,0.6212298277792103,0.01443231052687752,0.5481420790893348,0.02451380388829972,317171893503.4403,19340874111.60175,0.21787597693468516,0.0029475920957993075,0.12454603089116342,0.004308773693234831
Window AR,6223,3947,9565,60.583987838864964,0.41309189796447754,0.07593652551729539,28.48843994140625,6.604568433752437,28.901531839370726,6.620445653921511,0.34081986498656974,0.009432310163696282,0.2395948715870893,0.007193642860290249,0.08568858092089555,0.004296120455694179,0.00845477720767626,0.0045205232690001635,0.00831684425845453,0.0044363125975718735,0.00011813346838480946,0.00011656340211624467,0.23838422365201592,0.002893269799299055,0.12833172191623088,0.0013162088984319297,0.02476576228889443,0.0006163846386773395,273414494488.63388,11158830372.950867,0.09524058504758959,0.005183406149202099,0.012768074051041736,0.0012693178661925789,0.21642337673220544,0.007594268603356363,0.0816154717767049,0.007899564749959143,0.012342801544943542,0.0010223093582249596,1702034191485.477,68753587176.01779,0.31714543785936156,0.010592496689768189,0.13904411114578202,0.008866969971211223,329241447662.4696,12672600531.723448,0.1450408220742385,0.0033663578156954274,0.04578791056999038,0.001766403064849372
Window Mean,5510,3947,10278,65.100076007094,22.581601715087892,1.700772284218036,19.385824251174927,12.102459512666876,41.967425966262816,13.714215714587779,0.3435081105375808,0.010659789969989715,0.24088947107090825,0.011981005531208455,0.08662646414811644,0.007119823233710174,0.015323115594174753,0.01110630921831057,0.015084950547849741,0.010917306146745877,0.0004220076579908049,0.0004871174329039469,0.23009794648435472,0.012002510019567545,0.12607729089338024,0.0032907424920916237,0.023493732575699224,0.001993618574023584,270656207819.38022,16351387292.974775,0.09251847968441211,0.004237650286944016,0.012154606927855038,0.001014495000468982,0.2178071679456745,0.010825139745362039,0.08775621171129203,0.007673633251540011,0.012951571319145887,0.0015667371714236538,1829988486798.8364,77308143173.63995,0.31058533832111423,0.01655896607763624,0.13306419473799505,0.01523555636485862,350107449103.1485,10197895365.321259,0.14548529037149288,0.003794382161865191,0.04478542956113369,0.0027671078222110236
Window Median,6268,3947,9520,60.29896123638206,22.581601715087892,1.700772284218036,27.30921664237976,3.988363713547901,49.89081835746765,5.267842004278308,0.3448464197155545,0.016501164583409184,0.2420720467000556,0.01642544211269009,0.08708722059453089,0.008716222602232544,0.007780510695802667,0.001685354650406802,0.0076590052170213896,0.001652687581076628,8.769480751958639e-05,3.712391588148792e-05,0.2360294310226594,0.00967929454211567,0.12822760453059362,0.0031184604935439323,0.024309148378820294,0.001904575783730803,263478494320.16666,25598772597.951824,0.092557870757076,0.008596181420781768,0.012265661447873681,0.002015442516281881,0.21877585259818572,0.005657319906676782,0.07993436269223286,0.003031179119996427,0.012396396310478987,0.0007585704700388816,1694138457404.0352,110312176579.73071,0.31230036622446333,0.009653277811229086,0.1345126587626822,0.008938516707266411,326269491954.1481,18930021971.2545,0.14379187602024057,0.0031791943490769164,0.045109796716984285,0.0020752690097472297
Binary Segmentation L1,5023,3947,10765,68.18469723840892,4.392484569549561,0.22167852767230778,18.214244079589843,3.627070190932485,22.606728649139406,3.775460644426706,0.3291203538539236,0.013484881270930038,0.22348447720137918,0.013739733813681368,0.07668781740870872,0.009043633005030886,0.014312054608953264,0.009707775060678136,0.014087475501076141,0.00956546721444792,0.00042696627400565034,0.0004734492232173851,0.22148928633054007,0.005264622062401832,0.12453926584731576,0.003346176379210595,0.021826036518212882,0.0011624597344041569,283486370529.01984,29608200726.232162,0.09926100129168484,0.015486309458672876,0.013984008489213428,0.004027582174676626,0.21946649710085317,0.006871399738134527,0.08243854475850351,0.003602995792027663,0.0126831018808663,0.0006979432803451117,1936096936780.1003,121198445772.00903,0.3106843390100163,0.02614566250681651,0.13307241722798213,0.0234467704420229,369930551218.2952,18319196055.779648,0.14241585060166267,0.00840757584479842,0.04311339129983153,0.0047624176928665034
