Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,DEWP_MAPE,DEWP_MAE,DEWP_MSE,TEMP_MAPE,TEMP_MAE,TEMP_MSE,PRES_MAPE,PRES_MAE,PRES_MSE,Iws_MAPE,Iws_MAE,Iws_MSE,Is_MAPE,Is_MAE,Is_MSE,Ir_MAPE,Ir_MAE,Ir_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Fixed Cut 70.0%,10518,8765,24541,69.99914429960923,N/A,58.66035485267639,58.66035485267639,960966673503.4323,0.28275367019423114,0.10420772906056915,26628344568366.234,0.21149010143201413,0.05958389556056762,0.009359384358613256,0.009149021940188387,0.00011941000003018082,8.890139839706674,0.04867215930254742,0.005549422054333844,11852721877301.611,0.004132509430310575,0.0009565505362060598,12160223775178.83,0.006324300144550857,0.0008113913166780935,8600376149059.706,0.09375362707397257,0.0285380664213975
Fixed Cut 75.0%,8765,8765,26294,74.99928691634102,N/A,56.66835808753967,56.66835808753967,3139529981485.083,0.2937522718538366,0.11242417601102404,31219879872612.973,0.19918477003968596,0.05329667318190446,0.00898937670060323,0.008767925794675632,0.00010744691396990924,6.739913705524282,0.042036253703462555,0.005607438940662694,16803691220768.45,0.006351139138661773,0.0029688659153397252,16294027285685.725,0.008091162276488512,0.0012619289569874563,11242854726759.596,0.093030587134467,0.029277754986648155
Fixed Cut 80.0%,7012,8765,28047,79.99942953307281,N/A,23.418721199035645,23.418721199035645,22444145877503.863,0.29567018286553093,0.13247245880328892,44789941914109.28,0.20585939937477393,0.06136204652389793,0.015669825949674525,0.015464106215357033,0.000574647609844432,4.554424376111003,0.036373201990101835,0.005722710299575815,18910422605945.6,0.007148277084550499,0.0037186119504063436,63805028069079.516,0.01869077576562119,0.0016048566360609023,24991589744440.152,0.09653432388265472,0.03424255530384585
Fixed Cut 85.0%,5259,8765,29800,84.99957214980462,N/A,23.190135955810547,23.190135955810547,26658570475805.164,0.30788559699687246,0.15133411300298444,51648067812977.766,0.21870832682118668,0.07394389715347806,0.0363518674254271,0.035827980627955905,0.004907611875559598,5.8786344628279865,0.040063519052298255,0.0058510475960121735,31741480546886.742,0.041483191664190934,0.5183321198118086,59002979033142.28,0.01773474567482381,0.0029761008337426055,28175182978135.98,0.11028389347288746,0.12622414837893073
Fixed Cut 90.0%,3506,8765,31553,89.99971476653641,N/A,41.426055908203125,41.426055908203125,10726463353946.873,0.2760047662329148,0.10319213495768739,39370352091696.96,0.2014841786852453,0.05656488587342597,0.009553879232986387,0.009357515339976797,0.001992032105301694,8.828809090340075,0.04949403589395901,0.006842241760603627,7951224593868.909,0.03508837247315431,0.48067459098987014,17215717095717.27,0.012181809395833632,0.004664075236218492,12543959522539.547,0.09726844633684718,0.10898832682051852
Window L1,26294,8765,8765,25.000713083658976,1.882371187210083,121.32283926010132,123.2052104473114,5740880136943.389,0.273425783631424,0.09835315938615292,28508929467530.996,0.19807152076313517,0.052594635290703094,0.009079476145095107,0.008821344742204043,0.00010645463960669993,8.285464313870678,0.04641612389173931,0.005381040897723339,66183283086543.89,0.016057388976788,0.0010426132034599474,56293711526929.56,0.015623635451270462,0.0008440271798218696,26121134036325.8,0.09306929957609278,0.026386988432911266
Window L2,26294,8765,8765,25.000713083658976,0.8704378604888916,205.73431301116943,206.60475087165833,4108139765440.837,0.27536442661244237,0.09943730437226304,28373912670502.027,0.19738062873467033,0.05206219069706698,0.00906737572993365,0.008817350742123146,0.00010514082066213809,6.708603410313501,0.04054506416426601,0.005060618987187347,4964918978380.88,0.0025141099201386433,0.0008464154597902958,39842109261946.086,0.012142165982473679,0.0008085421158760968,12881513446045.873,0.0894606243593515,0.02638670207547439
Window Normal,10604,8765,24455,69.75384352092188,2.2555179595947266,102.92385625839233,105.17937421798706,4540301085894.777,0.26439821232027566,0.09210697861993046,27046813100190.82,0.19534807331047133,0.051225525148714465,0.007736571092830843,0.007481613728340224,8.133811448826064e-05,5.713222656009147,0.03757425330011926,0.004884511766767701,42861877057853.56,0.011000652915870584,0.0010508575940824773,27511686934474.71,0.0095831809353171,0.0007948705757552519,16993446363069.72,0.08756433108506523,0.025024013636623075
Window RBF,27374,8765,7685,21.920191676887534,850.563196182251,144.51553082466125,995.0787270069122,2660841642219.9604,0.27328770233994887,0.09754748417694736,27417384362271.46,0.20448616495175267,0.05598343058057158,0.005041988908795398,0.004909052913904268,3.5757534501628914e-05,8.243662681997678,0.037835531382000055,0.0033567135080703053,16435848737047.68,0.005128975464471346,0.0009496385741280131,11604927803888.713,0.006206750711304911,0.0007992988380327788,9686500424239.127,0.08864236296056249,0.02644538720204198
Window Cosine,26294,8765,8765,25.000713083658976,152.83157777786255,286.16563296318054,438.9972107410431,3493009366646.0005,0.2762247337739455,0.09988828457814772,28115057046982.195,0.19443683810327383,0.05060406318015294,0.007739438710876986,0.007522699099918341,7.705903319745997e-05,5.973193963758205,0.03786357336528876,0.004878768306031382,5502923930473.175,0.0025804060417924826,0.0007805817380732819,20173641569102.543,0.007892421790643025,0.0007430678566485502,9547438652201.43,0.08775344536247592,0.02616197078204191
Window Linear,15739,8765,19320,55.10710516557803,1.2126271724700928,92.51080799102783,93.72343516349792,10858564846294.693,0.2740057881240917,0.10220746303532736,32885792358457.527,0.19476033516139543,0.051340850132726316,0.0047583540250369805,0.004624602220159211,3.052478775022523e-05,6.395215833435237,0.039872219502233325,0.005123062866369925,5670202595024.475,0.0027393126420171567,0.0009310638385209523,30729026883323.055,0.010204391363862716,0.0007785991267105511,13357264447184.13,0.08770110816895933,0.026735260631234155
Window Clinear,26244,8765,8815,25.143329815453946,0.6910359859466553,120.51502895355225,121.2060649394989,6970334278593.404,0.2753721687437905,0.10075254722859298,30236062033716.008,0.20000956695913108,0.0537561557525557,0.005544806387838414,0.00541932346188908,4.501128652540428e-05,5.475905992124233,0.037517173649469826,0.005159462470972819,24762859745956.277,0.006908725488860332,0.0008917507164975982,51334719148710.164,0.014606677478429872,0.0008533081064517785,18883995867830.0,0.08997227263026107,0.02690970592693274
Window Rank,34984,8765,75,0.2139250976924613,0.779167890548706,131.7459671497345,132.5251350402832,1911228947775.4475,0.2773470061139833,0.10020748316643367,24905650282686.164,0.187732177261116,0.047337152331314095,0.005291839701027161,0.005142214432471481,3.6297950204087344e-05,7.339607058532088,0.03588086740196685,0.0036261812294006214,21655681977149.21,0.006220891387151866,0.0008841814014360205,11054757579906.748,0.005579391290995155,0.0005998783435699792,9921219797920.62,0.08631709131461203,0.025448529070393175
