Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,T_out_MAPE,T_out_MAE,T_out_MSE,Press_mm_hg_MAPE,Press_mm_hg_MAE,Press_mm_hg_MSE,RH_out_MAPE,RH_out_MAE,RH_out_MSE,Windspeed_MAPE,Windspeed_MAE,Windspeed_MSE,Visibility_MAPE,Visibility_MAE,Visibility_MSE,Tdewpoint_MAPE,Tdewpoint_MAE,Tdewpoint_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Fixed Cut 50.0%,7895,3947,7893,49.99366607550038,N/A,36.737972021102905,36.737972021102905,0.36544732510399436,0.26459069034054644,0.0988379967745422,0.007895431566373333,0.007759252945811673,8.296463494132471e-05,0.22351852800903654,0.12186421605385324,0.021700450637093704,255557363738.6447,0.09118450333727496,0.011776270359241246,0.217172841713551,0.07536673618930088,0.012587490012447466,1429154845074.0662,0.3376967309728914,0.15927874459614305,280785368135.581,0.14974368830661328,0.0507106528357349
Fixed Cut 55.0%,7105,3947,8683,54.99746643020015,N/A,25.08487606048584,25.08487606048584,0.3827900513533712,0.27656886001225495,0.10869129652512394,0.004564109980687039,0.004461567934243424,3.688925460769985e-05,0.2353131447404705,0.1266906865995427,0.023993727860187046,254835900890.44266,0.08817919798002653,0.011158490836239503,0.2143756451953383,0.07719814212656909,0.01200548078037787,1313239025354.2683,0.34999630725716674,0.17145506358534918,261345821040.92398,0.1538491269849673,0.054556824806980896
Fixed Cut 60.0%,6316,3947,9472,59.994932860400304,N/A,29.17930793762207,29.17930793762207,0.32445930850955207,0.2278099606110145,0.0800125255665287,0.010936898288730457,0.010772405284657147,0.0001527220763286451,0.2294197164213562,0.12633083499042758,0.023015146842783992,270166496972.08795,0.09194061083971,0.012027160583996025,0.20966937542942882,0.07564982665719186,0.011502091743318598,1698665966617.5017,0.30180729930020683,0.1259465779898842,328138743931.7027,0.13905182294720145,0.04210937080047338
Fixed Cut 65.0%,5526,3947,10262,64.99873321510007,N/A,20.772350072860718,20.772350072860718,0.32577530527421694,0.22096323154069283,0.0751751336949997,0.008242933925696106,0.008117064521036206,0.00011206463295089873,0.23584700420257532,0.13057314572873785,0.02449186608508427,260836270916.05338,0.08997880514313136,0.011730762909527678,0.21290240713461467,0.08424801030809868,0.012114909603933414,1700321046211.1384,0.3050577623419597,0.1280064660473623,326859552854.6394,0.13982300326394295,0.041938533828976395
Fixed Cut 70.0%,4737,3947,11051,69.99619964530022,N/A,35.281508922576904,35.281508922576904,0.3209166993790838,0.2170130552185814,0.07202345891923337,0.006898561129323913,0.006759251869113652,7.924456425014035e-05,0.23935588634731342,0.12882457201433378,0.024876019861237542,297916233548.8862,0.10217041437083271,0.014922527140854376,0.21449308790809504,0.07863626806438306,0.011729231125682735,1834267614904.7979,0.2897085767758762,0.11561829760452348,355363974742.37775,0.1371853563855199,0.03987479653596354
Fixed Cut 75.0%,3947,3947,11841,75.0,N/A,17.26067304611206,17.26067304611206,0.31554122384337024,0.20913272821060508,0.06794122031735306,0.006384965700414137,0.006269466902311206,6.566264080174654e-05,0.21705316461607096,0.12360388755094412,0.021190854249651888,406971304025.06854,0.14274668651218123,0.028619173361091477,0.22177610870962663,0.08967439266185902,0.013212376498141108,1757036718564.2937,0.3177953735248525,0.13880674078139058,360668003765.00446,0.1482037558937924,0.044972671308071616
Fixed Cut 80.0%,3158,3947,12630,79.99746643020015,N/A,16.18714714050293,16.18714714050293,0.3833921926806154,0.28705425416113106,0.11857086054857954,0.007930708170493364,0.007791077236982075,0.00010546250949063873,0.24418944179985225,0.13278090720176225,0.025864688307391026,332799564058.1475,0.12050486655102324,0.021568150987487936,0.23143515590521038,0.10450509858813473,0.016974438255951248,1391779651106.996,0.369341946400344,0.19067930640176461,287429869194.3376,0.17032969168989678,0.06229381783511088
Fixed Cut 85.0%,2369,3947,13419,84.99493286040031,N/A,12.704761266708374,12.704761266708374,0.3739978511772441,0.282807315968459,0.11560149281993509,0.011022549253412625,0.010835134791274438,0.0001890547125193859,0.22859117212095717,0.1290949606402853,0.023461673357318004,395898443609.39734,0.13463452240539173,0.025873606229318544,0.21722411625590862,0.0860356460368776,0.012998944664692537,1534931812677.1091,0.44637746382930754,0.2812527943671087,321805042714.559,0.18163084061193335,0.07656292769181545
Fixed Cut 90.0%,1579,3947,14209,89.99873321510007,N/A,8.142443180084229,8.142443180084229,0.37655554072793923,0.2845245407282581,0.11503913233073468,0.04816814889378919,0.047245374705200266,0.003496006663514496,0.2226479160872227,0.13524098322247277,0.024978900933327317,409580718651.1707,0.13952784351152175,0.027379457302981483,0.23322614242341422,0.10068476975203443,0.017343998330284053,1788161339823.0415,0.5899267445799009,0.49620081199266447,366290343079.18884,0.21619170941656576,0.11407305125891772
Window L1,7328,3947,8460,53.58500126678491,0.4901609420776367,18.80915594100952,19.299316883087158,0.36829348462180905,0.26547173349049924,0.10058573549117197,0.008088525040353602,0.007924959095769216,8.614391417376116e-05,0.2538760665101591,0.13385331712945026,0.028254372778603584,249436327140.71902,0.08944839113416368,0.011401879260890344,0.2145908689050391,0.07920652668498465,0.011828387812009228,1494015732370.7485,0.33974240901810426,0.16117682398343602,290575343252.0479,0.15260788942549527,0.0522222238733808
