Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,CO(GT)_MAPE,CO(GT)_MAE,CO(GT)_MSE,NMHC(GT)_MAPE,NMHC(GT)_MAE,NMHC(GT)_MSE,C6H6(GT)_MAPE,C6H6(GT)_MAE,C6H6(GT)_MSE,NOx(GT)_MAPE,NOx(GT)_MAE,NOx(GT)_MSE,NO2(GT)_MAPE,NO2(GT)_MAE,NO2(GT)_MSE,T_MAPE,T_MAE,T_MSE,RH_MAPE,RH_MAE,RH_MSE,AH_MAPE,AH_MAE,AH_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Fixed Cut 50.0%,3743,1872,3742,49.993319973279895,N/A,230.36524319648743,19.064529180526733,249.42977237701416,1.14962003730216,0.2334859514912034,0.06844769325952438,0.00989590883928532,0.009780128378278175,0.00012019392379502315,1.1519365844631855,0.06506971225954356,0.03897165346810067,0.7009385758599783,0.10211734797475801,0.02266922167968434,4.1834265010656,0.40432547999946095,0.19511496143322615,1.17811831859852,0.07265541882134334,0.04279732789194423,0.8514328958407424,0.10820591260055668,0.06003080412004178,1.7434894218333468,0.056367477803663586,0.03657079210275275,1.3711072804753535,0.13150092866610086,0.05809033098488367
Fixed Cut 55.0%,3369,1872,4116,54.98997995991984,N/A,197.17584609985352,12.347506046295166,209.52335214614868,1.2155625563127752,0.19994898133871042,0.058860531701110795,0.01633722208971142,0.015819200659236157,0.0005097419731753891,8.174362793079395,0.06782127378799267,0.03882755864395893,0.7919764456775128,0.11118879940216538,0.026041795088211042,3.18366969336262,0.39194581005638424,0.19048383155421825,15.165485520970742,0.07939286190236762,0.03733922988988393,49.37510011386474,0.1214752809639833,0.05738521724817753,1.3554675409000254,0.08586994766665455,0.03743340529238928,9.909745235782193,0.13418276947218663,0.05586016392389068
Fixed Cut 60.0%,2994,1872,4491,60.0,N/A,218.1527750492096,10.366562128067017,228.5193371772766,1.2087827965914482,0.20486221511360786,0.06030208295766764,0.007472952886084733,0.007486003749172425,8.455093277591201e-05,1.4690782474186699,0.06368894772329055,0.03742352941164542,0.5034103262908446,0.11293905906572661,0.020748994499457857,1.5865506559707134,0.32137963714825457,0.14094410090803408,1.0786337430564596,0.06519067933769553,0.036958435373175204,2.2652573402938696,0.10816982338179211,0.05534858794105881,1.3591630031211195,0.06363884684859214,0.032271443589108786,1.1847936332036508,0.11841940154601638,0.04801021570161546
Fixed Cut 65.0%,2620,1872,4865,64.99665998663995,N/A,256.1747977733612,11.676393985748291,267.8511917591095,1.353031313588183,0.14521112229288238,0.04713366230081723,0.008488264247347107,0.008599374727066757,0.0001376325440411845,1.30829124131483,0.0640541613660451,0.041093563874431666,0.5225925460343306,0.10802949364714953,0.020460947007290096,1.12437089873921,0.28163490706817806,0.11860244322741277,1.075662136099344,0.06554023923524437,0.04029801418748694,0.8756552237820523,0.1116258746230686,0.06093502296998857,1.3379493533408662,0.0766614888084953,0.0353620629785107,0.9507551221432704,0.10766958272101615,0.0455029186362474
Fixed Cut 70.0%,2246,1872,5239,69.99331997327988,N/A,368.65637397766113,6.663758039474487,375.3201320171356,1.3881655303656555,0.14810090981578058,0.04887071464982476,0.01291888871913411,0.013168963829889375,0.00030372738194360457,9.195398209522672,0.09012371224408655,0.039552471101288074,0.5151683980537797,0.10966527682391765,0.020613150231021053,0.8814426200674459,0.2527197812608143,0.1045187822001343,12.798378712268557,0.07812153731944993,0.041888587580041256,0.8626312620054674,0.11619323010147417,0.06232852620959003,1.2715099390162938,0.10260962883966564,0.037579492404056905,3.365701695002374,0.11383788002938466,0.04445693146973752
Fixed Cut 75.0%,1872,1872,5613,74.98997995991984,N/A,156.46254801750183,8.27295994758606,164.7355079650879,1.662741743937661,0.10109751339107352,0.04275713270322092,0.0037481620216690704,0.0037289482339138,2.2204802560525893e-05,3.5519923084495986,0.09485366260900335,0.03737172534248526,0.49934650674654674,0.11922258994081432,0.02191340929639117,0.629167597670598,0.21536032489484574,0.08752865845899911,72.00220343432281,0.09424612215988228,0.037864507919522616,17.08567250189765,0.12061666692178148,0.0556588439153111,1.1997531916636024,0.10174505614445636,0.03418356478995889,12.079328180838766,0.10635886053697122,0.03966250590355619
Fixed Cut 80.0%,1497,1872,5988,80.0,N/A,132.16299080848694,10.998556852340698,143.16154766082764,1.534924223264132,0.11337430230844092,0.04337119275649981,0.007768166540476928,0.007881156886866903,0.0001623488356964608,13.301604114307091,0.09236174687417552,0.03907295059025578,0.5012232030557003,0.12343542286438623,0.023002984562760138,0.6044340322911392,0.21040888124135113,0.08558921550892319,4.045957779355521,0.1072748382296081,0.040645495225196754,1.2178070169251307,0.12087481561468977,0.06072850111008951,1.1994068982745383,0.11300957572564127,0.03653573153804896,2.801640679251717,0.11107759246814486,0.04113855251593382
Fixed Cut 85.0%,1123,1872,6362,84.99665998663994,N/A,119.34510374069214,6.407918930053711,125.75302267074585,2.023285799715189,0.1366423482273734,0.05155799090148398,0.0168636692451896,0.017044597577559245,0.0005479503483912933,4.577822518664645,0.11455159116531248,0.03693146077584248,0.5471904896480386,0.1156228575980569,0.0227837763557474,0.8910963932347737,0.27314619570272936,0.12267215956607959,2.240903142914073,0.13407508122741468,0.03929499374335927,1.711243121172498,0.14200424022173488,0.056989081872041235,1.111865606328703,0.15441185819064301,0.04082760739950166,1.6400338426153886,0.13593734623885295,0.04645062762030588
Fixed Cut 90.0%,749,1872,6736,89.9933199732799,N/A,93.06491613388062,4.107403039932251,97.17231917381287,1.3107570713722505,0.17949890970324003,0.05584889756512521,0.026452623918411286,0.026174254316951313,0.0012098391427853461,3.6381020889232363,0.11738332850805236,0.04367242746977036,0.5623435000027727,0.11965592268998054,0.028454426417750332,0.8216519548295091,0.2792723672462493,0.1312162784508275,38.90145380582549,0.09136192567282227,0.043067063215018984,0.8325792250747914,0.1217518630586464,0.06554559216250387,1.5705352788663751,0.09171644331437835,0.041858957267553655,5.957984443601603,0.12835187681378998,0.0513591852114169
Window L1,3390,1872,4095,54.70941883767535,0.2747650146484375,208.73738288879395,26.730367183685303,235.74251508712769,1.1438951860958582,0.238357791068287,0.07016371944600158,0.016555326736234183,0.016261557588279567,0.0002877530889603655,29.27854967475904,0.07265198088057571,0.03372037831319191,0.6136198064575699,0.10077707701751631,0.021309166934232526,4.086526140111948,0.4110547285583799,0.2019696976425453,1.2204405831624223,0.0657950055901727,0.03656701142204812,2.807075554020586,0.11532420483621318,0.05645811303450107,1.2176241842232862,0.0824790007664032,0.031105776330787403,5.048035806945864,0.1378376682882283,0.05644770202653347
