Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,DEWP_MAPE,DEWP_MAE,DEWP_MSE,TEMP_MAPE,TEMP_MAE,TEMP_MSE,PRES_MAPE,PRES_MAE,PRES_MSE,Iws_MAPE,Iws_MAE,Iws_MSE,Is_MAPE,Is_MAE,Is_MSE,Ir_MAPE,Ir_MAE,Ir_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Fixed Cut 65.0%,12271,8765,22788,64.99900168287743,N/A,737.7507331371307,56.97837018966675,794.7291033267975,45.385143756072246,0.33684155059399895,0.14758576291706182,0.7780345608236446,0.23960716876998192,0.07613651760926968,0.013846594391760773,0.013283287047312036,0.00020695508347740735,0.8591722625409443,0.04979154278398844,0.006808210315059917,1.0338167267756786,0.003911262337256562,0.0011030144774570056,1.0426672565443011,0.02538271951819867,0.0013071761329935387,8.185446859524786,0.11146958850845488,0.038857939422553216
Fixed Cut 70.0%,10518,8765,24541,69.99914429960923,N/A,631.5265238285065,45.05891513824463,676.5854389667511,12.39438881163407,0.3393656561281341,0.14982275689668056,0.8434229428964476,0.24460435711331985,0.07950360813834856,0.013290884815788719,0.013088726456061787,0.000257482938103201,0.9637554624952903,0.03816885987017886,0.00665999511928867,1.0277287635358903,0.006043922258019875,0.0011141028617639498,1.169752557455198,0.010546885249000435,0.0009534306811628156,2.7353899038054448,0.10863640117911817,0.03971856277255787
Fixed Cut 75.0%,8765,8765,26294,74.99928691634102,N/A,509.01865792274475,27.242467164993286,536.261125087738,35.86137203465633,0.31833472927253553,0.1352993049085648,0.6129378216489871,0.22614967808766548,0.07015712165738894,0.014412134416341765,0.014192162639334767,0.00028212243080820003,0.9203006517297133,0.04234592181380417,0.006692204242561174,1.2395264379300421,0.005633148747625823,0.003442930264574516,1.1081783500014926,0.023968230593944873,0.0018682355853446744,6.626121238397148,0.10510397852581754,0.03629031984820704
Fixed Cut 80.0%,7012,8765,28047,79.99942953307281,N/A,453.85412883758545,21.13935685157776,474.9934856891632,1.5399023877696594,0.362460853056006,0.19734958205635825,0.5416667621116324,0.2567831914524134,0.09861022449907574,0.020672945953086212,0.02069927568654841,0.0005154827009689999,1.0668096488784073,0.040988413872252986,0.00703258218962034,1.1990336274751898,0.012326670484154405,0.004722409460024367,1.533623617255545,0.010328926361591535,0.0017046857034187356,0.9836181649072525,0.11726455515216162,0.05165582776824463
Fixed Cut 85.0%,5259,8765,29800,84.99957214980462,N/A,279.8628089427948,8.76709508895874,288.62990403175354,1.2188962332121767,0.387966011014454,0.24062554844497175,0.5302446224959357,0.2658392601583294,0.10775076893016303,0.09973983570357751,0.024330652213853297,0.004690532063780237,5.7054537768096925,0.04137813212679062,0.009726297876947482,1.3613698988039646,0.04398844114735668,0.5182663996269048,1.5192979819204635,0.012132342828809194,0.002259556010382404,1.7391670581576346,0.12927247324826455,0.14721985049219197
Fixed Cut 90.0%,3506,8765,31553,89.99971476653641,N/A,215.9763901233673,12.233524084091187,228.2099142074585,81.43322107602044,0.3362042081806082,0.14855894212540863,0.7183820729935964,0.2480003235138623,0.08323204246837974,0.014238226314358681,0.014001503676833341,0.0003528711751456191,1.2721518439800297,0.03508860862806933,0.007027882585463176,34.31825634199081,0.04035230261942721,0.5081000945682854,1.9269152985414177,0.01250839340723189,0.005116169107861071,19.947194143306763,0.11435922333767114,0.12539800033842452
Window L1,26294,8765,8765,25.000713083658976,1.223794937133789,1321.2037250995636,63.24869084358215,1385.6762108802795,20.17146747033334,0.3283671633472362,0.14034572166776876,0.7437901728815798,0.23226327353944481,0.07170321580281734,0.008794217595843298,0.0085544194314994,9.886415598309093e-05,0.8307275112385989,0.055259745034441705,0.006973124794803142,1.03719101233444,0.005942623790663313,0.001047283502018582,1.0353313929036059,0.026003290229154416,0.0013083346192151973,3.9712169628812464,0.10939841922873883,0.03691275742376774
Window L2,26294,8765,8765,25.000713083658976,0.7707240581512451,1349.242350101471,192.01793503761292,1542.031009197235,53.04688809694713,0.32637883917334876,0.13925444677215812,0.7233516203020264,0.2315742965902825,0.071496809374508,0.006938510084240748,0.00672072030687702,7.332264032593926e-05,0.8875844350455179,0.0435066952790791,0.006615936175292465,1.028747075481774,0.005680649235815665,0.001024308336296483,1.1037309306439376,0.012794300435750965,0.0009547649775024664,9.466206778084103,0.10444258350352481,0.03656993137934723
Window Normal,10604,8765,24455,69.75384352092188,1.7082250118255615,644.2892520427704,57.321118116378784,703.3185951709747,31.0596677163025,0.33668108581974615,0.14722869834416835,0.8353189296143887,0.24731302840791422,0.08091577117468969,0.013726641824933414,0.013144697554685829,0.00027958355615990483,0.8344932335215917,0.0495195535774859,0.006532597062430346,1.0960143766338788,0.005649707028304381,0.0011925026063258936,1.3821529491955584,0.007806629380458337,0.0009456636692681401,5.870228974515428,0.11001911696143137,0.03951580273550701
Window RBF,27374,8765,7685,21.920191676887534,430.78672099113464,1276.1937189102173,104.74047112464905,1811.720911026001,15.212748695646352,0.33480172189961316,0.14568031284915722,0.7363992158848217,0.23525466363629316,0.07341473371225662,0.006514445525187077,0.0063177999537194236,5.582267264765313e-05,0.8913819634549747,0.03710838492779828,0.004718866865130912,1.0468582321988689,0.005569331240475511,0.0010668545890892944,1.1107604840026766,0.014972622096806519,0.001014413586091523,3.1674438394521545,0.1056707539591164,0.03765850071239569
Window Cosine,26294,8765,8765,25.000713083658976,95.73877286911011,1379.415538072586,129.47403025627136,1604.6283411979675,33.23820167936747,0.3295029441666568,0.14198757362288847,0.7120366720789795,0.2346811489392804,0.07349588191014808,0.008480817166581322,0.008241137583737545,9.033036460976854e-05,0.8921876433296845,0.043972468234636505,0.0066952173120383845,1.055981080436547,0.0037877712548733413,0.0010001832959666247,1.1315366482515812,0.010858062598097018,0.0009461346339179787,6.173070756771814,0.10517392212954631,0.037369220189928276
Window Linear,15739,8765,19320,55.10710516557803,0.8010799884796143,652.5973398685455,48.041072845458984,701.4394927024841,7.328808584864101,0.32903543905376825,0.14668198529869148,0.6112859628813287,0.23461030906509103,0.0757959013076264,0.023093641201182825,0.02194626481116203,0.0005032609324303485,0.8304673001538635,0.06006879409007306,0.007350706963679161,1.032295628620308,0.010468009229737871,0.0012345340547500131,6.774942167292725,0.010008032496529482,0.0010305550251739654,2.766815547502246,0.1110228081243932,0.03876615726372538
