Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg DEWP_MAPE,Std DEWP_MAPE,Avg DEWP_MAE,Std DEWP_MAE,Avg DEWP_MSE,Std DEWP_MSE,Avg TEMP_MAPE,Std TEMP_MAPE,Avg TEMP_MAE,Std TEMP_MAE,Avg TEMP_MSE,Std TEMP_MSE,Avg PRES_MAPE,Std PRES_MAPE,Avg PRES_MAE,Std PRES_MAE,Avg PRES_MSE,Std PRES_MSE,Avg Iws_MAPE,Std Iws_MAPE,Avg Iws_MAE,Std Iws_MAE,Avg Iws_MSE,Std Iws_MSE,Avg Is_MAPE,Std Is_MAPE,Avg Is_MAE,Std Is_MAE,Avg Is_MSE,Std Is_MSE,Avg Ir_MAPE,Std Ir_MAPE,Avg Ir_MAE,Std Ir_MAE,Avg Ir_MSE,Std Ir_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Fixed Cut 50.0%,17530,8765,17529,49.998573832682055,N/A,N/A,83.12432765960693,32.582674958765665,83.12432765960693,32.582674958765665,4326399837700.731,1278481174488.987,0.2733185956096201,0.004879710340407618,0.09796577661148728,0.003703730684708399,29259439964599.785,3295166054410.84,0.19340338172037796,0.011098104244474256,0.05076962211073755,0.005489596385645294,0.007455277287846812,0.0013076720301517747,0.0072446686616265705,0.0012674353153347326,7.88540157684741e-05,2.6495300012542142e-05,7.126832587247411,1.1102445169445887,0.042545706378820915,0.0036901284509521038,0.005279623337898531,0.0002233197745896358,29491785985646.727,27980778340336.14,0.008017623151954666,0.006169407075617729,0.001005575428247044,7.344403732214162e-05,37776967335816.3,16346529947330.72,0.011723536849051686,0.0034808913773315313,0.0008193070709041719,4.0416689803237555e-05,16809098853961.562,7049657933823.812,0.08937558539524107,0.002306502767670396,0.025986459762507227,0.0009363114926894466
Fixed Cut 55.0%,15777,8765,19282,54.99871644941384,N/A,N/A,53.93094801902771,11.82659735609493,53.93094801902771,11.82659735609493,9996060446419.447,1480538159199.8113,0.2723997194626402,0.0059306225765169834,0.10062183935526635,0.0032935014519956253,35060942367417.863,1243154577764.5212,0.19205801937799816,0.007075331914586416,0.05053916257188849,0.0034431556971852195,0.006973286951481718,0.0014699048739774177,0.0067736613885958285,0.0014271682589631492,6.696518516981738e-05,2.6357508066421696e-05,6.554612568139578,1.7711722591423593,0.04086982141344937,0.0050789821603590465,0.005255373672361791,0.0001493943467824601,18831313308525.85,8823007198092.002,0.005661328035892674,0.0019621964538232336,0.000967679439322328,4.58571145426673e-05,38430462171570.32,30666112878358.363,0.0119100301239104,0.006520500320833833,0.0008522237845049326,0.00010251158303209619,17053129715656.438,5521449686771.977,0.08827876330041375,0.003418183834557811,0.026383874001419005,0.0008996118624369339
Fixed Cut 60.0%,14024,8765,21035,59.99885906614564,N/A,N/A,57.800909948349,13.13127829520348,57.800909948349,13.13127829520348,10601164569828.668,1861099087885.7576,0.2815621541613862,0.009221379092865276,0.10736069649232007,0.006169129673955751,35610156530477.31,1562844217051.6438,0.19842139047970467,0.0033494079994823393,0.05370110231470861,0.0014952541314298489,0.008369931340072903,0.0021012131349169836,0.008165530272583387,0.002059900877734947,0.00010594653977533198,6.030366505991333e-05,6.08610347421161,2.0779297116727435,0.040031631386527024,0.006231395947574736,0.005345974092898524,0.00023648750331075195,18981194332856.574,15423237509398.285,0.005690809288624412,0.003419274341747887,0.0009568415457624263,4.671805411707134e-05,42757170689810.73,33868896232389.81,0.012929028066510658,0.007298521282497796,0.0009115247889374171,0.00016727460289225137,17991614353829.652,6064542875399.079,0.0911334239425552,0.0024210754619237895,0.02806368096240038,0.0011791976483728841
Fixed Cut 65.0%,12271,8765,22788,64.99900168287743,N/A,N/A,65.9060426235199,15.530433248102241,65.9060426235199,15.530433248102241,6572747774937.805,1326739068866.7036,0.2726048714278708,0.011667706509835842,0.09859479854073071,0.007575605494449634,28962331620423.105,2035865401518.4475,0.19789445594704017,0.0066701476500107245,0.052714509923172254,0.003276468529278779,0.005670880928551229,0.0012238866340169685,0.00551084578508198,0.0011840993827237167,4.9440475732122954e-05,2.0483242745636214e-05,4.959252471072139,2.0146984140506583,0.03640027008811391,0.0054735093208134,0.0052212360162259734,0.0001814555232348163,25034245899657.28,27553416560081.46,0.007030518686726748,0.006109345968618118,0.0009970984061190777,0.00010988168734900275,25731930336081.816,21872478089039.707,0.009133432447418169,0.004759704571878165,0.0007932900175926836,9.031167620160173e-05,14383542605183.94,8036895413164.737,0.08809573239704124,0.0037903939027515133,0.026395062229928833,0.0017088457525920105
Fixed Cut 70.0%,10518,8765,24541,69.99914429960923,N/A,N/A,36.788049173355105,14.09861058525851,36.788049173355105,14.09861058525851,2290622632544.5254,1371177662804.1973,0.27602911056350327,0.014117138422369722,0.09978569393783976,0.009456253877187147,24790276558185.6,3472403947466.8945,0.20587194556402144,0.0116371120207911,0.05748302755712653,0.006340589796872776,0.007808986788990233,0.002482905610924964,0.007597332246736782,0.002427357881857942,8.336236539910264e-05,4.087893479013913e-05,8.242528735921544,1.995548542840232,0.04624307985234605,0.007114398435010999,0.005383536167187382,0.0004593028932825451,24427513058850.12,14578847107567.54,0.0069188975663806085,0.0032192050404913973,0.0009947218021244609,6.575926542942614e-05,26658648394866.28,15459956779606.441,0.009439641643938916,0.0033485804147228735,0.0008204571514545259,7.714974829378474e-05,13027843440742.293,4054651574145.678,0.09201666790615352,0.004648793972235322,0.027425133163522016,0.002492120113453419
Fixed Cut 75.0%,8765,8765,26294,74.99928691634102,N/A,N/A,41.57319626808167,14.166566326812944,41.57319626808167,14.166566326812944,6782784129701.366,2795729919754.8354,0.2893356048081038,0.0071779532677519325,0.11060068604428155,0.005271302041778965,35387249344619.01,2655111620181.783,0.20410626330321102,0.004638601462818021,0.05647961138231622,0.002696776955399525,0.00774870060761989,0.001068577023695276,0.007539721865303074,0.0010432998987187478,8.488195443123628e-05,1.9388855319855304e-05,7.380665276929976,3.3936606261857025,0.04437215370544432,0.012654738985814758,0.005623028497642275,0.0008775440201347045,25060453816876.27,15234032217538.38,0.008241136714460494,0.0034454864205923927,0.0031002103596554733,0.00018392446227374548,34530834064940.81,25677756633432.965,0.01206047237441871,0.00549784735614757,0.0013423073120876648,0.00010416202549144951,16960220226023.895,6360637917386.397,0.09427589212848894,0.0036519064167339237,0.029538454258402447,0.0011709229547418323
Fixed Cut 80.0%,7012,8765,28047,79.99942953307281,N/A,N/A,31.693331241607666,9.109434344830285,31.693331241607666,9.109434344830285,19610098311518.137,1638962560958.3792,0.2839272156002117,0.006989374781298653,0.12007716083890192,0.007146387861734215,46173087805434.97,2635850916209.9155,0.20546135778629018,0.005202543021288954,0.062300306556461384,0.004294673250595628,0.01009550831366595,0.003832353172451796,0.009917323442405824,0.003793328715984435,0.00020044028732534296,0.00021232592788099602,5.663813555238251,3.1167258250036265,0.03896871275273816,0.01029102621156936,0.005344566647518062,0.0004359925868568057,19679840861562.97,15720407134102.062,0.007263658767054379,0.003466088654141201,0.0036306987178016466,0.00014197285600020486,61739314820676.94,15294872790012.268,0.0181763903628435,0.003645216402882374,0.0014842531113557077,0.00020413300448945642,24533723633199.457,5262707637605.408,0.09395244311858937,0.0036926890495381655,0.032172904359894054,0.0012617041432484064
Fixed Cut 85.0%,5259,8765,29800,84.99957214980462,N/A,N/A,21.74144639968872,4.98892870470275,21.74144639968872,4.98892870470275,23354878189691.52,2711649512489.4663,0.29516159461598146,0.012804631716637436,0.13522495763495762,0.013047772977246849,49693013335363.76,1744725169527.6118,0.2135756490674282,0.005542224150639029,0.0694004620143143,0.004143241894988076,0.021193655822760126,0.010438165631019522,0.020883643878909123,0.010308911054365455,0.0027511147360684794,0.0018652380787297692,4.394750040161252,1.658353139095429,0.03895374443430647,0.003040923900194489,0.008773254056524567,0.003960732606515415,24882962186171.91,8104713200585.376,0.04070011089782901,0.0016232379193850195,0.5378136400168693,0.014570801636114362,54867026897957.586,9322470935754.746,0.0165801224224514,0.0020235921040686567,0.002351680221886762,0.0008534983190055401,25466313434864.53,2879790633034.8257,0.10430914421948338,0.003922061198129726,0.1260525181134369,0.001537853571137409
Fixed Cut 90.0%,3506,8765,31553,89.99971476653641,N/A,N/A,22.240643358230592,11.011907611889603,22.240643358230592,11.011907611889603,7579614759764.446,2786214674585.5083,0.2754086758078066,0.0031682992634170797,0.10112031437169051,0.0030042769569847147,37841106819648.52,3258635396993.1675,0.204562956874353,0.004487030345878746,0.05789764029649985,0.002734592882807271,0.010665059996578975,0.002360848180351935,0.01047847076489992,0.002302162740773886,0.0017394020938311472,0.0003671699514088043,8.242000882654946,2.96038736421088,0.048066509897370026,0.01055570295010514,0.006172435423392569,0.0007702221184527027,18358351071069.508,8101565146000.498,0.038896808639830534,0.0027593510400612106,0.5241564394393622,0.03373352461352309,49947749000476.43,38041478227634.086,0.019217352436680005,0.008068275432958495,0.004708816795813936,0.00021937253742114463,18954470275160.94,6935968183095.151,0.09943846240348966,0.004203179524313174,0.11596584140343213,0.005877834920510784
Window L1,26294,8765,8765,25.000713083658976,1.361996603012085,0.3094461969121164,121.50141763687134,18.004772817886572,122.86341423988343,18.098827664707148,3618186761557.804,1427727007940.4536,0.27164029484409397,0.00643394894036087,0.0968224165983169,0.004427638419597582,28552945665698.402,1376614381044.037,0.19545197116911217,0.00463234882143133,0.05126831715483526,0.0023375213364057613,0.007675999614178807,0.0012569968688722554,0.0074547907529249665,0.001209877877714737,7.957678957110309e-05,2.3981431337400228e-05,6.520799564489513,1.1880875086771545,0.040386428156739235,0.0038678801937063953,0.0051341759554729615,0.00020921506236929648,22637855788408.914,24722114123181.1,0.006398767920433846,0.005481900316149247,0.000857167565292987,0.00010511451479315543,56337415192793.77,26959722617564.35,0.01566590153701309,0.005754427454482309,0.0008807140600656132,0.0001317943281281259,18524400568077.355,6616778924552.138,0.0894996923967187,0.002159587872840097,0.02584039468725916,0.0010900053778122522
Window L2,26294,8765,8765,25.000713083658976,0.680401611328125,0.11658531569757007,131.45443372726442,47.96703520418037,132.13483533859252,48.07101714981042,3692026863551.251,803939171495.8492,0.27460342692351286,0.003355992031308514,0.09880819855846028,0.0021955691938569106,27964852649691.16,1304857612059.9219,0.1970307500155156,0.0013742126810233574,0.05197320715037861,0.0007421181008487608,0.008249176263832085,0.0018845047977752755,0.008009850494550906,0.001816030105552373,9.510580013067033e-05,4.399629764163595e-05,7.580248684199973,1.6758024659033057,0.04382660377051904,0.00583088767164133,0.005188806864795992,0.00033729067385417154,12941263324474.71,11276164340217.045,0.004285232691791815,0.0024899816471360666,0.0008736982401771468,2.604529990431799e-05,18318151093383.234,14184310703586.834,0.007516604388770942,0.0030264088233783815,0.0007716070001494629,2.9227318131080496e-05,10486048988517.773,2941923636968.246,0.0892120780474426,0.0003505568101807034,0.02628510393568207,0.0003993658397649082
Window Normal,10604,8765,24455,69.75384352092188,1.7178231239318849,0.32059793201012204,57.02837719917297,26.29122585542948,58.74620032310486,26.566785305106027,2930032668681.514,1102352508298.3962,0.2750024420174351,0.010977369712366155,0.09915265551254629,0.007612061902059757,27894182067405.86,3261427492016.1255,0.2004436933335005,0.004870943389620565,0.05397517982130139,0.0024823814813148535,0.007554974421225105,0.0009296751547496009,0.007335600179400825,0.0009130004915674805,7.660881024837439e-05,1.5359401474523758e-05,7.336640891208787,1.1284538032764637,0.04301179720592315,0.003820708260282029,0.005178008937385707,0.0002576217870144814,26445620226237.79,15844277288019.553,0.007349193496792548,0.0035270397739601334,0.0009822679025929353,6.786256973794735e-05,39501124807505.805,14348039794312.566,0.01208047414897887,0.0030371165229901367,0.0008198245558033892,4.8375234883819693e-05,16128493294972.85,817806769490.0714,0.09087053339700425,0.0031640604514688673,0.026697424256646327,0.0016967158246308425
Window RBF,27374,8765,7685,21.920191676887534,359.2836681365967,281.28402092115346,149.8996346950531,21.40474494694557,509.18330283164977,274.61923697757607,1848028421536.7144,752259152395.2859,0.27274998227109,0.010531018468723678,0.09752068756542787,0.007295662540899284,26139941627307.01,2090617464407.0762,0.19756071212261506,0.006475925461679166,0.05234749537230449,0.003233771998720171,0.005971771855798463,0.0014370264555852875,0.00580900627361113,0.0013745332669973852,5.161674634978055e-05,2.3937355784898387e-05,7.107039615118334,1.1796175892348535,0.03509802700635328,0.0031153772414105113,0.0035151529174760397,0.00011739786498970408,22039691491841.992,7578457482995.688,0.006287838508410932,0.0016432778520669318,0.0008653337753208398,4.935145873962529e-05,20933161703532.066,10523929437537.55,0.008124137148575303,0.0022442097250396464,0.0007771717669780611,2.215274457418532e-05,11826803874037.303,2509628347441.0874,0.08760495055510818,0.003289526355805721,0.02584624302397622,0.001635034367061208
Window Cosine,26294,8765,8765,25.000713083658976,72.40524673461914,45.1585517339891,146.50597167015076,83.36787846668292,218.9112184047699,127.19130472513979,2883005624707.4067,1340542840091.409,0.27544438577529334,0.0038280274538383583,0.09924132749960891,0.0028087098784668452,29084344744062.156,1321751774412.953,0.19902237732460257,0.007155251618876268,0.05311874830077121,0.0035785834313308163,0.006535655408803435,0.0016738525579800205,0.006353482849104896,0.0016166755359884456,6.144238380516784e-05,2.523538259441141e-05,5.381134090648021,0.8328816207528622,0.03683442226028701,0.002709374852941594,0.005134984621833735,0.0002774704944893965,20849916566857.207,19145844196376.996,0.006001557685565829,0.004240399086040481,0.0008381686425916502,6.479620589631029e-05,25791125054690.812,33086939827439.473,0.009136924886581329,0.007002633045318532,0.0008149916620133998,0.00010443454740292295,13101398665053.637,8654945346910.548,0.08879885846357138,0.0034187181218946145,0.026534943851770697,0.0010353579890950181
Window Linear,15739,8765,19320,55.10710516557803,0.9259815216064453,0.16520080300723744,70.20832777023315,20.95079058520669,71.1343092918396,21.056763108110196,9848701124743.535,2095170681488.2046,0.28065534502942796,0.006723780545392723,0.10633881047277718,0.0038494582132826667,35203957472872.17,2640795441170.8706,0.1981198351044276,0.006503318505818344,0.053477314580568557,0.003737092191103585,0.007420866475657057,0.0019432148115755888,0.007216214908619618,0.0018790641714576154,7.903885078066805e-05,3.692887707697667e-05,6.126063723644466,1.8004600212607185,0.03913673607822648,0.0056704186777111806,0.005067177271644344,0.0002744670139974559,19746704909203.547,24727797005754.926,0.005876480972903541,0.005554722069061669,0.0009807560952577977,0.00017084051178002798,35569120870820.57,30909612904556.52,0.011275900880499677,0.006645539632400078,0.0008514099912165312,0.00013616780600649397,16728080729607.416,9454319707273.502,0.09038008549568331,0.004786367952825983,0.027799084543707518,0.00131689542126666
Window Clinear,26244,8765,8815,25.143329815453946,0.5739145755767823,0.07181314305948795,147.07422375679016,35.38133558418441,147.64813833236695,35.36519654955445,4212610824672.3037,1686511152056.7095,0.27559026677587656,0.006259016524588637,0.09965425972423832,0.004520854867869527,29478458541969.14,1627835180672.3408,0.19606739966974945,0.0030949693916174368,0.05153044866254619,0.0016410819014223519,0.006007435391226299,0.0005581629503029792,0.005860449269620977,0.0005358538516705011,5.150888389249778e-05,8.081272776071305e-06,7.150687717247773,1.1425609486715218,0.04260753395600039,0.0036261158321995164,0.005247585949278904,0.00015187202268219122,22965058155479.83,19226622155491.816,0.006469407678331026,0.0042874253434196504,0.0008535562244322062,0.00010404349010853136,28241370713687.18,21375281339762.293,0.009646680273926369,0.004579738838435057,0.0007935224716763453,5.1352041704816133e-05,14149583039302.38,6784200226664.972,0.08937362293724986,0.002889600407713209,0.026355146986010748,0.0009712840334592152
