Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,CO(GT)_MAPE,CO(GT)_MAE,CO(GT)_MSE,NMHC(GT)_MAPE,NMHC(GT)_MAE,NMHC(GT)_MSE,C6H6(GT)_MAPE,C6H6(GT)_MAE,C6H6(GT)_MSE,NOx(GT)_MAPE,NOx(GT)_MAE,NOx(GT)_MSE,NO2(GT)_MAPE,NO2(GT)_MAE,NO2(GT)_MSE,T_MAPE,T_MAE,T_MSE,RH_MAPE,RH_MAE,RH_MSE,AH_MAPE,AH_MAE,AH_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Fixed Cut 50.0%,3743,1872,3742,49.993319973279895,N/A,17.264147996902466,17.264147996902466,30.79556551063392,0.19345310483531722,0.05276140690169064,0.002058366348532505,0.002058366348532505,1.1423255182315532e-05,1.1025562696216085,0.0694620542468558,0.029945989934716085,0.5469486988974901,0.0912860879239097,0.018221943585365077,0.6303433863859298,0.33743899337756494,0.1465034275287641,159144874739.06873,0.06797960835747202,0.03207127778701324,0.301485685060023,0.10483605107703413,0.04408605503596756,14.795481228220929,0.07115712625773304,0.025807965597496527,19893109348.405422,0.11720892405305228,0.043676186203274445
Fixed Cut 55.0%,3369,1872,4116,54.98997995991984,N/A,10.903761148452759,10.903761148452759,21.571218259528074,0.14669509079371637,0.04316231886251483,0.022712062255307114,0.022712062255307114,0.0006740667221693961,1.0678054762370954,0.056962883544871064,0.02781758118412282,0.7240151311066022,0.09791158366399723,0.01853415969954003,0.6658562171963912,0.3500968876590806,0.15400180384507361,66460273922.27232,0.06081702558273205,0.03136207110084025,0.3154323425433949,0.10219773770271134,0.04381116197794903,13.695955392277291,0.0684299752649027,0.02604865475741425,8307534245.041921,0.11322790580841473,0.04317647726870308
Fixed Cut 60.0%,2994,1872,4491,60.0,N/A,22.121737003326416,22.121737003326416,21.725847993637107,0.14856918465490315,0.043568775803763476,0.006639750489600542,0.006639750489600542,8.585030966333591e-05,0.8655938352324586,0.057473001690939995,0.027902620439149928,0.6529580597944834,0.09159461582545503,0.01662164903266922,0.5650447395857416,0.30946122153412736,0.13004253333162824,79889135433.55171,0.057730534178513954,0.02795380402320324,0.30884333799091723,0.09803500294467239,0.043140331302071545,12.263094293834177,0.06432059510026503,0.023898854267661192,9986141933.742487,0.10422798830230959,0.03915180231372628
Fixed Cut 65.0%,2620,1872,4865,64.99665998663995,N/A,15.154812812805176,15.154812812805176,28.938007924549996,0.17916013778748524,0.04867651747087069,0.009083186940916742,0.009083186940916742,0.0001233131173002354,0.873725621224194,0.061639862070703044,0.030428317149598608,0.6388006350715028,0.09022768494388093,0.016036712804270267,0.5436064000879236,0.2952334668302544,0.12078968864296902,94159961304.7385,0.06083592810032355,0.03033229993090147,0.31896576489829565,0.09915452930874542,0.0451472737247685,13.693764666915573,0.06881911195037857,0.025700610964850375,11769995168.719296,0.10801923849158585,0.03965434172569119
Fixed Cut 70.0%,2246,1872,5239,69.99331997327988,N/A,9.710171937942505,9.710171937942505,17.209112893683983,0.1266403919214138,0.04260404566058326,0.013396357531202384,0.013396357531202384,0.0003059462471789479,0.9567056726346765,0.06723068361647887,0.030512253337429535,0.8724208371911956,0.1056203048495325,0.018803935228322997,0.45606249191194553,0.2579121007130442,0.10448693462043976,7651746377.10935,0.0763323954853801,0.030114655095384142,0.3143073177300775,0.10825202311670093,0.04652000834333053,14.82902684286868,0.07362477143914092,0.027473535962020634,956468301.4700451,0.1036261285841116,0.037602664311836245
Fixed Cut 75.0%,1872,1872,5613,74.98997995991984,N/A,10.686820983886719,10.686820983886719,10.849852434108005,0.09655547541258483,0.040017875724059765,0.020850564998851705,0.020850564998851705,0.00047634403135879736,1.2622501726928066,0.06639706560435628,0.026942072853812338,0.7641925551339125,0.0974739141209703,0.01741939672852282,0.4448682148737556,0.2502903373176795,0.10129641099248958,15645812054.853542,0.07244497577572595,0.02966383396409042,0.3081806580723371,0.10350218914254662,0.04210770115290799,13.661411517372926,0.06758539847870951,0.024294714281400568,1955726510.2706463,0.09688749010642798,0.035277293716080266
Fixed Cut 80.0%,1497,1872,5988,80.0,N/A,5.3245720863342285,5.3245720863342285,20.85920333948658,0.1479199682433228,0.0445919418253872,0.028894411942274895,0.028894411942274895,0.0015654049682029146,4.418953653413987,0.11447266861389693,0.02801358737278724,0.8951703785826064,0.10897699871758512,0.02016183010840263,0.43427832343010486,0.24557565869782916,0.10033493708164999,85101209227.8392,0.11065317610399175,0.0275991359691896,0.3528025517880851,0.12315749566523863,0.04156459195709134,26.736332613146995,0.09848267967078411,0.0238634409027731,10637651160.195623,0.12226663220686529,0.0359618587731855
Fixed Cut 85.0%,1123,1872,6362,84.99665998663994,N/A,6.968153953552246,6.968153953552246,11.137018873815764,0.09420517802712267,0.04040371846107649,0.007280355452212827,0.007280355452212827,9.07312170270552e-05,4.82362853524549,0.12624157380315476,0.033220789117817645,0.8742064174451228,0.1042060446154362,0.018276794960846925,0.37986492368220987,0.22598364588172065,0.0974076535114057,107061478485.47336,0.12244029635815373,0.03295349174484182,0.37253641810333843,0.1310842504910186,0.047277737941306006,34.69570926086793,0.12164429090739601,0.02998508988729449,13382684817.220448,0.11663570444202684,0.03745200085520199
Fixed Cut 90.0%,749,1872,6736,89.9933199732799,N/A,6.313371181488037,6.313371181488037,17.08959312615928,0.129352329453003,0.04616093048459774,0.01093790572705921,0.01093790572705921,0.00022819598690788443,5.332126309290247,0.14024456157591542,0.037684524676068656,0.7812265075878703,0.11955138637020912,0.02635722924659002,0.41453911800014787,0.2685337597990073,0.12443200451827802,160607668058.9707,0.1370421149231833,0.03620830777623718,0.3729427754295519,0.1305489724756845,0.04837085980631914,44.04462418934117,0.14560912285152158,0.03429425631426909,20075958515.877083,0.1352275191469478,0.04421703860115847
Window L1,3390,1872,4095,54.70941883767535,0.235975980758667,24.60377597808838,24.839751958847046,31.346470347079446,0.19588286888098427,0.05421099837651979,0.005760648103565697,0.005760648103565697,8.363275447628401e-05,1.0966787658742456,0.05494779869183578,0.028056778222608787,0.5403265305731909,0.09243762713471075,0.018722274119418177,0.6828125892557397,0.3563747184614087,0.15699781466687043,135411141302.32239,0.05997396211512287,0.02941530184807114,0.3058725676179398,0.09867107695336316,0.04628790382865951,8.738966865800936,0.05784721338179918,0.026810417860345277,16926392668.129929,0.1152369892153487,0.04507314020962117
Window L2,6580,1872,905,12.090848363393453,0.12077069282531738,18.672264099121094,18.79303479194641,34.8968397001011,0.2188915707903477,0.06263073295769375,0.12737097703140163,0.022563503459947145,0.0005371995362162149,1.9072164313602507,0.0594456808834549,0.025942644602745923,0.5100907585997907,0.11598330617151303,0.028756164863696747,0.5885399372530998,0.3196984350750107,0.13600748653143627,222249084749.6236,0.08915775625370143,0.03079752264483135,0.2952828997471377,0.0977692151254048,0.04210213342455508,3.0801645132298328,0.0388283852386195,0.021003861989689083,27781135598.878635,0.12029223162474965,0.043472218318858044
