Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg CO(GT)_MAPE,Std CO(GT)_MAPE,Avg CO(GT)_MAE,Std CO(GT)_MAE,Avg CO(GT)_MSE,Std CO(GT)_MSE,Avg NMHC(GT)_MAPE,Std NMHC(GT)_MAPE,Avg NMHC(GT)_MAE,Std NMHC(GT)_MAE,Avg NMHC(GT)_MSE,Std NMHC(GT)_MSE,Avg C6H6(GT)_MAPE,Std C6H6(GT)_MAPE,Avg C6H6(GT)_MAE,Std C6H6(GT)_MAE,Avg C6H6(GT)_MSE,Std C6H6(GT)_MSE,Avg NOx(GT)_MAPE,Std NOx(GT)_MAPE,Avg NOx(GT)_MAE,Std NOx(GT)_MAE,Avg NOx(GT)_MSE,Std NOx(GT)_MSE,Avg NO2(GT)_MAPE,Std NO2(GT)_MAPE,Avg NO2(GT)_MAE,Std NO2(GT)_MAE,Avg NO2(GT)_MSE,Std NO2(GT)_MSE,Avg T_MAPE,Std T_MAPE,Avg T_MAE,Std T_MAE,Avg T_MSE,Std T_MSE,Avg RH_MAPE,Std RH_MAPE,Avg RH_MAE,Std RH_MAE,Avg RH_MSE,Std RH_MSE,Avg AH_MAPE,Std AH_MAPE,Avg AH_MAE,Std AH_MAE,Avg AH_MSE,Std AH_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Fixed Cut 55.0%,3369,1872,4116,54.98997995991984,N/A,N/A,14.263978242874146,3.030798097585378,14.263978242874146,3.030798097585378,31.10002065178637,6.642911472141715,0.19630761300045746,0.03562971661049113,0.05537727155621468,0.00998021049524124,0.012380488423815362,0.009394492865172147,0.012380488423815362,0.009394492865172147,0.0003257298113116743,0.00035043727261878897,1.7271706434519494,0.5195538595459892,0.0630523887594999,0.009047613455560466,0.02758706152587224,0.002986210506606396,0.6800161704230913,0.0434608309626855,0.09625578286307869,0.002735001312223824,0.018374971740849712,0.0007258474483929671,0.6444522151882689,0.01597628719170354,0.3430254714202445,0.00564734222410393,0.15037975556078378,0.003247572599536776,109886610528.77068,56105290708.295425,0.06367802749241405,0.006526526843349221,0.029034678470076576,0.004081484753172538,0.3196609396553175,0.015082859620512203,0.10063309462250718,0.002620493883265447,0.041326908221055454,0.005062066979613877,10.387307362405183,7.4243555286563545,0.05891326271717861,0.017687926559285458,0.02421296352922288,0.0017259871213616206,13735826321.705194,7013161337.706258,0.11678076616239935,0.0050779078769513444,0.04332741755192341,0.001113850858392944
Fixed Cut 60.0%,2994,1872,4491,60.0,N/A,N/A,15.469534063339234,3.956410699083142,15.469534063339234,3.956410699083142,24.0410338845597,6.1640004328197735,0.16163219566573725,0.03291144761778978,0.047724603092045605,0.007107082306365323,0.01079755483939245,0.0031243881714120396,0.01079755483939245,0.0031243881714120396,0.00019837335757199969,6.967028731530673e-05,1.259311676349868,0.597287835639918,0.06298237994015776,0.012503394692366897,0.027249067497004616,0.0022174969530009943,0.6495528776308312,0.0885988870261999,0.09553762510276462,0.002430466333104443,0.018276110850753393,0.0015143575143896145,0.5574641369061403,0.06419352558651294,0.3067206144373279,0.02941921643843737,0.13053402732723055,0.016023527255111653,100332821728.87067,52051286361.57817,0.06065862425240291,0.0029877119642483688,0.027222375546476017,0.0025919136398348135,0.31279474602366164,0.008676367978583479,0.10025071523371075,0.0034572811761236274,0.0433020343383167,0.002627061734998548,13.053058833539572,3.4935901643881637,0.06614903597272015,0.008067112861344474,0.024237944593032447,0.0012450168661731758,12541602721.094337,6506410795.450131,0.10809109318052662,0.005684383401363288,0.03984306707530394,0.003536510990765935
Fixed Cut 65.0%,2620,1872,4865,64.99665998663995,N/A,N/A,12.584475803375245,1.6387369333641917,12.584475803375245,1.6387369333641917,24.162708664041595,4.355409084805225,0.15907715213037527,0.02103649200865727,0.04605791152604215,0.0034874983515926507,0.009708305025228547,0.0023249060957202987,0.009708305025228547,0.0023249060957202987,0.00017284367132123994,8.121648546139369e-05,1.214386100105168,0.2831330426687879,0.062401546629744585,0.005925371037803266,0.02791413758376084,0.0018386003638719813,0.7918194671725458,0.11622884748506473,0.10065410699085564,0.007214008518079222,0.01790932940886361,0.0011840853650911416,0.5116283666950288,0.046251356573512065,0.2838201625842356,0.021196215676061704,0.11694845635998993,0.010209229587851035,80229941412.40265,21320444184.897953,0.060362474359945864,0.0012753627980251492,0.02810206411274954,0.0019290336543248854,0.3292823166327124,0.02443119301084513,0.10255652990446493,0.0027550115509931425,0.04374234912782022,0.003280795114664722,10.677261982913311,4.550508922395181,0.06080718856803095,0.012379046495327553,0.02464876531962275,0.0009476402350874843,10028742681.262436,2665055523.0092115,0.10492343327411004,0.005389748995236226,0.038186982138771294,0.0021972865823343722
Fixed Cut 70.0%,2246,1872,5239,69.99331997327988,N/A,N/A,10.459613180160522,1.421797637117005,10.459613180160522,1.421797637117005,16.171020627089238,2.4760169373929144,0.12139388354864102,0.011562711765104537,0.04162062164798503,0.0011698660985898337,0.010192357566976675,0.00220207253847108,0.010192357566976675,0.00220207253847108,0.00020001865564098586,6.459651640181826e-05,1.1863303782129802,0.33603897414853234,0.0616890038575295,0.005436000605013689,0.028407255187978913,0.0018170179327224503,0.9433896342029139,0.0724415340203962,0.11072203213347016,0.00510185299885017,0.019824534534741017,0.0010400997680462978,0.45710448371226203,0.040457887339946846,0.258116197887767,0.021697547663519404,0.10568078616455516,0.010958269394602994,54398814887.75437,31690030242.803223,0.06301882639480759,0.007560619674792752,0.02917344363576077,0.0009106041288321335,0.3309446818211654,0.02191552680106758,0.10169638215916327,0.003931782690882854,0.04333033674817869,0.0021162134880221457,10.4498767892919,3.798357780852914,0.06080966987362722,0.010660927808128554,0.02575556985888109,0.0011242457610807024,6799851864.662904,3961253780.0293612,0.09845479417774772,0.003962640819516759,0.0367490708042152,0.0013420035508690577
Fixed Cut 75.0%,1872,1872,5613,74.98997995991984,N/A,N/A,7.293683338165283,2.30276181047255,7.293683338165283,2.30276181047255,10.843908157903124,2.282294869520163,0.09458393524204488,0.010704365697994404,0.03995112072437855,0.0007532948588349919,0.02029140799039171,0.006359793787126106,0.02029140799039171,0.006359793787126106,0.0006167333350262763,0.0003139862848579856,1.3609391336520633,0.24469540825507516,0.06424145989605354,0.008125950592448429,0.028020589425542187,0.002623046651284592,1.0959536589121674,0.26728469271974964,0.12286646465757474,0.020767056261746172,0.023019070041971106,0.005118077426825075,0.38860310305193274,0.03530675548528259,0.21404372637963273,0.024888608148216376,0.0863240744207336,0.009899717869387486,33661657527.33141,16756909447.881367,0.0737008567006902,0.0092806723255573,0.028643644160529717,0.0012403401686119518,0.3188775932957865,0.014344915902154197,0.10065216909648186,0.0022682833520887694,0.043384252795771024,0.0032804684192687577,16.742470223949386,6.8640752618555005,0.07636753369094958,0.017236184448490927,0.025986384594191933,0.0017062898760993703,4207707194.7628036,2094613681.256806,0.09584344420672732,0.0037955888093722224,0.03449323368726803,0.0011793923985195154
Fixed Cut 80.0%,1497,1872,5988,80.0,N/A,N/A,6.5512007713317875,1.2372469166797015,6.5512007713317875,1.2372469166797015,15.168190783616856,5.202776279928709,0.11743276903395358,0.025977827601083102,0.04189914943250754,0.001776407400521972,0.019804466007222438,0.007282957836786483,0.019804466007222438,0.007282957836786483,0.0007177310982871641,0.0005318157355248234,3.2229765804004993,0.9443608322897773,0.09682021114962111,0.013352406251817264,0.02710279671984607,0.0009704262271188206,1.0667573256776657,0.1753480307305523,0.1197868241815022,0.012365303287259568,0.021894927926979058,0.0026445675403120004,0.3917898514629352,0.028053442870914564,0.2180658963749655,0.019196293010337897,0.08842288114196067,0.008118376692405869,90388415262.02632,44376981651.3741,0.10277625777175135,0.018742830872877533,0.027497984954630468,0.0011193263191062938,0.3503313374703883,0.041716542749694926,0.11912077630773786,0.014881955241827378,0.04138806621299771,0.001268264760889994,26.62928354701936,7.4741103360162136,0.10013735675452487,0.0180921562437579,0.02605815167405798,0.0015879098469935428,11298551913.609442,5547122707.363475,0.11174306969765976,0.010387744312815483,0.03437271114515833,0.0009976378874816368
Fixed Cut 85.0%,1123,1872,6362,84.99665998663994,N/A,N/A,5.4919486999511715,1.131989220194069,5.4919486999511715,1.131989220194069,14.33981656240312,3.216703327369957,0.11401059299302325,0.0147165770217485,0.042730887460064405,0.002211214076580952,0.019857902763356472,0.01378625795590672,0.019857902763356472,0.01378625795590672,0.0010915169289287322,0.0013398634448163703,3.8913155256484777,1.3740843354105476,0.1125818542302943,0.01964780481965821,0.03233686470091665,0.001390746666958609,0.9114956111936848,0.06760082522371322,0.10899682323796829,0.004052580697302903,0.019825334208958323,0.0010293875300058607,0.4316730077067446,0.0517581201232457,0.2571970964040463,0.033434454607100164,0.1137594143476213,0.016689693668791115,92988750604.042,45944561221.66803,0.1166578935646755,0.016453473433086566,0.03373550516255713,0.0012251341841040602,0.3592401021439587,0.026209912719450848,0.12543425905993014,0.008907618792792069,0.04812909594873514,0.0011111963424489803,32.43323910715209,7.0564732184366,0.11692981979075394,0.016990516591507403,0.03065722142446357,0.0017494463049276734,11623593832.053577,5743070153.714279,0.12145828025550592,0.010358179034576875,0.04028323002278065,0.0025321708622647013
Fixed Cut 90.0%,749,1872,6736,89.9933199732799,N/A,N/A,5.915316772460938,1.6445812007085554,5.915316772460938,1.6445812007085554,21.246518712009642,2.5332945051719347,0.15128460963248566,0.013369506090049285,0.04759309823126176,0.0016123635984254111,0.021347259682560734,0.01461553463304149,0.021347259682560734,0.01461553463304149,0.0010287262536906026,0.0011398741371512746,4.450202487072976,0.8002365771389803,0.12108258244397992,0.014737400258430006,0.03381571724340776,0.004077237355904943,0.8768860789144742,0.10166965055502653,0.12924145471065124,0.009939242441606221,0.029258049327093978,0.003077593967094567,0.45290467451878774,0.05366306660888346,0.2908035901147696,0.03282290733468005,0.13702423704581274,0.018419616200528004,130438566992.01881,26673070322.37864,0.12755226917105006,0.009952490619071353,0.03513308937203127,0.003720006498163076,0.3893506749656241,0.025732813921734158,0.13457390684810983,0.009363366496405692,0.05040871251180516,0.004637723010868195,33.48853040563329,8.13397104421957,0.12059911188799105,0.02043996362282205,0.031457413434043784,0.004903428107315192,16304820881.618073,3334133790.8875165,0.13706059806144966,0.005415053002269298,0.045714880427393405,0.002354414727710226
Window L1,3390,1872,4095,54.70941883767535,0.23863496780395507,0.007050107003607751,18.355360746383667,5.185683236093833,18.59399571418762,5.183128723027369,27.6294945019329,3.731258384330734,0.17925120484088283,0.018362190482072174,0.050533716673204554,0.004184529766019177,0.013108375455994388,0.006971064214147627,0.013108375455994388,0.006971064214147627,0.00028560563566200575,0.00021325858451452868,1.212364903303483,0.40861744648004933,0.05524148047083764,0.003269260610905872,0.02639941212740903,0.003566261347049257,0.6527100189042288,0.09842182069442605,0.09569489049743911,0.002595186213796118,0.018433423573137014,0.0008081050190262596,0.6202582640330991,0.047268850932846815,0.3326804229275883,0.01953479355254424,0.1442508278124474,0.01140983293765959,128795240032.74881,30655378258.60708,0.060971541180310236,0.004289853533966551,0.029271207572913356,0.002759181488284161,0.3130436277564352,0.00984127841125494,0.09777943496505473,0.0038634486858965316,0.0422467662632374,0.00480479584509794,10.020870671034412,4.057879792377273,0.05922448356764157,0.011734175763383405,0.02525641176797247,0.002164761213266827,16099405009.15133,3831922282.0283065,0.1117439792382185,0.004866030068047822,0.04208467142824792,0.0022694919661051588
Window L2,6580,1872,905,12.090848363393453,0.12146110534667968,0.003467897755993585,29.25809516906738,8.49187519591483,29.379556274414064,8.491338891455412,35.68091413589389,2.6395460286879677,0.21697509750218877,0.014776304712890466,0.05959801301261473,0.005451647754315119,0.06663928634958201,0.03659372018102512,0.011805010867950754,0.006482501360677613,0.00019729610820761,0.0001991819656814324,1.0903740426615565,0.47360270169334734,0.055846795706616326,0.002551070850056918,0.028307119850823605,0.001740618545531058,0.4934533096873893,0.013403500805076565,0.11345403438482898,0.004633814392261197,0.02662118748150572,0.001761275357748735,0.6468664408461179,0.03954767104159125,0.3428368188351357,0.016400296662070463,0.14899082564876454,0.010149340101766801,193165330122.17838,23772611502.65453,0.07753655059811417,0.008560816148774809,0.03283103668570047,0.0028457790591803365,0.2951716102919083,0.004112886835676474,0.10354554478733213,0.00342135693295245,0.044063605745454995,0.001337756006453012,7.3047319988213895,2.7628546437454684,0.052238127396142135,0.008471004586592012,0.024693571516686996,0.0024119699456639603,24145666270.96953,2971576437.465538,0.12177974750978851,0.0033359306549020536,0.04566283200621986,0.0016797523257430136
Window Normal,6445,1872,1040,13.894455577822312,0.2926197052001953,0.007103735871466703,29.768778228759764,12.320764840673954,30.06139793395996,12.32420641713255,33.805557228637824,2.680817592145841,0.21024725119939758,0.013665726224395885,0.05757008293025407,0.003976009550153916,0.08167427627440675,0.039371524865989584,0.01446842803798171,0.006974583678651832,0.0002859367275147556,0.0002259294791369932,1.0531734878724983,0.4613261783608495,0.056919704155031066,0.0026805587844857463,0.027259155945444306,0.002649633822489221,0.5124085064911015,0.0199609100091477,0.11903240080828134,0.006320021236822597,0.02805378341453476,0.0019782640333540526,0.6221292238856365,0.041816115313473644,0.3334723427178189,0.01856846264605388,0.14391023065552355,0.012254936515605374,178891292740.85037,32521554898.17035,0.07382939556102092,0.008177260307113791,0.032201993397806675,0.0022946759324112102,0.302476371877413,0.01154244758532037,0.10725431170714124,0.004101005069986189,0.04332637448877608,0.003483687507377802,8.657527656899887,3.6913266941680987,0.0552485567281477,0.011129554691613273,0.02461658152665674,0.0030847081066930175,22361411598.23566,4065194361.7573004,0.12130904886435241,0.0009726345334386701,0.04465301738581389,0.0008007532511406251
Window RBF,470,1872,7015,93.72077488309954,2.0895884037017822,0.10984953118396235,4.399901247024536,0.5984919378554213,6.489489650726318,0.6180310938444228,32.753313871063575,2.9623259009918765,0.21105811220765433,0.0183426460802263,0.06060431875395346,0.006354297721892145,0.037569188566693675,0.02688932331726892,0.037569188566693675,0.02688932331726892,0.0030875557161507278,0.004097847304494311,4.508437858507247,1.325461117152405,0.11947244749445138,0.0232215393044313,0.034233024690700095,0.002001026595612071,0.7591411906685469,0.07040990921381346,0.13721148264887506,0.006643792596688819,0.036312690385904,0.003113939567795962,0.5172732425154457,0.02892531302418484,0.38165777941577683,0.01859637366894673,0.214355520714664,0.013483949325688355,134111575453.7142,22646697603.702587,0.12858275847719397,0.015462144605674527,0.035757919857787646,0.0031533517768749988,0.3825341503519434,0.04746981061296006,0.1322497626989878,0.016266838252808166,0.05083711839233904,0.002757507803501336,36.09093743764264,7.8950808896541735,0.12648137688366984,0.02033217801059367,0.03269834831678996,0.003099363820400557,16763946941.095428,2830837200.7975984,0.15928536354916276,0.009658323488867627,0.05848581210353611,0.003304489291626026
